證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出
1338,2013年07月01日至2013年09月30日,,,,              1977540,                 30681,                    294,              1946565,              1946565,,              1486783,                459782,                459782,,,                 91650,,                122064,,                 84862,                298576,                161206,,,                  5985,,                    534,,                  6620,                  6620,,                    180,                     79,                161285,,                 36605,                124680,                124680,,,,,,,,,,                -49211,                 75469,,                124680,                              0,,                 75774,                   -305,,                              1.60,,                              1.59,,              1486783,,                  5985,                              0,,                -49211,                              0,,                     47,                    286,                   -201
1338,2013年04月01日至2013年06月30日,,,,              1683398,                 16678,                 10221,              1656499,              1656499,,              1322542,                333957,                333957,,,                 88158,,                106539,,                 67296,                261993,                 71964,,,                 17902,,                 19699,,                  3943,                  3943,,                  2464,                 36122,                108086,,                 17170,                 90916,                 90916,,,,,,,,,,                 73624,                164540,,                 89140,                  1776,,                162289,                  2251,,                              1.14,,                              1.14,,              1322542,,                  8312,                  9590,                              0,                 73624,                              0,,                  6852,                  1537,                -11310
1338,2013年01月01日至2013年12月31日,,,,              7424384,                 90288,                 21006,              7313090,              7313090,,              5702739,              1610351,              1610351,,,                352168,,                475612,,                269847,              1097627,                512724,,,                 37285,,                 78039,,                 22360,                 22360,,                  7231,                100195,                612919,,                152777,                460142,                460142,,,,,,,,,,                249249,                709391,,                458391,                  1751,,                706124,                  3267,,                              5.87,,                              5.86,,              5702739,,                 27625,                  9660,                              0,                249249,                              0,,,,
1338,2013年01月01日至2013年09月30日,,,,              5117635,                 69387,                 14613,              5033635,              5033635,,              3937162,              1096473,              1096473,,,                259278,,                352563,,                203909,                815750,                280723,,,                 31545,,                 34194,,,                 14008,,                  4070,                 55801,                336524,,                 69920,                266604,                266604,,,,,,,,,,                155584,                422188,,                264835,                  1769,,                419431,                  2757,,                              3.39,,                              3.39,,,,,,,                155584,                              0,,,,
1338,2013年01月01日至2013年06月30日,,,,              3140095,                 38706,                 14319,              3087070,              3087070,,              2450379,                636691,                636691,,,                167628,,                230499,,                119047,                517174,                119517,,,                 25560,,                 33660,,,                  7388,,                  3890,                 55722,                175239,,                 33315,                141924,                141924,,,,,,,,,,                204795,                346719,,                140155,                  1769,,                343657,                  3062,,                              1.79,,                              1.79,,,,,,,                204795,                              0,,,,
1338,2013年01月01日至2013年03月31日,,,,              1456697,                 22028,                  4098,              1430571,              1430571,,              1127837,                302734,                302734,,,                 79470,,                123960,,                 51751,                255181,                 47553,,,                  7658,,                 13961,,                  3445,                  3445,,                  1426,                 19600,                 67153,,                 16145,                 51008,                 51008,,,,,,,,,,                131171,                182179,,                 51015,                     -7,,                181368,                    811,,                              0.65,,                              0.65,,              1127837,,                  7658,,                              0,                131171,                              0,              1456697,,,
1338,2012年07月01日至2012年09月30日,,,,              1386941,                  8186,                    425,              1378330,              1378330,,              1056247,                322083,                322083,,,                 57488,,                107397,,                 51777,                216662,                105421,,,                  3075,,                  7623,,                  4752,                  4752,,                  6908,                 12854,                118275,,                 26681,                 91594,                 91594,,,,,,,,,,                -20226,                 71368,,                 91587,                      7,,                 68596,                  2772,,                              1.32,,                              1.32,,              1056247,,                  3075,                              0,,                -20226,                              0,,                  1746,                    617,                 -5260
1338,2012年04月01日至2012年06月30日,,,,              1421072,                  8731,                  1748,              1410593,              1410593,,              1036808,                373785,                373785,,,                 77318,,                104444,,                 42064,                223826,                149959,,,                 18143,,                 -3823,,                  2462,                  2462,,                  5033,                 16891,                166850,,                 42557,                124293,                124293,,,,,,,,,,                 -1135,                123158,,                121663,                  2630,,                123452,                   -294,,                              1.76,,                              1.75,,              1036808,,                  4062,                 14081,                              0,                 -1135,                              0,,                 -2048,                 -3291,                 -1516
1338,2012年01月01日至2012年12月31日,,,,              5190131,                 34743,                  1428,              5153960,              5153960,,              3971891,              1182069,              1182069,,,                283881,,                370170,,                183322,                837373,                344696,,,                 28007,,                 33056,,                 13071,                 13071,,                 16041,                 64033,                408729,,                 91645,                317084,                317084,,,,,,,,,,               -112694,                204390,,                314559,                  2525,,                202693,                  1697,,                              4.52,,                              4.50,,              3971891,,                 13947,                 14060,                              0,               -112694,                              0,,,,
1338,2012年01月01日至2012年09月30日,,,,              4123719,                 24644,                  3224,              4095851,              4095851,,              3089525,              1006326,              1006326,,,                218127,,                286145,,                126380,                630652,                375674,,,                 24266,,                    379,,                  9643,                  9643,,                 15799,                 30801,                406475,,                 99255,                307220,                307220,,,,,,,,,,               -108059,                199161,,                304582,                  2638,,                197335,                  1826,,                              4.40,,                              4.36,,              3089525,,                 10185,                 14081,,               -108059,                              0,,                   -275,                 -1936,                 -2590
1338,2012年01月01日至2012年06月30日,,,,              2736778,                 16458,                  2799,              2717521,              2717521,,              2033278,                684243,                684243,,,                160639,,                178748,,                 74603,                413990,                270253,,,                 21191,,                 -7244,,                  4891,                  4891,,                  8891,                 17947,                288200,,                 72574,                215626,                215626,,,,,,,,,,                -87833,                127793,,                212995,                  2631,,                128739,                   -946,,                              3.07,,                              3.05,,              2033278,,                  7110,                 14081,                              0,                -87833,                              0,,                 -2021,                 -2553,                  2670
1338,2012年01月01日至2012年03月31日,,,,              1315706,                  7727,                  1051,              1306928,              1306928,,                996470,                310458,                310458,,,                 83321,,                 74304,,                 32539,                190164,                120294,,,                  4264,,                 -4637,,                  2429,                  2429,,                  3858,                  1056,                121350,,                 30017,                 91333,                 91333,,,,,,,,,,                -86698,                  4635,,                 91332,                      1,,                  5287,                   -652,,                              1.45,,                              1.44,,                996470,,                  3048,,                  1216,                -86698,                              0,,                     27,,                  4664
