證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
4960,2013年第2季,,              4976569,,              3917653,              1058916,              1058916,,,                 42442,,                 41379,,                 70113,                153934,                904982,,,                  4891,                  4891,,                 88591,,                 14802,                 78680,                983662,,                157062,                826600,                826600,,,,,,                 24750,                851350,,                829088,                 -2488,,                853838,                 -2488,,                              1.69,                              1.69,,                              1.68,                              1.68,,              4976569,,              3917653,                 24750,                              0,,
4960,2013年度,,             17852579,,             14846231,              3006348,              3006348,,,                169552,,                143332,,                297099,                609983,              2396365,,,                 31678,                 31678,,                342427,,                 58252,                315853,              2712218,,                280321,              2431897,              2431897,,,,,,                 79008,              2510905,,              2446292,                -14395,,              2525004,                -14099,,                              4.74,                              4.74,,                              4.72,                              4.72,,             17852579,,             14846231,                 78320,                    688,,
4960,2013年07月01日至2013年09月30日,,              4291283,,              3450508,                840775,                840775,,,                 44679,,                 34999,,                 76666,                156344,                684431,,,                 11684,                 11684,,                  3329,,                 12802,                  2211,                686642,,                 36424,                650218,                650218,,,,,,                -16159,                634059,,                653358,                 -3140,,                637199,                 -3140,,                              1.33,                              1.33,,                              1.33,                              1.33,,              4291283,,              3450508,                -16159,,,                              0
4960,2013年04月01日至2013年06月30日,,              4976569,,              3917653,              1058916,              1058916,,,                 42442,,                 41379,,                 70113,                153934,                904982,,,                  4891,                  4891,,                 88591,,                 14802,                 78680,                983662,,                157062,                826600,                826600,,,,,,                 24750,                851350,,                829088,                 -2488,,                853838,                 -2488,,                              1.69,                              1.69,,                              1.68,                              1.68,,              4976569,,              3917653,                 24750,,,                              0
4960,2013年01月01日至2013年12月31日,,             17852579,,             14846231,              3006348,              3006348,,,                169552,,                143332,,                297099,                609983,              2396365,,,                 31678,                 31678,,                342427,,                 58252,                315853,              2712218,,                280321,              2431897,              2431897,,,,,,                 79008,              2510905,,              2446292,                -14395,,              2525004,                -14099,,                              4.98,                              4.98,,                              4.96,                              4.96,,             17852579,,             14846231,                 78320,                    688,,                              0
4960,2013年01月01日至2013年09月30日,,             13959082,,             11565157,              2393925,              2393925,,,                128218,,                106681,,                213424,                448323,              1945602,,,                 19650,                 19650,,                220764,,                 47399,                193015,              2138617,,                215620,              1922997,              1922997,,,,,,                 53935,              1976932,,              1933102,                -10105,,              1987037,                -10105,,                              3.75,                              3.75,,                              3.73,                              3.73,,             13959082,,             11565157,                 53935,                              0,,                              0
4960,2013年01月01日至2013年06月30日,,              9667799,,              8114649,              1553150,              1553150,,,                 83539,,                 71682,,                136758,                291979,              1261171,,,                  7966,                  7966,,                217435,,                 34597,                190804,              1451975,,                179196,              1272779,              1272779,,,,,,                 70094,              1342873,,              1279744,                 -6965,,              1349838,                 -6965,,                              2.61,                              2.61,,                              2.59,                              2.59,,              9667799,,              8114649,                 70094,                              0,,
4960,2013年01月01日至2013年03月31日,,              4691230,,              4196996,                494234,                494234,,,                 41097,,                 30303,,                 66645,                138045,                356189,,,,                  3075,,                128844,,                 19795,                112124,                468313,,                 22134,                446179,                446179,,,,,,                 45344,                491523,,                450656,                 -4477,,                496000,                 -4477,,                              0.92,                              0.92,,                              0.91,                              0.91,,              4691230,,              4196996,                 45344,                              0,,
4960,2012年07月01日至2012年09月30日,,              5128676,,              4565990,                562686,                562686,,,                 47011,,                 44447,,                 73893,                165351,                397335,,,                 10668,                 10668,,                 -6420,,                 35777,                -31529,                365806,,                 -7802,                373608,                373608,,,,,,                -13631,                359977,,                378816,                 -5208,,                365185,                 -5208,,                              0.82,                              0.82,,                              0.82,                              0.82,,              5128676,,              4565990,                -13631,,,                              0
4960,2012年04月01日至2012年06月30日,,              4981082,,              4409457,                571625,                571625,,,                 44570,,                 32251,,                 53683,                130504,                441121,,,                 13496,                 13496,,                 -5171,,                 34322,                -28445,                412676,,                 74220,                338456,                338456,,,,,,                  5646,                344102,,                340348,                 -1892,,                345994,                 -1892,,                              0.77,                              0.77,,                              0.76,                              0.76,,              4981082,,              4409457,                  5646,,,                 -2448
4960,2012年01月01日至2012年12月31日,,             20172020,,             17900762,              2271258,              2271258,,,                189933,,                161695,,                248851,                600479,              1670779,,,                 46547,                 46547,,                125603,,                148106,                 17681,              1688460,,                 79280,              1609180,              1609180,,,,,,                -38783,              1570397,,              1617490,                 -8310,,              1578707,                 -8310,,                              3.52,                              3.52,,                              3.49,                              3.49,,             20172020,,             17900762,                -38783,                              0,,                 -6363
4960,2012年01月01日至2012年09月30日,,             15099383,,             13365915,              1733468,              1733468,,,                138301,,                111222,,                174826,                424349,              1309119,,,                 35158,                 35158,,                 49217,,                126002,                -47990,              1261129,,                 86919,              1174210,              1174210,,,,,,                -38939,              1135271,,              1181310,                 -7100,,              1142371,                 -7100,,                              2.63,                              2.63,,                              2.61,                              2.61,,             15099383,,             13365915,                -38939,,,                 -6363
4960,2012年01月01日至2012年06月30日,,              9970707,,              8799925,              1170782,              1170782,,,                 91290,,                 66775,,                100933,                258998,                911784,,,                 24490,                 24490,,                 55637,,                 90225,                -16461,                895323,,                 94721,                800602,                800602,,,,,,                -25308,                775294,,                802494,                 -1892,,                777186,                 -1892,,                              1.81,                              1.81,,                              1.80,                              1.80,,              9970707,,              8799925,                -25308,,,                 -6363
4960,2012年01月01日至2012年03月31日,,              4989625,,              4390468,                599157,                599157,,,                 46720,,                 34524,,                 47250,                128494,                470663,,,,                 10994,,                 60808,,                 55903,                 11984,                482647,,                 20501,                462146,                462146,,,,,,                -30954,                431192,,                462146,                              0,,                431192,                              0,,                              1.04,                              1.04,,                              1.04,                              1.04,,              4989625,,              4390468,                -30954,,,                 -3915
