證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
3016,2014年01月01日至2014年03月31日,,                197491,,                171859,                 25632,                 25632,,,                  5273,,                 15044,,                  3806,                 24123,                  1509,,,                  8600,,                 13737,,                  2035,,                   -834,                 19468,                 20977,,                    575,                 20402,                 20402,,,                    293,,,                    293,                    293,                 20695,,                 20402,,                 20695,,                              0.22,,                              0.21,,,,
3016,2013年第3季,,                208549,,                181410,                 27139,                 27139,,,                  6046,,                 13619,,                  3780,                 23445,                  3694,,,                  7741,,                  2272,,                  2140,,                 -1977,                  5896,                  9590,,                    -87,                  9677,                  9677,,,,,,,                    -37,                  9640,,                  9677,,                  9640,,                              0.10,,                              0.10,                    -37,,,                              0
3016,2013年第2季,,                232961,,                200902,                 32059,                 32059,,,                  5245,,                 14743,,                  3760,                 23748,                  8311,,,                  4598,,                 -4622,,                  1962,,                 -1210,                 -3196,                  5115,,                    724,                  4391,                  4391,,,,,,,                   -421,                  3970,,                  4391,,                  3970,,                              0.05,,                              0.05,                   -421,,,                              0
3016,2013年度,,                823454,,                738700,                 84754,                 84754,,,                 23147,,                 57748,,                 15504,                 96399,                -11645,,,                 25198,,                -24629,,                  8146,,                 -7164,                -14741,                -26386,,                    841,                -27227,                -27227,,,,,,,                   -197,                -27424,,                -27227,,                -27424,,                             -0.29,,                             -0.29,                   -273,                     76,,
3016,2013年07月01日至2013年09月30日,,                208549,,                181410,                 27139,                 27139,,,                  6046,,                 13619,,                  3780,                 23445,                  3694,,,                  7741,,                  2272,,                  2140,,                 -1977,                  5896,                  9590,,                    -87,                  9677,                  9677,,,,,,,                    -37,                  9640,,                  9677,,                  9640,,                              0.10,,                              0.10,                    -37,,,
3016,2013年04月01日至2013年06月30日,,                232961,,                200902,                 32059,                 32059,,,                  5245,,                 14743,,                  3760,                 23748,                  8311,,,                  4598,,                 -4622,,                  1962,,                 -1210,                 -3196,                  5115,,                    724,                  4391,                  4391,,,,,,,                   -421,                  3970,,                  4391,,                  3970,,                              0.05,,                              0.05,                   -421,,,
3016,2013年01月01日至2013年12月31日,,                823454,,                738700,                 84754,                 84754,,,                 23147,,                 57748,,                 15504,                 96399,                -11645,,,                 25198,,                -24629,,                  8146,,                 -7164,                -14741,                -26386,,                    841,                -27227,                -27227,,,,,,,                   -197,                -27424,,                -27227,,                -27424,,                             -0.29,,                             -0.29,                   -273,                     76,,
3016,2013年01月01日至2013年09月30日,,                646123,,                563324,                 82799,                 82799,,,                 17272,,                 43562,,                 11495,                 72329,                 10470,,,                 17007,,                 -7608,,                  6065,,                 -4961,                 -1627,                  8843,,                    934,                  7909,                  7909,,,,,,,                 -1013,                  6896,,                  7909,,                  6896,,                              0.08,,                              0.08,                 -1013,,,                              0
3016,2013年01月01日至2013年06月30日,,                437574,,                381914,                 55660,                 55660,,,                 11226,,                 29943,,                  7715,                 48884,                  6776,,,                  9266,,                 -9880,,                  3925,,                 -2984,                 -7523,                   -747,,                  1021,                 -1768,                 -1768,,,,,,,                   -976,                 -2744,,                 -1768,,                 -2744,,                             -0.02,,                             -0.02,                   -976,,,                              0
3016,2013年01月01日至2013年03月31日,,                204613,,                181012,                 23601,                 23601,,,                  5981,,                 15200,,                  3955,                 25136,                 -1535,,,                  4668,,                 -5258,,                  1963,,                 -1774,                 -4327,                 -5862,,                    297,                 -6159,                 -6159,,,,,,,                   -555,                 -6714,,                 -6159,,                 -6714,,                             -0.07,,                             -0.07,                   -555,,,
3016,2012年07月01日至2012年09月30日,,                245444,,                208388,                 37056,                 37056,,,                  6409,,                 15143,,                  4424,                 25976,                 11080,,,                  4846,,                    444,,                  1886,,                 -1426,                  1978,                 13058,,                    399,                 12659,                 12659,,,,,,,                     70,                 12729,,                 12659,,                 12729,,                              0.13,,                              0.13,                     70,,,
3016,2012年04月01日至2012年06月30日,,                176709,,                164220,                 12489,                 12489,,,                  5975,,                 14954,,                  5398,                 26327,                -13838,,,                  4685,,                  4489,,                  1833,,                 -1081,                  6260,                 -7578,,                   -304,                 -7274,                 -7274,,,,,,,                    398,                 -6876,,                 -7274,,                 -6876,,                             -0.08,,                             -0.08,                    398,,,
3016,2012年01月01日至2012年12月31日,,                748276,,                685993,                 62283,                 62283,,,                 24690,,                 59847,,                 19615,                104152,                -41869,,,                 18816,,                -10774,,                  7695,,                 -6200,                 -5853,                -47722,,                    246,                -47968,                -47968,,,,,,,                 -2851,                -50819,,                -47968,,                -50819,,                             -0.51,,                             -0.51,                 -1199,                 -1652,,
3016,2012年01月01日至2012年09月30日,,                551108,,                512186,                 38922,                 38922,,,                 18073,,                 45274,,                 15431,                 78778,                -39856,,,                 14027,,                  2095,,                  5636,,                 -4453,                  6033,                -33823,,                     95,                -33918,                -33918,,,,,,,                    -22,                -33940,,                -33918,,                -33940,,                             -0.36,,                             -0.36,                    -22,,,
3016,2012年01月01日至2012年06月30日,,                305664,,                303798,                  1866,                  1866,,,                 11664,,                 30131,,                 11007,                 52802,                -50936,,,                  9181,,                  1651,,                  3750,,                 -3027,                  4055,                -46881,,                   -304,                -46577,                -46577,,,,,,,                    -92,                -46669,,                -46577,,                -46669,,                             -0.50,,                             -0.50,                    -92,,,
3016,2012年01月01日至2012年03月31日,,                128955,,                139578,                -10623,                -10623,,,                  5689,,                 15177,,                  5609,                 26475,                -37098,,,                  4496,,                 -2838,,                  1917,,                 -1946,                 -2205,                -39303,,                              0,                -39303,                -39303,,,,,,,                   -490,                -39793,,                -39303,,                -39793,,                             -0.42,,                             -0.42,                   -490,,,
