證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6257,2014年01月01日至2014年03月31日,,              1226660,,                840665,                385995,                385995,,,                  1097,,                 95710,,                 39231,                136038,                249957,,,                 17208,,                 21395,,                  6978,                 31625,                281582,,                 46711,                234871,                234871,,,                 -1217,                  3160,                  1943,                  1943,                236814,,                235124,                   -253,,                237067,                   -253,,                              0.65,                              0.65,,                              0.64,                              0.64,,,,
6257,2013年第3季,,              1393901,,                937706,                456195,                456195,,,                  1335,,                 92304,,                 44715,                138354,                317841,,,                 22439,,                -14377,,                  7169,                    893,                318734,,                 55890,                262844,                262844,,,,,,                 -5423,                257421,,                267885,                 -5041,,                262462,                 -5041,,                              0.74,                              0.74,,                              0.74,                              0.74,                 -4323,                 -1100,,
6257,2013年第2季,,              1366771,,                965274,                401497,                401497,,,                  1722,,                 89562,,                 37925,                129209,                272288,,,                 29977,,                  3647,,                  4796,                 28828,                301116,,                 53154,                247962,                247962,,,,,,                  6129,                254091,,                258906,                -10944,,                265035,                -10944,,                              0.72,                              0.72,,                              0.71,                              0.71,                  6679,                   -550,,
6257,2013年度,,              5239226,,              3766408,              1472818,              1472818,,,                  9334,,                381958,,                161756,                553048,                919770,,,                 99634,,                 -4327,,                 25423,                 69884,                989654,,                151058,                838596,                838596,,,,,,                 27147,                865743,,                877909,                -39313,,                899635,                -33892,,                              2.44,                              2.44,,                              2.41,                              2.41,                 25506,                   -275,                  1916,
6257,2013年07月01日至2013年09月30日,,              1393901,,                937706,                456195,                456195,,,                  1335,,                 92304,,                 44715,                138354,                317841,,,                 22439,,                -14377,,                  7169,                    893,                318734,,                 55890,                262844,                262844,,,,,,                 -5423,                257421,,                267885,                 -5041,,                262462,                 -5041,,                              0.74,                              0.74,,                              0.74,                              0.74,                 -4323,                 -1100,,
6257,2013年04月01日至2013年06月30日,,              1366771,,                965274,                401497,                401497,,,                  1722,,                 89562,,                 37925,                129209,                272288,,,                 29977,,                  3647,,                  4796,                 28828,                301116,,                 53154,                247962,                247962,,,,,,                  6129,                254091,,                258906,                -10944,,                265035,                -10944,,                              0.72,                              0.72,,                              0.71,                              0.71,                  6679,                   -550,,
6257,2013年01月01日至2013年12月31日,,              5239226,,              3766408,              1472818,              1472818,,,                  9334,,                381958,,                161756,                553048,                919770,,,                 99634,,                 -4327,,                 25423,                 69884,                989654,,                151058,                838596,                838596,,,,,,                 27147,                865743,,                877909,                -39313,,                899635,                -33892,,                              2.44,                              2.44,,                              2.41,                              2.41,                 25506,                   -275,                  1916,                              0
6257,2013年01月01日至2013年09月30日,,              3966885,,              2850452,              1116433,              1116433,,,                  5076,,                280925,,                117782,                403783,                712650,,,                 72580,,                  9281,,                 17197,                 64664,                777314,,                121155,                656159,                656159,,,,,,                 12604,                668763,,                683382,                -27223,,                695986,                -27223,,                              1.90,                              1.90,,                              1.88,                              1.88,                 13979,                 -1375,,
6257,2013年01月01日至2013年06月30日,,              2572984,,              1912746,                660238,                660238,,,                  3741,,                188621,,                 73067,                265429,                394809,,,                 50141,,                 23658,,                 10028,                 63771,                458580,,                 65265,                393315,                393315,,,,,,                 18027,                411342,,                415497,                -22182,,                433524,                -22182,,                              1.16,                              1.16,,                              1.14,                              1.14,                 18302,                   -275,,
6257,2013年01月01日至2013年03月31日,,              1206213,,                947472,                258741,                258741,,,                  2019,,                 99059,,                 35142,                136220,                122521,,,                 20164,,                 20011,,                  5232,                 34943,                157464,,                 12111,                145353,                145353,,,,,,                 11898,                157251,,                156591,                -11238,,                168489,                -11238,,                              0.44,                              0.44,,                              0.43,                              0.43,                 11623,                    275,,
6257,2012年07月01日至2012年09月30日,,              1314345,,                866641,                447704,                447704,,,                  3895,,                 94309,,                 38582,                136786,                310918,,,                 13952,,                -27019,,                  4223,                -17290,                293628,,                 32970,                260658,                260658,,,,,,                 -9363,                251295,,                267066,                 -6408,,                257703,                 -6408,,                              0.75,                              0.75,,                              0.74,                              0.74,                 -9567,                    204,,
6257,2012年04月01日至2012年06月30日,,              1170049,,                802121,                367928,                367928,,,                              0,,                 79234,,                 35615,                114849,                253079,,,                 16232,,                 36006,,                  3277,                 48961,                302040,,                 50392,                251648,                251648,,,,,,                 -4656,                246992,,                257264,                 -5616,,                252608,                 -5616,,                              0.72,                              0.72,,                              0.71,                              0.71,                  3517,                 -8173,,
6257,2012年01月01日至2012年12月31日,,              4893095,,              3429679,              1463416,              1463416,,,                  6969,,                328762,,                154747,                490478,                972938,,,                 71456,,                 38093,,                 18936,                 90613,              1063551,,                113630,                949921,                949921,,,,,,                -30072,                919849,,                987322,                -37401,,                962876,                -43027,,                              2.76,                              2.76,,                              2.70,                              2.70,                -19491,                 -2129,                -10183,                 -1731
6257,2012年01月01日至2012年09月30日,,              3523193,,              2433348,              1089845,              1089845,,,                  3895,,                269603,,                107748,                381246,                708599,,,                 40885,,                 26302,,                 13443,                 53744,                762343,,                107453,                654890,                654890,,,,,,                -16383,                638507,,                670953,                -16063,,                654570,                -16063,,                              1.88,                              1.88,,                              1.84,                              1.84,                -17893,                  1510,,
6257,2012年01月01日至2012年06月30日,,              2208848,,              1566707,                642141,                642141,,,                              0,,                175294,,                 69166,                244460,                397681,,,                 26933,,                 53321,,                  9220,                 71034,                468715,,                 74483,                394232,                394232,,,,,,                 -7020,                387212,,                403887,                 -9655,,                396867,                 -9655,,                              1.13,                              1.13,,                              1.11,                              1.11,                 -8326,                  1306,,
6257,2012年01月01日至2012年03月31日,,              1038799,,                764586,                274213,                274213,,,                              0,,                 96060,,                 33551,                129611,                144602,,,                 10701,,                 17315,,                  5943,                 22073,                166675,,                 24091,                142584,                142584,,,,,,                 -2364,                140220,,                146623,                 -4039,,                144259,                 -4039,,                              0.41,                              0.41,,                              0.41,                              0.41,                -11843,                  9479,,
