證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2002,2014年01月01日至2014年03月31日,,             92415530,,             84305462,              8110068,,              8110068,,,              1274223,,              1678073,,                440148,              3392444,              4717624,,,                612128,,                397891,,                918561,,                256002,                347460,              5065084,,                794082,              4271002,              4271002,,,                872742,                 16431,                100345,,               -126756,                 32463,                830299,                830299,              5101301,,              3621053,                649949,,              4227210,                874091,,                              0.23,                              0.23,,                              0.23,                              0.23,,,,,,,,,
2002,2013年第3季,,             87260040,,             78329210,              8930830,,              9319142,,,              1245964,,              1576822,,                452685,              3275471,              6043671,,,                480461,,                 48563,,                775417,,                 31048,               -215345,              5828326,,              1544009,              4284317,              4284317,,,,,,,,,,                232146,              4516463,,              3778763,                505554,,              4212497,                303966,,                              0.24,                              0.24,,                              0.24,                              0.24,                388312,               -735260,                786379,                 84728,                              0,,                100174,,                  3875
2002,2013年第2季,,             84695287,,             74764910,              9930377,,              9938186,,,              1299143,,              1509623,,                531326,              3340092,              6598094,,,                335121,,                 64951,,                661956,,                195440,                -66444,              6531650,,              1174019,              5357631,              5357631,,,,,,,,,,               -426888,              4930743,,              4885757,                471874,,              4419204,                511539,,                              0.32,                              0.32,,                              0.32,                              0.32,                  7809,               -224643,               -151273,                 70148,                              0,,               -107205,,                 13915
2002,2013年度,,            347828838,,            310548923,             37279915,,             37684410,,,              4992404,,              6286297,,              1852759,             13131460,             24552950,,,              1618710,,               -258031,,              2985370,,                280793,             -1343898,             23209052,,              4854585,             18354467,             18354467,,,,,,,,,,              4003537,             22358004,,             15981540,              2372927,,             19506129,              2851875,,                              1.03,                              1.03,,                              1.03,                              1.03,                404495,                218254,              3550104,                340696,                153606,,               -156363,               -102760,
2002,2013年07月01日至2013年09月30日,,             87260040,,             78329210,              8930830,,              9319142,,,              1245964,,              1576822,,                452685,              3275471,              6043671,,,                480461,,                 48563,,                775417,,                 31048,               -215345,              5828326,,              1544009,              4284317,              4284317,,,,,,,,,,                232146,              4516463,,              3778763,                505554,,              4212497,                303966,,                              0.25,                              0.25,,                              0.25,                              0.25,                388312,               -735260,                786379,                 84728,                              0,,                100174,,                  3875
2002,2013年04月01日至2013年06月30日,,             84695287,,             74764910,              9930377,,              9938186,,,              1299143,,              1509623,,                531326,              3340092,              6598094,,,                335121,,                 64951,,                661956,,                195440,                -66444,              6531650,,              1174019,              5357631,              5357631,,,,,,,,,,               -426888,              4930743,,              4885757,                471874,,              4419204,                511539,,                              0.32,                              0.32,,                              0.32,                              0.32,                  7809,               -224643,               -151273,                 70148,                              0,,               -107205,,                 13915
2002,2013年01月01日至2013年12月31日,,            347828838,,            310548923,             37279915,,             37684410,,,              4992404,,              6286297,,              1852759,             13131460,             24552950,,,              1618710,,               -258031,,              2985370,,                280793,             -1343898,             23209052,,              4854585,             18354467,             18354467,,,,,,,,,,              4003537,             22358004,,             15981540,              2372927,,             19506129,              2851875,,                              1.05,                              1.05,,                              1.05,                              1.05,                404495,                218254,              3550104,                340696,                153606,,               -156363,               -102760,
2002,2013年01月01日至2013年09月30日,,            260415842,,            232468026,             27947816,,             28351746,,,              3841541,,              4554061,,              1404276,              9799878,             18551868,,,              1325548,,                 -2879,,              2100388,,                264480,               -513239,             18038629,,              3519115,             14519514,             14519514,,,,,,,,,,              2068126,             16587640,,             12457116,              2062398,,             14382173,              2205467,,                              0.81,                              0.81,,                              0.80,                              0.80,                403930,               -132980,              1954965,                299029,                 -1130,,                  8745,,                 60503
2002,2013年01月01日至2013年06月30日,,            173155802,,            154138816,             19016986,,             19032604,,,              2595577,,              2977239,,                951591,              6524407,             12508197,,,                845087,,                -51442,,              1324971,,                233432,               -297894,             12210303,,              1975106,             10235197,             10235197,,,,,,,,,,              1835980,             12071177,,              8678353,              1556844,,             10169676,              1901501,,                              0.57,                              0.57,,                              0.57,                              0.57,                 15618,                602280,              1168586,                214301,                 -1130,,                -91429,,                 56628
2002,2013年01月01日至2013年03月31日,,             88460515,,             79373906,              9086609,,              9094418,,,              1296434,,              1467616,,                420265,              3184315,              5910103,,,                509966,,               -116393,,                663015,,                 37992,               -231450,              5678653,,                801087,              4877566,              4877566,,,,,,,,,,              2262868,              7140434,,              3792596,              1084970,,              5750472,              1389962,,                              0.25,                              0.25,,                              0.25,                              0.25,                  7809,                826923,              1319859,                144153,                 -1130,,                 15776,,                 42713
2002,2012年07月01日至2012年09月30日,,             83811650,,             79538185,              4273465,,              4281274,,,              1090010,,                952053,,                395366,              2437429,              1843845,,,                477867,,                188223,,                730096,,               -132674,               -196680,              1647165,,                413218,              1233947,              1233947,,,,,,,,,,                 16758,              1250705,,              1874858,               -640911,,              1986212,               -735507,,                              0.12,                              0.12,,                              0.12,                              0.12,                  7809,               -130178,                286513,               -196198,                              0,,                 22948,,                -33673
2002,2012年04月01日至2012年06月30日,,             96747294,,             89978744,              6768550,,              6776359,,,              1128430,,              1345724,,                444639,              2918793,              3857566,,,                439381,,                  3682,,                708259,,                 39975,               -225221,              3632345,,                578098,              3054247,              3054247,,,,,,,,,,               -831899,              2222348,,              2662399,                391848,,              1848882,                373466,,                              0.18,                              0.18,,                              0.17,                              0.17,                  7809,                -62464,               -953937,                219018,                              0,,                 -8847,,                 25669
2002,2012年01月01日至2012年12月31日,,            358336500,,            338990574,             19345926,,             19377162,,,              4582645,,              5117423,,              1683449,             11383517,              7993645,,,              1749663,,              1013975,,              2790260,,               -228083,               -254705,              7738940,,              1305382,              6433558,              6433558,,,,,,,,,,             -1251405,              5182153,,              5894806,                538752,,              4764269,                417884,,                              0.39,                              0.39,,                              0.39,                              0.39,                 31236,               -756488,                 -6683,               -725196,                 98543,,                 28009,                110410,
2002,2012年01月01日至2012年09月30日,,            274421411,,            260501192,             13920219,,             13943646,,,              3318640,,              3553692,,              1242806,              8115138,              5828508,,,              1247413,,                111499,,              2023278,,               -249725,               -914091,              4914417,,                934104,              3980313,              3980313,,,,,,,,,,                 81503,              4061816,,              3834741,                145572,,              4073431,                -11615,,                              0.25,                              0.25,,                              0.25,                              0.25,                 23427,               -509225,                927957,               -446824,                              0,,                 26031,,                -83564
2002,2012年01月01日至2012年06月30日,,            190609761,,            180963007,              9646754,,              9662372,,,              2228630,,              2601639,,                847440,              5677709,              3984663,,,                769546,,                -76724,,              1293182,,               -117051,               -717411,              3267252,,                520886,              2746366,              2746366,,,,,,,,,,                 64745,              2811111,,              1959883,                786483,,              2087219,                723892,,                              0.13,                              0.13,,                              0.13,                              0.13,                 15618,               -379047,                641444,               -250626,                              0,,                  3083,,                -49891
2002,2012年01月01日至2012年03月31日,,             93862467,,             90984263,              2878204,,              2886013,,,              1100200,,              1255915,,                402801,              2758916,                127097,,,                330165,,                -80406,,                584923,,               -157026,               -492190,               -365093,,                -57212,               -307881,               -307881,,,,,,,,,,                896644,                588763,,               -702516,                394635,,                238337,                350426,,                             -0.05,                             -0.05,,                             -0.05,                             -0.05,                  7809,               -316583,              1595381,               -469644,                              0,,                 11930,,                -75560
