證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）
9929,2013年07月01日至2013年09月30日,,                325332,,                316434,                  8898,                  8898,,,                 10106,,                 21718,                 31824,                -22926,,,                  2742,,                 -1546,,                 10842,                 -9646,                -32572,,                      7,                -32579,                -32579,,,,,,                 -7527,                -40106,,                -28049,                 -4530,,                -30346,                 -9760,,,                             -0.19,,,                325513,                325513,                    181,                325332,,                316434,                316434,                  2742,                      7,                 -7527,,
9929,2013年04月01日至2013年06月30日,,                331241,,                313986,                 17255,                 17255,,,                 10534,,                 18942,                 29476,                -12221,,,                  2892,,                   -119,,                 10480,                 -7707,                -19928,,                     30,                -19958,                -19958,,,,,,                 11241,                 -8717,,                -14166,                 -5792,,                 -5318,                 -3399,,,                             -0.10,,,                331581,                331581,                    340,                331241,,                313986,                313986,                  2892,                     30,                 11241,,
9929,2013年01月01日至2013年12月31日,,              1338779,,              1285477,                 53302,                 53302,,,                 41633,,                192272,                233905,               -180603,,,                 10040,,                 -1758,,                 41680,                -33398,               -214001,,                     22,               -214023,               -214023,,,,,,                 30975,               -183048,,               -158373,                -55650,,               -127871,                -55177,,,                             -1.06,,,              1339986,              1339986,                  1207,              1338779,,              1285477,              1285477,                 10040,                     22,                 26222,                      6,                  4747
9929,2013年01月01日至2013年09月30日,,                989962,,                954023,                 35939,                 35939,,,                 31158,,                172300,                203458,               -167519,,,                  7634,,                 -1703,,                 30986,                -25055,               -192574,,                     40,               -192614,               -192614,,,,,,                 19001,               -173613,,               -136782,                -55832,,               -118288,                -55325,,,                             -0.92,,,                990784,                990784,                    822,                989962,,                954023,                954023,                  7634,                     40,                 19001,,
9929,2013年01月01日至2013年06月30日,,                664630,,                637589,                 27041,                 27041,,,                 21052,,                150582,                171634,               -144593,,,                  4893,,                   -157,,                 20144,                -15408,               -160001,,                     34,               -160035,               -160035,,,,,,                 26528,               -133507,,               -108733,                -51302,,                -87942,                -45565,,,                             -0.73,,,                665271,                665271,                    641,                664630,,                637589,                637589,                  4893,                     34,                 26528,,
9929,2013年01月01日至2013年03月31日,,                333388,,                323603,                  9785,                  9785,,,                 10517,,                131640,                142157,               -132372,,,                  2000,,                    -38,,                  9664,                 -7702,               -140074,,                      3,               -140077,               -140077,,,,,,                 15287,               -124790,,                -94567,                -45510,,                -82624,                -42166,,,                             -0.63,,,                333690,                333690,                    302,                333388,,                323603,                323603,                  2000,                      3,                 15287,,
9929,2012年07月01日至2012年09月30日,,                393612,,                369654,                 23958,                 23958,,,                 12838,,                 23707,                 36545,                -12587,,,                  2813,,                     27,,                  9630,                 -6790,                -19377,,                      2,                -19379,                -19379,,,,,,                 -6148,                -25527,,                -15564,                 -3815,,                -20379,                 -5148,,,                             -0.10,,,                394045,                394045,                    433,                393612,,                369654,                369654,                  2813,                      2,                 -6148,,
9929,2012年04月01日至2012年06月30日,,                412635,,                378080,                 34555,                 34555,,,                 11394,,                 28747,                 40141,                 -5586,,,                  5375,,                     33,,                  9965,                 -4557,                -10143,,                     35,                -10178,                -10178,,,,,,                  2317,                 -7861,,                   -297,                 -9881,,                  1560,                 -9421,,,                              0.00,,,                413281,                413281,                    646,                412635,,                378080,                378080,                  5375,                     35,                  2317,,
9929,2012年01月01日至2012年12月31日,,              1621286,,              1520152,                101134,                101134,,,                 43713,,                121196,                164909,                -63775,,,                 14708,,                   -476,,                 39801,                -25569,                -89344,,                     31,                -89375,                -89375,,,,,,                -28571,               -117946,,                -68611,                -20764,,                -92094,                -25852,,,                             -0.46,,,              1624350,              1624350,                  3064,              1621286,,              1520152,              1520152,                 14708,                     31,                -22896,                              0,                 -5675
9929,2012年01月01日至2012年09月30日,,              1207767,,              1133010,                 74757,                 74757,,,                 34698,,                 83450,                118148,                -43391,,,                 11545,,                    257,,                 30496,                -18694,                -62085,,                     38,                -62123,                -62123,,,,,,                -22740,                -84863,,                -40849,                -21274,,                -58499,                -26364,,,                             -0.27,,,              1209158,              1209158,                  1391,              1207767,,              1133010,              1133010,                 11545,                     38,                -22740,,
9929,2012年01月01日至2012年06月30日,,                814155,,                763356,                 50799,                 50799,,,                 21860,,                 59743,                 81603,                -30804,,,                  8732,,                    230,,                 20866,                -11904,                -42708,,                     36,                -42744,                -42744,,,,,,                -16591,                -59335,,                -25285,                -17459,,                -38120,                -21215,,,                             -0.17,,,                815112,                815112,                    957,                814155,,                763356,                763356,                  8732,                     36,                -16591,,
9929,2012年01月01日至2012年03月31日,,                401520,,                385276,                 16244,                 16244,,,                 10466,,                 30996,                 41462,                -25218,,,                  3357,,                    198,,                 10901,                 -7346,                -32564,,                      2,                -32566,                -32566,,,,,,                -18909,                -51475,,                -24988,                 -7578,,                -39680,                -11795,,,                             -0.17,,,                401831,                401831,                    311,                401520,,                385276,                385276,                  3357,                      2,                -18909,,
