證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8072,2014年01月01日至2014年03月31日,,,,                460890,                460890,                    768,                460122,                460122,,                308272,                151850,                151850,,,                 30324,,                 15538,,                 26372,                 72234,                 79616,,,,                 12123,,                 14461,                 26584,                106200,,                 18344,                 87856,                 87856,,,,,,                 87856,,                 86623,                  1233,,                 86623,                  1233,,                              0.87,                              0.87,,                              0.86,                              0.86,,,
8072,2013年第3季,,,,                704392,                704392,                    596,                703796,                703796,,                437627,                266169,                266169,,,                 34708,,                 15337,,                 23187,                 73232,                192937,,,                 15630,                 15630,,                 -8493,                  7137,                200074,,                 40451,                159623,                159623,,,,,                              0,                159623,,                158406,                  1217,,                158406,                  1217,,                              1.58,                              1.58,,                              1.58,                              1.58,                              0,,
8072,2013年第2季,,,,                720314,                720314,                    492,                719822,                719822,,                441625,                278197,                278197,,,                 35874,,                 16332,,                 28421,                 80627,                197570,,,                 12213,                 12213,,                  6246,                 18459,                216029,,                 41563,                174466,                174466,,,,,                              0,                174466,,                173516,                    950,,                173516,                    950,,                              1.74,                              1.74,,                              1.73,                              1.73,                              0,,
8072,2013年度,,,,              2638850,              2638850,                  1723,              2637127,              2637127,,              1644146,                992981,                992981,,,                142767,,                 66526,,                115408,                324701,                668280,,,                 58976,                 58976,,                -77713,                -18737,                649543,,                133226,                516317,                516317,,,,,                   -860,                515457,,                512055,                  4262,,                511195,                  4262,,                              5.12,                              5.12,,                              5.07,                              5.07,                 -1673,                    979,                    166
8072,2013年07月01日至2013年09月30日,,,,                704392,                704392,                    596,                703796,                703796,,                437627,                266169,                266169,,,                 34708,,                 15337,,                 23187,                 73232,                192937,,,                 15630,                 15630,,                 -8493,                  7137,                200074,,                 40451,                159623,                159623,,,,,                              0,                159623,,                158406,                  1217,,                158406,                  1217,,                              1.58,                              1.58,,                              1.58,                              1.58,                              0,,
8072,2013年04月01日至2013年06月30日,,,,                720314,                720314,                    492,                719822,                719822,,                441625,                278197,                278197,,,                 35874,,                 16332,,                 28421,                 80627,                197570,,,                 12213,                 12213,,                  6246,                 18459,                216029,,                 41563,                174466,                174466,,,,,                              0,                174466,,                173516,                    950,,                173516,                    950,,                              1.74,                              1.74,,                              1.73,                              1.73,                              0,,
8072,2013年01月01日至2013年12月31日,,,,              2638850,              2638850,                  1723,              2637127,              2637127,,              1644146,                992981,                992981,,,                142767,,                 66526,,                115408,                324701,                668280,,,                 58976,                 58976,,                -77713,                -18737,                649543,,                133226,                516317,                516317,,,,,                   -860,                515457,,                512055,                  4262,,                511195,                  4262,,                              5.12,                              5.12,,                              5.07,                              5.07,                 -1673,                    979,                    166
8072,2013年01月01日至2013年09月30日,,,,              2097042,              2097042,                  1542,              2095500,              2095500,,              1301683,                793817,                793817,,,                105591,,                 49220,,                 81960,                236771,                557046,,,                 38833,                 38833,,                 19617,                 58450,                615496,,                115600,                499896,                499896,,,,,                 -1673,                498223,,                496729,                  3167,,                495056,                  3167,,                              4.97,                              4.97,,                              4.93,                              4.93,                 -1673,,
8072,2013年01月01日至2013年06月30日,,,,              1392650,              1392650,                    946,              1391704,              1391704,,                864056,                527648,                527648,,,                 70883,,                 33883,,                 58773,                163539,                364109,,,                 23203,                 23203,,                 28110,                 51313,                415422,,                 75149,                340273,                340273,,,,,                 -1673,                338600,,                338323,                  1950,,                336650,                  1950,,                              3.38,                              3.38,,                              3.35,                              3.35,                 -1673,,
8072,2013年01月01日至2013年03月31日,,,,                672336,                672336,                    454,                671882,                671882,,                422431,                249451,                249451,,,                 35009,,                 17551,,                 30352,                 82912,                166539,,,,                 10990,,                 21864,                 32854,                199393,,                 33586,                165807,                165807,,,,,                 -1673,                164134,,                164807,                  1000,,                163134,                  1000,,                              1.65,                              1.65,,                              1.64,                              1.64,                 -1673,,
8072,2012年07月01日至2012年09月30日,,,,                857140,                857140,                    655,                856485,                856485,,                528154,                328331,                328331,,,                 37341,,                 16150,,                 26258,                 79749,                248582,,,                 15453,                 15453,,                 -4619,                 10834,                259416,,                 44095,                215321,                215321,,,,,                    125,                215446,,                214280,                  1041,,                214405,                  1041,,                              2.14,                              2.14,,                              2.13,                              2.13,                    125,,
8072,2012年04月01日至2012年06月30日,,,,                867399,                867399,                    482,                866917,                866917,,                536857,                330060,                330060,,,                 39186,,                 16720,,                 25969,                 81875,                248185,,,                 12123,                 12123,,                  6025,                 18148,                266333,,                 45998,                220335,                220335,,,,,                   -944,                219391,,                219453,                    882,,                218509,                    882,,                              2.20,                              2.20,,                              2.18,                              2.18,                   -944,,
8072,2012年01月01日至2012年12月31日,,,,              3279228,              3279228,                  1892,              3277336,              3277336,,              2041894,              1235442,              1235442,,,                145843,,                 61075,,                106119,                313037,                922405,,,                 49059,                 49059,,                -68285,                -19226,                903179,,                164890,                738289,                738289,,,,,                   -823,                737466,,                734823,                  3466,,                734000,                  3466,,                              7.35,                              7.35,,                              7.28,                              7.28,                   -434,                   -468,                    -79
8072,2012年01月01日至2012年09月30日,,,,              2569684,              2569684,                  1386,              2568298,              2568298,,              1600832,                967466,                967466,,,                114565,,                 48652,,                 78184,                241401,                726065,,,                 38377,                 38377,,                -10567,                 27810,                753875,,                139265,                614610,                614610,,,,,                   -554,                614056,,                611974,                  2636,,                611420,                  2636,,                              6.12,                              6.12,,                              6.06,                              6.06,                   -554,,
8072,2012年01月01日至2012年06月30日,,,,              1712544,              1712544,                    731,              1711813,              1711813,,              1072678,                639135,                639135,,,                 77224,,                 32502,,                 51926,                161652,                477483,,,                 22924,                 22924,,                 -5948,                 16976,                494459,,                 95170,                399289,                399289,,,,,                   -679,                398610,,                397694,                  1595,,                397015,                  1595,,                              3.98,                              3.98,,                              3.94,                              3.94,                   -679,,
8072,2012年01月01日至2012年03月31日,,,,                845145,                845145,                    249,                844896,                844896,,                535821,                309075,                309075,,,                 38038,,                 15782,,                 25957,                 79777,                229298,,,,                 10801,,                -11973,                 -1172,                228126,,                 49172,                178954,                178954,,,,,                    265,                179219,,                178241,                    713,,                178506,                    713,,                              1.78,                              1.78,,                              1.77,                              1.77,                    265,,
