證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）
2025,2013年度,,              4148699,,              4408889,               -260190,               -260190,,,                 44670,,                 43840,                 88510,,                 -1685,               -350385,,,                 18092,,                 19528,,                 21802,                 15818,               -334567,,                      5,               -334572,               -334572,,,,,,,                 35042,               -299530,,               -334575,                      3,,               -299548,                     18,,                             -1.19,                  2640,                 30766,                  1971,                    335,                             -1.19
2025,2013年07月01日至2013年09月30日,,              1006786,,              1085463,                -78677,                -78677,,,                 10657,,                 11162,                 21819,,,               -100496,,,                 12604,,                 24850,,                  5575,                 31879,                -68617,,                              0,                -68617,                -68617,,,,,,,                 35452,                -33165,,                -68619,                      2,,                -33167,                      2,,                             -0.24,                 -1497,                 36949,,,                             -0.24
2025,2013年04月01日至2013年06月30日,,                925270,,              1024943,                -99673,                -99673,,,                 10651,,                 11586,                 22237,,,               -121910,,,                  1869,,                 -5013,,                  5823,                 -8967,               -130877,,                              0,               -130877,               -130877,,,,,,,                 -5430,               -136307,,               -130878,                      1,,               -136308,                      1,,                             -0.47,                    584,                 -6014,,,                             -0.47
2025,2013年01月01日至2013年12月31日,,              4148699,,              4408889,               -260190,               -260190,,,                 44670,,                 45582,                 90252,,,               -350442,,,                 18149,,                 19528,,                 21802,                 15875,               -334567,,                      5,               -334572,               -334572,,,,,,,                 35042,               -299530,,               -334575,                      3,,               -299548,                     18,,                             -1.19,                  2640,                 30766,                  1971,                    335,                             -1.19
2025,2013年01月01日至2013年09月30日,,              2952748,,              3177780,               -225032,               -225032,,,                 31267,,                 31510,                 62777,,                 -1278,               -289087,,,                 16385,,                  8315,,                 16442,                  8258,               -280829,,                              0,               -280829,               -280829,,,,,,,                 52475,               -228354,,               -280831,                      2,,               -228356,                      2,,                             -1.00,                  1800,                 50675,,                              0,
2025,2013年01月01日至2013年06月30日,,              1945962,,              2092317,               -146355,               -146355,,,                 20610,,                 21654,                 42264,,,               -188619,,,                  3809,,                -16535,,                 10867,                -23593,               -212212,,                              0,               -212212,               -212212,,,,,,,                 17023,               -195189,,               -212212,                              0,,               -195189,                              0,,                             -0.75,                  3297,                 13726,,,                             -0.75
2025,2013年01月01日至2013年03月31日,,              1020692,,              1067374,                -46682,                -46682,,,                  9959,,                 10068,                 20027,,,                -66709,,,                  1940,,                -11522,,                  5044,                -14626,                -81335,,,                -81335,                -81335,,,,,,,                 22453,                -58882,,                -81334,                     -1,,                -58881,                     -1,,                             -0.29,                  2713,                 19740,,,                             -0.29
2025,2012年07月01日至2012年09月30日,,                602798,,                712632,               -109834,               -109834,,,                  7672,,                 10800,                 18472,,,               -128306,,,                 11198,,                 20724,,                  6199,                 25723,               -102583,,                              0,               -102583,               -102583,,,,,,,                 43581,                -59002,,               -102588,                      5,,                -59007,                      5,,                             -0.36,                 -1971,                 45552,,,                             -0.36
2025,2012年04月01日至2012年06月30日,,                772642,,                913073,               -140431,               -140431,,,                  6845,,                 11618,                 18463,,,               -158894,,,                    703,,                -15200,,                  4799,                -19296,               -178190,,                              0,               -178190,               -178190,,,,,,,                 -5203,               -183393,,               -178186,                     -4,,               -183389,                     -4,,                             -0.63,                  1253,                 -6456,,,                             -0.63
2025,2012年01月01日至2012年12月31日,,              2704001,,              3106535,               -402534,               -402534,,,                 28752,,                 48258,                 77010,,,               -479544,,,                 14437,,                 45563,,                 18748,                 41252,               -438292,,                    113,               -438405,               -438405,,,,,,,                 26213,               -412192,,               -438408,                      3,,               -412195,                      3,,                             -1.56,                 -4073,                 30068,                    263,                     45,                             -1.56
2025,2012年01月01日至2012年09月30日,,              2064959,,              2395001,               -330042,               -330042,,,                 22938,,                 35163,                 58101,,,               -388143,,,                 13155,,                 42059,,                 15910,                 39304,               -348839,,                              0,               -348839,               -348839,,,,,,,                 74272,               -274567,,               -348842,                      3,,               -274570,                      3,,                             -1.24,                 -3184,                 77456,,,                             -1.24
2025,2012年01月01日至2012年06月30日,,              1462161,,              1682369,               -220208,               -220208,,,                 15266,,                 24363,                 39629,,,               -259837,,,                  1957,,                 21335,,                  9711,                 13581,               -246256,,                              0,               -246256,               -246256,,,,,,,                 30691,               -215565,,               -246254,                     -2,,               -215563,                     -2,,                             -0.88,                 -1213,                 31904,,,                             -0.88
2025,2012年01月01日至2012年03月31日,,                689519,,                769296,                -79777,                -79777,,,                  8421,,                 12745,                 21166,,,               -100943,,,                  1254,,                 36535,,                  4912,                 32877,                -68066,,                              0,                -68066,                -68066,,,,,,,                 35894,                -32172,,                -68068,                      2,,                -32174,                      2,,                             -0.24,                 -2466,                 38360,,,                             -0.24
