證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2349,2014年01月01日至2014年03月31日,,              3130197,,              3550030,               -419833,               -419833,,,                242650,,                155683,,                110144,                508477,               -928310,,,                 78602,,                 17616,,                 68139,,                 -7534,                 20545,               -907765,,                 34507,               -942272,               -942272,,,                 30888,                159828,,                  1428,                    506,                191638,                191638,               -750634,,               -853515,                -88757,,               -727699,                -22935,,                             -0.33,,,,,,
2349,2013年第3季,,              3598590,,              3689085,                -90495,                -90495,,,                252124,,                210665,,                127699,                590488,               -680983,,,                 45502,,                 51411,,                 74863,,                 -1841,                 20209,               -660774,,                    217,               -660991,               -660991,,,,,,,,,               -179018,               -840009,,               -575933,                -85058,,               -754204,                -85805,,                             -0.22,               -108010,                -74296,,,                  5560,                  2272
2349,2013年第2季,,              3861546,,              3990924,               -129378,               -129378,,,                230421,,                112677,,                106085,                449183,               -578561,,,                 68683,,                -58534,,                 76197,,                 -3967,                -70015,               -648576,,                 35566,               -684142,               -684142,,,,,,,,,                 82435,               -601707,,               -614631,                -69511,,               -588729,                -12978,,                             -0.24,                109741,                -29205,,,                    935,                   -964
2349,2013年度,,             14753588,,             15355991,               -602403,               -602403,,,              1002495,,                766033,,                498658,              2267186,             -2869589,,,                112464,,               -134560,,                307931,,                -22022,               -352049,             -3221638,,                254970,             -3476608,             -3476608,,,,,,,,,                592953,             -2883655,,             -3126948,               -349660,,             -2565949,               -317706,,                             -1.22,                353005,                246441,                -20572,,                 14079,
2349,2013年07月01日至2013年09月30日,,              3598590,,              3689085,                -90495,                -90495,,,                252124,,                210665,,                127699,                590488,               -680983,,,                 45502,,                 51411,,                 74863,,                 -1841,                 20209,               -660774,,                    217,               -660991,               -660991,,,,,,,,,               -179018,               -840009,,               -575933,                -85058,,               -754204,                -85805,,                             -0.22,               -108010,                -74296,,,                  5560,                  2272
2349,2013年04月01日至2013年06月30日,,              3861546,,              3990924,               -129378,               -129378,,,                230421,,                112677,,                106085,                449183,               -578561,,,                 68683,,                -58534,,                 76197,,                 -3967,                -70015,               -648576,,                 35566,               -684142,               -684142,,,,,,,,,                 82435,               -601707,,               -614631,                -69511,,               -588729,                -12978,,                             -0.24,                109741,                -29205,,,                    935,                   -964
2349,2013年01月01日至2013年12月31日,,             14753588,,             15355991,               -602403,               -602403,,,              1175483,,                766033,,                325670,              2267186,             -2869589,,,                112464,,               -134560,,                307931,,                -22022,               -352049,             -3221638,,                254970,             -3476608,             -3476608,,,,,,,,,                592953,             -2883655,,             -3126948,               -349660,,             -2565949,               -317706,,                             -1.22,                355802,                246441,                -20572,,                 14079,                  2797
2349,2013年01月01日至2013年09月30日,,             11116995,,             11400296,               -283301,               -283301,,,                699073,,                528591,,                349427,              1577091,             -1860392,,,                134727,,                  5440,,                234242,,                 -9999,               -104074,             -1964466,,                 61136,             -2025602,             -2025602,,,,,,,,,                159630,             -1865972,,             -1882167,               -143435,,             -1750343,               -115629,,                             -0.73,                173345,                -26350,,,                 13683,                  1048
2349,2013年01月01日至2013年06月30日,,              7518405,,              7711211,               -192806,               -192806,,,                446949,,                317926,,                221728,                986603,             -1179409,,,                 89225,,                -45971,,                159379,,                 -8158,               -124283,             -1303692,,                 60919,             -1364611,             -1364611,,,,,,,,,                338648,             -1025963,,             -1306234,                -58377,,               -996139,                -29824,,                             -0.51,                281355,                 47946,,,                  8123,                 -1224
2349,2013年01月01日至2013年03月31日,,              3656859,,              3720287,                -63428,                -63428,,,                216528,,                205249,,                115643,                537420,               -600848,,,                 20542,,                 12563,,                 83182,,                 -4191,                -54268,               -655116,,                 25353,               -680469,               -680469,,,,,,,,,                256213,               -424256,,               -691603,                 11134,,               -407410,                -16846,,                             -0.26,                171614,                 77151,,,                  7188,                   -260
2349,2012年07月01日至2012年09月30日,,              4227054,,              3831986,                395068,                395068,,,                289986,,                192938,,                185064,                667988,               -272920,,,                136955,,               -136039,,                 91224,,                 -5465,                -95773,               -368693,,                 11824,               -380517,               -380517,,,,,,,,,               -161246,               -541763,,               -347366,                -33151,,               -482686,                -59077,,                             -0.13,               -158302,                -21877,,,                   -300,                -19233
2349,2012年04月01日至2012年06月30日,,              4972544,,              4549126,                423418,                423418,,,                267570,,                241610,,                106575,                615755,               -192337,,,                 16650,,                -77829,,                 99014,,                 -3067,               -163260,               -355597,,                 19899,               -375496,               -375496,,,,,,,,,                 64728,               -310768,,               -304446,                -71050,,               -237130,                -73638,,                             -0.12,                 56011,                 11814,,,                  3167,                  6264
2349,2012年01月01日至2012年12月31日,,             17358779,,             16075739,              1283040,              1283040,,,              1734173,,                582141,,                143363,              2459677,             -1176637,,,                249883,,               -769444,,                386131,,                -57481,               -963173,             -2139810,,                323180,             -2462990,             -2462990,,,,,,,,,               -331369,             -2794359,,             -2358530,               -104460,,             -2686646,               -107713,,                             -0.91,               -465100,                129125,                -38927,,                 -5143,                -48676
2349,2012年01月01日至2012年09月30日,,             13540071,,             12467372,              1072699,              1072699,,,                810231,,                650218,,                420972,              1881421,               -808722,,,                223027,,               -468726,,                296596,,                -11834,               -554129,             -1362851,,                 54700,             -1417551,             -1417551,,,,,,,,,               -144420,             -1561971,,             -1253682,               -163869,,             -1392777,               -169194,,                             -0.48,               -346787,                154698,,,                 -2152,                -49821
2349,2012年01月01日至2012年06月30日,,              9313017,,              8635386,                677631,                677631,,,                520245,,                457280,,                235908,              1213433,               -535802,,,                 86072,,               -332687,,                205372,,                 -6369,               -458356,               -994158,,                 42876,             -1037034,             -1037034,,,,,,,,,                 16826,             -1020208,,               -906316,               -130718,,               -910091,               -110117,,                             -0.35,               -188485,                176575,,,                 -1852,                -30588
2349,2012年01月01日至2012年03月31日,,              4340473,,              4086260,                254213,                254213,,,                252675,,                215670,,                129333,                597678,               -343465,,,                 82829,,               -268265,,                106358,,                 -3302,               -295096,               -638561,,                 22977,               -661538,               -661538,,,,,,,,,                -47902,               -709440,,               -601870,                -59668,,               -672961,                -36479,,                             -0.23,               -244496,                164761,,,                 -5019,                -36852
