證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入合計,　　 旅遊服務收入,　　　 旅遊服務收入合計,　　 營建工程收入,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐旅服務成本合計,　　　 育樂成本,　　　　 育樂成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　 營建工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本,　　　　 勞務成本合計,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 標準成本差異,　　　 直接原料差異,　　　　 直接原料差異合計,　　　 直接人工差異,　　　　 直接人工差異合計,　　　 製造費用差異,　　　　 製造費用差異合計,　　　 標準成本差異合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 廉價購買利益,　　　 手續費收入,　　　　 手續費收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）
5225,2014年01月01日至2014年06月30日,,,              2491187,,                              0,,                              0,,                              0,,                              0,,                              0,              2491187,,,              2125032,              2125032,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              2125032,                366155,                366155,,,                 58796,,                198469,                257265,                108890,,,,                  2781,,                              0,,                              0,                 11792,                 14573,,                     42,                              0,                              0,,                              0,,                              0,                  5828,                  3486,                  4014,                              0,,                              0,                -13286,,                              0,,                              0,,                  1314,                  1314,,                              0,                    -27,                108863,,                 19389,                 89474,,                              0,                 89474,,,,,,                -11068,                -11068,                -11068,                 78406,,                 89474,,                 78406,,                              1.47,                              1.47,,                              0.00,,
5225,2014年01月01日至2014年03月31日,,,              1070843,,                              0,,                              0,,                              0,,                              0,,                              0,              1070843,,,                921152,                921152,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,                921152,                149691,                149691,,,                 24325,,                114969,                139294,                 10397,,,,                  1832,,                              0,,                              0,                  7504,                  9336,,                     39,                              0,                              0,,                              0,,                              0,                              0,                     78,                    555,                  6021,,                              0,                 -6615,,                              0,,                              0,,                              0,                              0,,                              0,                  2721,                 13118,,                  5567,                  7551,,                              0,                  7551,,,,,,                 19033,                 19033,                 19033,                 26584,,                  7551,,                 26584,,                              0.12,                              0.12,,                              0.00,,
5225,2013年第3季,,,              1557347,,                              0,,                              0,,                              0,,                              0,,                              0,              1557347,,,              1306185,              1306185,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1306185,                251162,                251162,,,                 27184,,                105345,                132529,                118633,,,,                    584,                              0,,,                              0,                 10836,                 11420,,                     31,                              0,                  5517,,                              0,,                              0,                              0,                    442,                  6816,                              0,,                              0,                 -1710,,                              0,,                              0,,                              0,                              0,,                              0,                  9710,                128343,,                  4352,                123991,,                              0,                123991,,,,,,,,                -19529,                104462,,                123991,,                104462,,                              2.04,                              2.04,,                              0.00,                -19529,                              0
5225,2013年第2季,,,              1472703,,                              0,,                              0,,                              0,,                              0,,                              0,              1472703,,,              1247084,              1247084,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              1247084,                225619,                225619,,,                 24354,,                 80231,                104585,                121034,,,,                  1791,,,,                              0,                  3638,                  5429,,,,                  2038,,                              0,,                              0,                              0,                  1393,                  6129,                              0,,                              0,                 -5484,,                              0,,                              0,,                      4,                      4,,                              0,                    -59,                120975,,                 25163,                 95812,,                              0,                 95812,,,,,,,,                 17666,                113478,,                 95812,,                113478,,                              1.58,                              1.58,,                              0.00,                 17666,                              0
5225,2013年度,,,              5219379,,                              0,,                              0,,                              0,,                              0,,                              0,              5219379,,,              4428450,              4428450,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              4428450,                790929,                790929,,,                102619,,                326751,                429370,                361559,,,,                  5110,                              0,,,                              0,                 31479,                 36589,,                    138,                              0,                 11839,,                              0,,                              0,                              0,                  8325,                 24139,                              0,,                              0,                -20487,,                              0,,                              0,,                      8,                      8,,                              0,                 16094,                377653,,                 48777,                328876,,                              0,                328876,,,,,,,,                 81896,                410772,,                328876,,                410772,,                              5.41,                              5.41,,                              0.00,                 81896,                              0
5225,2013年07月01日至2013年09月30日,,,              1557347,,,,,,,,,,,              1557347,,,              1306185,              1306185,,,,,,,,,,,,,,,,,,,,,,,,,,,              1306185,                251162,                251162,,,                 27184,,                105345,                132529,                118633,,,,                    584,,,,,                 10867,                 11451,,,                              0,                  5517,,,,,                              0,                    442,                  6816,,,,                 -1741,,                              0,,                              0,,                              0,                              0,,                              0,                  9710,                128343,,                  4352,                123991,,,                123991,,,,,,,,                -19529,                104462,,                123991,,                104462,,                              2.04,                              2.04,,,                -19529,                              0
5225,2013年04月01日至2013年06月30日,,,              1472703,,,,,,,,,,,              1472703,,,              1247084,              1247084,,,,,,,,,,,,,,,,,,,,,,,,,,,              1247084,                225619,                225619,,,                 24354,,                 80231,                104585,                121034,,,,                  1791,,,,,                  3638,                  5429,,,,                  2038,,,,,                              0,                  1393,                  6129,,,,                 -5484,,                              0,,                              0,,                      4,                      4,,                              0,                    -59,                120975,,                 25163,                 95812,,,                 95812,,,,,,,,                 17666,                113478,,                 95812,,                113478,,                              1.58,                              1.58,,,                 17666,                              0
5225,2013年01月01日至2013年12月31日,,,              5219379,,,,,,,,,,,              5219379,,,              4428450,              4428450,,,,,,,,,,,,,,,,,,,,,,,,,,,              4428450,                790929,                790929,,,                102619,,                326751,                429370,                361559,,,,                  5110,,,,,                 31617,                 36727,,,,                 11839,,,,,                              0,                  8325,                 24139,,,,                -20625,,                              0,,                              0,,                      8,                      8,,                              0,                 16094,                377653,,                 48777,                328876,,,                328876,,,,,,,,                 81896,                410772,,                328876,,                410772,,                              5.41,                              5.41,,,                 81896,                              0
5225,2013年01月01日至2013年09月30日,,,              4184948,,                              0,,                              0,,                              0,,                              0,,                              0,              4184948,,,              3540086,              3540086,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              3540086,                644862,                644862,,,                 75897,,                243526,                319423,                325439,,,,                  4331,                              0,,,                              0,                 18788,                 23119,,                    138,                              0,                  8037,,                              0,,                              0,                              0,                  2317,                 17844,                              0,,                              0,                -11986,,                              0,,                              0,,                      8,                      8,,                              0,                 11125,                336564,,                 48186,                288378,,                              0,                288378,,,,,,,,                 51946,                340324,,                288378,,                340324,,                              4.75,                              4.75,,                              0.00,                 51946,                              0
5225,2013年01月01日至2013年06月30日,,,              2627601,,                              0,,                              0,,                              0,,                              0,,                              0,              2627601,,,              2233901,              2233901,,                              0,,                              0,,,                              0,,                              0,                              0,,                              0,,,                              0,,                              0,                              0,,,                              0,,                              0,,                              0,                              0,              2233901,                393700,                393700,,,                 48713,,                138181,                186894,                206806,,,,                  3747,,,,                              0,                  8059,                 11806,,,,                  2520,,                              0,,                              0,                              0,                  1875,                 11028,                              0,,                              0,                -10383,,                              0,,                              0,,                      8,                      8,,                              0,                  1415,                208221,,                 43834,                164387,,                              0,                164387,,,,,,,,                 71475,                235862,,                164387,,                235862,,                              2.71,                              2.71,,                              0.00,                 71475,                              0
5225,2013年01月01日至2013年03月31日,,,              1154898,,,,,,,,,,,              1154898,,,                986817,                986817,,,,,,,,,,,,,,,,,,,,,,,,,,,                986817,                168081,                168081,,,                 24359,,                 57950,                 82309,                 85772,,,,                  1956,,,,,                  4421,                  6377,,,,                    482,,,,,                              0,                    482,                  4899,                              0,,,                 -4899,,                              0,,                              0,,                      4,                      4,,                              0,                  1474,                 87246,,                 18671,                 68575,,,                 68575,,,,,,,,                 53809,                122384,,                 68575,,                122384,,                              1.13,                              1.13,,,                 53809,                              0
5225,2012年07月01日至2012年09月30日,,,              1344318,,,,,,,,,,,              1344318,,,              1131351,              1131351,,,,,,,,,,,,,,,,,,,,,,,,,,,              1131351,                212967,                212967,,,                 25090,,                 48485,                 73575,                139392,,,,                    116,,,,,                  8910,                  9026,,,                    323,                    199,,,,,                              0,                  1074,                              0,,,,                   -552,,                              0,,                              0,,                    198,                    198,,                              0,                  8276,                147668,,                 32410,                115258,,,                115258,,,,,,,,                -26386,                 88872,,                115258,,                 88872,,                              2.14,                              2.14,,,                -26386,                              0
5225,2012年04月01日至2012年06月30日,,,                964047,,,,,,,,,,,                964047,,,                826559,                826559,,,,,,,,,,,,,,,,,,,,,,,,,,,                826559,                137488,                137488,,,                 28620,,                 41975,                 70595,                 66893,,,,                    153,,,,,                  7885,                  8038,,,,                    106,,,,,                              0,                  1031,                  1503,,,,                 -2428,,                              0,,                              0,,                    558,                    558,,                              0,                  5052,                 71945,,                 12836,                 59109,,,                 59109,,,,,,,,                 15722,                 74831,,                 59109,,                 74831,,                              1.09,                              1.09,,,                 15722,                              0
5225,2012年01月01日至2012年12月31日,,,              4415191,,,,,,,,,,,              4415191,,,              3724452,              3724452,,,,,,,,,,,,,,,,,,,,,,,,,,,              3724452,                690739,                690739,,,                109671,,                205262,                314933,                375806,,,,                  1503,,,,,                 25380,                 26883,,,,                  1633,,,,,                              0,                  4922,                 12535,,,,                -15824,,                              0,,                              0,,                  1403,                  1403,,                              0,                  9656,                385462,,                 76585,                308877,,,                308877,,,,,,,,                -51631,                257246,,                308877,,                257246,,                              5.60,                              5.60,,,                -51631,                              0
5225,2012年01月01日至2012年09月30日,,,              3361553,,,,,,,,,,,              3361553,,,              2870753,              2870753,,,,,,,,,,,,,,,,,,,,,,,,,,,              2870753,                490800,                490800,,,                 81567,,                130787,                212354,                278446,,,,                    588,,,,,                 21897,                 22485,,,                              0,                  1606,,,,,                              0,                  2224,                  5432,,,,                 -6050,,                              0,,                              0,,                  1341,                  1341,,                              0,                 15094,                293540,,                 59324,                234216,,,                234216,,,,,,,,                -37816,                196400,,                234216,,                196400,,                              4.34,                              4.34,,,                -37816,                              0
5225,2012年01月01日至2012年06月30日,,,              2017235,,,,,,,,,,,              2017235,,,              1739402,              1739402,,,,,,,,,,,,,,,,,,,,,,,,,,,              1739402,                277833,                277833,,,                 56477,,                 82302,                138779,                139054,,,,                    472,,,,,                 12987,                 13459,,,,                  1407,,,,,                              0,                  1150,                  5755,,,,                 -5498,,                              0,,                              0,,                  1143,                  1143,,                              0,                  6818,                145872,,                 26914,                118958,,,                118958,,,,,,,,                -11430,                107528,,                118958,,                107528,,                              2.20,                              2.20,,,                -11430,                              0
5225,2012年01月01日至2012年03月31日,,,              1053188,,,,,,,,,,,              1053188,,,                912843,                912843,,,,,,,,,,,,,,,,,,,,,,,,,,,                912843,                140345,                140345,,,                 27857,,                 40327,                 68184,                 72161,,,,                    319,,,,,                  5102,                  5421,,,,                  1301,,,,,                              0,                    119,                  4252,,,,                 -3070,,                              0,,                              0,,                    585,                    585,,                              0,                  1766,                 73927,,                 14078,                 59849,,,                 59849,,,,,,,,                -27152,                 32697,,                 59849,,                 32697,,                              1.11,                              1.11,,,                -27152,                              0
