證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出
3514,2013年01月01日至2013年12月31日,,,,             15137178,                 22477,                 17071,             15097630,             15097630,,             14663550,                434080,                436542,,,                241736,,                165375,,                300174,                707285,,                              0,               -270743,,,                 42485,                 42485,,                 34942,,                158491,,               -184330,               -265394,               -536137,,                 55047,               -591184,               -591184,,,,,,,,,,                -21676,               -612860,,               -591184,,               -612860,,                             -1.65,                             -1.65,,                             -1.65,                             -1.65,                              0,                  2462,                -27315,,                  5639,,,,,,
3514,2013年01月01日至2013年09月30日,,,,             10813941,                 18918,                 12462,             10782561,             10782561,,             10885878,               -103317,               -100855,,,                184447,,                116145,,                214401,                514993,,                              0,               -615848,,,                 24625,                 24625,,                 21694,,                122333,,               -139447,               -215461,               -831309,,                  3243,               -834552,               -834552,,,,,,,,,,                -26228,               -860780,,               -834552,,               -860780,,                             -2.41,                             -2.41,,,,                              0,                  2462,                -29011,,                  2783,,,,,,
3514,2013年01月01日至2013年06月30日,,,,              6704474,                 16827,                  2524,              6685123,              6685123,,              6635128,                 49995,                 49995,,,                132770,,                 72746,,                133700,                339216,,,               -289221,,,                  8041,                  9764,,                 19683,,                 80872,,                -96122,               -147547,               -436768,,                -54812,               -381956,               -381956,,,,,,,,,,                 -5144,               -387100,,               -381956,,               -387100,,                             -1.12,                             -1.12,,,,                              0,,                 -8553,,                  3409,,                  1447,                    276,                 -8216,                 27903,                      4
3514,2013年01月01日至2013年03月31日,,,,              2841416,                      5,                  1225,              2840186,              2840186,,              3175810,               -335624,               -335624,,,                 70150,,                 31158,,                 61269,                162577,,,               -498201,,,                  4679,                  5132,,                  6840,,                 38592,,                -52129,                -78749,               -576950,,                -84435,               -492515,               -492515,,,,,,,,,,                  5173,               -487342,,               -492515,,               -487342,,                             -1.45,                             -1.45,,,,,,                  2943,,                  2230,,                    322,                    131,                 -7333,                 14173,
3514,2012年07月01日至2012年09月30日,,,,              3390095,                  4970,                  1827,              3383298,              3383298,,              3514253,               -130955,               -130955,,,                 23010,,                 54974,,                 83032,                161016,,                    -21,               -291992,,,                 29246,                 29246,,                 -1288,,                 43968,,                -54169,                -70179,               -362171,,                 -3325,               -358846,               -358846,,,,,,,,,,                 29574,               -329272,,               -358846,,               -329272,,                             -1.06,                             -1.06,,,,                              0,                              0,                 33921,,                 -4347,,,,,,
3514,2012年04月01日至2012年06月30日,,,,              4331016,                    107,                    317,              4330592,              4330592,,              4194894,                135698,                131359,,,                 86061,,                 43801,,                 76184,                206046,,,                -74687,,,                  8725,                 10563,,                  9283,,                 38724,,                -50969,                -69847,               -144534,,                 15720,               -160254,               -160254,,,,,,,,,,                 21238,               -139016,,               -160254,,               -139016,,                             -0.47,                             -0.47,,,,                  4339,,                 19207,,                  2031,,                  1403,                    435,                  9104,                    179,                              0
3514,2012年01月01日至2012年12月31日,,,,             14061624,                 78884,                 16513,             13966227,             13966227,,             14623788,               -657561,               -661900,,,                477045,,                194320,,                316778,                988143,,                    -21,             -1650064,,,                 32221,                 32221,,                 27260,,                155936,,               -214505,               -310960,             -1961024,,                -37127,             -1923897,             -1923897,,,,,,,,,,                 37811,             -1886086,,             -1923897,,             -1886086,,                             -5.68,                             -5.68,,                             -5.68,                             -5.68,                  4339,                              0,                 46797,,                 -8986,,,,,,
3514,2012年01月01日至2012年09月30日,,,,             11590304,                 78550,                 13675,             11498079,             11498079,,             11492825,                  5254,                    915,,,                197527,,                130861,,                225790,                554178,,                    -21,               -553284,,,                 42169,                 42169,,                 16774,,                114838,,               -140489,               -196384,               -749668,,                -21171,               -728497,               -728497,,,,,,,,,,                 68498,               -659999,,               -728497,,               -659999,,                             -2.15,                             -2.15,,,,                  4339,                              0,                 75332,,                 -6834,,,,,,
3514,2012年01月01日至2012年06月30日,,,,              8200209,                 73580,                 11848,              8114781,              8114781,,              7978572,                136209,                131870,,,                174517,,                 75887,,                142758,                393162,,,               -261292,,,                  9180,                 12923,,                 18062,,                 70870,,                -86320,               -126205,               -387497,,                -17846,               -369651,               -369651,,,,,,,,,,                 38924,               -330727,,               -369651,,               -330727,,                             -1.09,                             -1.09,,,,                  4339,,                 41411,,                 -2487,,                  3015,                    728,                 24061,                 -5999,                              0
3514,2012年01月01日至2012年03月31日,,,,              3869193,                 73473,                 11531,              3784189,              3784189,,              3783678,                    511,                    511,,,                 88456,,                 32086,,                 66574,                187116,,,               -186605,,,                    455,                  2360,,                  8779,,                 32146,,                -35351,                -56358,               -242963,,                -33566,               -209397,               -209397,,,,,,,,,,                 17686,               -191711,,               -209397,,               -191711,,                             -0.62,                             -0.62,,,,,,                 22204,,                 -4518,,                  1612,                    293,                 14957,                 -6178,
