證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2448,2014年01月01日至2014年03月31日,,              6240741,,              5290015,                950726,                  2147,                  1520,                950099,,,                 56328,,                365615,,                267340,                689283,,                 58194,                319010,,,                125252,,             -1023676,,                343536,,                -24184,             -1266144,               -947134,,                -94629,               -852505,               -852505,,,                127404,                377329,,                 28542,                 25057,                508218,                508218,               -344287,,               -841691,                -10814,,               -366310,                 22023,,                             -0.91,                             -0.91,,                             -0.91,                             -0.91,,,,,,,,,
2448,2013年第3季,,              5753930,,              4828339,                925591,                              0,                              0,                925591,,,                 55825,,                374003,,                358568,                788396,,                 67215,                204410,,,                 11103,,               -374276,,                -77927,,                  3762,               -281484,                -77074,,                -11772,                -65302,                -65302,,,,,,,,,                -41900,               -107202,,                -83422,                 18120,,               -104952,                 -2250,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,                -66536,                 21409,                              0,,                 -6635,                 -9862
2448,2013年第2季,,              6067860,,              5103915,                963945,                              0,                              0,                963945,,,                 57236,,                340502,,                293626,                691364,,                114399,                386980,,,                 69718,,                 66156,,                111797,,                 -3011,                 21066,                408046,,                 46371,                361675,                361675,,,,,,,,,                 47455,                409130,,                346267,                 15408,,                373098,                 36032,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,                105195,                -63766,                              0,,                 25076,                 19050
2448,2013年度,,             22241387,,             19281999,              2959388,                  1520,                              0,              2957868,,,                249139,,              1394061,,              1216112,              2859312,,                342297,                440853,,,                351203,,                -62058,,                530370,,               -131001,               -372226,                 68627,,                 -5928,                 74555,                 74555,,,,,,,,,                321885,                396440,,                 38349,                 36206,,                300985,                 95455,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,                307483,                -27289,                -22521,,                119667,                 55455
2448,2013年07月01日至2013年09月30日,,              5753930,,              4828339,                925591,,,                925591,,,                 55825,,                374003,,                358568,                788396,,                 67215,                204410,,,                 11103,,               -374276,,                -77927,,                  3762,               -281484,                -77074,,                -11772,                -65302,                -65302,,,,,,,,,                -41900,               -107202,,                -83422,                 18120,,               -104952,                 -2250,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,,,,                -66536,                 21409,,,                 -6635,                 -9862
2448,2013年04月01日至2013年06月30日,,              6067860,,              5103915,                963945,,,                963945,,,                 57236,,                340502,,                293626,                691364,,                114399,                386980,,,                 69718,,                 66156,,                111797,,                 -3011,                 21066,                408046,,                 46371,                361675,                361675,,,,,,,,,                 47455,                409130,,                346267,                 15408,,                373098,                 36032,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,                105195,                -63766,,,                 25076,                 19050
2448,2013年01月01日至2013年12月31日,,             22241387,,             19281999,              2959388,                  1520,,              2957868,,,                249139,,              1394061,,              1216112,              2859312,,                342297,                440853,,,                351203,,                -62058,,                530370,,               -131001,               -372226,                 68627,,                 -5928,                 74555,                 74555,,,,,,,,,                321885,                396440,,                 38349,                 36206,,                300985,                 95455,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,                307483,                -27289,                -22521,,                119667,                 55455
2448,2013年01月01日至2013年09月30日,,             16146601,,             13986370,              2160231,                              0,                              0,              2160231,,,                192219,,              1027261,,                914040,              2133520,,                258960,                285671,,,                194441,,                -57492,,                295315,,                -61105,               -219471,                 66200,,                 18008,                 48192,                 48192,,,,,,,,,                263313,                311505,,                 14418,                 33774,,                231716,                 79789,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,                206283,                 17148,                              0,,                 80569,                 40687
2448,2013年01月01日至2013年06月30日,,             10392671,,              9158031,              1234640,                              0,                              0,              1234640,,,                136394,,                653258,,                555472,              1345124,,                191745,                 81261,,,                183338,,                316784,,                373242,,                -64867,                 62013,                143274,,                 29780,                113494,                113494,,,,,,,,,                305213,                418707,,                 97840,                 15654,,                336668,                 82039,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,                272819,                 -4261,                              0,,                 87204,                 50549
2448,2013年01月01日至2013年03月31日,,              4324811,,              4054116,                270695,                              0,                              0,                270695,,,                 79158,,                312756,,                261846,                653760,,                 77346,               -305719,,,                113620,,                250628,,                261445,,                -61856,                 40947,               -264772,,                -16591,               -248181,               -248181,,,,,,,,,                257758,                  9577,,               -248427,                    246,,                -36430,                 46007,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,,,,                167624,                 59505,,,                 62128,                 31499
2448,2012年07月01日至2012年09月30日,,              5672592,,              4915921,                756671,,,                756671,,,                 95889,,                316899,,                241660,                654448,,                 57867,                160090,,,                -74070,,               -126726,,                -29346,,                -48038,               -219488,                -59398,,                 59944,               -119342,               -119342,,,,,,,,,               -114699,               -234041,,                 79669,               -199011,,                 -1832,               -232209,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,               -119839,                 19566,,,                -45816,                -31390
2448,2012年04月01日至2012年06月30日,,              5563755,,              4711804,                851951,,,                851951,,,                 51235,,                358124,,                250583,                659942,,                 50443,                242452,,,                152001,,                250181,,                210204,,                -21438,                170540,                412992,,                -17273,                430265,                430265,,,,,,,,,                 -4538,                425727,,                649556,               -219291,,                629637,               -203910,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,                 50458,                -54280,,,                 16587,                 17303
2448,2012年01月01日至2012年12月31日,,             19931384,,             18474250,              1457134,                              0,,              1457134,,,                357572,,              1273092,,              1035922,              2666586,,                213622,               -995830,,,                -22131,,             -1008329,,                 73043,,               -194868,             -1298371,             -2294201,,                110523,             -2404724,             -2404724,,,,,,,,,               -374906,             -2779630,,             -1192824,             -1211900,,             -1501105,             -1278525,,                             -1.38,                             -1.38,,                             -1.38,                             -1.38,,,,               -233575,               -143370,                -40331,,                -19988,                -62358
2448,2012年01月01日至2012年09月30日,,             15484657,,             14042150,              1442507,,,              1442507,,,                229058,,                924388,,                758004,              1911450,,                137224,               -331719,,,                 29324,,               -455645,,                 93430,,               -109954,               -629705,               -961424,,                -50184,               -911240,               -911240,,,,,,,,,               -148233,             -1059473,,               -176334,               -734906,,               -261948,               -797525,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,,,,               -222562,                 51661,,,                 -7022,                -29690
2448,2012年01月01日至2012年06月30日,,              9812065,,              9126229,                685836,,,                685836,,,                133169,,                607489,,                516344,              1257002,,                 79357,               -491809,,,                103394,,               -328919,,                122776,,                -61916,               -410217,               -902026,,               -110128,               -791898,               -791898,,,,,,,,,                -33534,               -825432,,               -256003,               -535895,,               -260116,               -565316,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,,,               -102723,                 32095,,,                 38794,                  1700
2448,2012年01月01日至2012年03月31日,,              4248310,,              4414425,               -166115,,,               -166115,,,                 81934,,                249365,,                265761,                597060,,                 28914,               -734261,,,                -48607,,               -579100,,                -87428,,                -40478,               -580757,             -1315018,,                -92855,             -1222163,             -1222163,,,,,,,,,                -28996,             -1251159,,               -905559,               -316604,,               -889753,               -361406,,                             -1.05,                             -1.05,,                             -1.05,                             -1.05,,,,               -153181,                 86375,,,                 22207,                -15603
