證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1802,2014年01月01日至2014年03月31日,,              9104030,,              8444620,                659410,                659410,,,                718061,,                507946,,                 78453,              1304460,,                  1842,               -643208,,,                110998,,               -255416,,                235752,,                429775,               -429775,               -809945,             -1453153,,                 -8176,             -1444977,             -1444977,,,                544353,                -10803,,                 39244,                              0,                572794,                572794,               -872183,,             -1306719,               -138258,,               -785691,                -86492,,                             -0.55,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,
1802,2013年第3季,,              9798373,,              8975956,                822417,                822417,,,                718377,,                485472,,                 82242,              1286091,,                   -238,               -463912,,,                162748,,                134962,,                189602,,                 50815,                -50815,                 57293,               -406619,,                 22194,               -428813,               -428813,,,,,,,,,               -359923,               -788736,,               -384365,                -44448,,               -708144,                -80592,,                             -0.16,,,,,,,,,,,,,               -364898,                 14824,,,                 -9849,                              0
1802,2013年第2季,,              8592920,,              8176831,                416089,                416089,,,                673238,,                370583,,                 83307,              1127128,,                   -381,               -711420,,,                 97901,,                 29794,,                194332,,                114885,               -114885,               -181522,               -892942,,                -34943,               -857999,               -857999,,,,,,,,,                916649,                 58650,,               -796804,                -61195,,                 34569,                 24081,,                             -0.34,,,,,,,,,,,,,                808804,                -10287,,,                118132,                              0
1802,2013年度,,             37085123,,             34311032,              2774091,              2774091,,,              2739874,,              1669070,,                366170,              4775114,,                    -13,             -2001036,,,              2597785,,                 -4825,,                666587,,                346152,               -346152,              1580221,               -420815,,                583111,             -1003926,             -1003926,,,,,,,,,              2690954,              1687028,,               -896175,               -107751,,              1565866,                121162,,                             -0.38,,,,,,,,,,,,,              2220088,                 14503,                159053,,                324349,                 27039
1802,2013年07月01日至2013年09月30日,,              9798373,,              8975956,                822417,                822417,,,                718377,,                485472,,                 82242,              1286091,,                   -238,               -463912,,,                162748,,                134962,,                189602,,                 50815,                -50815,                 57293,               -406619,,                 22194,               -428813,               -428813,,,,,,,,,               -359923,               -788736,,               -384365,                -44448,,               -708144,                -80592,,                             -0.16,,,,,,,,,,,,,               -364898,                 14824,,,                 -9849,                              0
1802,2013年04月01日至2013年06月30日,,              8592920,,              8176831,                416089,                416089,,,                673238,,                370583,,                 83307,              1127128,,                   -381,               -711420,,,                 97901,,                 29794,,                194332,,                114885,               -114885,               -181522,               -892942,,                -34943,               -857999,               -857999,,,,,,,,,                916649,                 58650,,               -796804,                -61195,,                 34569,                 24081,,                             -0.34,,,,,,,,,,,,,                808804,                -10287,,,                118132,                              0
1802,2013年01月01日至2013年12月31日,,             37085123,,             34311032,              2774091,              2774091,,,              2739874,,              1669070,,                366170,              4775114,,                    -13,             -2001036,,,              2597785,,                 -4825,,                666587,,                346152,               -346152,              1580221,               -420815,,                583111,             -1003926,             -1003926,,,,,,,,,              2690954,              1687028,,               -896175,               -107751,,              1565866,                121162,,                             -0.38,,,,,,,,,,,,,              2220088,                 14503,                159053,,                324349,                 27039
1802,2013年01月01日至2013年09月30日,,             26121431,,             24449573,              1671858,              1671858,,,              2019434,,              1277259,,                244985,              3541678,,                  2326,             -1867494,,,                358271,,                 -5139,,                545983,,                271418,               -271418,               -464269,             -2331763,,                  1447,             -2333210,             -2333210,,,,,,,,,              1837923,               -495287,,             -2134909,               -198301,,               -462217,                -33070,,                             -0.90,,,,,,,,,,,,,              1554641,                 33386,,,                249896,                              0
1802,2013年01月01日至2013年06月30日,,             16323058,,             15473617,                849441,                849441,,,              1301057,,                791787,,                162743,              2255587,,                  2564,             -1403582,,,                195523,,               -140101,,                356381,,                220603,               -220603,               -521562,             -1925144,,                -20747,             -1904397,             -1904397,,,,,,,,,              2197846,                293449,,             -1750544,               -153853,,                245927,                 47522,,                             -0.74,,,,,,,,,,,,,              1919539,                 18562,,,                259745,                              0
1802,2013年01月01日至2013年03月31日,,              7730138,,              7296786,                433352,                433352,,,                627819,,                421204,,                 79436,              1128459,,                    548,               -694559,,,                 97622,,               -167498,,                162049,,                105718,               -105718,               -337643,             -1032202,,                 14196,             -1046398,             -1046398,,,,,,,,,              1281197,                234799,,               -953740,                -92658,,                211358,                 23441,,                             -0.40,,,,,,,,,,,,,              1110735,                 28849,,,                141613,                              0
1802,2012年07月01日至2012年09月30日,,              8266888,,              7702392,                564496,                564496,,,                628465,,                421646,,                 26586,              1076697,,                -14761,               -526962,,,                116239,,                 31098,,                156798,,                 75177,                -75177,                -84638,               -611600,,                -12947,               -598653,               -598653,,,,,,,,,               -915708,             -1514361,,               -537927,                -60726,,             -1363825,               -150536,,                             -0.23,,,,,,,,,,,,,               -848002,                 17939,,,                -85645,                              0
1802,2012年04月01日至2012年06月30日,,              8559388,,              8146804,                412584,                412584,,,                668757,,                402498,,                 25114,              1096369,,                 -3643,               -687428,,,                143502,,                165000,,                147071,,                 56984,                -56984,                104447,               -582981,,                 37163,               -620144,               -620144,,,,,,,,,                251674,               -368470,,               -531484,                -88660,,               -314396,                -54074,,                             -0.22,,,,,,,,,,,,,                283682,                -48946,,,                 16938,                              0
1802,2012年01月01日至2012年12月31日,,             32617951,,             31078201,              1539750,              1539750,,,              2495512,,              1501807,,                370070,              4367389,,               -176045,             -3003684,,,                536749,,                646988,,                513213,,                276498,               -276498,                394026,             -2609658,,               -360413,             -2249245,             -2249245,,,,,,,,,             -2348894,             -4598139,,             -1950619,               -298626,,             -4139040,               -459099,,                             -0.82,,,,,,,,,,,,,             -1470392,               -536960,               -220312,,               -158683,                -37453
1802,2012年01月01日至2012年09月30日,,             24544602,,             23552193,                992409,                992409,,,              1881350,,              1185901,,                 79433,              3146684,,                -17878,             -2172153,,,                400838,,                677321,,                447885,,                162741,               -162741,                467533,             -1704620,,                 54914,             -1759534,             -1759534,,,,,,,,,             -2205468,             -3965002,,             -1523358,               -236176,,             -3563773,               -401229,,                             -0.64,,,,,,,,,,,,,             -1489143,               -548397,,,               -167928,                              0
1802,2012年01月01日至2012年06月30日,,             16277714,,             15849801,                427913,                427913,,,              1252885,,                764255,,                 52847,              2069987,,                 -3117,             -1645191,,,                284599,,                646223,,                291087,,                 87564,                -87564,                552171,             -1093020,,                 67861,             -1160881,             -1160881,,,,,,,,,             -1289760,             -2450641,,               -985431,               -175450,,             -2199948,               -250693,,                             -0.41,,,,,,,,,,,,,               -641141,               -566336,,,                -82283,                              0
1802,2012年01月01日至2012年03月31日,,              7718326,,              7702997,                 15329,                 15329,,,                584128,,                361757,,                 27733,                973618,,                    527,               -957762,,,                141097,,                481223,,                144016,,                 30580,                -30580,                447724,               -510038,,                 30698,               -540736,               -540736,,,,,,,,,             -1541434,             -2082170,,               -453947,                -86789,,             -1885552,               -196618,,                             -0.19,,,,,,,,,,,,,               -924823,               -517390,,,                -99221,                              0
