證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 利息費用,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
2402,2013年07月01日至2013年09月30日,,,,              2632952,                 47013,                 19017,              2566922,              2566922,,              2231631,                335291,                335291,,,                 51521,,                114293,,                 55922,                221736,                113555,,,                  9635,                  9635,,                -14451,,                  4699,                 -9515,                104040,,                 30344,                 73696,                 73696,,,,,,                -53086,                 20610,,                 73696,,                 20610,,                              0.22,                              0.22,,                              0.22,                              0.22,                -54637,                  1551,,,,,,,,,,,,,,,,
2402,2013年04月01日至2013年06月30日,,,,              2491493,                 15084,                  7006,              2469403,              2469403,,              2071626,                397777,                397777,,,                 71667,,                 99622,,                 40937,                212226,                185551,,,                  9248,                  9248,,                 -2950,,                  5575,                    723,                186274,,                 47562,                138712,                138712,,,,,,                 76998,                215710,,                138712,,                215710,,                              0.42,                              0.42,,                              0.42,                              0.42,                 79512,                 -2514,,,,,,,,,,,,,,,,
2402,2013年01月01日至2013年12月31日,,,,              9758932,                117015,                 53613,              9588304,              9588304,,              8298418,              1289886,              1289886,,,                247006,,                419916,,                173699,                840621,                449265,,,                 34866,                 34866,,                -20858,,                 20598,                 -6590,                442675,,                 75199,                367476,                367476,,,,,,                226032,                593508,,                367476,,                593508,,                              1.11,                              1.11,,                              1.10,                              1.10,                214096,                  7763,                  4173,,,,,,,,,,,,,,,
2402,2013年01月01日至2013年09月30日,,,,              6959987,                 76265,                 37618,              6846104,              6846104,,              5905745,                940359,                940359,,,                183569,,                315351,,                138603,                637523,                302836,,,                 24486,                 24486,,                 -2075,,                 15377,                  7034,                309870,,                 78293,                231577,                231577,,,,,,                169283,                400860,,                231577,,                400860,,                              0.70,                              0.70,,                              0.69,                              0.69,                162461,                  6822,,,,,,,,,,,,,,,,
2402,2013年01月01日至2013年06月30日,,,,              4327035,                 29252,                 18601,              4279182,              4279182,,              3674114,                605068,                605068,,,                132048,,                201058,,                 82681,                415787,                189281,,,                 14851,                 14851,,                 12376,,                 10678,                 16549,                205830,,                 47949,                157881,                157881,,,,,,                222369,                380250,,                157881,,                380250,,                              0.48,                              0.48,,                              0.47,                              0.47,                217098,                  5271,,,,,,,,,,,,,,,,
2402,2013年01月01日至2013年03月31日,,,,              1835542,                 14168,                 11595,              1809779,              1809779,,              1602488,                207291,                207291,,,                 60381,,                101436,,                 41744,                203561,                  3730,,,                  5603,                  5603,,                 15326,,                  5103,                 15826,                 19556,,                    387,                 19169,                 19169,,,,,,                145371,                164540,,                 19169,,                164540,,                              0.06,                              0.06,,                              0.06,                              0.06,                137586,                  7785,,              1835542,,              1602488,              1602488,,                  2506,                  3097,                  1592,                     14,                -15925,                     60,                  2145,                  5103,                              0,                              0
2402,2012年07月01日至2012年09月30日,,,,              2341935,                 40641,                 21400,              2279894,              2279894,,              2049343,                230551,                230551,,,                 40345,,                 87184,,                 43910,                171439,                 59112,,,                 11693,                 11693,,                -26575,,                 17366,                -32248,                 26864,,                  4593,                 22271,                 22271,,,,,,                -84828,                -62557,,                 22271,,                -62557,,                              0.07,                              0.07,,                              0.07,                              0.07,                -89279,                  4451,,,,,,,,,,,,,,,,
2402,2012年04月01日至2012年06月30日,,,,              1917577,                    844,                 12905,              1903828,              1903828,,              1762904,                140924,                140924,,,                 51119,,                 96492,,                 41727,                189338,                -48414,,,                 19546,                 19546,,                  8084,,                 20178,                  7452,                -40962,,                -10299,                -30663,                -30663,,,,,,                 36727,                  6064,,                -30663,,                  6064,,                             -0.09,                             -0.09,,                             -0.09,                             -0.09,                 33019,                  3708,,,,,,,,,,,,,,,,
2402,2012年01月01日至2012年12月31日,,,,              9069557,                 82095,                 82978,              8904484,              8904484,,              7922692,                981792,                981792,,,                223527,,                391567,,                164863,                779957,                201835,,,                 56715,                 56715,,                -30030,,                 66437,                -39752,                162083,,                 62990,                 99093,                 99093,,,,,,               -137799,                -38706,,                 99093,,                -38706,,                              0.30,                              0.30,,                              0.30,                              0.30,               -170397,                 32598,                              0,,,,,,,,,,,,,,,
2402,2012年01月01日至2012年09月30日,,,,              6500471,                 44681,                 54776,              6401014,              6401014,,              5792497,                608517,                608517,,,                141900,,                301148,,                125629,                568677,                 39840,,,                 45232,                 45232,,                -35356,,                 53905,                -44029,                 -4189,,                -25172,                 20983,                 20983,,,,,,               -127520,               -106537,,                 20983,,               -106537,,                              0.06,                              0.06,,                              0.06,                              0.06,               -157973,                 30453,,,,,,,,,,,,,,,,
2402,2012年01月01日至2012年06月30日,,,,              4158536,                  4040,                 33376,              4121120,              4121120,,              3743154,                377966,                377966,,,                101555,,                213964,,                 81719,                397238,                -19272,,,                 33539,                 33539,,                 -8781,,                 36539,                -11781,                -31053,,                -29765,                 -1288,                 -1288,,,,,,                -42692,                -43980,,                 -1288,,                -43980,,                              0.00,                              0.00,,                              0.00,                              0.00,                -68694,                 26002,,,,,,,,,,,,,,,,
2402,2012年01月01日至2012年03月31日,,,,              2240959,                  3196,                 20471,              2217292,              2217292,,              1980250,                237042,                237042,,,                 50436,,                117472,,                 39992,                207900,                 29142,,,,                 13993,,                -16865,,                 16361,                -19233,                  9909,,                -19466,                 29375,                 29375,,,,,,                -79419,                -50044,,                 29375,,                -50044,,                              0.09,                              0.09,,                              0.09,                              0.09,               -101713,                 22294,,              2240959,,              1980250,              1980250,,                 10858,                  3135,                  1762,                     66,                 -1685,                 18979,                  1399,                 16361,                              0,                              0
