證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 利息費用
2420,2014年01月01日至2014年03月31日,,,                864386,                864386,,,                575181,                575181,                289205,                289205,,,                 49240,,                 86419,,                 24838,                160497,                128708,,,                 30763,,                 12697,,                  9633,                 33827,                162535,,                 29453,                133082,                133082,,,                  4031,                              0,                  4031,                  4031,                137113,,                131498,                  1584,,                135529,                  1584,,                              0.86,,                              0.86,,,,,,,,
2420,2013年第3季,,,                908117,                908117,,,                624890,                624890,                283227,                283227,,,                 47297,,                 83707,,                 23279,                154283,                128944,,,                 35700,,                -13352,,                 10741,                 11607,                140551,,                 27134,                113417,                113417,,,,,,                   -992,                112425,,                111641,                  1776,,                110649,                  1776,,                              0.73,,                              0.73,                   -992,,                              0,,,,,
2420,2013年第2季,,,                863924,                863924,,,                584137,                584137,                279787,                279787,,,                 58111,,                 98512,,                 23792,                180415,                 99372,,,                 30856,,                 11719,,                 10492,                 32083,                131455,,                 28701,                102754,                102754,,,,,,                  1075,                103829,,                102077,                    677,,                103152,                    677,,                              0.67,,                              0.67,                  1075,,                              0,,,,,
2420,2013年度,,,              3487133,              3487133,,,              2320911,              2320911,              1166222,              1166222,,,                230595,,                345262,,                101144,                677001,                489221,,,                117460,,                 39463,,                 36407,                120516,                609737,,                106558,                503179,                503179,,,,,,                  5247,                508426,,                498562,                  4617,,                503762,                  4664,,                              3.27,,                              3.26,                  4506,                    893,                    152,,,,,
2420,2013年07月01日至2013年09月30日,,,,                908117,,,,                624890,                283227,                283227,,,                 47297,,                 83707,,                 23279,                154283,                128944,,,                 35700,,                -13352,,                 10741,                 11607,                140551,,                 27134,                113417,                113417,,,,,,                   -992,                112425,,                111641,                  1776,,                110649,                  1776,,                              0.73,,                              0.73,                   -992,,                              0,,,,,                 10741
2420,2013年04月01日至2013年06月30日,,,                863924,                863924,,,                584137,                584137,                279787,                279787,,,                 58111,,                 98512,,                 23792,                180415,                 99372,,,                 30856,,                 11719,,                 10492,                 32083,                131455,,                 28701,                102754,                102754,,,,,,                  1075,                103829,,                102077,                    677,,                103152,                    677,,                              0.67,,                              0.67,                  1075,,                              0,,                870818,                  6752,                    142,
2420,2013年01月01日至2013年12月31日,,,              3487133,              3487133,,,              2320911,              2320911,              1166222,              1166222,,,                230595,,                345262,,                101144,                677001,                489221,,,                117460,,                 39463,,                 36407,                120516,                609737,,                106558,                503179,                503179,,,,,,                  5247,                508426,,                498562,                  4617,,                503762,                  4664,,                              3.27,,                              3.26,                  4506,                    893,                    152,,              3508491,                 20297,                  1061,
2420,2013年01月01日至2013年09月30日,,,              2630911,              2630911,,,              1791375,              1791375,                839536,                839536,,,                159403,,                250290,,                 75584,                485277,                354259,,,                 79553,,                 15490,,                 23736,                 71307,                425566,,                 80301,                345265,                345265,,,,,,                  2477,                347742,,                341808,                  3457,,                344285,                  3457,,                              2.24,,                              2.23,                  2477,,                              0,,,,,                 23736
2420,2013年01月01日至2013年06月30日,,,              1722794,              1722794,,,              1166485,              1166485,                556309,                556309,,,                112106,,                166583,,                 52305,                330994,                225315,,,                 43853,,                 28842,,                 12995,                 59700,                285015,,                 53167,                231848,                231848,,,,,,                  3469,                235317,,                230167,                  1681,,                233636,                  1681,,                              1.51,,                              1.50,                  3469,,                              0,,,,,
2420,2013年01月01日至2013年03月31日,,,                858870,                858870,,,                582348,                582348,                276522,                276522,,,                 53995,,                 68070,,                 28513,                150578,                125944,,,                 12997,,                 17123,,                  2503,                 27617,                153561,,                 24466,                129095,                129095,,,,,,                  2394,                131489,,                128090,                  1005,,                130484,                  1005,,                              0.84,,                              0.84,                  2394,,                              0,,                868121,                  9108,                    143,
2420,2012年07月01日至2012年09月30日,,,,                928507,,,,                621862,                306645,                306645,,,                 47289,,                 79939,,                 25819,                153047,                153598,,,                  5568,,                -17820,,                    428,                -12680,                140918,,                 19793,                121125,                121125,,,,,,                 -3036,                118089,,                120303,                    822,,                117267,                    822,,                              0.79,,                              0.79,                 -3036,,                              0,,,,,                    428
2420,2012年04月01日至2012年06月30日,,,                918942,                918942,,,                635330,                635330,                283612,                283612,,,                 37820,,                 91059,,                 25526,                154405,                129207,,,                  6923,,                  9761,,                    400,                 16284,                145491,,                 71572,                 73919,                 73919,,,,,,                    538,                 74457,,                 72693,                  1226,,                 73231,                  1226,,                              0.48,,                              0.47,                    538,,                              0,,                919885,                    820,                    123,
2420,2012年01月01日至2012年12月31日,,,              3480885,              3480885,,,              2380025,              2380025,              1100860,              1100860,,,                223437,,                281132,,                103206,                607775,                493085,,,                 40609,,                -46257,,                  2239,                 -7887,                485198,,                144521,                340677,                340677,,,,,,                  7269,                347946,,                335804,                  4873,,                343073,                  4873,,                              2.20,,                              2.19,                 -4491,                 14170,                  2410,,              3489781,                  7543,                  1353,
2420,2012年01月01日至2012年09月30日,,,,              2674105,,,,              1831303,                842802,                842802,,,                143791,,                235428,,                 77987,                457206,                385596,,,                 35391,,                -32369,,                  1436,                  1586,                387182,,                111672,                275510,                275510,,,,,,                 -3981,                271529,,                273330,                  2180,,                269349,                  2180,,                              1.79,,                              1.78,                 -3981,,                              0,,,,,                  1436
2420,2012年01月01日至2012年06月30日,,,              1745598,              1745598,,,              1209441,              1209441,                536157,                536157,,,                 96502,,                155489,,                 52168,                304159,                231998,,,                 29823,,                -14549,,                  1008,                 14266,                246264,,                 91879,                154385,                154385,,,,,,                   -945,                153440,,                153027,                  1358,,                152082,                  1358,,                              1.00,,                              1.00,                   -945,,                              0,,              1747548,                  1464,                    486,
2420,2012年01月01日至2012年03月31日,,,                826656,                826656,,,                574111,                574111,                252545,                252545,,,                 58682,,                 64430,,                 26642,                149754,                102791,,,                 22900,,                -24310,,                    608,                 -2018,                100773,,                 20307,                 80466,                 80466,,,,,,                 -1483,                 78983,,                 80334,                    132,,                 78851,                    132,,                              0.53,,                              0.52,                 -1483,,                              0,,                827663,                    644,                    363,
