證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 處分投資利益,　　　 什項支出,　　　 處分投資損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　　 利息收入,　　　　 利息收入合計,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 其他費用-推銷費用,　　　 其他費用-管理費用,　　　 其他費用-研發費用,　　　　 銀行存款利息,　　　 採用權益法認列之關聯企業及合資損失之份額,　　 當期所得稅費用（利益）
3704,2014年01月01日至2014年03月31日,,,,              3870297,              3870297,              3870297,,              2811710,              1058587,              1058587,,,                418344,,                201120,,                411167,              1030631,                 27956,,,                 21261,                 21261,,                 37073,                              0,                 37073,,                  4084,                  4084,,                  2353,                 56603,                 84559,,                 33418,                 51141,                 51141,,,                 12085,,                  1757,                 10328,                 10328,                 61469,,                 51533,                   -392,,                 60113,                  1356,,                              0.11,,                              0.11,,                              0,                              0,,,,,,,,,,,,,,,,,,,,
3704,2013年第3季,,,,              4520035,              4520035,              4520035,,              3277561,              1242474,              1242474,,,                413676,,                220555,,                392198,              1026429,                216045,,,                 -1374,                 -1374,,                 13888,,                 13888,,                  2794,                  2794,,                  1989,                 11709,                227754,,                 31636,                196118,                196118,,,,,,,                -11114,                185004,,                194177,                  1941,,                184330,                    674,,                              0.41,,                              0.41,,,,,,,                -24266,                  9242,,                 -3910,,,,,,,,,,,,,
3704,2013年第2季,,,,              4206945,              4206945,              4206945,,              3320335,                886610,                886610,,,                369553,,                216066,,                395989,                981608,                -94998,,,                 58526,                 58526,,                 39835,,                 39835,,                  2573,                  2573,,                  1495,                 97283,                  2285,,                 12566,                -10281,                -10281,,,,,,,                 23167,                 12886,,                 -6581,                 -3700,,                 19205,                 -6319,,                             -0.01,,                             -0.01,,,,,,,                 31535,                 -2562,,                  5806,,,,,,,,,,,,,
3704,2013年度,,,,             17434116,             17434116,             17434116,,             13385695,              4048421,              4048421,,,              1439618,,                875709,,              1578171,              3893498,                154923,,,,                114209,,                182033,                              0,                234306,,                 11515,                 11515,,                -27581,                309419,                464342,,                117100,                347242,                347242,,,,,,,                103799,                451041,,                344147,                  3095,,                451830,                   -789,,                              0.72,,                              0.72,,,,                 56643,                  4370,                              0,                129658,                -10722,                  7565,                 22702,,,,,,,,,,,,,
3704,2013年07月01日至2013年09月30日,,,,              4520035,              4520035,              4520035,,              3277561,              1242474,              1242474,,,                413676,,                220555,,                392198,              1026429,                216045,,,,                 21913,,                 23581,,                 -9399,,                  2794,                  2794,,                  1989,                 11709,                227754,,                 31636,                196118,                196118,,,,,,,                -11114,                185004,,                194177,                  1941,,                185488,                   -484,,                              0.41,,,,,,                              0,                 32980,,                -24266,                  9242,,                 -3910,                              0.41,,,,,,,,,,,,
3704,2013年04月01日至2013年06月30日,,,,              4206945,              4206945,              4206945,,              3320335,                886610,                886610,,,                369553,,                216066,,                395989,                981608,                -94998,,,,                 48621,,                 39835,,                 49740,,                  2573,                  2573,,                  1495,                 97283,                  2285,,                 12566,                -10281,                -10281,,,,,,,                 23167,                 12886,,                 -6581,                 -3700,,                 19205,                 -6319,,                             -0.01,,,,,,                              0,                 -9905,,                 31535,                 -2562,,                  5806,                             -0.01,,                 48621,,,,,,,,,,
3704,2013年01月01日至2013年12月31日,,,,             17434116,             17434116,             17434116,,             13385695,              4048421,              4048421,,,              1439618,,                875709,,              1578171,              3893498,                154923,,,,                114209,,                214607,,                234306,,                 11515,                 11515,,                -27581,                309419,                464342,,                117100,                347242,                347242,,,,,,,                103799,                451041,,                344147,                  3095,,                451830,                   -789,,                              0.72,,                              0.72,,,,                 56643,                 36944,,                129658,                -10722,                  7565,                 22702,,,,,,,,,,,,,
3704,2013年01月01日至2013年09月30日,,,,             12049329,             12049329,             12049329,,              9194799,              2854530,              2854530,,,              1138614,,                610587,,              1140257,              2889458,                -34928,,,                 98811,                 98811,,                 91491,,                 91491,,                  7299,                  7299,,                   -373,                182630,                147702,,                 65810,                 81892,                 81892,,,,,,,                 72322,                154214,,                 80734,                  1158,,                154458,                   -244,,                              0.17,,                              0.17,,,,,,,                 72322,                 12533,,                 12533,,,,,,,,,,,,,
3704,2013年01月01日至2013年06月30日,,,,              7529294,              7529294,              7529294,,              5917238,              1612056,              1612056,,,                724938,,                390032,,                748059,              1863029,               -250973,,,                100185,                100185,,                 77603,,                 77603,,                  4505,                  4505,,                 -2362,                170921,                -80052,,                 34174,               -114226,               -114226,,,,,,,                 83436,                -30790,,               -113443,                   -783,,                -29872,                   -918,,                             -0.24,,                             -0.24,,,,,,,                 96588,                  3291,,                 16443,,,,,,,,,,,,,
3704,2013年01月01日至2013年03月31日,,,,              3322349,              3322349,              3322349,,              2596903,                725446,                725446,,,                355385,,                173966,,                352070,                881421,               -155975,,,                 41659,                 41659,,                 37768,,                 37768,,                  1932,                  1932,,                 -3857,                 73638,                -82337,,                 21608,               -103945,               -103945,,,,,,,                 60269,                -43676,,               -106862,                  2917,,                -49077,                  5401,,                             -0.22,,                             -0.22,,,,,,,                 65053,                  5853,,                 10637,,,,,,,,,,,,,
3704,2012年07月01日至2012年09月30日,,,,              3738720,              3738720,              3738720,,              2883534,                855186,                855186,,,                343062,,                182114,,                306212,                831388,                 23798,,,,                 26844,,                -17261,,                 28069,,                  1186,                  1186,,                              0,                 53727,                 77525,,                 57716,                 19809,                 19809,,,,,,,                -56963,                -37154,,                 17905,                  1904,,                -37742,                    588,,                              0.04,,,,,,                 53396,                  8066,,                -17981,                -42177,,                 -3195,                              0.04,,,,,,,,,,,,
3704,2012年04月01日至2012年06月30日,,,,              3720989,              3720989,              3720989,,              2824880,                896109,                896109,,,                367002,,                186981,,                351105,                905088,                 -8979,,,,                 36328,,                -62653,,                -60441,,                    301,                    301,,                              0,                -24414,                -33393,,                 22213,                -55606,                -55606,,,,,,,                -10737,                -66343,,                -56623,                  1017,,                -65943,                   -400,,                             -0.12,,,,,,                              0,                 -2212,,                -10085,                 -2125,,                 -1473,                             -0.12,,                 36328,,,,,,,,,,
3704,2012年01月01日至2012年12月31日,,,,             15079050,             15079050,             15079050,,             11690074,              3388976,              3388976,,,              1311333,,                773837,,              1361909,              3447079,                -58103,,,,                 89680,,                -87431,,                117251,,                  4103,                  4103,,                  3810,                206638,                148535,,                166073,                -17538,                -17538,,,,,,,               -192105,               -209643,,                -20488,                  2950,,               -213283,                  3640,,                             -0.04,,                             -0.04,,,,                185086,                -19596,,                -58868,               -164060,                 20698,                -10125,,,,,,,,,,,,,
3704,2012年01月01日至2012年09月30日,,,,             10764505,             10764505,             10764505,,              8334496,              2430009,              2430009,,,              1091968,,                536665,,                996481,              2625114,               -195105,,,,                 74055,,                -83946,,                105536,,                  1811,                  1811,,                              0,                177780,                -17325,,                140399,               -157724,               -157724,,,,,,,               -215537,               -373261,,               -159851,                  2127,,               -372697,                   -564,,                             -0.33,,,,,,                185086,                 -4396,,                -62052,               -163938,,                -10453,                             -0.33,,,,,,,,,,,,
3704,2012年01月01日至2012年06月30日,,,,              7025785,              7025785,              7025785,,              5450962,              1574823,              1574823,,,                748906,,                354551,,                690269,              1793726,               -218903,,,,                 47211,,                -66685,,                 77467,,                    625,                    625,,                              0,                124053,                -94850,,                 82683,               -177533,               -177533,,,,,,,               -158574,               -336107,,               -177756,                    223,,               -334955,                 -1152,,                             -0.37,,,,,,                131690,                -12462,,                -44071,               -121761,,                 -7258,                             -0.37,,                 47211,,,,,,,,,,
3704,2012年01月01日至2012年03月31日,,,,              3304796,              3304796,              3304796,,              2626082,                678714,                678714,,,                381904,,                167570,,                339164,                888638,               -209924,,,                 14687,                 21133,,                 -4032,,                127658,,                    324,                    324,,                              0,                148467,                -61457,,                 60470,               -121927,               -121927,,,,,,,               -147837,               -269764,,               -121133,                   -794,,               -269012,                   -752,,                             -0.25,,,,,,                131690,,,                -33986,               -119636,,                 -5785,                             -0.25,,                  6446,              3304796,,              2626082,              2626082,                381904,                167570,                339164,                  6446,                              0,                 60470
