證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　　 外幣兌換損失,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
4720,2013年01月01日至2013年12月31日,,,,              2135331,                  7591,                  1121,              2126619,              2126619,,,              1653652,              1653652,                472967,                      6,,                472961,,,                228956,,                113719,,                 59256,                401931,                 71030,,,,                  2428,                 23731,                 26159,,,                              0,                 11841,                    127,                  2805,                  1856,                -31713,,                  4912,                  4912,,                 16597,                  6131,                 77161,,                 25171,                 51990,                 51990,,,,,,                 38138,                 90128,,                 50886,                  1104,,                 82532,                  7596,,                              0.68,,                              0.67,,                              0,                              0.68,                              0.67,,                 39020,                 39020,                 43655,                    801,,,                  6318
4720,2013年01月01日至2013年09月30日,,,,              1579549,                  4724,                    949,              1573876,              1573876,,,              1213985,              1213985,                359891,                              0,                     17,                359908,,,                169017,,                 84005,,                 45285,                298307,                 61601,,,,                  1845,                 17977,                 19822,,                              0,                              0,                  7589,                    123,                  2167,                  1911,                -24478,,                  3637,                  3637,,                 11976,                  3683,                 65284,,                 22989,                 42295,                 42295,,,,,,                 20379,                 62674,,                 41771,                    524,,                 61574,                  1100,,                              0.55,,,,                              0,,,,                 28112,                 28112,                 24434,,,,                  4055
4720,2013年01月01日至2013年06月30日,,,,              1033009,                  2240,                    628,              1030141,              1030141,,,                794247,                794247,                235894,                     79,                              0,                235815,,,                108684,,                 56009,,                 30712,                195405,                 40410,,,,                    868,                 12583,                 13451,,,,                  8424,                    104,                  1203,                    186,                  2838,,                  2338,                  2338,,                  5728,                 19679,                 60089,,                 20614,                 39475,                 39475,,,,,,                 25976,                 65451,,                 39278,                    197,,                 64677,                    774,,                              0.52,,                              0.52,,                              0,,,,                  4301,                  4301,                 31178,,,,                  5202
4720,2013年01月01日至2013年03月31日,,,,                477511,                  1110,                    186,                476215,                476215,,,                367976,                367976,                108239,                    135,,                108104,,,                 49989,,                 28730,,                 16252,                 94971,                 13133,,,,                    153,                  4736,                  4889,,,,                  4180,                     62,                    727,                      4,                  1290,,                  1215,                  1215,,                  2068,                  7032,                 20165,,                  9743,                 10422,                 10422,,,,,,                 20582,                 31004,,                 10164,                    258,,                 30169,                    835,,                              0.13,,                              0.13,,,                              0.13,                              0.13,,                  2221,                  2221,                 24679,,,,                  4097
4720,2012年07月01日至2012年09月30日,,,,                590744,                  3242,                    821,                586681,                586681,,,                453039,                453039,                133642,                     75,                              0,                133567,,,                 62080,,                 25229,,                 18804,                106113,                 27454,,,,                    265,                  6777,                  7042,,,,                              0,                     10,                  3358,                     65,                 -6039,,                  1470,                  1470,,                  4414,                  3947,                 31401,,                 10848,                 20553,                 20553,,,,,,                 -7066,                 13487,,                 20134,                    419,,                 13152,                    335,,                              0.27,,                              0.27,,                  2626,,,,                              0,                              0,                 -8496,,,,                 -1430
4720,2012年04月01日至2012年06月30日,,,,                613087,                  4505,                  3428,                605154,                605154,,,                477708,                477708,                127446,                              0,                     50,                127496,,,                 56936,,                 24552,,                 16858,                 98346,                 29150,,,,                    445,                  7191,                  7636,,,,                  1580,                     67,                              0,                    301,                 -3407,,                  2497,                  2497,,                  5119,                  6851,                 36001,,                  9476,                 26525,                 26525,,,,,,                  3792,                 30317,,                 26079,                    446,,                 29871,                    446,,                              0.35,,                              0.34,,                              0,,,,                  4753,                  4753,                  4569,,,,                    777
4720,2012年01月01日至2012年12月31日,,,,              2299769,                  9941,                  6753,              2283075,              2283075,,,              1788502,              1788502,                494573,                     20,,                494553,,,                230410,,                105897,,                 69842,                406149,                 88404,,,,                  1277,                 26871,                 28148,,,                  3215,                              0,                    139,                  3652,                    415,                -17990,,                  6108,                  6108,,                 11593,                 15643,                104047,,                 25724,                 78323,                 78323,,,,,,                -21880,                 56443,,                 76488,                  1835,,                 55774,                    669,,                              1.02,,                              1.01,,                  4752,                              1.02,                              1.01,,                 12525,                 12525,                -25600,                   -434,,,                 -4154
4720,2012年01月01日至2012年09月30日,,,,              1766500,                  9049,                  5823,              1751628,              1751628,,,              1371513,              1371513,                380115,                     99,                              0,                380016,,,                171972,,                 73661,,                 51686,                297319,                 82697,,,,                    843,                 18382,                 19225,,,,                              0,                    129,                  4598,                    375,                -14315,,                  4785,                  4785,,                  7672,                  7797,                 90494,,                 27773,                 62721,                 62721,,,,,,                -15942,                 46779,,                 61672,                  1049,,                 45814,                    965,,                              0.82,,                              0.82,,                  4718,,,,                  4753,                  4753,                -19190,,,,                 -3248
4720,2012年01月01日至2012年06月30日,,,,              1175756,                  5807,                  5002,              1164947,              1164947,,,                918474,                918474,                246473,                     24,                              0,                246449,,,                109892,,                 48432,,                 32882,                191206,                 55243,,,,                    578,                 11605,                 12183,,,,                              0,                    119,                  1240,                    310,                 -8276,,                  3315,                  3315,,                  3258,                  3850,                 59093,,                 16925,                 42168,                 42168,,,,,,                 -8876,                 33292,,                 41538,                    630,,                 32662,                    630,,                              0.55,,                              0.55,,                  2092,,,,                  4753,                  4753,                -10694,,,,                 -1818
4720,2012年01月01日至2012年03月31日,,,,                562669,                  1302,                  1574,                559793,                559793,,,                440766,                440766,                119027,                     74,,                118953,,,                 52956,,                 23880,,                 16024,                 92860,                 26093,,,,                    133,                  5205,                  5338,,,,                              0,                     52,                  2031,                      9,                 -5660,,                    818,                    818,,                 -1861,                 -3001,                 23092,,                  7449,                 15643,                 15643,,,,,,                -12668,                  2975,,                 15459,                    184,,                  2791,                    184,,                              0.21,,                              0.21,                562669,                  3672,                              0.21,                              0.21,,                              0,                              0,                -15263,,,,                 -2595
