證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 什項支出,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 租金收入,　　　 外幣兌換利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 廉價購買利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分投資損失,　　　 減損損失,　　　　 減損損失合計
1907,2014年01月01日至2014年03月31日,,,             12567842,,              1508561,             14076403,,,             10924986,              1106714,             12031700,              2044703,              2044703,,,              1202841,,                798500,,                 27272,              2028613,,                 32022,                 32022,                 48112,,,,                 53556,,                 99149,                163337,,                  9492,                 30751,                 21744,                145008,                  9976,               -136485,,                200606,,               -122022,               -295776,               -247664,,                 72019,               -319683,               -319683,,,                465067,              6050693,                  2979,,              1096553,              7615292,              7615292,              7295609,,               -333763,                 14080,,              6909640,                385969,,                             -0.20,                             -0.20,,                             -0.20,                             -0.20,                 10632,,,,,,,,,,,,
1907,2013年第3季,,,             12844155,,              1590586,             14434741,,,             11423597,              1078211,             12501808,              1932933,              1932933,,,              1282402,,                729357,,                 30116,              2041875,,                  3243,                  3243,               -105699,,,,                 39086,                334606,                 82155,                455847,,                 18324,                  1087,                 40601,                              0,                 -2997,                 29487,,                172633,,                101186,                413887,                308188,,                118133,                190055,                190055,,,,,,,,,                228742,                418797,,                233714,                -43659,,                499944,                -81147,,                              0.14,                              0.14,,                              0.14,                              0.14,,                 47680,               -336399,                550336,                 10559,,,                  4246,,,,,
1907,2013年第2季,,,             12663358,,              1362805,             14026163,,,             11204135,                924863,             12128998,              1897165,              1897165,,,              1168909,,                722614,,                 24432,              1915955,,                 23215,                 23215,                  4425,,,,                 37271,,                145139,                182410,,                  3905,                 21373,                 30738,                              0,                 42626,                134025,,                144611,,                -84267,                 87557,                 91982,,                117679,                -25697,                -25697,,,,,,,,,                733254,                707557,,                -57607,                 31910,,                599328,                108229,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,                182111,                386395,                273493,                 -2970,,,                 76336,,,,,
1907,2013年度,,,             50539240,,              6194185,             56733425,,,             44406146,              4353120,             48759266,              7974159,              7974159,,,              4969703,,              2979244,,                109119,              8058066,,                 14321,                 14321,                -69586,,,,                150778,                351867,                360917,                863562,,                 62096,                380558,                108533,,                 30167,                731955,,                660234,,                185089,              1120372,              1050786,,                482767,                568019,                568019,,,,,,,,,              4108973,              4676992,,                610546,                -42527,,              4432951,                244041,,                              0.37,                              0.37,,                              0.37,                              0.37,,                428001,              1045590,              2712889,                -17416,                114607,,                253303,,,,,
1907,2013年07月01日至2013年09月30日,,,             12844155,,              1590586,             14434741,,,             11423597,              1078211,             12501808,              1932933,              1932933,,,              1282402,,                729357,,                 30116,              2041875,,                  3243,                  3243,               -105699,,,,                 39086,                334606,                 82155,                455847,,                 18324,                  1087,                 40601,                              0,                 -2997,                 29487,,                172633,,                101186,                413887,                308188,,                118133,                190055,                190055,,,,,,,,,                228742,                418797,,                233714,                -43659,,                499944,                -81147,,                              0.14,                              0.14,,                              0.14,                              0.14,,                 47680,               -336399,                550336,                 10559,,,                  4246,,                              0,,,
1907,2013年04月01日至2013年06月30日,,,             12663358,,              1362805,             14026163,,,             11204135,                924863,             12128998,              1897165,              1897165,,,              1168909,,                722614,,                 24432,              1915955,,                 23215,                 23215,                  4425,,,,,,,                182410,,                  3905,                 21373,                 30738,                              0,                 42626,                134025,,                144611,,                -84267,                 87557,                 91982,,                117679,                -25697,                -25697,,,,,,,,,                733253,                707556,,                -57607,                 31910,,                599327,                108229,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,                182111,                386395,                273493,                 -2971,,,                 76336,,                              0,,,
1907,2013年01月01日至2013年12月31日,,,             50539240,,              6194185,             56733425,,,             44406146,              4353120,             48759266,              7974159,              7974159,,,              4969703,,              2979244,,                109119,              8058066,,                 14321,                 14321,                -69586,,,,                150778,                351867,                360917,                863562,,                 62096,                380558,                108533,,                 30167,                731955,,                660234,,                185089,              1120372,              1050786,,                482767,                568019,                568019,,,,,,,,,              4108973,              4676992,,                610546,                -42527,,              4432951,                244041,,                              0.37,                              0.37,,                              0.37,                              0.37,,                428001,              1045590,              2712889,                -17416,                114607,,                253303,                              0,                              0,                              0,,                              0
1907,2013年01月01日至2013年09月30日,,,             37452384,,              4661597,             42113981,,,             32911825,              3288244,             36200069,              5913912,              5913912,,,              3629440,,              2144783,,                 78264,              5852487,,                 37521,                 37521,                 98946,,,,                106282,                341417,                293912,                741611,,                 40550,                146748,                 85528,                              0,                 40751,                354697,,                478952,,                -30072,                587284,                686230,,                350039,                336191,                336191,,,,,,,,,              2766459,              3102650,,                300121,                 36070,,              2853714,                248936,,                              0.18,                              0.18,,                              0.18,                              0.18,,                293678,                704197,              1948766,                -19533,,,                133029,,,,,
1907,2013年01月01日至2013年06月30日,,,             24608229,,              3071011,             27679240,,,             21488228,              2210033,             23698261,              3980979,              3980979,,,              2347038,,              1415426,,                 48148,              3810612,,                 34278,                 34278,                204645,,,,                 67196,,                218568,                285764,,                 22226,                145661,                 44927,                              0,                 43748,                325210,,                306319,,               -131258,                173397,                378042,,                231906,                146136,                146136,,,,,,,,,              2537717,              2683853,,                 66407,                 79729,,              2353770,                330083,,                              0.04,                              0.04,,                              0.04,                              0.04,,                245998,              1040596,              1398430,                -30092,,,                128783,,,,,
1907,2013年01月01日至2013年03月31日,,,             11944871,,              1708206,             13653077,,,             10284093,              1285170,             11569263,              2083814,              2083814,,,              1178129,,                692812,,                 23716,              1894657,,                 11063,                 11063,                200220,,,,                 29925,,                 73429,                103354,,                 18321,                124288,                 14189,                              0,                  1122,                191185,,                161708,,                -46991,                 85840,                286060,,                114227,                171833,                171833,,,,,,,,,              1804463,              1976296,,                124014,                 47819,,              1754442,                221854,,                              0.07,                              0.07,,                              0.07,                              0.07,,                 63887,                654201,              1124937,                -27122,,,                 52447,,,,,
1907,2012年07月01日至2012年09月30日,,,             11585888,,              1590311,             13176199,,,              9641810,              1155247,             10797057,              2379142,              2379142,,,              1113647,,                656441,,                 23803,              1793891,,                              0,                              0,                585251,,,,                 16283,                173182,                 56795,                246260,,                  1616,                 22076,                 -1212,                 35319,                              0,                 -4236,,                148437,,                 65025,                158612,                743863,,                112639,                631224,                631224,,,,,,,,,                551413,              1182637,,                533230,                 97994,,              1118486,                 64151,,                              0.32,                              0.32,,                              0.32,                              0.32,,                              0,               -390929,                932567,                 26458,,,                -16683,,                  6179,,,
1907,2012年04月01日至2012年06月30日,,,             12131871,,              1602529,             13734400,,,             10081163,              1181871,             11263034,              2471366,              2471366,,,              1049400,,                662430,,                 20683,              1732513,,                              0,                              0,                738853,,,,,,,                 91929,,                  7649,                  2695,                 22264,                 27952,                  2612,                -42484,,                137321,,                -51623,               -139499,                599354,,                205277,                394077,                394077,,,,,,,,,                265837,                659914,,                290069,                104008,,                550445,                109469,,                              0.17,                              0.17,,                              0.17,                              0.17,,                              0,                186552,                114023,                -46187,,,                 11449,,                              0,,,
1907,2012年01月01日至2012年12月31日,,,             47667977,,              6291747,             53959724,,,             39955477,              4586243,             44541720,              9418004,              9418004,,,              4474574,,              2776828,,                 85644,              7337046,,                -37414,                -37414,              2043544,,,,                 98302,                175505,                360937,              5097800,,                 26010,                              0,                132882,,                              0,               -333904,,                580991,,                117747,              4300652,              6344196,,                484148,              5860048,              5860048,,,,,,,,,              1641290,              7501338,,              3283050,              2576998,,              5017100,              2484238,,                              1.98,                              1.98,,                              1.98,                              1.98,,                  2412,               -466991,              2491536,                 20141,               -329110,,                -74286,              4463056,                 23364,                240602,,                 12206
1907,2012年01月01日至2012年09月30日,,,             35100701,,              4732438,             39833139,,,             29324852,              3490520,             32815372,              7017767,              7017767,,,              3211303,,              1976375,,                 62278,              5249956,,                              0,                              0,              1767811,,,,                 66494,                173182,                201671,                441347,,                 21676,                 38357,                 36508,                 71639,                              0,                -26442,,                427251,,                -82824,                -95170,              1672641,,                404756,              1267885,              1267885,,,,,,,,,              1451882,              2719767,,                997708,                270177,,              2520297,                199470,,                              0.60,                              0.60,,                              0.60,                              0.60,,                              0,               -666126,              2148142,                  2861,,,                -32995,,                 21672,,,
1907,2012年01月01日至2012年06月30日,,,             23514813,,              3142127,             26656940,,,             19683042,              2335273,             22018315,              4638625,              4638625,,,              2097656,,              1319934,,                 38475,              3456065,,                              0,                              0,              1182560,,,,,,,                195087,,                 20060,                 16281,                 37720,                 36320,                              0,                -22206,,                278814,,               -147849,               -253782,                928778,,                292117,                636661,                636661,,,,,,,,,                900469,              1537130,,                464478,                172183,,              1401811,                135319,,                              0.28,                              0.28,,                              0.28,                              0.28,,                              0,               -275197,              1215575,                -23597,,,                -16312,,                 15493,,,
1907,2012年01月01日至2012年03月31日,,,             11382941,,              1539598,             12922539,,,              9601879,              1153401,             10755280,              2167259,              2167259,,,              1048256,,                657504,,                 17792,              1723552,,                              0,                              0,                443707,,,,,,,                103158,,                 12412,                 13586,                 15456,                  8368,                              0,                 20279,,                141494,,                -96226,               -114283,                329424,,                 86840,                242584,                242584,,,,,,,,,                634632,                877216,,                174409,                 68175,,                851366,                 25850,,                              0.11,                              0.11,,                              0.11,                              0.11,,                              0,               -461749,              1101552,                 22590,,,                -27761,,                 18105,,,
