證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　　 銷貨收入,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 利息收入合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）
6216,2013年第2季,,,,                189776,                    218,                     63,                189495,                189495,,                 97839,                 91656,                 91656,,,                 12646,,                 21922,,                 25796,                 60364,                 31292,,,                    690,,                  5376,                  6066,                 37358,,                  7259,                 30099,                 30099,,,,,,,                  4455,                 34554,,                 30099,,                 34554,,                              0.40,,                              0.39,,                  1826,                  1503,,                 -1126,,,,,,,,
6216,2013年度,,,,                829023,                    808,                    112,                828103,                828103,,                421844,                406259,                406259,,,                 53120,,                 91632,,                105472,                250224,                156035,,,                  3930,,                 15229,                 19159,                175194,,                 25225,                149969,                149969,,,,,,,                 19791,                169760,,                149969,,                169760,,                              2.00,,                              1.96,                829023,                  6352,                 12687,                  1243,                    491,,,,,,,,
6216,2013年07月01日至2013年09月30日,,,,                206347,                    175,                     25,                206147,                206147,,                106893,                 99254,                 99254,,,                 13920,,                 21612,,                 24124,                 59656,                 39598,,,                    983,,                  1285,                  2268,                 41866,,                  7682,                 34184,                 34184,,,,,,,                   -494,                 33690,,                 34184,,                 33690,,                              0.46,,                              0.45,,                   -809,                    178,,                   -137,,,,,,,,
6216,2013年04月01日至2013年06月30日,,,,                189776,                    218,                     63,                189495,                189495,,                 97839,                 91656,                 91656,,,                 12646,,                 21922,,                 25796,                 60364,                 31292,,,                    690,,                  5376,                  6066,                 37358,,                  7259,                 30099,                 30099,,,,,,,                  4455,                 34554,,                 30099,,                 34554,,                              0.40,,                              0.39,,                  1826,                  1503,,                 -1126,,,,,,,,
6216,2013年01月01日至2013年12月31日,,,,                829023,                    808,                    112,                828103,                828103,,                421844,                406259,                406259,,,                 53120,,                 91632,,                105472,                250224,                156035,,,                  3930,,                 15229,                 19159,                175194,,                 25225,                149969,                149969,,,,,,,                 19791,                169760,,                149969,,                169760,,                              2.00,,                              1.96,                829023,                  6352,                 12687,                  1243,                    491,,,,,,,,
6216,2013年01月01日至2013年09月30日,,,,                589890,                    584,                     88,                589218,                589218,,                300973,                288245,                288245,,,                 37628,,                 70456,,                 76536,                184620,                103625,,,                  2591,,                 10315,                 12906,                116531,,                 21194,                 95337,                 95337,,,,,,,                 13640,                108977,,                 95337,,                108977,,                              1.27,,                              1.25,,                  4236,                 10124,,                    720,,,,,,,,
6216,2013年01月01日至2013年06月30日,,,,                383543,                    409,                     63,                383071,                383071,,                194080,                188991,                188991,,,                 23708,,                 48844,,                 52412,                124964,                 64027,,,                  1608,,                  9030,                 10638,                 74665,,                 13512,                 61153,                 61153,,,,,,,                 14134,                 75287,,                 61153,,                 75287,,                              0.82,,                              0.80,,                  5045,                  9946,,                    857,,,,,,,,
6216,2013年01月01日至2013年03月31日,,,,                193767,                    191,                              0,                193576,                193576,,                 96241,                 97335,                 97335,,,                 11062,,                 26922,,                 26616,                 64600,                 32735,,,                    918,,                  3654,                  4572,                 37307,,                  6253,                 31054,                 31054,,,,,,,                  9679,                 40733,,                 31054,,                 40733,,                              0.42,,                              0.41,                193767,                  3219,                  8443,,                  1983,,,,,,,,
6216,2012年07月01日至2012年09月30日,,,,                210779,                    192,                    186,                210401,                210401,,                108468,                101933,                101933,,,                 14282,,                 21098,,                 27385,                 62765,                 39168,,,                  1902,,                 -2053,                   -151,                 39017,,                  3841,                 35176,                 35176,,,,,,,                    778,                 35954,,                 35176,,                 35954,,                              0.47,,                              0.46,,                  3992,                 -2536,,                    678,,,,,,,,
6216,2012年04月01日至2012年06月30日,,,,                217915,                    -11,                    -73,                217999,                217999,,                119769,                 98230,                 98230,,,                 13207,,                 20662,,                 24325,                 58194,                 40036,,,                  1770,,                 -4569,                 -2799,                 37237,,                    730,                 36507,                 36507,,,,,,,                 -4087,                 32420,,                 36507,,                 32420,,                              0.49,,                              0.48,,                 -3948,                   -810,,                   -671,,,,,,,,
6216,2012年01月01日至2012年12月31日,,,,                811376,                    662,                    913,                809801,                809801,,                428101,                381700,                381700,,,                 52579,,                 88278,,                101332,                242189,                139511,,,                  5379,,                -13785,                 -8406,                131105,,                 12438,                118667,                118667,,,,,,,                -11054,                107613,,                118667,,                107613,,                              1.59,,                              1.56,                811376,                 -4462,                 -2638,                 -4713,                   -759,,,,,,,,
6216,2012年01月01日至2012年09月30日,,,,                632081,                    393,                    810,                630878,                630878,,                334293,                296585,                296585,,,                 40985,,                 66110,,                 75898,                182993,                113592,,,                  4803,,                -16105,                -11302,                102290,,                  9639,                 92651,                 92651,,,,,,,                   -800,                 91851,,                 92651,,                 91851,,                              1.24,,                              1.22,,                  2097,                 -2541,,                    356,,,,,,,,
6216,2012年01月01日至2012年06月30日,,,,                421302,                    201,                    624,                420477,                420477,,                225825,                194652,                194652,,,                 26703,,                 45012,,                 48513,                120228,                 74424,,,                  2901,,                -14052,                -11151,                 63273,,                  5798,                 57475,                 57475,,,,,,,                 -1578,                 55897,,                 57475,,                 55897,,                              0.77,,                              0.76,,                 -1895,                     -5,,                   -322,,,,,,,,
6216,2012年01月01日至2012年03月31日,,,,                203387,                    212,                    697,                202478,                202478,,                106056,                 96422,                 96422,,,                 13496,,                 24350,,                 24188,                 62034,                 34388,,,                    625,,                 -8977,                 -8352,                 26036,,                  5068,                 20968,                 20968,,,,,,,                  2509,                 23477,,                 20968,,                 23477,,                              0.28,,                              0.28,                203387,                  1704,                    805,,,,                    625,                    744,                              0,                   -506,                              0,                 10227,                  5068
