證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3060,2014年01月01日至2014年03月31日,,              1664470,,              1297548,                366922,                366922,,,                 51693,,                 74557,,                 42157,                168407,                198515,,,                 17496,,                -21452,,                  1728,,                 24850,                 19166,                217681,,                 75499,                142182,                142182,,,                 88618,                 13326,                 75292,                 75292,                217474,,                132572,                  9610,,                202993,                 14481,,                              0.76,,                              0.76,,,,
3060,2013年第3季,,              1519569,,              1212901,                306668,                306668,,,                 46170,,                 73882,,                 42952,                163004,                143664,,,                 12523,,                 27809,,                  1990,,                 21409,                 59751,                203415,,                 69179,                134236,                134236,,,,,,               -109071,                 25165,,                131306,                  2930,,                 31131,                 -5966,,                              0.76,,                              0.75,,              1519569,               -129457,                -20386
3060,2013年第2季,,              1666602,,              1408060,                258542,                258542,,,                 47313,,                 80712,,                 44618,                172643,                 85899,,,                 22121,,                 14099,,                  2546,,                 20340,                 54014,                139913,,                 53580,                 86333,                 86333,,,,,,                -36830,                 49503,,                 88413,                 -2080,,                 54115,                 -4612,,                              0.52,,                              0.52,,              1666602,                -43260,                 -6430
3060,2013年度,,              6576544,,              5402168,              1174376,              1174376,,,                180734,,                298302,,                181836,                660872,                513504,,,                 60346,,                 78591,,                 10988,,                 85953,                213902,                727406,,                200087,                527319,                527319,,,,,,               -105203,                422116,,                516107,                 11212,,                439917,                -17801,,                              3.00,,                              2.96,,              6576544,               -120148,                -14945
3060,2013年07月01日至2013年09月30日,,              1519569,,              1212901,                306668,                306668,,,                 46170,,                 73882,,                 42952,                163004,                143664,,,                 12523,,                 27809,,                  1990,,                 21409,                 59751,                203415,,                 69179,                134236,                134236,,,,,,               -109071,                 25165,,                131306,                  2930,,                 31131,                 -5966,,                              0.76,,                              0.75,,,               -129457,                -20386
3060,2013年04月01日至2013年06月30日,,              1666602,,              1408060,                258542,                258542,,,                 47313,,                 80712,,                 44618,                172643,                 85899,,,                 22121,,                 14099,,                  2546,,                 20340,                 54014,                139913,,                 53580,                 86333,                 86333,,,,,,                -36830,                 49503,,                 88413,                 -2080,,                 54115,                 -4612,,                              0.52,,                              0.52,,,                -36830,                              0
3060,2013年01月01日至2013年12月31日,,              6576544,,              5402168,              1174376,              1174376,,,                180734,,                298302,,                181836,                660872,                513504,,,                 60346,,                 78591,,                 10988,,                 85953,                213902,                727406,,                200087,                527319,                527319,,,,,,               -105203,                422116,,                516107,                 11212,,                439917,                -17801,,                              3.00,,                              2.96,,,               -120148,                -14945
3060,2013年01月01日至2013年09月30日,,              4782157,,              3995456,                786701,                786701,,,                135573,,                232934,,                129871,                498378,                288323,,,                 46281,,                105222,,                  9089,,                 54399,                196813,                485136,,                150664,                334472,                334472,,,,,,                -83120,                251352,,                332756,                  1716,,                256973,                 -5621,,                              1.94,,                              1.92,,              4782157,                -99113,                -15993
3060,2013年01月01日至2013年06月30日,,              3262588,,              2782555,                480033,                480033,,,                 89403,,                159052,,                 86919,                335374,                144659,,,                 33758,,                 77413,,                  7099,,                 32990,                137062,                281721,,                 81485,                200236,                200236,,,,,,                 25951,                226187,,                201450,                 -1214,,                225842,                    345,,                              1.19,,                              1.17,,              3262588,                 30747,                  4796
3060,2013年01月01日至2013年03月31日,,              1595986,,              1374495,                221491,                221491,,,                 42090,,                 78340,,                 42301,                162731,                 58760,,,                 11637,,                 63314,,                  4553,,                 12650,                 83048,                141808,,                 27905,                113903,                113903,,,,,,                 62781,                176684,,                113037,                    866,,                171727,                  4957,,                              0.66,,                              0.66,,              1595986,                 74007,                 11226
3060,2012年07月01日至2012年09月30日,,              1456394,,              1227421,                228973,                228973,,,                 44644,,                 90411,,                 51454,                186509,                 42464,,,                 13837,,                -25024,,                  8558,,                 24897,                  5152,                 47616,,                 14822,                 32794,                 32794,,,,,,                 25668,                 58462,,                 50624,                -17830,,                 73425,                -14963,,                              0.31,,                              0.31,,,                 30338,                  4670
3060,2012年04月01日至2012年06月30日,,              1942762,,              1636159,                306603,                306603,,,                 58623,,                136358,,                 46865,                241846,                 64757,,,                747084,,                 27159,,                  9133,,                 87966,                853076,                917833,,                135766,                782067,                782067,,,,,,                -41847,                740220,,                761702,                 20365,,                724116,                 16104,,                              4.64,,                              4.39,,,                -41847,                              0
3060,2012年01月01日至2012年12月31日,,              6805313,,              5625565,              1179748,              1179748,,,                197126,,                409189,,                186142,                792457,                387291,,,                794031,,                -56608,,                 31316,,                120451,                826558,              1213849,,                214273,                999576,                999576,,,,,,                -54517,                945059,,              1018359,                -18783,,                964874,                -19815,,                              6.15,,                              5.89,,,                -61728,                 -7211
3060,2012年01月01日至2012年09月30日,,              5346543,,              4243014,              1103529,              1103529,,,                155809,,                342063,,                146287,                644159,                459370,,,                768458,,                -20012,,                 26341,,                 90955,                813060,              1272430,,                222663,              1049767,              1049767,,,,,,                -15627,              1034140,,              1060265,                -10498,,              1044034,                 -9894,,                              6.44,,                              6.11,,,                -18951,                 -3324
3060,2012年01月01日至2012年06月30日,,              3890149,,              3015593,                874556,                874556,,,                111165,,                251652,,                 94833,                457650,                416906,,,                754621,,                  5012,,                 17783,,                 66058,                807908,              1224814,,                207841,              1016973,              1016973,,,,,,                -41295,                975678,,              1009641,                  7332,,                970609,                  5069,,                              6.15,,                              5.82,,,                -41295,                              0
3060,2012年01月01日至2012年03月31日,,              1947387,,              1379434,                567953,                567953,,,                 52542,,                115294,,                 47968,                215804,                352149,,,                  7537,,                -22147,,                  8650,,                -21908,                -45168,                306981,,                 72075,                234906,                234906,,,,,,                    552,                235458,,                247939,                -13033,,                246493,                -11035,,                              1.51,,                              1.44,,,                    552,                              0
