證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
1472,2014年01月01日至2014年03月31日,,,                217481,                217481,,,                216401,                216401,                  1080,                  1080,,,                  9995,,                  8154,,                  3665,                 21814,,                  1454,                -19280,,,                  1111,,                  2991,,                  3379,                  3379,                    723,                -18557,,                     -8,                -18549,                -18549,,,                  4071,                  4071,                  4071,                -14478,,                -17796,                   -753,,                -13725,                   -753,,                             -0.26,                             -0.26,,,,,,,,
1472,2013年第3季,,,                232407,                232407,,,                207443,                207443,                 24964,                 24964,,,                 14603,,                 11506,,                  3786,                 29895,,                    496,                 -4435,,,                  2137,,                   -512,,                  4729,                  4729,                 -3104,                 -7539,,                              0,                 -7539,                 -7539,,,,,                 -2927,                -10466,,                 -8461,                    922,,                -11388,                    922,,                             -0.13,                             -0.13,                 -3527,,                   -600,,,,,
1472,2013年第2季,,,                213059,                213059,,,                205083,                205083,                  7976,                  7976,,,                 15264,,                  9154,,                  5615,                 30033,,                -17795,                -39852,,,                  1397,,                 -3329,,                  4715,                  4715,                 -6647,                -46499,,                 -1350,                -45149,                -45149,,,,,                 -5342,                -50491,,                -33987,                -11162,,                -39329,                -11162,,                             -0.53,                             -0.53,                 -6436,,                 -1094,                              0,                              0,,,
1472,2013年度,,,                882072,                882072,,,                836601,                836601,                 45471,                 45471,,,                 58972,,                 37506,,                 22441,                118919,,                -22320,                -95768,,,                  6079,,                    144,,                 17584,                 17584,                -11361,               -107129,,                 -1359,               -105770,               -105770,,,,,                -10033,               -115803,,                -90313,                -15457,,               -100346,                -15457,,                             -1.37,                             -1.37,                 -8339,                 -1694,,,,,,
1472,2013年07月01日至2013年09月30日,,,                232407,                232407,,,                207443,                207443,                 24964,                 24964,,,,,,,,                 29895,,                    496,                 -4435,,,                  2137,,                   -512,,                  4729,                  4729,                 -3104,                 -7539,,                              0,                 -7539,                 -7539,,,,,                 -2927,                -10466,,                 -8461,                    922,,                -11388,                    922,,                             -0.13,                             -0.13,                 -2927,,,,,,                             -0.13,                             -0.13
1472,2013年04月01日至2013年06月30日,,,                213059,                213059,,,                205083,                205083,                  7976,                  7976,,,,,,,,                 30033,,                -17795,                -39852,,,                  1397,,                 -3329,,                  4715,                  4715,                 -6647,                -46499,,                 -1350,                -45149,                -45149,,,,,                 -5342,                -50491,,                -33987,                -11162,,                -39329,                -11162,,                             -0.53,                             -0.53,                 -5342,,,,,,,
1472,2013年01月01日至2013年12月31日,,,                882072,                882072,,,                836601,                836601,                 45471,                 45471,,,                 58972,,                 37506,,                 22441,                118919,,                -22320,                -95768,,,                  6079,,                    144,,                 17584,                 17584,                -11361,               -107129,,                 -1359,               -105770,               -105770,,,,,                -10033,               -115803,,                -90313,                -15457,,               -100346,                -15457,,                             -1.37,                             -1.37,                 -8339,                 -1694,,,,,,
1472,2013年01月01日至2013年09月30日,,,                651082,                651082,,,                624390,                624390,                 26692,                 26692,,,                 46192,,                 28871,,                 15599,                 90662,,                -16894,                -80864,,,                  4842,,                   -559,,                 13797,                 13797,                 -9514,                -90378,,                 -1367,                -89011,                -89011,,,,,                 -2495,                -91506,,                -74863,                -14148,,                -77358,                -14148,,                             -1.16,                             -1.16,                 -3005,,                   -510,,,,,
1472,2013年01月01日至2013年06月30日,,,                418675,                418675,,,                416947,                416947,                  1728,                  1728,,,                 31589,,                 17365,,                 11813,                 60767,,                -17390,                -76429,,,                  2705,,                    -47,,                  9068,                  9068,                 -6410,                -82839,,                 -1367,                -81472,                -81472,,,,,                    432,                -81040,,                -66402,                -15070,,                -65970,                -15070,,                             -1.03,                             -1.03,                    522,,                     90,                              0,                              0,,,
1472,2013年01月01日至2013年03月31日,,,                205616,                205616,,,                211864,                211864,                 -6248,                 -6248,,,                 16325,,                  8211,,                  6198,                 30734,,                    405,                -36577,,,                  1308,,                  3282,,                  4353,                  4353,                    237,                -36340,,                    -17,                -36323,                -36323,,,,,                  5774,                -30549,,                -32415,                 -3908,,                -26641,                 -3908,,                             -0.50,                             -0.50,                  6958,,                  1184,,,,,
1472,2012年07月01日至2012年09月30日,,,                253950,                253950,,,                251980,                251980,                  1970,                  1970,,,,,,,,                 27567,,                   -288,                -25885,,,                  1580,,                 20738,,                  5618,                  5618,                 16700,                 -9185,,                              0,                 -9185,                 -9185,,,,,                    934,                 -8251,,                 -2633,                 -6552,,                 22591,                -30842,,                             -0.04,                             -0.04,                    934,,,,,,                             -0.04,                             -0.04
1472,2012年04月01日至2012年06月30日,,,                167563,                167563,,,                198944,                198944,                -31381,                -31381,,,,,,,,                 23877,,                     25,                -55233,,,                  1629,,                  7413,,                  5168,                  5168,                  3874,                -51359,,                    223,                -51582,                -51582,,,,,                    290,                -51292,,                -43210,                 -8372,,                -37953,                -13339,,                             -0.77,                             -0.77,                    290,,,,,,,
1472,2012年01月01日至2012年12月31日,,,                862347,                862347,,,                908940,                908940,                -46593,                -46593,,,                 45779,,                 34278,,                 19427,                 99484,,                -30929,               -177006,,,                 14578,,                 23031,,                 20111,                 20111,                 17498,               -159508,,                  3865,               -163373,               -163373,,,,,                 -1909,               -165282,,               -141354,                -22019,,               -143254,                -22028,,                             -2.37,                             -2.37,                    653,                 -2562,,,,,,
1472,2012年01月01日至2012年09月30日,,,                651474,                651474,,,                681011,                681011,                -29537,                -29537,,,,,,,,                 73939,,                   -290,               -103766,,,                  3888,,                 27353,,                 15348,                 15348,                 15893,                -87873,,                              0,                -87873,                -87873,,,,,                  1222,                -86651,,                -67926,                -19947,,                -37441,                -49210,,                             -1.19,                             -1.19,                  1222,,,,,,                             -1.19,                             -1.19
1472,2012年01月01日至2012年06月30日,,,                397524,                397524,,,                429031,                429031,                -31507,                -31507,,,,,,,,                 45021,,                     -2,                -76530,,,                  2308,,                  5264,,                  9730,                  9730,                 -2158,                -78688,,                              0,                -78688,                -78688,,,,,                    288,                -78400,,                -65293,                -13395,,                -60032,                -18368,,                             -1.17,                             -1.17,                    288,,,,,,,
1472,2012年01月01日至2012年03月31日,,,                229961,                229961,,,                230087,                230087,                   -126,                   -126,,,,,,,,                 21144,,                    -27,                -21297,,,                    679,,                 -2149,,                  4562,                  4562,                 -6032,                -27329,,                   -223,                -27106,                -27106,,,,,                     -2,                -27108,,                -22083,                 -5023,,                -22079,                 -5029,,                             -0.40,                             -0.40,                     -2,,,,,,,
