證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 廉價購買利益,　　　 其他收入－其他,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2017,2013年07月01日至2013年09月30日,,,              1498887,              1498887,,,              1310780,              1310780,                188107,                188107,,,                 53873,,                 41559,,                  1308,                 96740,,,,                 91367,,,                 10014,,                  3852,,                  9200,,                 -3260,                  1406,                 92773,,                 19138,                 73635,                 73635,,,,,,,,,                  5885,                 79520,,                  4345,                 69290,,                 10230,                 69290,,                              0.01,                              0.01,,                              0.01,                              0.01,,,                  5722,,,                    163,,
2017,2013年04月01日至2013年06月30日,,,              1383400,              1383400,,,              1389480,              1389480,                 -6080,                 -6080,,,                 54081,,                 43459,,                  1407,                 98947,,,,               -105027,,,                  4555,,                   -717,,                  9362,,                    391,                 -5133,               -110160,,                 13937,               -124097,               -124097,,,,,,,,,                 -5814,               -129911,,               -159565,                 35468,,               -165379,                 35468,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,,,                 -5087,,,                   -727,,
2017,2013年01月01日至2013年12月31日,,,              5885806,              5885806,,,              5518687,              5518687,                367119,                367119,,,                100135,,                262675,,                  5462,                368272,,,,                 -1153,,,                 55451,,                 -5816,,                 37960,,                  4170,                 15845,                 14692,,                 32726,                -18034,                -18034,,,,,,,,,                 -1080,                -19114,,               -121389,                103355,,               -122230,                103116,,                             -0.32,                             -0.32,,                             -0.32,                             -0.32,                 29564,                 25887,                    -12,                    239,,                 -1266,,                     41
2017,2013年01月01日至2013年09月30日,,,              4537925,              4537925,,,              4202950,              4202950,                334975,                334975,,,                 74852,,                204942,,                  4253,                284047,,                              0,                              0,                 50928,,,                 18849,,                  1435,,                 28798,,                 -1869,                -10383,                 40545,,                 33491,                  7054,                  7054,,,,,,,,,                 -5673,                  1381,,               -103978,                111032,,               -109651,                111032,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,,,                 -3586,,,                 -2087,,
2017,2013年01月01日至2013年06月30日,,,              3039038,              3039038,,,              2892170,              2892170,                146868,                146868,,,                 50151,,                134211,,                  2945,                187307,,                              0,                              0,                -40439,,,                  8835,,                 -2417,,                 19598,,                  1391,                -11789,                -52228,,                 14353,                -66581,                -66581,,,,,,,,,                -11558,                -78139,,               -108323,                 41742,,               -119881,                 41742,,                             -0.28,                             -0.28,,                             -0.28,                             -0.28,,,                 -9308,,,                 -2250,,
2017,2013年01月01日至2013年03月31日,,,              1655638,              1655638,,,              1502690,              1502690,                152948,                152948,,,                 23302,,                 63520,,                  1538,                 88360,,,,                 64588,,,                  4280,,                 -1700,,                 10236,,                  1000,                 -6656,                 57932,,                    416,                 57516,                 57516,,,,,,,,,                 -5744,                 51772,,                 51242,                  6274,,                 45498,                  6274,,                              0.13,                              0.13,,                              0.13,                              0.13,,,                 -4221,,,                 -1523,,
2017,2012年07月01日至2012年09月30日,,,              1468727,              1468727,,,              1511943,              1511943,                -43216,                -43216,,,                 56545,,                 42323,,                  1361,                100229,,,,               -143445,,,                  7919,,                  1608,,                 10351,,                   -371,                 -1195,               -144640,,                 14570,               -159210,               -159210,,,,,,,,,                 -1082,               -160292,,               -221499,                 62289,,               -222581,                 62289,,                             -0.59,                             -0.59,,                             -0.59,                             -0.59,,,                 -2652,,,                  1570,,
2017,2012年04月01日至2012年06月30日,,,              1721962,              1721962,,,              1586682,              1586682,                135280,                135280,,,                 50274,,                 42923,,                  1521,                 94718,,,,                 40562,,,                  7995,,                 -7461,,                 12521,,                  1033,                -10954,                 29608,,                 13311,                 16297,                 16297,,,,,,,,,                -12223,                  4074,,                -11421,                 27718,,                -23644,                 27718,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,                 -7300,,,                 -4923,,
2017,2012年01月01日至2012年12月31日,,,              6242367,              6242367,,,              6121749,              6121749,                120618,                120618,,,                 97518,,                261306,,                  5705,                364529,,,,               -243911,,,                 29470,,                 -3342,,                 45475,,                  8731,                -10616,               -254527,,                 34538,               -289065,               -289065,,,,,,,,,                  1526,               -287539,,               -396487,                107422,,               -393394,                105855,,                             -1.11,                             -1.11,,                             -1.11,                             -1.11,                              0,                 29470,                 -2976,                  3098,,                  1931,,                    527
2017,2012年01月01日至2012年09月30日,,,              4756755,              4756755,,,              4617627,              4617627,                139128,                139128,,,                148544,,                125422,,                  4277,                278243,,,,               -139115,,,                 19139,,                  4753,,                 34060,,                  6158,                 -4010,               -143125,,                 30382,               -173507,               -173507,,,,,,,,,                 -3777,               -177284,,               -270201,                 96694,,               -273978,                 96694,,                             -0.77,                             -0.77,,                             -0.77,                             -0.77,,,                 -5028,,,                  1251,,
2017,2012年01月01日至2012年06月30日,,,              3288028,              3288028,,,              3105684,              3105684,                182344,                182344,,,                 91999,,                 83099,,                  2916,                178014,,,,                  4330,,,                 11220,,                  3145,,                 23709,,                  6529,                 -2815,                  1515,,                 15812,                -14297,                -14297,,,,,,,,,                 -2695,                -16992,,                -48702,                 34405,,                -51397,                 34405,,                             -0.15,                             -0.15,,                             -0.15,                             -0.15,,,                 -2376,,,                   -319,,
2017,2012年01月01日至2012年03月31日,,,              1566066,              1566066,,,              1519002,              1519002,                 47064,                 47064,,,                 41725,,                 40176,,                  1395,                 83296,,,,                -36232,,,                  3225,,                 10606,,                 11188,,                  5496,                  8139,                -28093,,                  2501,                -30594,                -30594,,,,,,,,,                  9528,                -21066,,                -37281,                  6687,,                -27753,                  6687,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,,,                  4924,,,                  4604,,
