證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　　 利息費用,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　　 管理費用,　　　 管理費用合計
2705,2014年01月01日至2014年03月31日,,                614475,,                351591,                262884,                262884,,,                282257,                282257,                -19373,,,                  2798,,                  6496,,                 18902,,                  2048,                 -7560,                -26933,,                   -455,                -26478,,                 -7973,                -34451,                -34451,,                -34451,,                -34451,,,,                             -0.08,                             -0.02,                             -0.10,,                             -0.08,                             -0.02,                             -0.10,,                351591,                 18902,                   -455,,                     39,                              0,                 -6469,                              0,                     12,,,,,,,
2705,2013年第3季,,                623393,,                425268,                198125,                198125,,,                257418,                257418,                -59293,,,                 22869,,                 -3536,,                 22151,,                  2928,                    110,                -59183,,                     -4,                -59179,,,                -59179,                -59171,,                -59179,,                -59171,,,,,,                             -0.18,,,,,,,,,,,,,,,,                      8,,                              0,                      8,,
2705,2013年第2季,,                555556,,                335579,                219977,                219977,,,                286923,                286923,                -66946,,,                 18609,,                 -4498,,                 19624,,                    877,                 -4636,                -71582,,                     -8,                -71574,,,                -71574,                -71577,,                -71574,,                -71577,,,,,,                             -0.22,,,,,,,,,,,,,,,,                     -3,,                              0,                     -3,,
2705,2013年度,,              2480924,,              1575108,                905816,                905816,,,              1056902,              1056902,               -151086,,,                 42333,,                 42594,,                 78851,,                  6205,                 12281,               -138805,,                    140,               -138945,,,               -138945,               -138731,,               -138945,,               -138731,,,,,,                             -0.42,,,,,,,,,,,,,,,,                    222,                     -8,                              0,                    214,,
2705,2013年07月01日至2013年09月30日,,                623393,,                425268,                198125,                198125,,,                257418,                257418,                -59293,,,                 22869,,                 -3536,,                 22151,,                  2928,                    110,                -59183,,                     -4,                -59179,,,                -59179,                -59171,,                -59179,,                -59171,,,,,,                             -0.18,,,,,,,,,,,,,,,,                      8,,                              0,                      8,,
2705,2013年04月01日至2013年06月30日,,                555556,,                335579,                219977,                219977,,,,                286923,                -66946,,,                 18609,,                 -4498,,                 19624,,                    877,                 -4636,                -71582,,                     -8,                -71574,,,                -71574,                -71577,,                -71574,,                -71577,,,,,,                             -0.22,,,,,,,,,,,,,,,,                     -3,,                              0,                     -3,,
2705,2013年01月01日至2013年12月31日,,              2480924,,              1575108,                905816,                905816,,,                              0,              1056902,               -151086,,,                 42333,,                 42594,,                 78851,,                  6205,                 12281,               -138805,,                    140,               -138945,,,               -138945,               -138731,,               -138945,,               -138731,,,,,,                             -0.42,,,,,,,,,,,,,,,,                    222,                     -8,                              0,                    214,,              1056902
2705,2013年01月01日至2013年09月30日,,              1846029,,              1204202,                641827,                641827,,,                794717,                794717,               -152890,,,                 45780,,                 -8566,,                 61825,,                  4384,                -20227,               -173117,,                    -12,               -173105,,,               -173105,               -173112,,               -173105,,               -173112,,,,,,                             -0.52,,,,,,,,,,,,,,,,                     -7,,                              0,                     -7,,
2705,2013年01月01日至2013年06月30日,,              1222636,,                778934,                443702,                443702,,,                537299,                537299,                -93597,,,                 22911,,                 -5030,,                 39674,,                  1456,                -20337,               -113934,,                     -8,               -113926,,,               -113926,               -113941,,               -113926,,               -113941,,,,,,                             -0.34,,,,,,,,,,,,,,,,                    -15,,                              0,                    -15,,
2705,2013年01月01日至2013年03月31日,,                667080,,                443355,                223725,                223725,,,                250376,                250376,                -26651,,,                  4302,,                   -532,,                 20050,,                    579,                -15701,                -42352,,                              0,                -42352,,,                -42352,                -42364,,                -42352,,                -42364,,,,,,                             -0.13,,,,,,,,,,,,,,,,                    -12,,                              0,                    -12,,
2705,2012年07月01日至2012年09月30日,,                781902,,                482542,                299360,                299360,,,                249982,                249982,                 49378,,,                  5418,,                 -1502,,                 20507,,                  1033,                -15558,                 33820,,                    -55,                 33875,,,                 33875,                 33875,,                 33875,,                 33875,,,,,,                              0.10,,,,,,,,,,,,,,,,                              0,,                              0,                              0,,
2705,2012年04月01日至2012年06月30日,,              1779559,,              1305195,                474364,                474364,,,,                225873,                248491,,,                  5562,,                   -893,,                 17920,,                    923,                -12328,                236163,,                 76465,                159698,,,                159698,                159693,,                159698,,                159693,,,,,,                              0.48,,,,,,,,,,,,,,,,                     -5,,                              0,                     -5,,
2705,2012年01月01日至2012年12月31日,,              3842858,,              2718006,              1124852,              1124852,,,                              0,                871040,                253812,,,                 39360,,                 -8408,,                 76031,,                  3699,                -41380,                212432,,                 78610,                133822,,,                133822,                133608,,                133822,,                133608,,,,,,                              0.41,,,,,,,,,,,,,,,,                   -222,                      8,                              0,                   -214,,                871040
2705,2012年01月01日至2012年09月30日,,              3151797,,              2203994,                947803,                947803,,,                693793,                693793,                254010,,,                 18461,,                 -3527,,                 54893,,                  3455,                -36504,                217506,,                 75651,                141855,,,                141855,                141622,,                141855,,                141622,,,,,,                              0.43,,,,,,,,,,,,,,,,                   -233,,                              0,                   -233,,
2705,2012年01月01日至2012年06月30日,,              2369895,,              1721452,                648443,                648443,,,,                443811,                204632,,,                 13043,,                 -2025,,                 34386,,                  2422,                -20946,                183686,,                 75706,                107980,,,                107980,                107747,,                107980,,                107747,,,,,,                              0.33,,,,,,,,,,,,,,,,                   -233,,                              0,                   -233,,
2705,2012年01月01日至2012年03月31日,,                590335,,                416256,                174079,                174079,,,,                217938,                -43859,,,                  7481,,                 -1132,,                 16466,,                  1499,                 -8618,                -52477,,                   -759,                -51718,,,                -51718,                -51946,,                -51718,,                -51946,,,,,,                             -0.16,,,,,,,,,,,,,,,,                   -228,,                              0,                   -228,,
