證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－重估增值,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 權益工具投資之利益（損失）,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 外幣兌換利益,　　　 外幣兌換損失,　　 重估價之利益（損失）
1443,2014年01月01日至2014年03月31日,,                377960,,                422588,                -44628,                -44628,,,                 15106,,                 23209,                 38315,                -82943,,,                  1955,                  1955,,                 29139,,                 26958,,                  4662,                  8798,                -74145,,                              0,                -74145,                -74145,,,                 11089,                  1657,,                              0,                              0,                 12746,                 12746,                -61399,,                -29414,                -44731,,                -21635,                -39764,,                             -0.22,,                              0,,,,,,,,,,,,,,,,,,
1443,2013年第3季,,                774193,,                761542,                 12651,                 12651,,,                 32991,,                 18858,                 51849,                -39198,,,                 15572,                 15572,,                -24926,,                 22675,,                  2011,                -30018,                -69216,,                              0,                -69216,                -69216,,,,,,,,,                 11331,                -57885,,                -45739,                -23477,,                -38740,                -19145,,                             -0.34,,,                  9672,                  1659,,,,                              0,                              0,,,,,,,,,,,
1443,2013年第2季,,                557084,,                545693,                 11391,                 11391,,,                 16039,,                 12547,                 28586,                -17195,,,                    180,                    180,,                  8228,,                 22749,,                     86,                -14255,                -31450,,                              0,                -31450,                -31450,,,,,,,,,                -16803,                -48253,,                 -8524,                -22926,,                -17099,                -31154,,                             -0.06,,                              0,                -18554,                  1751,                              0,,,                              0,                              0,,,                              0,                              0,                              0,                              0,                              0,                              0,,,
1443,2013年度,,              2273592,,              2258508,                 15084,                 15084,,,                 94795,,                 91491,                186286,               -171202,,,                 91468,                 91468,,                  7488,,                103569,,                  2460,                 -2153,               -173355,,                  1563,               -174918,               -174918,,,,,,,,,                -38525,               -213443,,                -82550,                -92368,,                -97623,               -115820,,                             -0.61,,,                -52358,                  4639,                   -864,,                              0,                 10058,                 10058,,                              0.00,,,,,,,,,
1443,2013年07月01日至2013年09月30日,,                774193,,                769439,                  4754,                  4754,,,                 32991,,                 18858,                 51849,                -47095,,,                 15572,                 15572,,                -24926,,                 22675,,                  2011,                -30018,                -77113,,                              0,                -77113,                -77113,,,,,,,,,                 11082,                -66031,,                -50099,                -27014,,                -43237,                -22794,,                             -0.37,,                              0,                  9423,                  1659,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,                -24926,                              0,                              0
1443,2013年04月01日至2013年06月30日,,                557084,,                545693,                 11391,                 11391,,,                 16039,,                 12547,                 28586,                -17195,,,                    180,                    180,,                  8228,,                 22749,,                     86,                -14255,                -31450,,                              0,                -31450,                -31450,,,,,,,,,                -16638,                -48088,,                 -8524,                -22926,,                -16926,                -31162,,                             -0.06,,                              0,                -18389,                  1751,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,,,                              0
1443,2013年01月01日至2013年12月31日,,              2273592,,              2258508,                 15084,                 15084,,,                 94795,,                 91491,                186286,               -171202,,,                 91468,                 91468,,                  7488,,                103569,,                  2460,                 -2153,               -173355,,                  1563,               -174918,               -174918,,,,,,,,,                -38525,               -213443,,                -82550,                -92368,,                -97623,               -115820,,                             -0.61,,                              0,                -52358,                  4639,                   -864,,,                 10058,                 10058,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,,,
1443,2013年01月01日至2013年09月30日,,              1722492,,              1654424,                 68068,                 68068,,,                 61333,,                 69765,                131098,                -63030,,,                 17583,                 17583,,                 11767,,                 73458,,                 -1793,                -45901,               -108931,,                              0,               -108931,               -108931,,,,,,,,,                -30469,               -139400,,                -39471,                -69460,,                -55317,                -84083,,                             -0.29,,,                -32905,                  2436,,,,                              0,                              0,,,,,,,,,,,
1443,2013年01月01日至2013年06月30日,,                948299,,                892882,                 55417,                 55417,,,                 28342,,                 50907,                 79249,                -23832,,,                  2011,                  2011,,                 36693,,                 50783,,                 -3804,                -15883,                -39715,,                              0,                -39715,                -39715,,,,,,,,,                -41800,                -81515,,                  6268,                -45983,,                -16577,                -64938,,                              0.05,,                              0,                -42577,                    777,                              0,,,                              0,                              0,,,                              0,                              0,                              0,                              0,                              0,                              0,,,
1443,2013年01月01日至2013年03月31日,,                391215,,                347189,                 44026,                 44026,,,                 12303,,                 38360,                 50663,                 -6637,,,                  1831,                  1831,,                 28465,,                 28034,,                 -3890,                 -1628,                 -8265,,                              0,                 -8265,                 -8265,,,,,,,,,                -24997,                -33262,,                 14792,                -23057,,                    637,                -33899,,                              0.11,,                              0,                -24023,                   -974,                              0,,,                              0,                              0,,,                              0,                              0,                              0,                              0,                              0,                              0,,,
1443,2012年07月01日至2012年09月30日,,                711635,,                625481,                 86154,                 86154,,,                 26838,,                 54085,                 80923,                  5231,,,                 43414,                 43414,,                -17557,,                 26491,,                    326,                   -308,                  4923,,                              0,                  4923,                  4923,,,,,,,,,                  7313,                 12236,,                -13784,                 18707,,                 -8875,                 21111,,                             -0.10,,                              0,                  5581,                  1732,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,                -17557,                              0,                              0
1443,2012年04月01日至2012年06月30日,,                744424,,                768792,                -24368,                -24368,,,                 17747,,                 22693,                 40440,                -64808,,,                    708,                    708,,                  5351,,                 27673,,                    193,                -21421,                -86229,,                              0,                -86229,                -86229,,,,,,,,,                 -4273,                -90502,,                -55899,                -30330,,                -59233,                -31269,,                             -0.41,,                              0,                 -2252,                 -2021,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,,,                              0
1443,2012年01月01日至2012年12月31日,,              2404306,,              2511566,               -107260,               -107260,,,                 84881,,                130250,                215131,               -322391,,,                160323,                160323,,                -41502,,                109859,,                 -1900,                  7062,               -315329,,                    210,               -315539,               -315539,,,,,,,,,                 17607,               -297932,,               -228819,                -86720,,               -220758,                -77174,,                             -1.69,,                              0,                 21682,                    296,                 -4371,,,                              0,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,,,
1443,2012年01月01日至2012年09月30日,,              1938228,,              1897680,                 40548,                 40548,,,                 62448,,                108591,                171039,               -130491,,,                 74651,                 74651,,                -32661,,                 80723,,                    849,                -37884,               -168375,,                              0,               -168375,               -168375,,,,,,,,,                 20178,               -148197,,               -143403,                -24972,,               -132259,                -15938,,                             -1.06,,                              0,                 20276,                    -98,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,                -32661,                              0,                              0
1443,2012年01月01日至2012年06月30日,,              1226593,,              1272199,                -45606,                -45606,,,                 35610,,                 54506,                 90116,               -135722,,,                 31237,                 31237,,                -15104,,                 54232,,                    523,                -37576,               -173298,,                              0,               -173298,               -173298,,,,,,,,,                 12865,               -160433,,               -129619,                -43679,,               -123384,                -37049,,                             -0.96,,                              0,                 14695,                 -1830,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,,,                              0
1443,2012年01月01日至2012年03月31日,,                482169,,                503407,                -21238,                -21238,,,                 17863,,                 31813,                 49676,                -70914,,,                 30529,                 30529,,                -20455,,                 26559,,                    330,                -16155,                -87069,,                              0,                -87069,                -87069,,,,,,,,,                 17138,                -69931,,                -73720,                -13349,,                -64151,                 -5780,,                             -0.54,,                              0,                 16947,                    191,                              0,,,,                              0,,                              0.00,                              0,                              0,                              0,                              0,                              0,                              0,                -20455,                              0,                              0
