證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
3027,2013年第3季,,,,                307016,                307016,                  1916,                    255,                304845,                304845,,                228188,                 76657,                 76657,,,                 14614,,                 42568,,                 26097,                 83279,,                 41193,                 34571,,,,                  2821,                    528,                  3349,,                 13888,,                  1595,                  1595,,                              0,                 15642,                 50213,,                  8430,                 41783,                 41783,,,,,,                 -6988,                 34795,,                 41721,                     62,,                 34773,                     22,,                              0.44,,                              0.44,                 -8597,                    148,,                 -1461,,
3027,2013年第2季,,,,                252157,                252157,                    226,                    617,                251314,                251314,,                188547,                 62767,                 62767,,,                 13295,,                 34314,,                 29165,                 76774,,                              0,                -14007,,,,                  2037,                    360,                  2397,,                  3754,,                    514,                    514,,                              0,                  5637,                 -8370,,                 -3880,                 -4490,                 -4490,,,,,,                  9883,                  5393,,                 -4582,                     92,,                  5291,                    102,,                             -0.05,,                             -0.05,                  7690,                  3500,,                  1307,,
3027,2013年度,,,,              1148388,              1148388,                  7282,                  2252,              1138854,              1138854,,                858077,                280777,                280777,,,                 60037,,                154211,,                118721,                332969,,                 46617,                 -5575,,,,                  9191,                  2114,                 11305,,                 53550,,                  4091,                  4091,,                    171,                 60935,                 55360,,                 20211,                 35149,                 35149,,,,,,                 40531,                 75680,,                 34841,                    308,,                 75291,                    389,,                              0.37,,                              0.37,                 35110,                  3848,                  9070,                  7497,,
3027,2013年07月01日至2013年09月30日,,,,                307016,                307016,                  1916,                    255,                304845,                304845,,                228188,                 76657,                 76657,,,                 14614,,                 42568,,                 26097,                 83279,,                 41193,                 34571,,,,                  2821,                    528,                  3349,,                 13888,,                  1595,                  1595,,                              0,                 15642,                 50213,,                  8430,                 41783,                 41783,,,,,,                 -6988,                 34795,,                 41721,                     62,,                 34773,                     22,,                              0.46,,                              0.46,                 -8597,                    148,,                 -1461,,
3027,2013年04月01日至2013年06月30日,,,,                252157,                252157,                    226,                    617,                251314,                251314,,                188547,                 62767,                 62767,,,                 13295,,                 34314,,                 29165,                 76774,,,                -14007,,,,                  2037,                    360,                  2397,,                  3754,,                    514,                    514,,                              0,                  5637,                 -8370,,                 -3880,                 -4490,                 -4490,,,,,,                  9883,                  5393,,                 -4582,                     92,,                  5291,                    102,,                             -0.05,,                             -0.05,                  7690,                  3500,,                  1307,,
3027,2013年01月01日至2013年12月31日,,,,              1148388,              1148388,                  7282,                  2252,              1138854,              1138854,,                858077,                280777,                280777,,,                 60037,,                154211,,                118721,                332969,,                 46617,                 -5575,,,,                  9191,                  2114,                 11305,,                 53550,,                  4091,                  4091,,                    171,                 60935,                 55360,,                 20211,                 35149,                 35149,,,,,,                 40531,                 75680,,                 34841,                    308,,                 75291,                    389,,                              0.38,,                              0.38,                 35110,                  3848,                  9070,                  7497,,
3027,2013年01月01日至2013年09月30日,,,,                825342,                825342,                  6220,                  1029,                818093,                818093,,                608280,                209813,                209813,,,                 42222,,                110662,,                 86585,                239469,,                 41195,                 11539,,,,                  5815,                  1257,                  7072,,                 37190,,                  2498,                  2498,,                              0,                 41764,                 53303,,                 10208,                 43095,                 43095,,,,,,                 23166,                 66261,,                 42819,                    276,,                 65932,                    329,,                              0.45,,                              0.45,                 23275,                  3848,,                  3957,,
3027,2013年01月01日至2013年06月30日,,,,                518326,                518326,                  4304,                    774,                513248,                513248,,                380092,                133156,                133156,,,                 27608,,                 68094,,                 60488,                156190,,                      2,                -23032,,,,                  2994,                    729,                  3723,,                 23302,,                    903,                    903,,                              0,                 26122,                  3090,,                  1778,                  1312,                  1312,,,,,,                 30154,                 31466,,                  1098,                    214,,                 31159,                    307,,                              0.01,,                              0.01,                 31872,                  3700,,                  5418,,
3027,2013年01月01日至2013年03月31日,,,,                266169,                266169,                  4078,                    157,                261934,                261934,,                191545,                 70389,                 70389,,,                 14313,,                 33780,,                 31323,                 79416,,                      2,                 -9025,,,,                    957,                    369,                  1326,,                 19548,,                    389,                    389,,                              0,                 20485,                 11460,,                  5658,                  5802,                  5802,,,,,,                 20271,                 26073,,                  5680,                    122,,                 25868,                    205,,                              0.06,,                              0.06,                 24182,                    200,,                  4111,,
3027,2012年07月01日至2012年09月30日,,,,                380469,                380469,                  3389,                    614,                376466,                376466,,                271358,                105108,                105108,,,                 21243,,                 37086,,                 37782,                 96111,,                    399,                  9396,,,,                  1070,                  1749,                  2819,,                 -4644,,                    743,                    743,,                              0,                 -2568,                  6828,,                  3104,                  3724,                  3724,,,,,,                 -9584,                 -5860,,                  3531,                    193,,                 -5999,                    139,,                              0.04,,                              0.04,                -11200,                   -288,,                 -1904,,
3027,2012年04月01日至2012年06月30日,,,,                355927,                355927,                  2993,                    890,                352044,                352044,,                253773,                 98271,                 98271,,,                 20775,,                 37542,,                 35858,                 94175,,,                  4096,,,,                  3001,                  1926,                  4927,,                 65316,,                    870,                    870,,                    -35,                 69338,                 73434,,                 11290,                 62144,                 62144,,,,,,                  5538,                 67682,,                 61966,                    178,,                 67471,                    211,,                              0.68,,                              0.61,                  7404,                   -607,,                  1259,,
3027,2012年01月01日至2012年12月31日,,,,              1336822,              1336822,                 21118,                  1949,              1313755,              1313755,,                972414,                341341,                341341,,,                 79468,,                154334,,                144963,                378765,,                 64633,                 27209,,,,                  7633,                  6180,                 13813,,                 11638,,                  2499,                  2499,,                   -369,                 22583,                 49792,,                 14838,                 34954,                 34954,,,,,,                -21055,                 13899,,                 34598,                    356,,                 13658,                    241,,                              0.38,,                              0.37,                -29305,                   -915,                  5063,                 -4102,,
3027,2012年01月01日至2012年09月30日,,,,              1066660,              1066660,                 19249,                  1508,              1045903,              1045903,,                765149,                280754,                280754,,,                 60324,,                113343,,                107928,                281595,,                 62190,                 61349,,,,                  4757,                  5572,                 10329,,                  6395,,                  2486,                  2486,,                   -369,                 13869,                 75218,,                 14787,                 60431,                 60431,,,,,,                -19419,                 41012,,                 59944,                    487,,                 40607,                    405,,                              0.66,,                              0.65,                -22713,                   -567,,                 -3861,,
3027,2012年01月01日至2012年06月30日,,,,                686191,                686191,                 15860,                    894,                669437,                669437,,                493791,                175646,                175646,,,                 39081,,                 76257,,                 70146,                185484,,,                 -9838,,,,                  3687,                  3823,                  7510,,                 72830,,                  1743,                  1743,,                   -369,                 78228,                 68390,,                 11683,                 56707,                 56707,,,,,,                 -9835,                 46872,,                 56413,                    294,,                 46606,                    266,,                              0.62,,                              0.57,                -11513,                   -279,,                 -1957,,
3027,2012年01月01日至2012年03月31日,,,,                330264,                330264,                 12867,                      4,                317393,                317393,,                240018,                 77375,                 77375,,,                 18306,,                 38715,,                 34288,                 91309,,,                -13934,,,,                    686,                  1897,                  2583,,                  7514,,                    873,                    873,,                   -334,                  8890,                 -5044,,                    393,                 -5437,                 -5437,,,,,,                -15373,                -20810,,                 -5553,                    116,,                -20865,                     55,,                             -0.06,,                              0.00,                -18917,                    328,,                 -3216,                             -0.06,                              0.00
