證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 天然氣銷貨收入（天然氣業）,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益-後續可能,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 銀行存款利息,　　　　 按攤銷後成本衡量之金融資產利息收入,　　　　 無活絡市場債務工具投資利息收入,　　　　 持有至到期日金融資產利息收入,　　　　 其他利息收入,　　　　 利息收入合計,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 避險工具之利益－公允價值避險,　　　 歸因於所規避風險之被避險項目之利益－公允價值避險,　　　 現金流量避險無效而認列於損益之利益,　　　 現金流量避險有效而自權益轉列之利益,　　　 國外營運機構淨投資避險無效而認列於損益之利益,　　　 負債性特別股股息,　　　 避險工具之損失－公允價值避險,　　　 歸因於所規避風險之被避險項目之損失－公允價值避險,　　　 現金流量避險無效而認列於損益之損失,　　　 現金流量避險有效自權益轉列之損失,　　　 國外營運機構淨投資避險無效而認列於損益之損失,　　 停業單位稅後損益,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
6283,2014年01月01日至2014年03月31日,,,,,,,                338398,                338398,,,,                336556,                336556,                  1842,,,                  1842,,,                 71236,,                  8014,                 79250,                -77408,,,                  4671,,                  1901,,,,,,                  2444,                  2444,,,                  4128,                -73280,,                 -2888,                -70392,,                              0,                -70392,,,                              0,                              0,                              0,                              0,                              0,,,,,,                              0,                              0,                              0,                              0,                              0,,                 14857,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                 14857,                 14857,                -55535,,                -70392,,                -55535,                              0,,                             -0.58,                              0.00,                             -0.58,,                             -0.58,                              0.00,                             -0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                              0,                              0,,,,,,,,
6283,2013年第3季,,,,,,,                385491,                385491,,,,                366489,                366489,                 19002,,,                 19002,,,                 90095,,                  8375,                 98470,                -79468,,,                  1395,,                 -2036,,,,,,                  1560,                  1560,,,                 -2201,                -81669,,                 -4108,                -77561,,                 -1138,                -78699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -11045,                -89744,,                -78129,,                -88917,                   -827,,                             -0.63,,                             -0.64,,,,                             -0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -570,,,,                -10887,                   -158,,,,
6283,2013年第2季,,,,,,,                533007,                533007,,,,                460146,                460146,                 72861,,,                 72861,,,                 62272,,                  6214,                 68486,                  4375,,,                  6099,,                 -5291,,,,,,                  1421,                  1421,,,                   -613,                  3762,,                  1002,                  2760,,                  3075,                  5835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 14231,                 20066,,                  4297,,                 18772,                  1294,,                              0.02,                              0.00,                              0.04,,,,                              0.02,,,,,,,,,,,,,,,,,,,,,,,,,,                  3075,,,,,                  1538,,,,                 14885,                   -654,,,,
6283,2013年度,,,,,,,              1978080,              1978080,,,,              1805737,              1805737,                172343,                              0,                              0,                172343,,,                323088,,                 30080,                353168,               -180825,,,                 14269,,                -52406,,                              0,,                              0,,                  6157,                  6157,,,                -44294,               -225119,,                -22475,               -202644,,                 -2648,               -205292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 43217,               -162075,,               -190606,,               -147321,                -14754,,                             -1.62,,                             -1.64,,,,                             -1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -14686,,,                              0,                 43946,                   -708,                    -25,                     -4,,
6283,2013年07月01日至2013年09月30日,,,,,,,                455513,                455513,,,,                424379,                424379,                 31134,,,                 31134,,,                102373,,                  8375,                110748,                -79614,,,                  1410,,                 -2318,,,,,,                  2285,                  2285,,,                 -3193,                -82807,,                 -4108,                -78699,,,                -78699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -11045,                -89744,,                -78129,,                -88917,                   -827,,,,                             -0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -570,,,,                -10887,                   -158,,,,
6283,2013年04月01日至2013年06月30日,,,,,,,                614949,                614949,,,,                527256,                527256,                 87693,,,                 87693,,,                 73000,,                  6214,                 79214,                  8479,,,                  6099,,                 -5577,,,,,,                  2164,                  2164,,,                 -1642,                  6837,,                  1002,                  5835,,,                  5835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 14231,                 20066,,                  4297,,                 18772,                  1294,,,,                              0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  1538,,,,                 14231,,,,,
6283,2013年01月01日至2013年12月31日,,,,,,,              2261166,              2261166,,,,              2041399,              2041399,                219767,,,                219767,,,                369055,,                 30080,                399135,               -179368,,,                 14288,,                -53547,,,,,,                  9140,                  9140,,,                -48399,               -227767,,                -22475,               -205292,,,               -205292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 43217,               -162075,,               -190606,,               -147321,                -14754,,,,                             -1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -14686,,,,                 43946,                   -708,                    -25,                     -4,,
6283,2013年01月01日至2013年09月30日,,,,,,,              1408383,              1408383,,,,              1239540,              1239540,                168843,,,                168843,,,                212626,,                 21044,                233670,                -64827,,,                  9426,,                 -8308,,,,,,                  4222,                  4222,,,                 -3104,                -67931,,                 -3354,                -64577,,                  1019,                -63558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 29525,                -34033,,                -64067,,                -34031,                     -2,,                             -0.57,,                             -0.56,,,,                             -0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    509,,,,                 30945,                 -1420,,,,
6283,2013年01月01日至2013年06月30日,,,,,,,              1022892,              1022892,,,,                873051,                873051,                149841,,,                149841,,,                122531,,                 12669,                135200,                 14641,,,                  8031,,                 -6272,,,,,,                  2662,                  2662,,,                   -903,                 13738,,                    754,                 12984,,                  2157,                 15141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 40570,                 55711,,                 14062,,                 54886,                    825,,                              0.12,                              0.00,                              0.13,,,,                              0.12,,,,,,,,,,,,,,,,,,,,,,,,,,                  2157,,,,,                  1079,,,,                 41832,                 -1262,,,,
6283,2013年01月01日至2013年03月31日,,,,,,,                489893,                489893,,,,                412905,                412905,                 76988,,,                 76988,,,                 60259,,                  6455,                 66714,                 10274,,,                  1924,,                   -981,,,,,,,                  1241,,,                   -298,                  9976,,                   -248,                 10224,,                   -918,                  9306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 26339,                 35645,,                  9765,,                 36114,                   -469,,                              0.09,                              0.01,                              0.10,,                              0.09,                              0.01,                              0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -459,,,,                 26947,                   -608,,,,
6283,2012年07月01日至2012年09月30日,,,,,,,                468547,                468547,,,,                408291,                408291,                 60256,,,                 60256,,,                 68150,,                  7210,                 75360,                -15104,,,                  7119,,                 -3697,,,,,,                  1584,                  1584,,,                  1838,                -13266,,                   -612,                -12654,,,                -12654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -22057,                -34711,,                -13889,,                -36181,                  1470,,,,                             -0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  1235,,,,                -22811,                    754,,,,
6283,2012年04月01日至2012年06月30日,,,,,,,                377916,                377916,,,,                316078,                316078,                 61838,,,                 61838,,,                 65816,,                  9074,                 74890,                -13052,,,                  7855,,                 -2878,,,,,,                  1783,                  1783,,,                  3194,                 -9858,,                 -3250,                 -6608,,,                 -6608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                 10235,                  3627,,                 -6030,,                  4265,                   -638,,,,                             -0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                   -578,,,,                 10235,,,,,
6283,2012年01月01日至2012年12月31日,,,,,,,              1542019,              1542019,,,,              1372880,              1372880,                169139,,,                169139,,,                283526,,                 32261,                315787,               -146648,,,                 26049,,                -55405,,,,,,                  7181,                  7181,,,                -36537,               -183185,,                 -9128,               -174057,,,               -174057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -38158,               -212215,,               -176307,,               -215187,                  2972,,,,                             -1.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  2250,,,,                -40967,                  2066,                    895,                    152,,
6283,2012年01月01日至2012年09月30日,,,,,,,              1166091,              1166091,,,,              1025410,              1025410,                140681,,,                140681,,,                194667,,                 24967,                219634,                -78953,,,                 18812,,                 -3252,,,,,,                  4753,                  4753,,,                 10807,                -68146,,                 -3682,                -64464,,,                -64464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -37834,               -102298,,                -66565,,               -104879,                  2581,,,,                             -0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  2101,,,,                -39210,                  1376,,,,
6283,2012年01月01日至2012年06月30日,,,,,,,                697544,                697544,,,,                617119,                617119,                 80425,,,                 80425,,,                126517,,                 17757,                144274,                -63849,,,                 11693,,                    445,,,,,,                  3169,                  3169,,,                  8969,                -54880,,                 -3070,                -51810,,,                -51810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -15777,                -67587,,                -52676,,                -68698,                  1111,,,,                             -0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                    866,,,,                -15777,,,,,
6283,2012年01月01日至2012年03月31日,,,,,,,                319628,                319628,,,,                301041,                301041,                 18587,,,                 18587,,,                 60701,,                  8683,                 69384,                -50797,,,                  3838,,                  3323,,,,,,,                  1386,,,                  5775,                -45022,,                    180,                -45202,,,                -45202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                -26012,                -71214,,                -46646,,                -72963,                  1749,,,,                             -0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                  1444,,,,                -26998,,,,,                    986
