證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅
2015,2014年01月01日至2014年03月31日,,,              7379818,              7379818,,              6789801,                590017,                590017,,,                117284,,                 54119,,                 11753,                183156,                406861,,,                  4988,,                  3802,,                    677,,                 31440,                 39553,                446414,,                 70858,                375556,                375556,,,                 -3550,,                              0,                 -3550,                 -3550,                372006,,                375556,                              0,,                372006,                              0,,                              0.65,                              0.65,,                              0.65,                              0.65,,              6789801,,,,,
2015,2013年第3季,,,              7239331,              7239331,,              6728400,                510931,                510931,,,                113169,,                 46339,,                 10297,                169805,                341126,,,                 38635,,                 10280,,                    501,,                 -1458,                 46956,                388082,,                 60412,                327670,                327670,,,,,,,                -12785,                314885,,                327670,                              0,,                314885,                              0,,                              0.56,                              0.56,,                              0.56,                              0.56,,,                -12785,,,                              0,
2015,2013年第2季,,,              7294965,              7294965,,              6831458,                463507,                463507,,,                100447,,                 49153,,                 10457,                160057,                303450,,,                  4577,,                   -876,,                    656,,                 10885,                 13930,                317380,,                 51397,                265983,                265983,,,,,,,                 10114,                276097,,                265983,                              0,,                276097,                              0,,                              0.46,                              0.46,,                              0.46,                              0.46,,,                 10114,,,                              0,
2015,2013年度,,,             29899588,             29899588,,             27588501,              2311087,              2311087,,,                425517,,                221839,,                 43374,                690730,              1620357,,,                 59444,,                 37591,,                  2647,,                 14138,                108526,              1728883,,                282552,              1446331,              1446331,,,,,,,                 13108,              1459439,,              1446331,                              0,,              1459439,                              0,,                              2.49,                              2.49,,                              2.49,                              2.49,,,                -12519,,                              0,                 30875,                  5248
2015,2013年07月01日至2013年09月30日,,,              7239331,              7239331,,              6728400,                510931,                510931,,,                113169,,                 46339,,                 10297,                169805,                341126,,,                 38635,,                 10280,,                    501,,                 -1458,                 46956,                388082,,                 60412,                327670,                327670,,,,,,,                -12785,                314885,,                327670,                              0,,                314885,                              0,,,                              0.56,,,                              0.56,,,                -12785,,,                              0,
2015,2013年04月01日至2013年06月30日,,,              7294965,              7294965,,              6831458,                463507,                463507,,,                100447,,                 49153,,                 10457,                160057,                303450,,,                  4577,,                   -876,,                    656,,                 10885,                 13930,                317380,,                 51397,                265983,                265983,,,,,,,                 10114,                276097,,                265983,,,                276097,,,                              0.46,                              0.46,,,                              0.46,,,                 10114,,,                              0,
2015,2013年01月01日至2013年12月31日,,,             29899588,             29899588,,             27588501,              2311087,              2311087,,,                425517,,                221839,,                 43374,                690730,              1620357,,,                 59444,,                 37591,,                  2647,,                 14138,                108526,              1728883,,                282552,              1446331,              1446331,,,,,,,                 13108,              1459439,,              1446331,                              0,,              1459439,                              0,,,                              2.49,,,                              2.49,,,                -12519,,,                 25627,
2015,2013年01月01日至2013年09月30日,,,             22134990,             22134990,,             20527877,              1607113,              1607113,,,                321347,,                150293,,                 31102,                502742,              1104371,,,                 48607,,                 30618,,                  1975,,                 21411,                 98661,              1203032,,                192065,              1010967,              1010967,,,,,,,                 -4547,              1006420,,              1010967,                              0,,              1006420,                              0,,                              1.74,                              1.74,,                              1.74,                              1.74,,,                 -4547,,,                              0,
2015,2013年01月01日至2013年06月30日,,,             14895659,             14895659,,             13799477,              1096182,              1096182,,,                208178,,                103954,,                 20805,                332937,                763245,,,                  9972,,                 20338,,                  1474,,                 22869,                 51705,                814950,,                131653,                683297,                683297,,,,,,,                  8238,                691535,,                683297,                              0,,                691535,                              0,,                              1.17,                              1.17,,                              1.17,                              1.17,,,                  8238,,,                              0,
2015,2013年01月01日至2013年03月31日,,,              7600694,              7600694,,              6968019,                632675,                632675,,,                107731,,                 54801,,                 10348,                172880,                459795,,,                  5395,,                 21214,,                    818,,                 11984,                 37775,                497570,,                 80256,                417314,                417314,,,,,,,                 -1876,                415438,,                417314,                              0,,                415438,                              0,,                              0.72,                              0.72,,                              0.72,                              0.72,,              6968019,                 -1876,,,,                              0
2015,2012年07月01日至2012年09月30日,,,              7359340,              7359340,,              7318647,                 40693,                 40693,,,                100425,,                 46447,,                  9386,                156258,               -115565,,,                140958,,                145303,,                  4749,,                  5860,                287372,                171807,,                -29361,                201168,                201168,,,,,,,               -174383,                 26785,,                201168,                              0,,                 26785,                              0,,,                              0.35,,,                              0.35,,,               -174383,,,                              0,
2015,2012年04月01日至2012年06月30日,,,              9221880,              9221880,,              8285626,                936254,                936254,,,                120124,,                 60400,,                 10402,                190926,                745328,,,                  3705,,                120860,,                  7028,,                  4542,                122079,                867407,,                166148,                701259,                701259,,,,,,,               -363817,                337442,,                701259,,,                337442,,,                              1.21,                              1.21,,,                              1.21,,,               -363817,,,                              0,
2015,2012年01月01日至2012年12月31日,,,             33432580,             33432580,,             31274020,              2158560,              2158560,,,                444676,,                241053,,                 41718,                727447,              1431113,,,                159767,,                285829,,                 23279,,                 31271,                453588,              1884701,,                259028,              1625673,              1625673,,,,,,,               -408439,              1217234,,              1625673,                              0,,              1217234,                              0,,,                              2.80,,,                              2.80,,,               -381072,,,                -27367,
2015,2012年01月01日至2012年09月30日,,,             25367485,             25367485,,             23828492,              1538993,              1538993,,,                335157,,                161846,,                 30061,                527064,              1011929,,,                150367,,                288510,,                 21926,,                 23833,                440784,              1452713,,                187918,              1264795,              1264795,,,,,,,               -381732,                883063,,              1264795,                              0,,                883063,                              0,,,                              2.17,,,                              2.17,,,               -381732,,,                              0,
2015,2012年01月01日至2012年06月30日,,,             18008145,             18008145,,             16509845,              1498300,              1498300,,,                234732,,                115399,,                 20675,                370806,              1127494,,,                  9409,,                143207,,                 17177,,                 17973,                153412,              1280906,,                217279,              1063627,              1063627,,,,,,,               -207349,                856278,,              1063627,,,                856278,,,                              1.83,                              1.83,,,                              1.83,,,               -207349,,,                              0,
2015,2012年01月01日至2012年03月31日,,,              8786265,              8786265,,              8224219,                562046,                562046,,,                114608,,                 54999,,                 10273,                179880,                382166,,,                  5704,,                 22347,,                 10149,,                 13431,                 31333,                413499,,                 51131,                362368,                362368,,,,,,,                156468,                518836,,                362368,                              0,,                518836,                              0,,,                              0.62,,,                              0.62,,,                156468,,,,                              0
