證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 其他收入－其他,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
9925,2013年第3季,,              1806625,,              1147530,                659095,                659095,,,                 37805,,                364570,                402375,                256720,,,                 53269,,                -39707,,                  3812,                 35895,,                  9186,,                    -54,                 79924,                336644,,                 42044,                294600,                294600,,,,,,,,,                 80873,                375473,,                288540,                  6060,,                362315,                 13158,,                              0.76,                              0.76,,                              0.76,                              0.76,                 53269,                 -1224,                 82131,,,                   -213,                   -179
9925,2013年第2季,,              1979588,,              1313849,                665739,                665739,,,                 42010,,                330528,                372538,                293201,,,                161494,,                 -1719,,                  5529,                 -3810,,                  7928,,                    -23,                149733,                442934,,                 82555,                360379,                360379,,,,,,,,,                 67823,                428202,,                334346,                 26033,,                405447,                 22755,,                              0.89,                              0.89,,                              0.88,                              0.88,                161494,                  1004,                 66676,,,                    319,                    176
9925,2013年度,,              7516434,,              4927006,              2589428,              2589428,,,                192656,,              1318791,              1511447,              1077981,,,                259556,,                -21155,,                 30786,                 -9631,,                 33369,,                 11030,                227586,              1305567,,                227399,              1078168,              1078168,,,,,,,,,                416859,              1495027,,              1023175,                 54993,,              1419700,                 75327,,                              2.68,                              2.68,,                              2.68,                              2.68,                259556,                  1141,                430420,                -12347,,                 -3618,                 -1263
9925,2013年07月01日至2013年09月30日,,              1806625,,              1147530,                659095,                659095,,,                 37805,,                364570,                402375,                256720,,,                 53269,,                -39707,,                  3812,                 35895,,                  9186,,                    -54,                 79924,                336644,,                 42044,                294600,                294600,,,,,,,,,                 80873,                375473,,                288540,                  6060,,                362315,                 13158,,                              0.76,                              0.76,,                              0.76,                              0.76,                 53269,                 -1045,                 82131,,,                   -213,
9925,2013年04月01日至2013年06月30日,,              1979588,,              1313849,                665739,                665739,,,                 42010,,                330528,                372538,                293201,,,                161494,,                 -1719,,                  5529,                 -3810,,                  7928,,                    -23,                149733,                442934,,                 82555,                360379,                360379,,,,,,,,,                 67823,                428202,,                334346,                 26033,,                405447,                 22755,,                              0.89,                              0.89,,                              0.88,                              0.88,                161494,                    828,                 66676,,,                    319,
9925,2013年01月01日至2013年12月31日,,              7516434,,              4927006,              2589428,              2589428,,,                192656,,              1318791,              1511447,              1077981,,,                259556,,                -21155,,                 30786,                 -9631,,                 33369,,                 11030,                227586,              1305567,,                227399,              1078168,              1078168,,,,,,,,,                416859,              1495027,,              1023175,                 54993,,              1419700,                 75327,,                              2.71,                              2.71,,                              2.71,                              2.71,                259556,                  1141,                430420,                -12347,,                 -3618,                 -1263
9925,2013年01月01日至2013年09月30日,,              5564620,,              3598975,              1965645,              1965645,,,                130210,,              1017558,              1147768,                817877,,,                222889,,                -33814,,                  9690,                 24124,,                 24145,,                  3843,                226711,              1044588,,                175323,                869265,                869265,,,,,,,,,                317811,              1187076,,                826634,                 42631,,              1132070,                 55006,,                              2.17,                              2.17,,                              2.16,                              2.16,                222889,                  2024,                317091,,,                 -1218,                     86
9925,2013年01月01日至2013年06月30日,,              3757995,,              2451445,              1306550,              1306550,,,                 92405,,                652988,                745393,                561157,,,                169620,,                  5893,,                  5878,                -11771,,                 14959,,                  3897,                146787,                707944,,                133279,                574665,                574665,,,,,,,,,                236938,                811603,,                538094,                 36571,,                769755,                 41848,,                              1.42,                              1.42,,                              1.42,                              1.42,                169620,                  3248,                234960,,,                 -1005,                    265
9925,2013年01月01日至2013年03月31日,,              1778407,,              1137596,                640811,                640811,,,                 50395,,                322460,                372855,                267956,,,                  8126,,                  7612,,                    349,                 -7961,,                  7031,,                  3920,                 -2946,                265010,,                 50724,                214286,                214286,,,,,,,,,                169115,                383401,,                203748,                 10538,,                364308,                 19093,,                              0.54,                              0.54,,                              0.54,                              0.54,                  8126,                  2244,                168284,,,                 -1324,                     89
9925,2012年07月01日至2012年09月30日,,              1760913,,              1129252,                631661,                631661,,,                 41966,,                328495,                370461,                261200,,,                 55024,,                 -7195,,                      6,                  7189,,                  7949,,                     76,                 54340,                315540,,                 49606,                265934,                265934,,,,,,,,,                127444,                393378,,                252567,                 13367,,                376770,                 16608,,                              0.67,                              0.67,,                              0.67,                              0.67,                 55024,                 -1989,                129105,,,                    328,
9925,2012年04月01日至2012年06月30日,,              1668528,,              1044886,                623642,                623642,,,                 43448,,                323387,                366835,                256807,,,                129750,,                 11777,,                              0,                -11777,,                  7962,,                   -445,                109566,                366373,,                 62203,                304170,                304170,,,,,,,,,               -141732,                162438,,                293497,                 10673,,                185576,                -23138,,                              0.78,                              0.78,,                              0.78,                              0.78,                129750,                 -2063,               -142807,,,                  3138,
9925,2012年01月01日至2012年12月31日,,              6850812,,              4364619,              2486193,              2486193,,,                182433,,              1308663,              1491096,                995097,,,                251732,,                -10828,,                 36475,                -25647,,                 31380,,                  2619,                197324,              1192421,,                197282,                995139,                995139,,,,,,,,,                 66022,              1061161,,                938019,                 57120,,              1031820,                 29341,,                              2.48,                              2.48,,                              2.48,                              2.48,                251732,                 -6270,                106193,                -36826,,                 -4935,                 -7860
9925,2012年01月01日至2012年09月30日,,              5163893,,              3272541,              1891352,              1891352,,,                133051,,                972676,              1105727,                785625,,,                195927,,                 -9123,,                  1382,                  7741,,                 23441,,                  1562,                181789,                967414,,                158226,                809188,                809188,,,,,,,,,                221609,              1030797,,                774282,                 34906,,              1010885,                 19912,,                              2.05,                              2.05,,                              2.05,                              2.05,                195927,                 -6002,                228808,,,                 -1197,
9925,2012年01月01日至2012年06月30日,,              3402980,,              2143289,              1259691,              1259691,,,                 91085,,                644181,                735266,                524425,,,                140903,,                 -1928,,                  1376,                    552,,                 15492,,                  1486,                127449,                651874,,                108620,                543254,                543254,,,,,,,,,                 94165,                637419,,                521715,                 21539,,                634115,                  3304,,                              1.38,                              1.38,,                              1.38,                              1.38,                140903,                 -4013,                 99703,,,                 -1525,
9925,2012年01月01日至2012年03月31日,,              1734452,,              1098403,                636049,                636049,,,                 47637,,                320794,                368431,                267618,,,                 11153,,                -13705,,                  1376,                 12329,,                  7530,,                  1931,                 17883,                285501,,                 46417,                239084,                239084,,,,,,,,,                235897,                474981,,                228218,                 10866,,                448539,                 26442,,                              0.60,                              0.60,,                              0.60,                              0.60,                 11153,                 -1950,                242510,,,                 -4663,
