證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 其他收益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益
1817,2014年01月01日至2014年03月31日,,,,                402523,                  3834,                  8241,                390448,,                              0,                390448,,,                273457,                              0,                273457,                116991,                116991,,,                 44815,,                 32661,,                  3275,                 80751,,                              0,                 36240,,,,                    172,                    427,                    599,,                  1558,                      7,                              0,                  1551,,                    420,                    420,                  1730,                 37970,,                  6878,                 31092,                 31092,,,                 14841,                  2523,                 12318,                 12318,                 43410,,                 31092,,                 43410,,                              0.43,                              0.43,,                              0.43,                              0.43,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,
1817,2013年第3季,,,,                454606,                  4041,                  8359,                442206,,,                442206,,,,,                298873,                143333,                143333,,,                 45005,,                 37357,,                  1882,                 84244,,                              0,                 59089,,,,                     55,                    355,                    410,,                   -367,                  2223,                     20,                 -2610,,                    600,                    600,                 -2800,                 56289,,                 19826,                 36463,                 36463,,,,,,                 -3820,                 32643,,                 36463,,                 32643,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,                 -4603,,,                   -783,
1817,2013年第2季,,,,                438114,                  4537,                  7201,                426376,,,                426376,,,,,                303595,                122781,                122781,,,                 39499,,                 30681,,                  1685,                 71865,,                      3,                 50919,,,,                    392,                    630,                  1022,,                 -1597,                     50,                              0,                 -1647,,                    640,                    640,                 -1265,                 49654,,                  8615,                 41039,                 41039,,,,,,                 -7811,                 33228,,                 41039,,                 33228,,                              0.64,                              0.64,,                              0.63,                              0.63,,,,,,,,,,,,,                 -9411,,,                 -1600,
1817,2013年度,,,,              1788338,                 14679,                 36676,              1736983,,                              0,              1736983,,,              1186302,                 15039,              1201341,                535642,                535642,,,                175130,,                132414,,                  6718,                314262,,                    -20,                221360,,,,                    921,                  7142,                  8063,,                  1225,                  2936,,                 -1711,,                  2409,                  2409,                  3943,                225303,,                 59773,                165530,                165530,,,,,,                  7908,                173438,,                165530,,                173438,,                              2.54,                              2.54,,                              2.53,                              2.53,,,,,,,,,,,,                    -20,                 10434,                   -906,                 -1620,,
1817,2013年07月01日至2013年09月30日,,,,                454326,                  4041,                  8359,                441926,,                    280,                442206,,,                297559,                  1314,                298873,                143333,                143333,,,                 45005,,                 37357,,                  1882,                 84244,,                              0,                 59089,,,,                     55,                    355,                    410,,                   -367,                  2223,                     20,                 -2610,,                    600,                    600,                 -2800,                 56289,,                 19826,                 36463,                 36463,,,,,,                 -3820,                 32643,,                 36463,,                 32643,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,                 -4603,,,                   -783,
1817,2013年01月01日至2013年12月31日,,,,              1788338,                 14679,                 36676,              1736983,,,              1736983,,,,,              1201341,                535642,                535642,,,                175130,,                132414,,                  6718,                314262,,                    -20,                221360,,,,                    921,                  7142,                  8063,,                  1225,                  2936,                              0,                 -1711,,                  2409,                  2409,                  3943,                225303,,                 59773,                165530,                165530,,,,,,                  7908,                173438,,                165530,,                173438,,                              2.54,                              2.54,,                              2.53,                              2.53,,,,,,,,,,,,                    -20,                 10434,                   -906,                 -1620,,                              0
1817,2013年01月01日至2013年09月30日,,,,              1255008,                 12509,                 23481,              1219018,,,              1219018,,,,,                847313,                371705,                371705,,,                118410,,                 96810,,                  4910,                220130,,                      3,                151578,,,,                    660,                  2068,                  2728,,                              0,                  2552,                     20,                 -2572,,                  1795,                  1795,                 -1639,                149939,,                 39038,                110901,                110901,,,,,,                  4010,                114911,,                110901,,                114911,,                              1.72,                              1.72,,                              1.71,                              1.71,,,,,,,,,,,,,                  4831,,,                    821,
1817,2013年01月01日至2013年06月30日,,,,                800402,                  8468,                 15122,                776812,,,                776812,,,,,                548440,                228372,                228372,,,                 73405,,                 59453,,                  3028,                135886,,                      3,                 92489,,,,                    605,                  1713,                  2318,,                    367,                    329,                              0,                     38,,                  1195,                  1195,                  1161,                 93650,,                 19212,                 74438,                 74438,,,,,,                  7830,                 82268,,                 74438,,                 82268,,                              1.15,                              1.15,,                              1.15,                              1.15,,,,,,,,,,,,,                  9434,,,                  1604,
1817,2013年01月01日至2013年03月31日,,,,                362288,                  3931,                  7921,                350436,,,                350436,,,,,                244845,                105591,                105591,,,                 33906,,                 28772,,                  1343,                 64021,,,                 41570,,,,                    213,                  1083,                  1296,,                  1964,                    279,,                  1685,,                    555,                    555,                  2426,                 43996,,                 10597,                 33399,                 33399,,,,,,                 15641,                 49040,,                 33399,,                 49040,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,,,,,                 18845,,,                  3204,
1817,2012年07月01日至2012年09月30日,,,,                373794,                  3318,                  7166,                363310,,                              0,                363310,,,                249670,                              0,                249670,                113640,                113640,,,                 41378,,                 25746,,                  1218,                 68342,,                     43,                 45341,,,,                     61,                    701,                    762,,                              0,                    292,                  1277,                 -1569,,                     17,                     17,                   -824,                 44517,,                  7770,                 36747,                 36747,,,,,,                 -7489,                 29258,,                 36747,,                 29258,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,,,,,,                 -9024,,,                 -1535,
1817,2012年01月01日至2012年12月31日,,,,              1497471,                 12595,                 44986,              1439890,,,              1439890,,,,,              1016970,                422920,                422920,,,                150480,,                111730,,                  4909,                267119,,                     85,                155886,,,,                    488,                  2114,                  3510,,                              0,                    926,                  3500,                 -4426,,                    589,                    589,                 -1505,                154381,,                 33800,                120581,                120581,,,,,,                -19393,                101188,,                120581,,                101188,,                              1.87,                              1.87,,                              1.86,                              1.86,,,,,,,,,,,,                     85,                -25169,                  1805,                  3971,,                    908
1817,2012年01月01日至2012年09月30日,,,,              1063618,                  8616,                 34600,              1020402,,                              0,              1020402,,,                726250,                              0,                726250,                294152,                294152,,,                107792,,                 83970,,                  3806,                195568,,                     85,                 98669,,,,                    319,                  1856,                  2175,,                              0,                    915,                  2546,                 -3461,,                     87,                     87,                 -1373,                 97296,,                 23686,                 73610,                 73610,,,,,,                -13402,                 60208,,                 73610,,                 60208,,                              1.14,                              1.14,,                              1.14,                              1.14,,,,,,,,,,,,,                -16147,,,                 -2745,
1817,2012年01月01日至2012年06月30日,,,,                689824,                  5298,                 27434,                657092,,,                657092,,,,,                476580,                180512,                180512,,,                 66414,,                 58224,,                  2588,                127226,,                     42,                 53328,,,,                    258,                  1155,                  1413,,                              0,                    623,                  1269,                 -1892,,                     70,                     70,                   -549,                 52779,,                 15916,                 36863,                 36863,,,,,,                 -5913,                 30950,,                 36863,,                 30950,,                              0.57,                              0.57,,                              0.57,                              0.57,,,,,,,,,,,,,                 -7123,,,                 -1210,
