證券代號,年季,　 營業收入,　　 勞務收入,　　　 運輸收入,　　　　 海運收入（海陸運輸業適用）,　　　　 陸運收入（海陸運輸業適用）,　　　　 空運收入（航空業適用）,　　　　 運輸收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 勞務成本,　　　 運輸成本（海陸運輸業、航空業適用）,　　　　 海運成本,　　　　 陸運成本,　　　　 空運成本,　　　　 運輸成本（海陸運輸業、航空業適用）合計,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分投資損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）
2612,2014年01月01日至2014年03月31日,,,,                369733,                473920,                  2461,                846114,                846114,                846114,,,,                235271,                385731,                  1386,                622388,                622388,                622388,                223726,,,                223726,,,                 85847,                 85847,                137879,,,,                 16162,                 16162,                  1555,                 17717,,                 26242,,                   -197,                    338,                 13046,                -20318,,                 50427,                 50427,,                -10166,                -63194,                 74685,,                  9275,                  9275,                 65410,                 65410,,,,,,                234609,                234609,                234609,                300019,,                 65410,                              0,,                300019,,                              0.26,                              0.26,,                              0.26,                              0.26,                 32979,,                              0,,                              0,                203577,                 31032,,,,,,,,,,,
2612,2013年第3季,,,,                373860,                460194,                  1830,                835884,                835884,                835884,,,,                243289,                376381,                  1006,                620676,                620676,                620676,                215208,                              0,                              0,                215208,,,                 80394,                 80394,                134814,,,,                 14799,                 14799,                 10245,                 25044,,                 58690,                   -248,,                  2743,                    -21,                 55720,,                 56702,                 56702,,                -18214,                  5848,                140662,,,                  3354,                137308,                137308,,,,,,,,               -125546,                 11762,,                137308,                              0,,                 11762,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,                  3354,               -108821,,,                -16725,                -16725,,                              0,,
2612,2013年第2季,,,,                366863,                473647,                  1880,                842390,                842390,                842390,,,,                276609,                379805,                  1124,                657538,                657538,                657538,                184852,,,                184852,,,                 70546,                 70546,                114306,,,,                  9998,                  9998,                  5348,                 15346,,                  5026,,,                  1229,                              0,                  6730,,                 57599,                 57599,,                  4112,                -31411,                 82895,,,                 11623,                 71272,                 71272,,,,,,,,                 50322,                121594,,                 71272,                              0,,                121594,,                              0.28,                              0.28,,                              0.28,                              0.28,                 -2933,,                              0,,,,,,                 11623,                 43557,,,                  6765,                  6765,,                              0,,
2612,2013年度,,,,              1461145,              1860217,                 12033,              3333395,              3333395,              3333395,,,,                981753,              1530798,                  5449,              2518000,              2518000,              2518000,                815395,,,                815395,,,,                336524,                478871,,,,                 45624,                 45624,                 22493,                 68117,,                 89448,,,                  1898,                  2305,                 94374,,                216728,                216728,,                   -853,                -55090,                423781,,,                 27133,                396648,                396648,,,,,,,,                276144,                672792,,                396648,,,                672792,,                              1.55,                              1.55,,                              1.55,                              1.55,                 -9129,,,,,,,                   -853,                 27133,                226530,                  1347,,                 48655,                 48655,                    388,,,
2612,2013年07月01日至2013年09月30日,,,,                373860,                460194,                  1830,                835884,                835884,                835884,,,,                243289,                376381,                  1006,                620676,                620676,                620676,                215208,,,                215208,,,                 80394,                 80394,                134814,,,,                 14799,                 14799,                 10245,                 25044,,                 58690,,,                  2970,,                 55720,,                 56702,                 56702,,                -18214,                  5848,                140662,,,                  3354,                137308,                137308,,,,,,,,               -125546,                 11762,,                137308,                              0,,                 11762,,                              0.54,                              0.54,,                              0.54,                              0.54,,,,,,,,,                  3354,               -131107,,,                -16725,                -16725,                -22286,                              0,,
2612,2013年04月01日至2013年06月30日,,,,                366863,                473647,                  1880,                842390,                842390,                842390,,,,                276609,                379805,                  1124,                657538,                657538,                657538,                184852,,,                184852,,,                 70546,                 70546,                114306,,,,                  9998,                  9998,                 13479,                 23477,,,,,                  1400,,                 -1400,,                 57599,                 57599,,                  4112,                -31410,                 82896,,,                 11623,                 71273,                 71273,,,,,,,,                 50322,                121595,,                 71273,                              0,,                121595,,                              0.28,                              0.28,,                              0.28,                              0.28,,,                              0,,,,,,                 11623,                 52479,,,                  6765,                  6765,                  8922,                              0,,
2612,2013年01月01日至2013年12月31日,,,,              1461145,              1860217,                 12033,              3333395,              3333395,              3333395,,,,                981753,              1530798,                  5449,              2518000,              2518000,              2518000,                815395,,,                815395,,,,                336524,                478871,,,,                 45624,                 45624,                 31622,                 77246,,                 89448,,,                  4203,,                 85245,,                216728,                216728,,                   -853,                -55090,                423781,,,                 27133,                396648,                396648,,,,,,,,                276144,                672792,,                396648,,,                672792,,                              1.55,                              1.55,,                              1.55,                              1.55,,,,,,,,                   -853,                 27133,                226530,                  1347,,                 48655,                 48655,                    388,,,
2612,2013年01月01日至2013年09月30日,,,,              1093288,              1366779,                  6982,              2467049,              2467049,              2467049,,,,                709987,              1110662,                  4394,              1825043,              1825043,              1825043,                642006,                              0,                              0,                642006,,,                249689,                249689,                392317,,,,                 33750,                 33750,                 15735,                 49485,,                 70061,                  4367,,                  4318,                  2284,                 67826,,                168008,                168008,,                 13322,                -37375,                354942,,,                 24781,                330161,                330161,,,,,,,,                163542,                493703,,                330161,                              0,,                493703,,                              1.29,                              1.29,,                              1.29,                              1.29,,,,,,,,,                 24781,                129383,,,                 34159,                 34159,,                              0,,
2612,2013年01月01日至2013年06月30日,,,,                719428,                906585,                  5152,              1631165,              1631165,              1631165,,,,                495571,                734281,                  3388,              1233240,              1233240,              1233240,                397925,,,                397925,,,                140422,                140422,                257503,,,,                 18951,                 18951,                 10166,                 29117,,                  8453,,,                  1577,                  2302,                  7430,,                111306,                111306,,                 31536,                -43223,                214280,,,                 21427,                192853,                192853,,,,,,,,                289088,                481941,,                192853,                              0,,                481941,,                              0.75,                              0.75,,                              0.75,                              0.75,                 -2856,,                              0,,,,,,                 21427,                238204,,,                 50884,                 50884,,                              0,,
2612,2013年01月01日至2013年03月31日,,,,                352565,                432938,                  3272,                788775,                788775,                788775,,,,                208286,                354476,                  2264,                565026,                565026,                565026,                223749,,,                223749,,,                 80552,                 80552,                143197,,,,                  8953,                  8953,                  4818,                 13771,,                  3427,,,                  2651,,                    699,,                 53707,                 53707,,                 27424,                -11813,                131384,,,                  9804,                121580,                121580,,,,,,,,                238766,                360346,,                121580,                              0,,                360346,,                              0.47,                              0.47,,                              0.47,                              0.47,                     77,,                              0,,                              0,,,,                  9804,,,,                 44119,                238766,,,                194647,                              0
2612,2012年07月01日至2012年09月30日,,,,                443225,                470523,                  4238,                917986,                917986,                917986,,,,                201033,                398604,                  2211,                601848,                601848,                601848,                316138,,,                316138,,,                 87766,                 87766,                228372,,,,                  6488,                  6488,                 11960,                 18448,,                -39329,,,                  9707,,                -49036,,                 52854,                 52854,,                  3344,                -80098,                148274,,,                 18421,                129853,                129853,,,,,,,,               -202984,                -73131,,                129853,                              0,,                -73131,,                              0.51,                              0.51,,                              0.51,                              0.51,,,,,,,,,                 18421,               -206079,,,                -32604,                -32604,                -35035,                    664,,
2612,2012年04月01日至2012年06月30日,,,,                452265,                474669,                  2690,                929624,                929624,                929624,,,,                237849,                394850,                  1214,                633913,                633913,                633913,                295711,,,                295711,,,                 91854,                 91854,                203857,,,,                 10444,                 10444,                 13343,                 23787,,,,,                    847,,                   -847,,                 51848,                 51848,,                 -5764,                -34672,                169185,,,                116455,                 52730,                 52730,,,,,,,,                114489,                167219,,                 52730,                              0,,                167219,,                              0.21,                              0.21,,                              0.21,                              0.21,,,                              0,,,,,,                116455,                113963,,,                 20885,                 20885,                 19374,                   -985,,
2612,2012年01月01日至2012年12月31日,,,,              1756303,              1894440,                 11141,              3661884,              3661884,              3661884,,,,                947347,              1559292,                  6918,              2513557,              2513557,              2513557,              1148327,,,              1148327,,,,                346043,                802284,,,,                 32270,                 32270,                 25715,                 57985,,                 57405,,,                 11067,,                 46338,,                207127,                207127,,                 25669,                -77135,                725149,,,                154746,                570403,                570403,,,,,,,,               -517690,                 52713,,                570403,,,                 52713,,                              2.22,                              2.22,,                              2.22,                              2.22,,,,,,,,                 25669,                154746,               -436057,                 -9252,,                -74496,                -74496,                 -2115,,,
2612,2012年01月01日至2012年09月30日,,,,              1357217,              1406269,                  9110,              2772596,              2772596,              2772596,,,,                686192,              1171362,                  4782,              1862336,              1862336,              1862336,                910260,,,                910260,,,                261516,                261516,                648744,,,,                 19773,                 19773,                 27516,                 47289,,                -31382,,,                 10776,,                -42158,,                147599,                147599,,                 29493,               -112975,                535769,,,                147862,                387907,                387907,,,,,,,,               -420077,                -32170,,                387907,                              0,,                -32170,,                              1.51,                              1.51,,                              1.51,                              1.51,,,,,,,,,                147862,               -433787,,,                -60688,                -60688,                -73744,                    654,,
2612,2012年01月01日至2012年06月30日,,,,                913992,                935746,                  4872,              1854610,              1854610,              1854610,,,,                485159,                772758,                  2571,              1260488,              1260488,              1260488,                594122,,,                594122,,,                173750,                173750,                420372,,,,                 13285,                 13285,                 23503,                 36788,,,,,                  1069,,                 -1069,,                 94745,                 94745,,                 26149,                -32877,                387495,,,                129441,                258054,                258054,,,,,,,,               -217093,                 40961,,                258054,                              0,,                 40961,,                              1.01,                              1.01,,                              1.01,                              1.01,,,                              0,,,,,,                129441,               -227708,,,                -28084,                -28084,                -38709,                    -10,,
2612,2012年01月01日至2012年03月31日,,,,                461727,                461077,                  2182,                924986,                924986,                924986,,,,                247310,                377908,                  1357,                626575,                626575,                626575,                298411,,,                298411,,,                 81896,                 81896,                216515,,,,                  2841,                  2841,                 10160,                 13001,,,,,                    222,,                   -222,,                 42897,                 42897,,                 31913,                  1795,                218310,,,                 12986,                205324,                205324,,,,,,,,               -331582,               -126258,,                205324,                              0,,               -126258,,                              0.80,                              0.80,,                              0.80,                              0.80,,,                              0,,                              0,,,,                 12986,,,,                -48969,               -389665,                -58083,,               -341671,                    975
