證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅
8112,2014年01月01日至2014年03月31日,,,,              9243096,              9243096,                 41944,                 16922,              9184230,              9184230,,,              8943130,              8943130,              8943130,                241100,                241100,,,                197813,,                  2139,                199952,                 41148,,,                 27586,,                 12321,,                 25688,,                 24848,                 39067,                 80215,,                 26467,                 26467,                 53748,                 53748,,,                 33484,                  2400,                  5692,                 30192,                 30192,                 83940,,                 53906,                   -158,,                 84098,                   -158,,                              0.29,,                              0.25,,,                              0,                              0,,,,
8112,2013年第3季,,,,              6701863,              6701863,                 27972,                  6215,              6667676,              6667676,,,              6465865,              6465865,              6465865,                201811,                201811,,,                144368,,                  1763,                146131,                 55680,,,                  8884,,                -33003,,                 18541,,                  9057,                -33603,                 22077,,,                 13088,                  8989,                  8989,,,,,,,                -25058,                -16069,,                  9394,                   -405,,                -15664,                   -405,,                              0.06,,                              0.06,,,,,                 13088,                -24769,                 -4500,                 -4211
8112,2013年第2季,,,,              6814946,              6814946,                 23700,                 31796,              6759450,              6759450,,,              6518944,              6518944,              6518944,                240506,                240506,,,                141963,,                  7643,                149606,                 90900,,,                 12563,,                    -42,,                 13330,,                 -6050,                 -6859,                 84041,,,                 28238,                 55803,                 55803,,,,,,,                 59830,                115633,,                 55453,                    350,,                115283,                    350,,                              0.34,,                              0.28,,,,,                 28238,                 13675,                 48480,                  2325
8112,2013年度,,,,             26868817,             26868817,                 63864,                 62243,             26742710,             26742710,,,             25959931,             25959931,             25959931,                782779,                782779,,,                581735,,                  7835,                589570,                193209,,,                 43495,,                -28456,,                 66915,,                 24683,                -27193,                166016,,,                 57069,                108947,                108947,,,,,,,                 82604,                191551,,                112324,                 -3377,,                194928,                 -3377,,                              0.68,,                              0.57,,,,,                 57069,                 42776,                 47100,                  7272
8112,2013年07月01日至2013年09月30日,,,,              6701863,              6701863,                 27972,                  6215,              6667676,              6667676,,,              6465865,              6465865,              6465865,                201811,                201811,,,                144368,,                  1763,                146131,                 55680,,,                  8884,,                -33003,,                 18541,,                  9057,                -33603,                 22077,,,                 13088,                  8989,                  8989,,,,,,,                -25058,                -16069,,                  9394,                   -405,,                -15664,                   -405,,                              0.06,,                              0.06,,,,,                 13088,                -24769,                 -4500,                 -4211
8112,2013年04月01日至2013年06月30日,,,,              6814946,              6814946,,                 55496,              6759450,              6759450,,,              6518944,              6518944,              6518944,                240506,                240506,,,                141963,,                  7643,                149606,                 90900,,,                 12563,,                    -42,,                 13330,,                 -6050,                 -6859,                 84041,,,                 28238,                 55803,                 55803,,,,,,,                 59830,                115633,,                 55453,                    350,,                115283,                    350,,                              0.34,,                              0.28,,,,,                 28238,                 13675,                 48480,                  2325
8112,2013年01月01日至2013年12月31日,,,,             26868817,             26868817,                 63864,                 62243,             26742710,             26742710,,,             25959931,             25959931,             25959931,                782779,                782779,,,                581735,,                  7835,                589570,                193209,,,                 43495,,                -28456,,                 66915,,                 24683,                -27193,                166016,,,                 57069,                108947,                108947,,,,,,,                 82604,                191551,,                112324,                 -3377,,                194928,                 -3377,,                              0.68,,                              0.57,,,,,                 57069,                 42776,                 47100,                  7272
8112,2013年01月01日至2013年09月30日,,,,             18839231,             18839231,                 53268,                 47889,             18738074,             18738074,,,             18127379,             18127379,             18127379,                610695,                610695,,,                415875,,                  5541,                421416,                189279,,,                 27292,,                -17168,,                 45283,,                 12346,                -22813,                166466,,,                 56716,                109750,                109750,,,,,,,                 76027,                185777,,                111091,                 -1341,,                187118,                 -1341,,                              0.67,,                              0.56,,,,,                 56716,                 27261,                 53400,                  4634
8112,2013年01月01日至2013年06月30日,,,,             12137368,             12137368,                 25296,                 41674,             12070398,             12070398,,,             11661514,             11661514,             11661514,                408884,                408884,,,                265556,,                  9729,                275285,                133599,,,                 18408,,                 15835,,                 26742,,                  3289,                 10790,                144389,,,                 43628,                100761,                100761,,,,,,,                101085,                201846,,                101697,                   -936,,                202782,                   -936,,                              0.61,,                              0.50,,,,,                 43628,                 52030,                 57900,                  8845
8112,2013年01月01日至2013年03月31日,,,,              5322422,              5322422,                  1596,                  9879,              5310947,              5310947,,,              5142571,              5142571,              5142571,                168376,                168376,,,                123594,,                  2086,                125680,                 42696,,,                  5846,,                 15877,,                 13411,,                  9340,                 17652,                 60348,,,                 15390,                 44958,                 44958,,,,,,,                 41255,                 86213,,                 46244,                 -1286,,                 87499,                 -1286,,                              0.27,,                              0.22,,,,,                 15390,                 38355,                  9420,                  6520
8112,2012年07月01日至2012年09月30日,,,,              6918314,              6918314,                 13513,                 30546,              6874255,              6874255,,,              6667153,              6667153,              6667153,                207102,                207102,,,                130480,,                  3141,                133621,                 73481,,,                 10523,,                -25891,,                 11725,,                 32104,                  5011,                 78492,,,                 18277,                 60215,                 60215,,,,,,,                -30816,                 29399,,                 61953,                 -1738,,                 31137,                 -1738,,                              0.32,,                              0.27,,,,,                 18277,                -27948,                 -7620,                 -4752
8112,2012年04月01日至2012年06月30日,,,,              6287336,              6287336,,                 28258,              6259078,              6259078,,,              6077502,              6077502,              6077502,                181576,                181576,,,                135840,,                  2730,                138570,                 43006,,,                  5738,,                   -728,,                 10934,,                -13157,                -19081,                 23925,,,                 11756,                 12169,                 12169,,,,,,,                  6980,                 19149,,                 13733,                 -1564,,                 20713,                 -1564,,                              0.07,,                              0.07,,,,,                 11756,                 18241,                 -8160,                  3101
8112,2012年01月01日至2012年12月31日,,,,             26937786,             26937786,                 93096,                 68035,             26776655,             26776655,,,             26025230,             26025230,             26025230,                751425,                751425,,,                508309,,                 12465,                520774,                230651,,,                 41149,,                -54279,,                 48218,,                    892,                -60456,                170195,,,                 59552,                110643,                110643,,,,,,,                -47729,                 62914,,                117535,                 -6892,,                 69806,                 -6892,,                              0.66,,                              0.55,,,,,                 59552,                -57939,                    360,                 -9850
8112,2012年01月01日至2012年09月30日,,,,             20878225,             20878225,                 90166,                 55589,             20732470,             20732470,,,             20169958,             20169958,             20169958,                562512,                562512,,,                393616,,                  8533,                402149,                160363,,,                 20696,,                -32588,,                 36298,,                  1510,                -46680,                113683,,,                 36759,                 76924,                 76924,,,,,,,                -40552,                 36372,,                 81890,                 -4966,,                 41338,                 -4966,,                              0.45,,                              0.38,,,,,                 36759,                -47341,                 -1260,                 -8049
8112,2012年01月01日至2012年06月30日,,,,             13959911,             13959911,,                101696,             13858215,             13858215,,,             13502805,             13502805,             13502805,                355410,                355410,,,                263136,,                  5392,                268528,                 86882,,,                 10173,,                 -6697,,                 24573,,                -30594,                -51691,                 35191,,,                 18482,                 16709,                 16709,,,,,,,                 -9736,                  6973,,                 19937,                 -3228,,                 10201,                 -3228,,                              0.11,,                              0.11,,,,,                 18482,                -19393,                  6360,                 -3297
8112,2012年01月01日至2012年03月31日,,,,              7672575,              7672575,                 44471,                 28967,              7599137,              7599137,,,              7425303,              7425303,              7425303,                173834,                173834,,,                127296,,                  2662,                129958,                 43876,,,                  4435,,                 -5969,,                 13639,,                -17437,                -32610,                 11266,,,                  6726,                  4540,                  4540,,,,,,,                -16716,                -12176,,                  6204,                 -1664,,                -10512,                 -1664,,                              0.04,,                              0.04,,,,,                  6726,                -37634,                 14520,                 -6398
