證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8422,2014年01月01日至2014年03月31日,,                535097,,                160059,                375038,                375038,,,                 57875,,                  2776,                 60651,                314387,,,,                  5653,                    184,                  5837,,,,,                              0,                 -1182,                  4655,                319042,,                 40553,                278489,                278489,,,                   -146,                   -146,                   -146,                278343,,                278489,                              0,,                278343,                              0,,                              2.56,                              2.56,,                              2.56,                              2.56,                  1182,,,
8422,2013年第3季,,                677408,,                167186,                510222,                510222,,,                 60636,,                  2669,                 63305,                446917,,,,                  6072,                     75,                  6147,,                              0,                              0,,                              0,                              0,                  6147,                453064,,                 58132,                394932,                394932,,,,,                   -195,                394737,,                394932,                              0,,                394737,                              0,,                              3.63,                              3.63,,                              3.63,                              3.63,,                   -195,,                              0
8422,2013年第2季,,                551381,,                185350,                366031,                366031,,,                 61017,,                  2889,                 63906,                302125,,,,                  4744,                     69,                  4813,,,,,                    458,                   -458,                  4355,                306480,,                 40147,                266333,                266333,,,,,                    311,                266644,,                266333,,,                266644,,,                              2.45,                              2.45,,                              2.44,                              2.44,                              0,                    311,,                              0
8422,2013年度,,              2343057,,                683232,              1659825,              1659825,,,                237944,,                 11123,                249067,              1410758,,,,                 20180,                    219,                 20399,,,                  1992,,                  1861,                    131,                 20530,              1431288,,                183067,              1248221,              1248221,,,,,                  2122,              1250343,,              1248221,                              0,,              1250343,                              0,,                             11.46,                             11.46,,                             11.45,                             11.45,,                    873,                  1385,                    136
8422,2013年07月01日至2013年09月30日,,                677408,,                167186,                510222,                510222,,,                 60636,,                  2669,                 63305,                446917,,,,                  6072,                     75,                  6147,,,,,                              0,                              0,                  6147,                453064,,                 58132,                394932,                394932,,,,,                   -195,                394737,,                394932,,,                394737,,,                              3.63,                              3.63,,                              3.63,                              3.63,,                   -195,,                              0
8422,2013年04月01日至2013年06月30日,,                551381,,                185350,                366031,                366031,,,                 61017,,                  2889,                 63906,                302125,,,,                  4744,                     69,                  4813,,,,,                    458,                   -458,                  4355,                306480,,                 40147,                266333,                266333,,,,,                    311,                266644,,                266333,,,                266644,,,                              2.45,                              2.45,,                              2.44,                              2.44,,                    311,,                              0
8422,2013年01月01日至2013年12月31日,,              2343057,,                683232,              1659825,              1659825,,,                237944,,                 11123,                249067,              1410758,,,,                 20180,                    219,                 20399,,,                  1992,,                  1861,                    131,                 20530,              1431288,,                183067,              1248221,              1248221,,,,,                  2122,              1250343,,              1248221,,,              1250343,,,                             11.46,                             11.46,,                             11.45,                             11.45,,                    873,                  1385,                    136
8422,2013年01月01日至2013年09月30日,,              1746441,,                525673,              1220768,              1220768,,,                177447,,                  8515,                185962,              1034806,,,,                 16982,                    144,                 17126,,                              0,                              0,,                  1852,                 -1852,                 15274,              1050080,,                135225,                914855,                914855,,,,,                    727,                915582,,                914855,                              0,,                915582,                              0,,                              8.40,                              8.40,,                              8.40,                              8.40,,                    696,,                    -31
8422,2013年01月01日至2013年06月30日,,              1069033,,                358487,                710546,                710546,,,                116811,,                  5846,                122657,                587889,,,,                 10910,                     69,                 10979,,,,,                  1852,                 -1852,                  9127,                597016,,                 77093,                519923,                519923,,,,,                    922,                520845,,                519923,,,                520845,,,                              4.77,                              4.77,,                              4.77,                              4.77,                              0,                    891,,                    -31
8422,2013年01月01日至2013年03月31日,,                517652,,                173137,                344515,                344515,,,                 55794,,                  2957,                 58751,                285764,,,,                  6166,                              0,                  6166,,,,,                  1394,                 -1394,                  4772,                290536,,                 36946,                253590,                253590,,,,,                    611,                254201,,                253590,,,                254201,,,                              2.33,                              2.33,,                              2.33,                              2.33,                              0,                    580,,                    -31
8422,2012年07月01日至2012年09月30日,,                674598,,                227655,                446943,                446943,,,                 48115,,                  2597,                 50712,                396231,,,,                  3587,                     21,                  3608,,,,,                              0,                              0,                  3608,                399839,,                 45126,                354713,                354713,,,,,                              0,                354713,,                354713,,,                354713,,,                              3.26,                              3.26,,                              3.26,                              3.26,,                              0,,                              0
8422,2012年04月01日至2012年06月30日,,                687115,,                188971,                498144,                498144,,,                 37925,,                  2555,                 40480,                457664,,,,                  4938,                  2200,                  7138,,,,,                              0,                              0,                  7138,                464802,,                 48617,                416185,                416185,,,,,                              0,                416185,,                416185,,,                416185,,,                              3.82,                              3.82,,                              3.82,                              3.82,,                              0,,                              0
8422,2012年01月01日至2012年12月31日,,              2617908,,                815475,              1802433,              1802433,,,                181166,,                 10161,                191327,              1611106,,,,                 17226,                  2490,                 19716,,,                              0,,                     93,                    -93,                 19623,              1630729,,                173850,              1456879,              1456879,,,,,                 -1409,              1455470,,              1456879,,,              1455470,,,                             13.38,                             13.38,,                             11.37,                             11.37,,                    -41,                 -1520,                   -152
8422,2012年01月01日至2012年09月30日,,              2041463,,                639976,              1401487,              1401487,,,                128869,,                  7568,                136437,              1265050,,,,                 12444,                  2480,                 14924,,,,,                              0,                              0,                 14924,              1279974,,                136715,              1143259,              1143259,,,,,                              0,              1143259,,              1143259,,,              1143259,,,                             10.50,                             10.50,,                             10.49,                             10.49,,                              0,,                              0
8422,2012年01月01日至2012年06月30日,,              1366865,,                412321,                954544,                954544,,,                 80754,,                  4971,                 85725,                868819,,,,                  8857,                  2459,                 11316,,,,,                              0,                              0,                 11316,                880135,,                 91589,                788546,                788546,,,,,                              0,                788546,,                788546,,,                788546,,,                              7.24,                              7.24,,                              7.24,                              7.24,,                              0,,                              0
8422,2012年01月01日至2012年03月31日,,                679750,,                223350,                456400,                456400,,,                 42829,,                  2416,                 45245,                411155,,,,                  3919,                    259,                  4178,,,,,                              0,                              0,                  4178,                415333,,                 42972,                372361,                372361,,,,,                              0,                372361,,                372361,,,                372361,,,                              3.42,                              3.42,,                              3.42,                              3.42,,                              0,,                              0
