證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
5906,2014年01月01日至2014年03月31日,,                535119,,                305144,                229975,                229975,,,                369320,,                 27739,                397059,               -167084,,,                    987,,                 -4316,,                  5706,                 -9035,               -176119,,                  2113,               -178232,               -178232,,,                 -1162,                 -1162,                 -1162,               -179394,,               -178232,,,,               -179394,,,,                             -1.85,                             -1.85,
5906,2013年第3季,,                429545,,                287222,                142323,                142323,,,                289205,,                 31086,                320291,               -177968,,,                  1898,,                 -1132,,                  5797,                 -5031,               -182999,,                 -1147,               -181852,               -181852,,,,,                -18027,               -199879,,               -181852,,,,               -199879,,,,                             -1.89,                             -1.89,                -18027
5906,2013年第2季,,                365088,,                187537,                177551,                177551,,,                346255,,                 34203,                380458,               -202907,,,                  2525,,                 -1648,,                  6594,                 -5717,               -208624,,                -10488,               -198136,               -198136,,,,,                 28745,               -169391,,               -198136,,,,               -169391,,,,                             -2.06,                             -2.06,                 28745
5906,2013年度,,              2091400,,              1138701,                952699,                952699,,,              1447279,,                126486,              1573765,               -621066,,,                  7225,,                   -986,,                 25537,                -19298,               -640364,,                 19735,               -660099,               -660099,,,,,                 92034,               -568065,,               -660099,,,,               -568065,,,,                             -6.99,                             -6.99,                 92034
5906,2013年07月01日至2013年09月30日,,                429545,,                287222,                142323,                142323,,,                289205,,                 31086,                320291,               -177968,,,                  1898,,                 -1132,,                  5797,                 -5031,               -182999,,                 -1147,               -181852,               -181852,,,,,                -18027,               -199879,,               -181852,,                              0,,               -199879,,                              0,,                             -1.89,                             -1.89,                -18027
5906,2013年04月01日至2013年06月30日,,                365088,,                187537,                177551,                177551,,,                346255,,                 34203,                380458,               -202907,,,                  2525,,                 -1648,,                  6594,                 -5717,               -208624,,                -10488,               -198136,               -198136,,,,,                 28745,               -169391,,               -198136,,,,               -169391,,,,                             -2.06,                             -2.06,                 28745
5906,2013年01月01日至2013年12月31日,,              2091400,,              1138701,                952699,                952699,,,              1447279,,                126486,              1573765,               -621066,,,                  7225,,                   -986,,                 25537,                -19298,               -640364,,                 19735,               -660099,               -660099,,,,,                 92034,               -568065,,               -660099,,,,               -568065,,,,                             -6.99,                             -6.99,                 92034
5906,2013年01月01日至2013年09月30日,,              1474033,,                830137,                643896,                643896,,,              1038770,,                 95113,              1133883,               -489987,,,                  5491,,                 -3458,,                 19101,                -17068,               -507055,,                 -4464,               -502591,               -502591,,,,,                 67645,               -434946,,               -502591,,,,               -434946,,,,                             -5.36,                             -5.36,                 67645
5906,2013年01月01日至2013年06月30日,,              1044488,,                542915,                501573,                501573,,,                749565,,                 64027,                813592,               -312019,,,                  3593,,                 -2326,,                 13304,                -12037,               -324056,,                 -3317,               -320739,               -320739,,,,,                 85672,               -235067,,               -320739,,,,               -235067,,,,                             -3.47,                             -3.47,                 85672
5906,2013年01月01日至2013年03月31日,,                679400,,                355378,                324022,                324022,,,                403310,,                 29824,                433134,               -109112,,,                  1068,,                   -678,,                  6710,                 -6320,               -115432,,                  7171,               -122603,               -122603,,,,,                 56927,                -65676,,               -122603,,,,                -65676,,                              0,,                             -1.38,                             -1.38,                 56927
5906,2012年07月01日至2012年09月30日,,                602842,,                305849,                296993,                296993,,,                332968,,                 34283,                367251,                -70258,,,                  1325,,                  2993,,                  2573,                  1745,                -68513,,                   -532,                -67981,                -67981,,,,,                -33100,               -101081,,                -67981,,                              0,,               -101081,,                              0,,                             -1.02,                             -1.02,                -33100
5906,2012年04月01日至2012年06月30日,,                410895,,                184581,                226314,                226314,,,                344876,,                 38591,                383467,               -157153,,,                  5995,,                -10867,,                  2185,                 -7057,               -164210,,                    539,               -164749,               -164749,,,,,                 13709,               -151040,,               -164749,,,,               -151040,,,,                             -2.48,                             -2.48,                 13709
5906,2012年01月01日至2012年12月31日,,              2815501,,              1303659,              1511842,              1511842,,,              1650678,,                144850,              1795528,               -283686,,,                  8650,,                 -5542,,                 11751,                 -8643,               -292329,,                -14126,               -278203,               -278203,,,,,                -56029,               -334232,,               -278203,,,,               -334232,,,,                             -4.19,                             -4.19,                -56029
5906,2012年01月01日至2012年09月30日,,              1812798,,                849800,                962998,                962998,,,              1150925,,                110916,              1261841,               -298843,,,                  8057,,                 -8007,,                  7825,                 -7775,               -306618,,                  2120,               -308738,               -308738,,,,,                -67417,               -376155,,               -308738,,                              0,,               -376155,,                              0,,                             -4.66,                             -4.66,                -67417
5906,2012年01月01日至2012年06月30日,,              1209956,,                543951,                666005,                666005,,,                817957,,                 76633,                894590,               -228585,,,                  6732,,                -11000,,                  5252,                 -9520,               -238105,,                  2652,               -240757,               -240757,,,,,                -34317,               -275074,,               -240757,,,,               -275074,,,,                             -3.63,                             -3.63,                -34317
5906,2012年01月01日至2012年03月31日,,                799061,,                359370,                439691,                439691,,,                473081,,                 38042,                511123,                -71432,,,                    737,,                   -133,,                  3067,                 -2463,                -73895,,                  2113,                -76008,                -76008,,,,,                -48026,               -124034,,                -76008,,,,               -124034,,,,                             -1.15,                             -1.15,                -48026
