證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3037,2014年01月01日至2014年03月31日,,             13555523,,             12313683,              1241840,              1241840,,,                233068,,                548340,,                411342,              1192750,,                 42527,                 91617,,,                139292,,                -38457,,                111314,,                  3392,                 -7087,                 84530,,                 27477,                 57053,                 57053,,,,                              0,                              0,,               -135729,                 47556,,                  5561,                 50538,               -133150,               -133150,                -76097,,                 87277,                -30224,,                 61590,               -137687,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,
3037,2013年第3季,,             15725875,,             13882167,              1843708,              1843708,,,                301859,,                701489,,                437149,              1440497,,                 -7503,                395708,,,                160187,,                 35063,,                107912,,                -59717,                 27621,                423329,,                 48297,                375032,                375032,,,,,,,,,,,,,                -75194,                299838,,                405739,                -30707,,                306121,                 -6283,,                              0.26,                              0.26,,                              0.26,                              0.26,                -75890,                 -9886,,,                -20107,                -30689
3037,2013年第2季,,             15207452,,             13345674,              1861778,              1861778,,,                334674,,                652605,,                428966,              1416245,,                196919,                642452,,,                138871,,               -334432,,                117573,,                 49912,               -263222,                379230,,                112123,                267107,                267107,,,,,,,,,,,,,                231649,                498756,,                333072,                -65965,,                516686,                -17930,,                              0.22,                              0.22,,                              0.21,                              0.21,                233624,                 24006,,,                -13368,                 12613
3037,2013年度,,             59934614,,             53377165,              6557449,              6557449,,,              1277530,,              2481948,,              1693636,              5453114,,                430965,              1535300,,,                560799,,               -295608,,                477045,,               -110303,               -322157,              1213143,,                256898,                956245,                956245,,,,,,,,,,,,,                759011,              1715256,,              1172551,               -216306,,              1815690,               -100434,,                              0.76,                              0.76,,                              0.76,                              0.76,                786994,                -30731,                104521,,                -33218,                 68555
3037,2013年07月01日至2013年09月30日,,             15725875,,             13882167,              1843708,              1843708,,,                301859,,                701489,,                437149,              1440497,,                 -7503,                395708,,,                160187,,                 35063,,                107912,,                -59717,                 27621,                423329,,                 48297,                375032,                375032,,,,,,,,,,,,,                -75194,                299838,,                405739,                -30707,,                306121,                 -6283,,                              0.26,                              0.26,,                              0.26,                              0.26,                -75890,                 -9886,,,                -20107,                -30689
3037,2013年04月01日至2013年06月30日,,             15207452,,             13345674,              1861778,              1861778,,,                334674,,                652605,,                428966,              1416245,,                196919,                642452,,,                138871,,               -334432,,                117573,,                 49912,               -263222,                379230,,                112123,                267107,                267107,,,,,,,,,,,,,                231649,                498756,,                333072,                -65965,,                516686,                -17930,,                              0.22,                              0.22,,                              0.21,                              0.21,                233624,                 24006,,,                -13368,                 12613
3037,2013年01月01日至2013年12月31日,,             59934614,,             53377165,              6557449,              6557449,,,              1277530,,              2481948,,              1693636,              5453114,,                430965,              1535300,,,                560799,,               -295608,,                477045,,               -110303,               -322157,              1213143,,                256898,                956245,                956245,,,,,,,,,,,,,                759011,              1715256,,              1172551,               -216306,,              1815690,               -100434,,                              0.76,                              0.76,,                              0.76,                              0.76,                786994,                -30731,                104521,,                -33218,                 68555
3037,2013年01月01日至2013年09月30日,,             45550146,,             39906709,              5643437,              5643437,,,              1004290,,              1940695,,              1275442,              4220427,,                267358,              1690368,,,                432046,,               -232679,,                349098,,                -64235,               -213966,              1476402,,                279787,              1196615,              1196615,,,,,,,,,,,,,                435903,              1632518,,              1356995,               -160380,,              1721731,                -89213,,                              0.88,                              0.88,,                              0.87,                              0.87,                519247,                  7680,,,                -39858,                 51166
3037,2013年01月01日至2013年06月30日,,             29824271,,             26024542,              3799729,              3799729,,,                702431,,              1239206,,                838293,              2779930,,                274861,              1294660,,,                271859,,               -267742,,                241186,,                 -4518,               -241587,              1053073,,                231490,                821583,                821583,,,,,,,,,,,,,                511097,              1332680,,                951256,               -129673,,              1415610,                -82930,,                              0.62,                              0.62,,                              0.61,                              0.61,                595137,                 17566,,,                -19751,                 81855
3037,2013年01月01日至2013年03月31日,,             14616819,,             12678868,              1937951,              1937951,,,                367757,,                586601,,                409327,              1363685,,                 77942,                652208,,,                132988,,                 66690,,                123613,,                -54430,                 21635,                673843,,                119367,                554476,                554476,,,,,,,,,,,,,                279448,                833924,,                618184,                -63708,,                898924,                -65000,,                              0.40,                              0.40,,                              0.40,                              0.40,                361513,                 -6440,,,                 -6383,                 69242
3037,2012年07月01日至2012年09月30日,,             17433365,,             14717218,              2716147,              2716147,,,                326615,,                653242,,                408658,              1388515,,                  1220,              1328852,,,                171441,,                -75252,,                123695,,                -35094,                -62600,              1266252,,                204423,              1061829,              1061829,,,,,,,,,,,,,               -251838,                809991,,              1088492,                -26663,,                821528,                -11537,,                              0.71,                              0.71,,                              0.70,                              0.70,               -272499,                -22062,,,                 -7468,                -50191
3037,2012年04月01日至2012年06月30日,,             16668848,,             14299133,              2369715,              2369715,,,                335781,,                568585,,                383260,              1287626,,                 37230,              1119319,,,                131858,,                  9809,,                116828,,                -41492,                -16653,              1102666,,                186228,                916438,                916438,,,,,,,,,,,,,                 -2609,                913829,,                952186,                -35748,,                952289,                -38460,,                              0.62,                              0.62,,                              0.61,                              0.61,                 94071,                -50849,,,                -13434,                 32397
3037,2012年01月01日至2012年12月31日,,             67490211,,             57689317,              9800894,              9800894,,,              1391743,,              2378570,,              1558892,              5329205,,                115941,              4587630,,,              1016140,,               -788881,,                486739,,               -362342,               -621822,              3965808,,                700474,              3265334,              3265334,,,,,,,,,,,,,               -543187,              2722147,,              3432713,               -167379,,              2869604,               -147457,,                              2.23,                              2.23,,                              2.21,                              2.21,               -559030,                  9341,                -87738,,                -14822,               -109062
3037,2012年01月01日至2012年09月30日,,             50462505,,             42974129,              7488376,              7488376,,,                980526,,              1749937,,              1149011,              3879474,,                 86044,              3694946,,,                686937,,               -189816,,                363449,,               -285816,               -152144,              3542802,,                687119,              2855683,              2855683,,,,,,,,,,,,,               -426113,              2429570,,              2895575,                -39892,,              2461352,                -31782,,                              1.88,                              1.88,,                              1.85,                              1.85,               -554758,                 59356,,,                -15829,                -85118
3037,2012年01月01日至2012年06月30日,,             33029140,,             28256911,              4772229,              4772229,,,                653911,,              1096695,,                740353,              2490959,,                 84824,              2366094,,,                515496,,               -114564,,                239754,,               -250722,                -89544,              2276550,,                482696,              1793854,              1793854,,,,,,,,,,,,,               -174275,              1619579,,              1807083,                -13229,,              1639824,                -20245,,                              1.17,                              1.17,,                              1.15,                              1.15,               -282259,                 81418,,,                 -8361,                -34927
3037,2012年01月01日至2012年03月31日,,             16360292,,             13957778,              2402514,              2402514,,,                318130,,                528110,,                357093,              1203333,,                 47594,              1246775,,,                383638,,               -124373,,                122926,,               -209230,                -72891,              1173884,,                296468,                877416,                877416,,,,,,,,,,,,,               -171666,                705750,,                854897,                 22519,,                687535,                 18215,,                              0.56,                              0.56,,                              0.55,                              0.55,               -376330,                132267,,,                  5073,                -67324
