證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 廉價購買利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 股利收入,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 備供出售金融資產未實現評價損益,　 稀釋每股盈餘,　　 稀釋每股盈餘合計
6191,2014年01月01日至2014年03月31日,,              7392943,,              6831260,                561683,                561683,,,                144450,,                362111,,                 34208,                540769,                 20914,,,,                 32506,                  5476,                 29055,                 67037,,                 28440,                              0,                -85596,                 10721,                  1598,                -48033,,                 49501,,                 12621,                -17876,                  3038,,                 19956,                -16918,                -16918,,,                212576,,,                   -302,                212274,                212274,                195356,,                -17556,                    638,,                194533,                    823,,                             -0.03,,,,,,,,,,,
6191,2013年第3季,,              8521648,,              7930540,                591108,                591108,,,                166521,,                333114,,                 33201,                532836,                 58272,,,,                 23179,                              0,                 37336,                 60515,,                  1293,,                  6818,                 14220,                 23035,                   -704,,                 48518,,                    437,                 11730,                 70002,,                 42678,                 27324,                 27324,,,,,,,,               -157688,               -130364,,                 30299,                 -2975,,               -127783,                 -2581,,                              0.06,,,,               -156952,,,                   -736,,,,
6191,2013年第2季,,              7879227,,              7397830,                481397,                481397,,,                139930,,                367494,,                 30239,                537663,                -56266,,,,                 21568,                              0,                 36447,                 58015,,                 -1099,,                 22314,                   -702,                  1457,                 19056,,                 46545,,                  1139,                 31665,                -24601,,                 28147,                -52748,                -52748,,,,,,,,                 81928,                 29180,,                -46252,                 -6496,,                 34757,                 -5577,,                             -0.09,,,,                 80760,,,                  1168,,,,
6191,2013年度,,             33189361,,             31011662,              2177699,              2177699,,,                609368,,              1503259,,                135483,              2248110,                -70411,,,,                 90226,                 13779,                127155,                231244,,                 -7116,,                 70266,                 36038,                 50480,               -211761,,                192582,,                  7640,               -165459,               -235870,,                149602,               -385472,               -385472,,,,,,,,                324411,                -61061,,               -373397,                -12075,,                -49955,                -11106,,                             -0.70,                     84,,                260469,                314549,                  6216,,                  4703,                  1057,,,
6191,2013年07月01日至2013年09月30日,,              8521648,,              7930540,                591108,                591108,,,                166521,,                333114,,                 33201,                532836,                 58272,,,,                 23179,                              0,                 37252,                 60515,,                  1293,                              0,                  6818,                 14220,                 23035,                   -704,,                 48518,,                    437,                 11730,                 70002,,                 42678,                 27324,                 27324,,,,,,,,               -157688,               -130364,,                 30299,                 -2975,,               -127783,                 -2581,,                              0.06,                     84,,,               -156952,,,                   -736,,                              0,,                              0.06
6191,2013年04月01日至2013年06月30日,,              7879227,,              7397830,                481397,                481397,,,                139930,,                367494,,                 30239,                537663,                -56266,,,,                 21568,                              0,                 36447,                 58015,,                 -1099,                              0,                 22314,                   -702,                  1457,                 19056,,                 46545,,                  1139,                 31665,                -24601,,                 28147,                -52748,                -52748,,,,,,,,                 81188,                 28440,,                -46252,                 -6496,,                 34757,                 -6317,,                             -0.09,                              0,,,                 80020,,,                  1168,,                              0,,                              0.00
6191,2013年01月01日至2013年12月31日,,             33189361,,             31011662,              2177699,              2177699,,,                609368,,              1503259,,                135483,              2248110,                -70411,,,,                 90226,                 13779,                127155,                231244,,                 -7116,                              0,                 70266,                 36038,                 50480,               -211761,,                192582,,                  7640,               -165459,               -235870,,                149602,               -385472,               -385472,,,,,,,,                324411,                -61061,,               -373397,                -12075,,                -49955,                -11106,,                             -0.70,                     84,,                260469,                314549,                  6216,,                  4703,                  1057,                              0,,
6191,2013年01月01日至2013年09月30日,,             24089727,,             22518435,              1571292,              1571292,,,                460176,,              1045112,,                 97070,              1602358,                -31066,,,,                 61330,                  5490,                104474,                171294,,                 -1158,,                 40727,                 27725,                 26522,                 40772,,                142313,,                  2100,                 71853,                 40787,,                 96661,                -55874,                -55874,,,,,,,,                219869,                163995,,                -45242,                -10632,,                174003,                -10008,,                             -0.09,,,,                216669,,,                  3200,,,,
6191,2013年01月01日至2013年06月30日,,             15568079,,             14587895,                980184,                980184,,,                293655,,                711998,,                 63869,              1069522,                -89338,,,,                 38151,                  5490,                 67138,                110779,,                 -2451,,                 33909,                 13505,                  3487,                 41476,,                 93795,,                  1663,                 60123,                -29215,,                 53983,                -83198,                -83198,,,,,,,,                377557,                294359,,                -75541,                 -7657,,                301786,                 -7427,,                             -0.14,,,,                373621,,,                  3936,,,,
6191,2013年01月01日至2013年03月31日,,              7688852,,              7190065,                498787,                498787,,,                153725,,                344504,,                 33630,                531859,                -33072,,,,                 16583,                  5490,                 30691,                 52764,,                 -1352,,                 11595,                 14207,                  2030,                 22420,,                 47250,,                    524,                 28458,                 -4614,,                 25836,                -30450,                -30450,,,,,,,,                296369,                265919,,                -29289,                 -1161,,                267029,                 -1110,,                             -0.06,,,,                293601,,,                  2768,,,,
6191,2012年07月01日至2012年09月30日,,              8950943,,              8429456,                521487,                521487,,,                158526,,                327894,,                 32307,                518727,                  2760,,,,                 19443,                              0,                 23114,                 42641,,                  1175,                     70,                -19237,                 -1366,                  2625,                -21983,,                 50826,,                  2582,                -27586,                -24826,,                 31564,                -56390,                -56390,,,,,,,,               -211146,               -267536,,                -31952,                -24438,,               -241397,                -26139,,                             -0.06,                     84,,,               -209607,,,                 -1539,,                              0,,                             -0.05
6191,2012年04月01日至2012年06月30日,,             10461038,,              9883594,                577444,                577444,,,                153765,,                242161,,                 24519,                420445,                156999,,,,                 30872,                              0,                 63796,                 95878,,                   -461,                 48097,                 14434,                 -2290,                 15829,                 43951,,                 48483,,                  1057,                 92403,                249402,,                131881,                117521,                117521,,,,,,,,                 68012,                185533,,                135714,                -18193,,                203726,                -18193,,                              0.26,                  1210,,,                117855,,,                    918,,                -50761,,                              0.25
6191,2012年01月01日至2012年12月31日,,             36387822,,             34181634,              2206188,              2206188,,,                595168,,              1225463,,                123148,              1943779,                262409,,,,                 97762,                  9225,                158918,                267199,,                 -1466,                 49300,                -50641,                 -4830,                 27219,                -34856,,                193300,,                 11568,                 50611,                313020,,                236428,                 76592,                 76592,,,,,,,,               -422545,               -345953,,                129258,                -52666,,               -291031,                -54922,,                              0.24,                  1294,,                              0,               -431731,                  7680,,                -12626,                  1306,                 15438,,
6191,2012年01月01日至2012年09月30日,,             28214341,,             26630630,              1583711,              1583711,,,                443118,,                840110,,                 84119,              1367347,                216364,,,,                 80070,                 10853,                129870,                222087,,                  1438,                 49300,                -15284,                 -1179,                 21235,                 13040,,                147547,,                  2028,                 89608,                305972,,                187933,                118039,                118039,,,,,,,,               -336258,               -218219,,                167247,                -49208,,               -167310,                -50909,,                              0.31,                  1294,,,               -347861,,,                 -3835,,                 15438,,                              0.31
6191,2012年01月01日至2012年06月30日,,             19263398,,             18201174,              1062224,              1062224,,,                284592,,                512216,,                 51812,                848620,                213604,,,,                 60627,                 10853,                106756,                179446,,                    263,                 49230,                  3953,                    187,                 18610,                 35023,,                 96721,,                   -554,                117194,                330798,,                156369,                174429,                174429,,,,,,,,               -125112,                 49317,,                199199,                -24770,,                 74087,                -24770,,                              0.37,                  1210,,,               -138254,,,                 -2296,,                 15438,,                              0.36
6191,2012年01月01日至2012年03月31日,,              8802360,,              8317580,                484780,                484780,,,                130827,,                270055,,                 27293,                428175,                 56605,,,,                 29755,                 10853,                 42960,                 83568,,                    724,                  1133,                -10481,                  2477,                  2781,                 -8928,,                 48238,,                 -1611,                 24791,                 81396,,                 24488,                 56908,                 56908,,,,,,,,               -193124,               -136216,,                 63485,                 -6577,,               -129639,                 -6577,,                              0.12,,,,               -256109,,,                 -3214,,                 66199,,                              0.12
