證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 勞務收入,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 投資損失,　　　　 投資損失合計,　　　 投資支出（投資公司適用）合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 手續費支出,　　　　 手續費支出合計,　　　 什項支出,　　　 減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 手續費收入,　　　　 手續費收入合計,　　　　 待出售非流動資產減損迴轉利益,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 當期所得稅費用（利益）,　　　 處分投資利益,　　　　 金融資產減損損失,　　　　 銷貨收入,　　　 銷貨退回,　　　 銷貨折讓,　　 遞延所得稅費用（利益）
2024,2014年01月01日至2014年03月31日,,,,                404211,                404211,,,                 15576,                 15576,                 15576,                419787,,,                372864,                372864,,,                              0,                              0,                372864,                 46923,                 46923,,,                 15401,,                  7880,                 23281,                 23642,,,,                    574,                    574,                     51,                    625,,                  2931,                    -81,,                              0,,,                      1,,                              0,                  2849,,                              0,,                              0,,                  5007,                  5007,                 -1533,                 22109,,,                              0,                 22109,,                 -2314,                 19795,,,,                              0,                              0,,                 -2181,                 -2181,                 -2181,                 17614,,                 20192,                   -397,,                 18689,                 -1075,,                              0.20,                             -0.02,                              0.18,,                              0.20,                             -0.02,                              0.18,                              0,,,,,,,,,,,,,,,
2024,2013年第3季,,,,                389848,                389848,,,                 16896,                 16896,                 16896,                406744,,,                363243,                363243,,,                              0,                              0,                363243,                 43501,                 43501,,,                 14243,,                  7202,                 21445,                 22056,,,,                    225,                    225,                     33,                    258,,                              0,                              0,,,,,                      1,,                              0,                   -704,,                              0,,                              0,,                  7063,                  7063,                 -7509,                 14547,,,                              0,                 14547,,                 -5665,                  8882,,,,,,,,,                 -2619,                  6263,,                 10662,                 -1780,,                  8859,                 -2596,,                              0.14,                             -0.04,                              0.10,,                              0.14,                             -0.04,                              0.10,                    703,                              0,,                              0,,                 -2619,,,                              0,                              0,,,,,,
2024,2013年第2季,,,,                387325,                387325,,,                 17855,                 17855,                 17855,                405180,,,                351758,                351758,,,                              0,                              0,                351758,                 53422,                 53422,,,                 14656,,                  7293,                 21949,                 31473,,,,                    210,                    210,                    118,                    328,,                  1614,                     32,,,,,                              0,,                              0,                  1646,,                              0,,                              0,,                  7069,                  7069,                 -5095,                 26378,,,                              0,                 26378,,                 -1734,                 24644,,,,,,,,,                  4623,                 29267,,                 25202,                   -558,,                 28387,                    880,,,,                              0.23,,,,,                              0,                              0,,                              0,,                  4623,,,                              0,                              0,,,,,,
2024,2013年度,,,,              1542556,              1542556,,,                 67394,                 67394,                 67394,              1609950,,,              1429392,              1429392,,,                              0,                              0,              1429392,                180558,                180558,,,                 63552,,                 29873,                 93425,                 87133,,,,,                  1034,                  1320,                  2354,,                              0,                 -7857,,                 12501,,,,,                              0,                  4179,,                              0,,                              0,,,                 27222,                -20689,                 66444,,,                    424,                 66020,,                -20537,                 45483,,,,,,,,,                 19846,                 65329,,                 51970,                 -6487,,                 67329,                 -2000,,                              0.60,                             -0.13,                              0.47,,,,,                    465,,,                              0,                 12501,                 14448,                  8699,                  3301,                              0,,,,,,,
2024,2013年07月01日至2013年09月30日,,,,                480317,                477407,,,                 16895,                 16895,                 16895,                494302,,,                446645,                446645,,,                              0,                              0,                446645,                 47657,                 47657,,,                 15807,,                 13854,                 29661,                 17996,,,,                    230,                    230,                     74,                    304,,                              0,                              0,,,,,                    305,,                              0,                 -2157,,                              0,,                              0,,                  7261,                  7261,                 -9114,                  8882,,,                              0,                  8882,,                              0,                  8882,,,,,,,,,                 -2619,                  6263,,                 10662,                 -1780,,                  8859,                 -2596,,,,                              0.10,,,,,                  1852,,,                              0,,                 -2619,,,                              0,,,,                480317,                  1389,                  1521,                              0
2024,2013年04月01日至2013年06月30日,,,,                492350,                489389,,,                 17855,                 17855,                 17855,                507244,,,                444459,                444459,,,                              0,                              0,                444459,                 62785,                 62785,,,                 16409,,                 14434,                 30843,                 31942,,,,                    220,                    220,                    333,                    553,,                              0,                     32,,,,,                    279,,                              0,                   -412,,                              0,,                              0,,                  7439,                  7439,                 -7298,                 24644,,,                              0,                 24644,,                              0,                 24644,,,,,,,,,                  4623,                 29267,,                 25202,                   -558,,                 28387,                    880,,,,                              0.23,,,,,                    165,,,                              0,,                  4623,,,                              0,,,,                492350,                  1182,                  1779,                              0
2024,2013年01月01日至2013年12月31日,,,,              1542556,              1542556,,,                 67394,                 67394,                 67394,              1609950,,,              1429392,              1429392,,,                              0,                              0,              1429392,                180558,                180558,,,                 63552,,                 29873,                 93425,                 87133,,,,,                  1082,                  1272,                  2354,,                              0,                 -7857,,                 12501,,,,,                              0,                  4179,,                              0,,                              0,,,                 27222,                -20689,                 66444,,,                    424,                 66020,,                -20537,                 45483,,,,,,,,,                 19846,                 65329,,                 51970,                 -6487,,                 67329,                 -2000,,                              0.66,                             -0.19,                              0.47,,,,,                    465,,,                              0,                 12501,                 14448,                  8699,                  3301,                              0,,                              0,                              0,,,,
2024,2013年01月01日至2013年09月30日,,,,              1153256,              1153256,,,                 48407,                 48407,                 48407,              1201663,,,              1064698,              1064698,,,                              0,                              0,              1064698,                136965,                136965,,,                 42393,,                 22343,                 64736,                 72229,,,,                    562,                    562,                    274,                    836,,                  1285,                     47,,,,,                      2,,                              0,                  1330,,                              0,,                              0,,                 20994,                 20994,                -18828,                 53401,,,                              0,                 53401,,                -12286,                 41115,,,,,,,,,                  9967,                 51082,,                 44996,                 -3881,,                 51869,                   -787,,                              0.49,                             -0.08,                              0.41,,                              0.49,                             -0.08,                              0.41,                              0,                              0,,                              0,,                  9967,,,                              0,                              0,,,,,,
2024,2013年01月01日至2013年06月30日,,,,                763408,                763408,,,                 31511,                 31511,                 31511,                794919,,,                701455,                701455,,,                              0,                              0,                701455,                 93464,                 93464,,,                 28150,,                 15141,                 43291,                 50173,,,,                    345,                    345,                    233,                    578,,                  1988,                     47,,,,,                      1,,                              0,                  2034,,                              0,,                              0,,                 13931,                 13931,                -11319,                 38854,,,                              0,                 38854,,                 -6621,                 32233,,,,,,,,,                 12586,                 44819,,                 34334,                 -2101,,                 43010,                  1809,,,,                              0.31,,,,,                              0,                              0,,                              0,,                 12586,,,                              0,                              0,,,,,,
2024,2013年01月01日至2013年03月31日,,,,                376083,                376083,,,                 13656,                 13656,                 13656,                389739,,,                349697,                349697,,,                              0,                              0,                349697,                 40042,                 40042,,,                 13494,,                  7848,                 21342,                 18700,,,,                    135,                    135,                    115,                    250,,                              0,                     15,,                              0,,,                      1,,                              0,                    388,,                              0,,                              0,,                  6862,                  6862,                 -6224,                 12476,,,                              0,                 12476,,                 -4887,                  7589,,,,,,,,,                  7963,                 15552,,                  9132,                 -1543,,                 14623,                    929,,                              0.13,                             -0.05,                              0.08,,,,,                   -374,,,,,                  7963,,,                              0,,,,,,,
2024,2012年07月01日至2012年09月30日,,,,                465982,                462639,,,                 17243,                 17243,                 17243,                479882,,,                468070,                468070,,,                              0,                              0,                468070,                 11812,                 11812,,,                 14353,,                 14418,                 28771,                -16959,,,,                    212,                    212,                  2542,                  2754,,                    738,                              0,,,,,                    848,,                              0,                   -110,,                              0,,                              0,,                  8943,                  8943,                 -6299,                -23258,,,                              0,                -23258,,                              0,                -23258,,,,,,,,,                 -5482,                -28740,,                -22812,                   -446,,                -26307,                 -2433,,,,                             -0.21,,,,,                              0,,,                              0,,                 -5482,,,                              0,,,,                465982,                  1021,                  2322,                              0
2024,2012年04月01日至2012年06月30日,,,,                552961,                549770,,,                 19432,                 19432,                 19432,                569202,,,                530315,                530315,,,                              0,                              0,                530315,                 38887,                 38887,,,                 15911,,                 15552,                 31463,                  7424,,,,                    268,                    268,                    824,                  1092,,                  1461,                     21,,,,,                    593,,                              0,                    889,,                              0,,                              0,,                  8657,                  8657,                 -6676,                    748,,,                    -44,                    792,,                              0,                    792,,,,,,,,,                  4468,                  5260,,                  1667,                   -875,,                  4678,                    582,,,,                              0.02,,,,,                              0,,,                              0,,                  4468,,,                              0,,,,                552961,                  1400,                  1791,                    -44
2024,2012年01月01日至2012年12月31日,,,,              1569124,              1569124,,,                 62511,                 62511,                 62511,              1631635,,,              1604617,              1604617,,,                              0,                              0,              1604617,                 27018,                 27018,,,                 55275,,                 31310,                 86585,                -59567,,,,,                    924,                  2003,                  2927,,                  6975,                     25,,                  1553,,,,,                    253,                  9697,,                              0,,                              0,,,                 33608,                -20984,                -80551,,,                    252,                -80803,,                -21704,               -102507,,,,,,,,,                  1236,               -101271,,                -95504,                 -7003,,                -92474,                 -8797,,                             -0.67,                             -0.20,                             -0.87,,,,,                              0,,,                              0,                  1553,                 -5776,                  3711,                 -3301,                              0,,                  1397,                    253,,,,
2024,2012年01月01日至2012年09月30日,,,,              1496945,              1487932,,,                 52511,                 52511,                 52511,              1540443,,,              1497303,              1497303,,,                              0,                              0,              1497303,                 43140,                 43140,,,                 44136,,                 44339,                 88475,                -45335,,,,                    698,                    698,                  3918,                  4616,,                  6598,                     21,,,,,                  1746,,                              0,                  4873,,                              0,,                              0,,                 26746,                 26746,                -17257,                -62592,,,                    170,                -62762,,                              0,                -62762,,,,,,,,,                 -6228,                -68990,,                -57652,                 -5110,,                -61015,                 -7975,,,,                             -0.53,,,,,                              0,,,                              0,,                 -6228,,,                              0,,,,              1496945,                  3338,                  5675,                    170
2024,2012年01月01日至2012年06月30日,,,,              1030963,              1025293,,,                 35268,                 35268,                 35268,              1060561,,,              1029233,              1029233,,,                              0,                              0,              1029233,                 31328,                 31328,,,                 29783,,                 29921,                 59704,                -28376,,,,                    486,                    486,                  1376,                  1862,,                  5860,                     21,,,,,                    898,,                              0,                  4983,,                              0,,                              0,,                 17803,                 17803,                -10958,                -39334,,,                    170,                -39504,,                              0,                -39504,,,,,,,,,                   -746,                -40250,,                -34840,                 -4664,,                -34708,                 -5542,,,,                             -0.32,,,,,                              0,,,                              0,,                   -746,,,                              0,,,,              1030963,                  2317,                  3353,                    170
2024,2012年01月01日至2012年03月31日,,,,                478002,                475523,,,                 15836,                 15836,                 15836,                491359,,,                498918,                498918,,,                              0,                              0,                498918,                 -7559,                 -7559,,,                 13872,,                 14369,                 28241,                -35800,,,,                    218,                    218,                    552,                    770,,                  4399,                              0,,,,,                    305,,                              0,                  4094,,                              0,,                              0,,                  9146,                  9146,                 -4282,                -40082,,,                    214,                -40296,,                              0,                -40296,,,,,,,,,                 -5214,                -45510,,                -36507,                 -3789,,                -39386,                 -6124,,,,                             -0.33,,,,,                              0,,,                              0,,                 -5214,,,,,,,                478002,                    917,                  1562,                    214
