證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入淨額
1736,2013年07月01日至2013年09月30日,,              3737448,,              2177477,              1559971,              1559971,,,                586523,,                690280,,                 89425,              1366228,                193743,,,                 46175,,                 -9171,,                 14389,                 22615,                216358,,                 67796,                148562,                148562,,,,,,                -52128,                 96434,,                146282,                  2280,,                 94154,                  2280,,                              0.73,,                              0.73,                -30240,                 21888,,
1736,2013年04月01日至2013年06月30日,,              2924232,,              1667641,              1256591,              1256591,,,                651080,,                599960,,                103180,              1354220,                -97629,,,                 53888,,                -72327,,                 22616,                -41055,               -138684,,                 13321,               -152005,               -152005,,,,,,                170149,                 18144,,               -150122,                 -1883,,                 20027,                 -1883,,                             -0.75,,                             -0.75,                204998,                 34849,,              2924232
1736,2013年01月01日至2013年09月30日,,              9979028,,              5680523,              4298505,              4298505,,,              1881210,,              1982375,,                293357,              4156942,                141563,,,                178039,,                -74729,,                 62159,                 41151,                182714,,                105854,                 76860,                 76860,,,,,,                153191,                230051,,                 78770,                 -1910,,                231961,                 -1910,,                              0.39,,                              0.39,                217132,                 63941,,
1736,2013年01月01日至2013年06月30日,,              6241580,,              3503046,              2738534,              2738534,,,              1294687,,              1292095,,                203932,              2790714,                -52180,,,                131864,,                -65558,,                 47770,                 18536,                -33644,,                 38058,                -71702,                -71702,,,,,,                205319,                133617,,                -67512,                 -4190,,                137807,                 -4190,,                             -0.34,,                             -0.34,                247372,                 42053,,              6241580
1736,2013年01月01日至2013年03月31日,,              3317348,,              1657320,              1660028,              1660028,,,                763302,,                750525,,                100752,              1614579,                 45449,,,                 77976,,                  6769,,                 25154,                 59591,                105040,,                 24737,                 80303,                 80303,,,,,,                 35170,                115473,,                 82610,                 -2307,,                117780,                 -2307,,                              0.41,,                              0.41,                 42374,                  7204,,              3317348
1736,2012年07月01日至2012年09月30日,,              3767359,,              2194552,              1572807,              1572807,,,                573185,,                577269,,                108764,              1259218,                313589,,,                 50912,,                  5074,,                 17748,                 38238,                351827,,                 75094,                276733,                276733,,,,,,               -153753,                122980,,                276763,                    -30,,                123010,                    -30,,                              1.37,,                              1.37,               -175430,                -21677,,
1736,2012年04月01日至2012年06月30日,,              3012260,,              1762264,              1249996,              1249996,,,                556696,,                529646,,                 93836,              1180178,                 69818,,,                 51754,,                -55532,,                 23505,                -27283,                 42535,,                 34113,                  8422,                  8422,,,,,,                -48024,                -39602,,                  9694,                 -1272,,                -38330,                 -1272,,                              0.05,,                              0.05,                -57861,                 -9837,,              3012260
1736,2012年01月01日至2012年09月30日,,             10068828,,              5945500,              4123328,              4123328,,,              1624469,,              1762711,,                293950,              3681130,                442198,,,                209317,,                -58286,,                 58648,                 92383,                534581,,                139560,                395021,                395021,,,,,,               -297697,                 97324,,                396803,                 -1782,,                 99106,                 -1782,,                              1.97,,                              1.97,               -348857,                -51160,,
1736,2012年01月01日至2012年06月30日,,              6301469,,              3750948,              2550521,              2550521,,,              1051284,,              1185442,,                185186,              2421912,                128609,,,                158405,,                -63360,,                 40900,                 54145,                182754,,                 64466,                118288,                118288,,,,,,               -143944,                -25656,,                120040,                 -1752,,                -23904,                 -1752,,                              0.06,,                              0.06,               -173427,                -29483,,              6301469
1736,2012年01月01日至2012年03月31日,,              3289209,,              1782228,              1506981,              1506981,,,                701044,,                655796,,                 91350,              1448190,                 58791,,,                106651,,                 -7828,,                 17395,                 81428,                140219,,                 30353,                109866,                109866,,,,,,                -95920,                 13946,,                110346,                   -480,,                 14426,                   -480,,                              0.55,,                              0.55,               -115566,                -19646,,              3289209
