證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　 合併前非屬共同控制股權損益,　 合併前非屬共同控制股權綜合損益淨額
1452,2014年01月01日至2014年06月30日,,,,              1014167,,,                900723,                900723,                113444,                113444,,,                 22533,,                 18643,,                  2652,                 43828,                 69616,,,                  7510,,                    332,,                    293,,                  6616,                 14165,                 83781,,                  5337,                 78444,                 78444,,,,,,,                 -6585,,                  3184,                 -3401,                 -3401,                 75043,,,                              0.59,,,                              0.59,,,,,,,,,
1452,2014年01月01日至2014年03月31日,,,,                525035,,,,                470752,                 54283,                 54283,,,                 11105,,                  9749,,                  1338,                 22192,                 32091,,,                  3041,,                 11456,,                    282,,                  1426,                 15641,                 47732,,                  8797,                 38935,                 38935,,,,,,,                 -4008,,                  8451,                  4443,                  4443,                 43378,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,,,,
1452,2013年第3季,,,,                507327,,,,                463761,                 43566,                 43566,,,                 10214,,                  9556,,                  1335,                 21105,                 22461,,,                 11487,,                  7393,,                    446,,                  4958,                 23392,                 45853,,                 15816,                 30037,                 30037,,,,,,,,,,,                  3192,                 33229,,                              0.23,                              0.23,,                              0.23,                              0.23,                  6048,,,                 -2856,,,,,
1452,2013年第2季,,,,                544605,,,,                510178,                 34427,                 34427,,,                  9510,,                  8804,,                  1113,                 19427,                 15000,,,                  1597,,                 11308,,                     55,,                 -2704,                 10146,                 25146,,                  4868,                 20278,                 20278,,,,,,,,,,,                  5281,                 25559,,                              0.15,                              0.15,,                              0.15,                              0.15,                  2838,,,                  2443,,,,,
1452,2013年度,,,              2153516,              2153516,,,              1974724,              1974724,                178792,                178792,,,                 41069,,                 38380,,                  4994,                 84443,                 94349,,,                 17234,,                 56939,,                    500,,                  3032,                 76705,                171054,,                 34096,                136958,                136958,,,,,,,,,,,                 32220,                169178,,                              1.03,                              1.03,,                              1.03,                              1.03,                 24543,                  1838,,                  6151,                    312,,,,
1452,2013年07月01日至2013年09月30日,,,                507327,                507327,,,                463761,                463761,                 43566,                 43566,,,                 10214,,                  9556,,                  1335,                 21105,                 22461,,,                 11487,,                  7393,,                    446,,                  4958,                 23392,                 45853,,                 15816,                 30037,                 30037,,,,,,,,,,,                  3192,                 33229,,                              0.23,                              0.23,,                              0.23,                              0.23,                  6048,,,                 -2856,,,,,
1452,2013年04月01日至2013年06月30日,,,                544605,                544605,,,                510178,                510178,                 34427,                 34427,,,                  9510,,                  8804,,                  1113,                 19427,                 15000,,,                  1597,,                 11308,,                     55,,                 -2704,                 10146,                 25146,,                  4868,                 20278,                 20278,,,,,,,,,,,                  5281,                 25559,,                              0.15,                              0.15,,                              0.15,                              0.15,                  2838,,,                  2443,,,,,
1452,2013年01月01日至2013年12月31日,,,              2153516,              2153516,,,              1974724,              1974724,                178792,                178792,,,                 41069,,                 38380,,                  4994,                 84443,                 94349,,,                 17234,,                 56939,,                    500,,                  3032,                 76705,                171054,,                 34096,                136958,                136958,,,,,,,,,,,                 32220,                169178,,                              1.03,                              1.03,,                              1.03,                              1.03,                 24543,                  1838,,                  6151,                    312,,,,
1452,2013年01月01日至2013年09月30日,,,,              1595372,,,,              1468080,                127292,                127292,,,                 28593,,                 27718,,                  3611,                 59922,                 67370,,,                 14780,,                 22610,,                    506,,                  1926,                 38810,                106180,,                 26548,                 79632,                 79632,,,,,,,,,,,                 10683,                 90315,,                              0.60,                              0.60,,                              0.60,                              0.60,                 10411,,,                    272,,,,,
1452,2013年01月01日至2013年06月30日,,,,              1088045,,,,              1004319,                 83726,                 83726,,,                 18379,,                 18162,,                  2276,                 38817,                 44909,,,                  3293,,                 15217,,                     60,,                 -3032,                 15418,                 60327,,                 10732,                 49595,                 49595,,,,,,,,,,,                  7491,                 57086,,                              0.37,                              0.37,,                              0.37,                              0.37,                  4363,,,                  3128,,,,,
1452,2013年01月01日至2013年03月31日,,,,                543440,,,,                494141,                 49299,                 49299,,,                  8869,,                  9358,,                  1163,                 19390,                 29909,,,                  1696,,                  3909,,                      5,,                   -328,                  5272,                 35181,,                  5864,                 29317,                 29317,,,,,,,,,,,                  2210,                 31527,,                              0.22,                              0.22,,                              0.22,                              0.22,                  1525,,,                    685,,,                              0,                              0,                              0
1452,2012年07月01日至2012年09月30日,,,                557961,                557961,,,                524889,                524889,                 33072,                 33072,,,                  9428,,                 10487,,                  1346,                 21261,                 11811,,,                 11658,,                 22329,,                      5,,                  6797,                 40779,                 52590,,                  3919,                 48671,                 48671,,,,,,,,,,,                  4495,                 53166,,                              0.37,                              0.37,,                              0.37,                              0.37,                  1415,,,                  3080,,,,,
1452,2012年04月01日至2012年06月30日,,,                528435,                528435,,,                492595,                492595,                 35840,                 35840,,,                  8814,,                  7904,,                  1281,                 17999,                 17841,,,                  2164,,                 -6144,,                      3,,                   -996,                 -4979,                 12862,,                  4877,                  7985,                  7985,,,,,,,,,,,                 -7775,                    210,,                              0.06,                              0.06,,                              0.06,                              0.06,                 -4772,,,                 -3003,,,,,
1452,2012年01月01日至2012年12月31日,,,              2168682,              2168682,,,              2013843,              2013843,                154839,                154839,,,                 35396,,                 35819,,                  5056,                 76271,                 78568,,,                 16914,,                 14088,,                     46,,                 -2506,                 28450,                107018,,                 17026,                 89992,                 89992,,,,,,,,,,,                  5236,                 95228,,                              0.68,                              0.68,,                              0.68,                              0.68,                    675,                 -9778,,                 12677,                 -1662,,,,
1452,2012年01月01日至2012年09月30日,,,              1616163,              1616163,,,              1504027,              1504027,                112136,                112136,,,                 26723,,                 28540,,                  4042,                 59305,                 52831,,,                 15385,,                 28587,,                     46,,                  6111,                 50037,                102868,,                 13219,                 89649,                 89649,,,,,,,,,,,                  7116,                 96765,,                              0.68,                              0.68,,                              0.67,                              0.67,                  2980,,,                  4136,,,,,
1452,2012年01月01日至2012年06月30日,,,              1058202,              1058202,,,                979138,                979138,                 79064,                 79064,,,                 17295,,                 18053,,                  2696,                 38044,                 41020,,,                  3727,,                  6258,,                     41,,                   -686,                  9258,                 50278,,                  9300,                 40978,                 40978,,,,,,,,,,,                  2621,                 43599,,                              0.31,                              0.31,,                              0.31,                              0.31,                  1565,,,                  1056,,,,,
1452,2012年01月01日至2012年03月31日,,,,                529767,,,,                486543,                 43224,                 43224,,,                  8481,,                 10149,,                  1415,                 20045,                 23179,,,                  1563,,                 12402,,                     38,,                    310,                 14237,                 37416,,                  4423,                 32993,                 32993,,,,,,,,,,,                 10396,                 43389,,                              0.25,                              0.25,,                              0.25,                              0.25,                  6337,,,                  4059,,,,,
