證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
8081,2014年01月01日至2014年03月31日,,                959618,,                599492,                360126,                360126,,,                 65710,,                 31045,,                108371,                205126,                155000,,,                 10208,,                 16656,,                    895,,                      9,                 25978,                180978,,                 23216,                157762,                157762,,,                   -211,                 -7678,                 -7889,                 -7889,                149873,,                160543,                 -2781,,                152654,                 -2781,,                              1.87,                              1.87,,                              1.84,                              1.84,,,,
8081,2013年第3季,,              1042582,,                663528,                379054,                379054,,,                 66654,,                 28857,,                113516,                209027,                170027,,,                 11301,,                   -942,,                  1392,,                     14,                  8981,                179008,,                 27193,                151815,                151815,,,,,,                 -1307,                150508,,                155078,                 -3263,,                153771,                 -3263,,                              1.81,                              1.81,,                              1.78,                              1.78,                   -419,                   -888,,
8081,2013年第2季,,              1016100,,                659486,                356614,                356614,,,                 71483,,                 29429,,                107469,                208381,                148233,,,                  6463,,                  7454,,                  1342,,                     65,                 12640,                160873,,                 22293,                138580,                138580,,,,,,                 -4272,                134308,,                142145,                 -3565,,                137873,                 -3565,,                              1.66,                              1.66,,                              1.61,                              1.61,                 -4829,                    557,,
8081,2013年度,,              3896509,,              2520995,              1375514,              1375514,,,                266564,,                111436,,                430561,                808561,                566953,,,                 32538,,                 40359,,                  5229,,                    890,                 68558,                635511,,                105173,                530338,                530338,,,,,,                  8325,                538663,,                542562,                -12224,,                550887,                -12224,,                              6.33,                              6.33,,                              6.15,                              6.15,                  1970,                  6967,                   -739,                    127
8081,2013年07月01日至2013年09月30日,,              1042582,,                663528,                379054,                379054,,,                 66654,,                 28857,,                113516,                209027,                170027,,,                 11301,,                   -942,,                  1392,,                     14,                  8981,                179008,,                 27193,                151815,                151815,,,,,,                 -1307,                150508,,                155078,                 -3263,,                153771,                 -3263,,                              1.81,                              1.81,,                              1.78,                              1.78,                   -419,                   -888,,
8081,2013年04月01日至2013年06月30日,,              1016100,,                659486,                356614,                356614,,,                 71483,,                 29429,,                107469,                208381,                148233,,,                  6463,,                  7454,,                  1342,,                     65,                 12640,                160873,,                 22293,                138580,                138580,,,,,,                 -4272,                134308,,                142145,                 -3565,,                137873,                 -3565,,                              1.66,                              1.66,,                              1.61,                              1.61,                 -4829,                    557,,
8081,2013年01月01日至2013年12月31日,,              3896509,,              2520995,              1375514,              1375514,,,                266564,,                111436,,                430561,                808561,                566953,,,                 32538,,                 40359,,                  5229,,                    890,                 68558,                635511,,                105173,                530338,                530338,,,,,,                  8325,                538663,,                542562,                -12224,,                550887,                -12224,,                              6.33,                              6.33,,                              6.15,                              6.15,                  1970,                  6967,                   -739,                    127
8081,2013年01月01日至2013年09月30日,,              2964742,,              1923132,              1041610,              1041610,,,                205112,,                 84863,,                318101,                608076,                433534,,,                 24746,,                 30679,,                  4000,,                    816,                 52241,                485775,,                 71210,                414565,                414565,,,,,,                 -4147,                410418,,                423639,                 -9074,,                419492,                 -9074,,                              4.94,                              4.94,,                              4.81,                              4.81,                  1310,                 -5457,,
8081,2013年01月01日至2013年06月30日,,              1922160,,              1259604,                662556,                662556,,,                138458,,                 56006,,                204585,                399049,                263507,,,                 13445,,                 31621,,                  2608,,                    802,                 43260,                306767,,                 44017,                262750,                262750,,,,,,                 -2840,                259910,,                268561,                 -5811,,                265721,                 -5811,,                              3.13,                              3.13,,                              3.04,                              3.04,                  1729,                 -4569,,
8081,2013年01月01日至2013年03月31日,,                906060,,                600118,                305942,                305942,,,                 66975,,                 26577,,                 97116,                190668,                115274,,,                  6982,,                 24167,,                  1266,,                    737,                 30620,                145894,,                 21724,                124170,                124170,,,,,,                  1432,                125602,,                126416,                 -2246,,                127848,                 -2246,,                              1.47,                              1.47,,                              1.42,                              1.42,                  1172,                    260,,
8081,2012年07月01日至2012年09月30日,,              1286051,,                810765,                475286,                475286,,,                 77639,,                 26408,,                116875,                220922,                254364,,,                  5318,,                -23166,,                    443,,                  2448,                -15843,                238521,,                 33528,                204993,                204993,,,,,,                  2539,                207532,,                207774,                 -2781,,                210313,                 -2781,,                              2.42,                              2.42,,                              2.38,                              2.38,                   -482,                  3021,,
8081,2012年04月01日至2012年06月30日,,              1212900,,                799233,                413667,                413667,,,                 82432,,                 27202,,                113526,                223160,                190507,,,                  5475,,                  9872,,                    332,,                   -273,                 14742,                205249,,                    739,                204510,                204510,,,,,,                 -1442,                203068,,                206467,                 -1957,,                205025,                 -1957,,                              2.41,                              2.41,,                              2.36,                              2.36,                    319,                 -1761,,
8081,2012年01月01日至2012年12月31日,,              4665593,,              3038589,              1627004,              1627004,,,                299815,,                109264,,                429769,                838848,                788156,,,                 24438,,                -48574,,                  2028,,                  4091,                -22073,                766083,,                 69709,                696374,                696374,,,,,,                     74,                696448,,                706639,                -10265,,                706713,                -10265,,                              8.24,                              8.24,,                              8.01,                              8.01,                 -1769,                  3574,                 -2086,                    355
8081,2012年01月01日至2012年09月30日,,              3599278,,              2332417,              1266861,              1266861,,,                236317,,                 76271,,                332421,                645009,                621852,,,                 15146,,                -45338,,                    775,,                  2252,                -28715,                593137,,                 48646,                544491,                544491,,,,,,                  1537,                546028,,                551667,                 -7176,,                553204,                 -7176,,                              6.44,                              6.44,,                              6.27,                              6.27,                 -1565,                  3102,,
8081,2012年01月01日至2012年06月30日,,              2313227,,              1521652,                791575,                791575,,,                158678,,                 49863,,                215546,                424087,                367488,,,                  9828,,                -22172,,                    332,,                   -196,                -12872,                354616,,                 15118,                339498,                339498,,,,,,                 -1002,                338496,,                343893,                 -4395,,                342891,                 -4395,,                              4.01,                              4.01,,                              3.92,                              3.92,                 -1083,                     81,,
8081,2012年01月01日至2012年03月31日,,              1100327,,                722419,                377908,                377908,,,                 76246,,                 22661,,                102020,                200927,                176981,,,                  4353,,                -32044,,                              0,,                     77,                -27614,                149367,,                 14379,                134988,                134988,,,,,,                    440,                135428,,                137426,                 -2438,,                137866,                 -2438,,                              1.60,                              1.60,,                              1.58,                              1.58,                 -1402,                  1842,,
