證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
5521,2014年01月01日至2014年03月31日,,              1383250,,              1302083,                 81167,                 81167,,,                 43475,                 43475,                 37692,,,                  3488,,                 -2161,,                 12110,,                    -73,                -10856,                 26836,,                  7878,                 18958,                 18958,,,                  6109,,,                   -192,                  5917,                  5917,                 24875,,                 19312,                   -354,,                 25229,                   -354,,                              0.06,                              0.06,,                              0.06,                              0.06,,,,,,
5521,2013年第3季,,              1143836,,              1071999,                 71837,                 71837,,,                 26305,                 26305,                 45532,,,                  3295,,                   -988,,                 25927,,                    -62,                -23682,                 21850,,                  4758,                 17092,                 17092,,,,,,,,                 -6472,                 10620,,                 18586,                 -1494,,                 12114,                 -1494,,                              0.50,                              0.50,,                              0.50,                              0.50,                 -6472,                              0,,,                              0,
5521,2013年第2季,,                759644,,                702237,                 57407,                 57407,,,                 32410,                 32410,                 24997,,,                 10869,,                 -3130,,                 26370,,                              0,                -18631,                  6366,,                  3983,                  2383,                  2383,,,,,,,,                -13685,                -11302,,                  2916,                   -533,,                -10769,                   -533,,                              0.01,                              0.01,,                              0.01,                              0.01,                  4335,                -18020,,,                              0,
5521,2013年度,,              4399069,,              4085416,                313653,                313653,,,                176840,                176840,                136813,,,                 49834,,                -18894,,                 48111,,                    323,                -16848,                119965,,                 31108,                 88857,                 88857,,,,,,,,                 21141,                109998,,                 95568,                 -6711,,                116709,                 -6711,,                              0.27,                              0.27,,                              0.27,                              0.27,                 15707,                  5374,                  1875,,                 -1496,                    319
5521,2013年07月01日至2013年09月30日,,              1143836,,              1071999,                 71837,                 71837,,,                 42137,                 42137,                 29700,,,                  3295,,                   -988,,                 10095,,                    -62,                 -7850,                 21850,,                  4758,                 17092,                 17092,,,,,,,,                 -6472,                 10620,,                 18586,                 -1494,,                 12114,                 -1494,,                              0.05,                              0.05,,                              0.05,                              0.05,                 -6472,                              0,,,,
5521,2013年04月01日至2013年06月30日,,                759644,,                702237,                 57407,                 57407,,,                 48253,                 48253,                  9154,,,                 10869,,                 -3130,,                 10527,,,                 -2788,                  6366,,                  3983,                  2383,                  2383,,,,,,,,                -13685,                -11302,,                  2916,                   -533,,                -10769,                   -533,,                              0.01,                              0.01,,                              0.01,                              0.01,                  4335,                -18020,,,,
5521,2013年01月01日至2013年12月31日,,              4399069,,              4085416,                313653,                313653,,,                116597,                116597,                197056,,,                 49834,,                -18894,,                108354,,                    323,                -77091,                119965,,                 31108,                 88857,                 88857,,,,,,,,                 21141,                109998,,                 95568,                 -6711,,                116709,                 -6711,,                              0.27,                              0.27,,                              0.27,                              0.27,                 15707,                  5374,                  1875,,                 -1496,                    319
5521,2013年01月01日至2013年09月30日,,              2724711,,              2532493,                192218,                192218,,,                 85715,                 85715,                106503,,,                 28712,,                 -5603,,                 81465,,                    -62,                -58418,                 48085,,                 12320,                 35765,                 35765,,,,,,,,                 -7348,                 28417,,                 38455,                 -2690,,                 31107,                 -2690,,                              0.11,                              0.11,,                              0.11,                              0.11,                 10672,                -18020,,,                              0,
5521,2013年01月01日至2013年06月30日,,              1580875,,              1460494,                120381,                120381,,,                 59410,                 59410,                 60971,,,                 25417,,                 -4615,,                 55538,,                              0,                -34736,                 26235,,                  7562,                 18673,                 18673,,,,,,,,                   -876,                 17797,,                 19869,                 -1196,,                 18993,                 -1196,,                              0.06,                              0.06,,                              0.06,                              0.06,                 17144,                -18020,,,                              0,
5521,2013年01月01日至2013年03月31日,,                821231,,                758257,                 62974,                 62974,,,                 27000,                 27000,                 35974,,,                 14548,,                 -1485,,                 29168,,                              0,                -16105,                 19869,,                  3579,                 16290,                 16290,,,,,,,,                 12809,                 29099,,                 16953,                   -663,,                 29762,                   -663,,                              0.05,                              0.05,,                              0.05,                              0.05,                 12809,,,,                              0,
5521,2012年07月01日至2012年09月30日,,                773663,,                701999,                 71664,                 71664,,,                 50004,                 50004,                 21660,,,                  9301,,                 -5074,,                  8059,,                              0,                 -3832,                 17828,,                  5959,                 11869,                 11869,,,,,,,,                 -9389,                  2480,,                 12813,                   -944,,                  3424,                   -944,,                              0.04,                              0.04,,                              0.04,                              0.04,                 -9389,                              0,,,,
5521,2012年04月01日至2012年06月30日,,              1642734,,              1527557,                115177,                115177,,,                 53701,                 53701,                 61476,,,                  9157,,                 23387,,                  8469,,,                 24075,                 85551,,                 17033,                 68518,                 68518,,,,,,,,                  5134,                 73652,,                 67520,                    998,,                 72654,                    998,,                              0.19,                              0.19,,                              0.19,                              0.19,                  5134,                              0,,,,
5521,2012年01月01日至2012年12月31日,,              4010196,,              3676102,                334094,                334094,,,                158929,                158929,                175165,,,                 74250,,                  4777,,                 87540,,                              0,                 -8513,                166652,,                 40318,                126334,                126334,,,,,,,,                 -2807,                123527,,                129052,                 -2718,,                126245,                 -2718,,                              0.37,                              0.37,,                              0.37,                              0.37,                -17122,                 12541,                  2137,,                              0,                    363
5521,2012年01月01日至2012年09月30日,,              3079096,,              2830359,                248737,                248737,,,                154376,                154376,                 94361,,,                 37431,,                  8359,,                 19623,,                              0,                 26167,                120528,,                 29619,                 90909,                 90909,,,,,,,,                -15533,                 75376,,                 92387,                 -1478,,                 76854,                 -1478,,                              0.27,                              0.27,,                              0.27,                              0.27,                -15533,                              0,,,,
5521,2012年01月01日至2012年06月30日,,              2305433,,              2128360,                177073,                177073,,,                104372,                104372,                 72701,,,                 28130,,                 13433,,                 11564,,,                 29999,                102700,,                 23660,                 79040,                 79040,,,,,,,,                 -6144,                 72896,,                 79574,                   -534,,                 73430,                   -534,,                              0.23,                              0.23,,                              0.23,                              0.23,                 -6144,                              0,,,,
5521,2012年01月01日至2012年03月31日,,                662699,,                600803,                 61896,                 61896,,,                 50671,                 50671,                 11225,,,                 18973,,                 -9954,,                  3095,,,                  5924,                 17149,,                  6627,                 10522,                 10522,,,,,,,,                -11278,                   -756,,                 12054,                 -1532,,                    776,                 -1532,,                              0.03,                              0.03,,                              0.03,                              0.03,                -11278,,,,,
