證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
3025,2014年01月01日至2014年03月31日,,,                110520,                110520,,,,                 49116,                 49116,                 61404,                 61404,,,                 12026,,                 14585,,                 34069,                 60680,,                  3016,                  3740,,,                    746,,                  2967,,                    248,                  3465,                  7205,,                  1055,                  6150,                  6150,,,                 -4355,                     10,                 -4345,                 -4345,                  1805,,                  5946,                    204,,                  1287,                    518,,,                              0.08,,,                              0.08,,                              0,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,
3025,2013年第3季,,,                150760,                150760,,,                 79979,                 79979,                 79979,                 70781,                 70781,,,                 11250,,                 13862,,                 31018,                 56130,,                              0,                 14651,,,                  1248,,                 -1132,,                    151,                    -35,                 14616,,                  1177,                 13439,                 13439,,,,,,                  1871,                 15310,,                 13882,                   -443,,                 15808,                   -498,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,,,                  2140,                   -269,
3025,2013年第2季,,,                150645,                150645,,,,                 91280,                 91280,                 59365,                 59365,,,                 12591,,                 15252,,                 32355,                 60198,,                              0,                   -833,,,                  7881,,                    443,,                    158,                  8166,                  7333,,                  2287,                  5046,                  5046,,,,,,                    715,                  5761,,                  5449,                   -403,,                  6028,                   -267,,                              0.08,                              0.08,,,                              0.08,,,,,,,,,,,,,,                    824,                   -109,
3025,2013年度,,,                603841,                603841,,,                337849,                337849,                337849,                265992,                265992,,,                 49613,,                 58583,,                130421,                238617,,                              0,                 27375,,,                 12973,,                  4024,,                    725,                 16272,                 43647,,                  5076,                 38571,                 38571,,,,,,                  4829,                 43400,,                 40122,                 -1551,,                 44551,                 -1151,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,,                  4704,                    442,                   -317
3025,2013年07月01日至2013年09月30日,,,                150760,                150760,,,                 79979,                 79979,                 79979,                 70781,                 70781,,,                 11250,,                 13862,,                 31018,                 56130,,                              0,                 14651,,,                  1248,,                 -1132,,                    151,                    -35,                 14616,,                  1177,                 13439,                 13439,,,,,,                  1871,                 15310,,                 13882,                   -443,,                 15808,                   -498,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,,,,,,,,,                  2140,                   -269,
3025,2013年04月01日至2013年06月30日,,,                150645,                150645,,,                 91280,                 91280,                 91280,                 59365,                 59365,,,                 12591,,                 15252,,                 32355,                 60198,,,                   -833,,,                  7881,,                    443,,                    158,                  8166,                  7333,,                  2287,                  5046,                  5046,,,,,,                    715,                  5761,,                  5449,                   -403,,                  6028,                   -267,,                              0.08,                              0.08,,                              0.08,                              0.08,,,,,,,,,,,,,,                    824,                   -109,
3025,2013年01月01日至2013年12月31日,,,                603841,                603841,,,                337849,                337849,                337849,                265992,                265992,,,                 49613,,                 58583,,                130421,                238617,,                              0,                 27375,,,                 12973,,                  4024,,                    725,                 16272,                 43647,,                  5076,                 38571,                 38571,,,,,,                  4829,                 43400,,                 40122,                 -1551,,                 44551,                 -1151,,                              0.57,                              0.57,,                              0.56,                              0.56,,,,,,,,,,,,,,                  4704,                    442,                   -317
3025,2013年01月01日至2013年09月30日,,,                447026,                447026,,,                251283,                251283,                251283,                195743,                195743,,,                 37084,,                 43404,,                 95675,                176163,,                              0,                 19580,,,                  9957,,                  2306,,                    474,                 11789,                 31369,,                  4429,                 26940,                 26940,,,,,,                  4090,                 31030,,                 28633,                 -1693,,                 32429,                 -1399,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,,,,,,,                  4052,                     38,
3025,2013年01月01日至2013年06月30日,,,                296266,                296266,,,,                171304,                171304,                124962,                124962,,,                 25834,,                 29542,,                 64657,                120033,,                              0,                  4929,,,                  8709,,                  3438,,                    323,                 11824,                 16753,,                  3252,                 13501,                 13501,,,,,,                  2219,                 15720,,                 14751,                 -1250,,                 16621,                   -901,,                              0.21,                              0.21,,,                              0.21,,,,,,,,,,,,,,                  1912,                    307,
3025,2013年01月01日至2013年03月31日,,,                145583,                145583,,,,                 79986,                 79986,                 65597,                 65597,,,                 13243,,                 14290,,                 32302,                 59835,,                              0,                  5762,,,                    828,,                  2995,,                    165,                  3658,                  9420,,                    965,                  8455,                  8455,,,,,,                  1504,                  9959,,                  9302,                   -847,,                 10593,                   -634,,,                              0.13,,,                              0.13,,                              0,,,,,,,,,,,,                  1088,                    416,
3025,2012年07月01日至2012年09月30日,,,                165077,                165077,,,                102316,                102316,                102316,                 62761,                 62761,,,                 14789,,                 16176,,                 32770,                 63735,,                 30857,                 29883,,,                  1690,,                 -2539,,                    179,                 -1028,                 28855,,                  1640,                 27215,                 27215,,,,,,                   -593,                 26622,,                 27145,                     70,,                 26697,                    -75,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,,,                 -1783,                  1190,
3025,2012年04月01日至2012年06月30日,,,                125673,                125673,,,                 78278,                 78278,                 78278,                 47395,                 47395,,,                 12982,,                 13944,,                 35236,                 62162,,,                -14767,,,                    801,,                    762,,                    243,                  1320,                -13447,,                 -1488,                -11959,                -11959,,,,,,                 -1670,                -13629,,                -11303,                   -656,,                -13026,                   -603,,                             -0.16,                             -0.16,,                             -0.16,                             -0.16,,,,,,,,,,,,,,                   -512,                 -1158,
3025,2012年01月01日至2012年12月31日,,,                619427,                619427,,,                351069,                351069,                351069,                268358,                268358,,,                 52354,,                 59489,,                134178,                246021,,                 30847,                 53184,,,                  6835,,                 -7372,,                    791,                 -1328,                 51856,,                  3712,                 48144,                 48144,,,,,,                 -4598,                 43546,,                 48399,                   -255,,                 44108,                   -562,,                              0.68,                              0.68,,                              0.67,                              0.67,,,,,,,,,,,,,,                  2336,                  2857,                 -9791
3025,2012年01月01日至2012年09月30日,,,                448187,                448187,,,                263421,                263421,                263421,                184766,                184766,,,                 40125,,                 44888,,                102098,                187111,,                 30857,                 28512,,,                  5762,,                 -4433,,                    615,                    714,                 29226,,                  1729,                 27497,                 27497,,,,,,                    603,                 28100,,                 28472,                   -975,,                 29364,                 -1264,,                              0.40,                              0.40,,                              0.40,                              0.40,,,,,,,,,,,,,,                 -1040,                  1643,
3025,2012年01月01日至2012年06月30日,,,                283110,                283110,,,                161105,                161105,                161105,                122005,                122005,,,                 25336,,                 28712,,                 69328,                123376,,,                 -1371,,,                  4072,,                 -1894,,                    436,                  1742,                    371,,                     89,                    282,                    282,,,,,,                  1196,                  1478,,                  1327,                 -1045,,                  2667,                 -1189,,                              0.02,                              0.02,,                              0.02,                              0.02,,,,,,,,,,,,,,                    743,                    453,
3025,2012年01月01日至2012年03月31日,,,                157449,                157449,,,,                 82839,                 82839,                 74610,                 74610,,,                 12354,,                 14768,,                 34092,                 61214,,,                 13396,,,                  3271,,                 -2656,,                    193,                    422,                 13818,,                  1577,                 12241,                 12241,,,,,,                  2866,                 15107,,                 12630,                   -389,,                 15693,                   -586,,,                              0.17,,,                              0.17,,                              0,,,,,,,,,,,,                  1255,                  1611,
