證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8039,2013年07月01日至2013年09月30日,,,,              2886731,,,,,              2237851,                648880,                              0,                              0,                648880,,,                117552,,                117013,,                 36805,                271370,                377510,,,                 15892,,                  3723,,                 10692,,                 -1581,                  7342,                384852,,                 63060,                321792,                321792,,,,,,,,,,                -10453,                311339,,                320061,                  1731,,                309608,                  1731,,                              1.58,,                              1.57,                -16538,                  3944,,                 -2141
8039,2013年04月01日至2013年06月30日,,,,              2449610,,,,,              1921766,                527844,                              0,                              0,                527844,,,                111805,,                109519,,                 39385,                260709,                267135,,,                  9362,,                 48201,,                  9724,,                 -1628,                 46211,                313346,,                 68090,                245256,                245256,,,,,,,,,,                 23982,                269238,,                243880,                  1376,,                267862,                  1376,,                              1.20,,                              1.19,                 31679,                 -2785,,                  4912
8039,2013年01月01日至2013年12月31日,,,             10138227,             10138227,,,              7968677,              7968677,              7968677,              2169550,                    234,                    117,              2169433,,,                465855,,                432409,,                158711,              1056975,              1112458,,,                108527,,                100425,,                 43008,,                    275,                166219,              1278677,,                253231,              1025446,              1025446,,,,,,,,,,                 64957,              1090403,,              1005346,                 20100,,              1070303,                 20100,,                              4.96,,                              4.89,                 84105,                  3528,                 -9371,                 13305
8039,2013年01月01日至2013年09月30日,,,,              7361432,,,,,              5803854,              1557578,                    117,                              0,              1557461,,,                311921,,                314304,,                107343,                733568,                823893,,,                 34798,,                 83678,,                 30882,,                 -4601,                 82993,                906886,,                170607,                736279,                736279,,,,,,,,,,                 50630,                786909,,                727602,                  8677,,                778232,                  8677,,                              3.59,,                              3.55,                 57584,                  3416,,                 10370
8039,2013年01月01日至2013年06月30日,,,,              4474701,,,,,              3566003,                908698,                    117,                              0,                908581,,,                194369,,                197291,,                 70538,                462198,                446383,,,                 18906,,                 79955,,                 20190,,                 -3020,                 75651,                522034,,                107547,                414487,                414487,,,,,,,,,,                 61083,                475570,,                407541,                  6946,,                468624,                  6946,,                              2.01,,                              1.99,                 74122,                   -528,,                 12511
8039,2013年01月01日至2013年03月31日,,,,              2025091,,,,,              1644237,                380854,                    117,                              0,                380737,,,                 82564,,                 87772,,                 31153,                201489,                179248,,,                  9544,,                 31754,,                 10466,,                 -1392,                 29440,                208688,,                 39457,                169231,                169231,,,,,,,,,,                 37101,                206332,,                163661,                  5570,,                200762,                  5570,,                              0.81,,                              0.80,                 42443,                  2257,,                  7599
8039,2012年07月01日至2012年09月30日,,,,              1955042,,,,,              1528336,                426706,                              0,                     19,                426725,,,                 72720,,                 85346,,                 32272,                190338,                236387,,,                  7650,,                -34619,,                 14900,,                 -7777,                -49646,                186741,,                 35535,                151206,                151206,,,,,,,,,,                -27464,                123742,,                156321,                 -5115,,                128857,                 -5115,,                              0.77,,                              0.75,                -34272,                  1183,,                 -5625
8039,2012年04月01日至2012年06月30日,,,,              2086345,,,,,              1643805,                442540,                              0,                              0,                442540,,,                 68183,,                 93224,,                 32483,                193890,                248650,,,                 13068,,                 13358,,                 13182,,                -12397,                    847,                249497,,                 52306,                197191,                197191,,,,,,,,,,                 10137,                207328,,                203362,                 -6171,,                213499,                 -6171,,                              1.01,,                              0.99,                 12349,                   -136,,                  2076
8039,2012年01月01日至2012年12月31日,,,              7853228,              7853228,,,              6290054,              6290054,              6290054,              1563174,                    117,                    600,              1563657,,,                300175,,                345860,,                135036,                781071,                782586,,,                 48409,,                -17724,,                 50957,,                -24338,                -44610,                737976,,                130616,                607360,                607360,,,,,,,,,,                -60342,                547018,,                622976,                -15616,,                562634,                -15616,,                              3.08,,                              2.99,                -62517,                  8413,                -18597,                -12359
8039,2012年01月01日至2012年09月30日,,,,              5561111,,,,,              4361826,              1199285,                    119,                    600,              1199766,,,                193460,,                263193,,                 91505,                548158,                651608,,,                 31064,,                -25434,,                 39925,,                -22788,                -57083,                594525,,                115947,                478578,                478578,,,,,,,,,,                -51118,                427460,,                494927,                -16349,,                443809,                -16349,,                              2.45,,                              2.37,                -62849,                  1261,,                -10470
8039,2012年01月01日至2012年06月30日,,,,              3606069,,,,,              2833490,                772579,                    138,                    600,                773041,,,                120740,,                177847,,                 59233,                357820,                415221,,,                 23414,,                  9185,,                 25025,,                -15011,                 -7437,                407784,,                 80412,                327372,                327372,,,,,,,,,,                -23654,                303718,,                338606,                -11234,,                314952,                -11234,,                              1.67,,                              1.63,                -28577,                     78,,                 -4845
8039,2012年01月01日至2012年03月31日,,,,              1519724,,,,,              1189685,                330039,                    138,                    600,                330501,,,                 52557,,                 84623,,                 26750,                163930,                166571,,,                 10346,,                 -4173,,                 11843,,                 -2614,                 -8284,                158287,,                 28106,                130181,                130181,,,,,,,,,,                -33791,                 96390,,                135244,                 -5063,,                101453,                 -5063,,                              0.67,,                              0.65,                -40926,                    214,,                 -6921
