證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
3518,2014年01月01日至2014年03月31日,,                295993,,                253401,                 42592,                 42592,,,                 23752,,                 58705,,                 10145,                 92602,                -50010,,,                  7966,,                -15515,,                  4363,                -11912,                -61922,,                  9507,                -71429,                -71429,,,                -13127,                    706,                 -2232,                -10189,                -10189,                -81618,,                -71429,                              0,,                -81618,                              0,,                             -0.84,                             -0.84,,                             -0.84,                             -0.84,,,,,
3518,2013年第3季,,                347066,,                281842,                 65224,                 65224,,,                 23196,,                 70188,,                  8258,                101642,                -36418,,,                 10832,,                 14232,,                  4051,                 21013,                -15405,,                 13921,                -29326,                -29326,,,,,,,                -34959,                -64285,,                -29326,                              0,,                -64285,                              0,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,                -43116,                              0,                    828,,                 -7329
3518,2013年第2季,,                347940,,                263973,                 83967,                 83967,,,                 28460,,                 95100,,                 11005,                134565,                -50598,,,                  1051,,                188910,,                  3383,                186578,                135980,,                  1465,                134515,                134515,,,,,,,                 86705,                221220,,                134515,                              0,,                221220,                              0,,                              1.58,                              1.58,,                              1.57,                              1.57,                104223,                              0,                    200,,                 17718
3518,2013年度,,              1446741,,              1082843,                363898,                363898,,,                105279,,                328579,,                 32191,                466049,               -102151,,,                 36886,,                205618,,                 20866,                221638,                119487,,                 24510,                 94977,                 94977,,,,,,,                204130,                299107,,                 94977,                              0,,                299107,                              0,,                              1.12,                              1.12,,                              1.11,                              1.11,                239147,                              0,                  1255,                  5281,                 41553
3518,2013年07月01日至2013年09月30日,,                347066,,                281842,                 65224,                 65224,,,                 23196,,                 70188,,                  8258,                101642,                -36418,,,                  3618,,                 21446,,                  4051,                 21013,                -15405,,                 13921,                -29326,                -29326,,,,,,,                -34959,                -64285,,                -29326,                              0,,                -64285,                              0,,                             -0.34,                             -0.34,,                             -0.34,                             -0.34,                -43116,,                    828,,                 -7329
3518,2013年04月01日至2013年06月30日,,                347940,,                263973,                 83967,                 83967,,,                 28460,,                 95100,,                 11005,                134565,                -50598,,,                  1051,,                188910,,                  3383,                186578,                135980,,                  1465,                134515,                134515,,,,,,,                 86705,                221220,,                134515,                              0,,                221220,                              0,,                              1.60,                              1.60,,                              1.59,                              1.59,                104223,,                    200,,                 17718
3518,2013年01月01日至2013年12月31日,,              1446741,,              1082843,                363898,                363898,,,                105279,,                328579,,                 32191,                466049,               -102151,,,                 36886,,                205618,,                 20866,                221638,                119487,,                 24510,                 94977,                 94977,,,,,,,                204130,                299107,,                 94977,                              0,,                299107,                              0,,                              1.12,                              1.12,,                              1.11,                              1.11,                239147,,                  1255,                  5281,                 41553
3518,2013年01月01日至2013年09月30日,,              1038931,,                793141,                245790,                245790,,,                 71527,,                231608,,                 27960,                331095,                -85305,,,                 25844,,                202592,,                 16178,                212258,                126953,,                 31420,                 95533,                 95533,,,,,,,                144887,                240420,,                 95533,                              0,,                240420,                              0,,                              1.12,                              1.12,,                              1.12,                              1.12,                173051,                              0,                  1255,,                 29419
3518,2013年01月01日至2013年06月30日,,                691865,,                511299,                180566,                180566,,,                 48331,,                161420,,                 19702,                229453,                -48887,,,                  6010,,                197362,,                 12127,                191245,                142358,,                 17499,                124859,                124859,,,,,,,                179846,                304705,,                124859,                              0,,                304705,                              0,,                              1.47,                              1.47,,                              1.46,                              1.46,                216167,                              0,                    427,,                 36748
3518,2013年01月01日至2013年03月31日,,                343925,,                247326,                 96599,                 96599,,,                 19871,,                 66320,,                  8697,                 94888,                  1711,,,                  4959,,                  8452,,                  8744,                  4667,                  6378,,                 16034,                 -9656,                 -9656,,,,,,,                 93141,                 83485,,                 -9656,                              0,,                 83485,                              0,,                             -0.11,                             -0.11,,                             -0.11,                             -0.11,                111944,                              0,                    227,,                 19030
3518,2012年07月01日至2012年09月30日,,                483117,,                355027,                128090,                128090,,,                 27902,,                 90578,,                 18121,                136601,                 -8511,,,                  3278,,                -12439,,                  7119,                -16280,                -24791,,                  5309,                -30100,                -30100,,,,,,,                -55626,                -85726,,                -30100,                              0,,                -85726,                              0,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,                -67219,,                    166,,                -11427
3518,2012年04月01日至2012年06月30日,,                453696,,                341483,                112213,                112213,,,                 33653,,                 92282,,                 22353,                148288,                -36075,,,                  5853,,                 16423,,                  9761,                 12515,                -23560,,                 14303,                -37863,                -37863,,,,,,,                 26815,                -11048,,                -37863,                              0,,                -11048,                              0,,                             -0.45,                             -0.45,,                             -0.45,                             -0.45,                 32229,,                     65,,                  5479
3518,2012年01月01日至2012年12月31日,,              1686293,,              1255145,                431148,                431148,,,                124281,,                335059,,                 75951,                535291,               -104143,,,                 46849,,                -58378,,                 36956,                -48485,               -152628,,                 49983,               -202611,               -202611,,,,,,,               -127538,               -330149,,               -202611,                              0,,               -330149,                              0,,                             -2.38,                             -2.38,,                             -2.38,                             -2.38,               -152586,,                   -277,                   -741,                -26066
3518,2012年01月01日至2012年09月30日,,              1283283,,                940980,                342303,                342303,,,                 88644,,                260947,,                 63599,                413190,                -70887,,,                 13997,,                 18277,,                 27260,                  5014,                -65873,,                 35478,               -101351,               -101351,,,,,,,               -112821,               -214172,,               -101351,                              0,,               -214172,                              0,,                             -1.19,                             -1.19,,                             -1.19,                             -1.19,               -136535,,                    503,,                -23211
3518,2012年01月01日至2012年06月30日,,                800166,,                585953,                214213,                214213,,,                 60742,,                170369,,                 45478,                276589,                -62376,,,                 10719,,                 30716,,                 20141,                 21294,                -41082,,                 30169,                -71251,                -71251,,,,,,,                -57195,               -128446,,                -71251,                              0,,               -128446,                              0,,                             -0.85,                             -0.85,,                             -0.85,                             -0.85,                -69316,,                    337,,                -11784
3518,2012年01月01日至2012年03月31日,,                346470,,                244470,                102000,                102000,,,                 27089,,                 78087,,                 23125,                128301,                -26301,,,                  4866,,                 14293,,                 10380,                  8779,                -17522,,                 15866,                -33388,                -33388,,,,,,,                -84010,               -117398,,                -33388,                              0,,               -117398,                              0,,                             -0.42,                             -0.42,,                             -0.42,                             -0.42,               -101545,,                    272,,                -17263
