證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 採用權益法認列之關聯企業及合資利益之份額
1810,2013年第3季,,,              1593193,              1593193,,              1118722,                474471,                474471,,,                231236,,                114685,,                 33011,                378932,                 95539,,,                 14942,,                  8603,,                 22069,,                    816,                   -816,                    660,                 96199,,,                 23468,                 72731,                 72731,,,,,,,                -52249,                 20482,,                 73168,                   -437,,                 21548,                 -1066,,                              0.20,,                              0.20,                 23468,                -24390,                -27859,,                              0,,,,,
1810,2013年第2季,,,              1464638,              1464638,,              1104235,                360403,                360403,,,                226469,,                105172,,                 33529,                365170,                 -4767,,,                 63423,,                -29815,,                 22896,,                    561,                   -561,                 10151,                  5384,,,                 -5512,                 10896,                 10896,,,,,,,               -106012,                -95116,,                 13735,                 -2839,,                -91153,                 -3963,,                              0.04,,                              0.04,                 -5512,                 -2203,               -103809,,                              0,,,,,
1810,2013年度,,,              6019017,              6019017,,              4341347,              1677670,              1677670,,,                960639,,                428532,,                131468,              1520639,                157031,,,                123684,,                 27391,,                 86731,,                  2159,                 -2159,                 62185,                219216,,,                 42590,                176626,                176626,,,,,,,                 21757,                198383,,                179238,                 -2612,,                200787,                 -2404,,                              0.49,,                              0.49,                 42590,                 40968,                 -6367,                -45823,                -32979,,,,,
1810,2013年07月01日至2013年09月30日,,,              1593193,              1593193,,              1118722,                474471,                474471,,,                231236,,                114685,,                 33011,                378932,                 95539,,,                 14942,,                  8603,,                 22069,,                    816,                   -816,                    660,                 96199,,,                 23468,                 72731,                 72731,,,,,,,                -52249,                 20482,,                 73168,                   -437,,                 21548,                 -1066,,                              0.20,,                              0.20,                 23468,                -24390,                -27859,,                              0,,              1656556,                 45798,                 17565,                              0
1810,2013年04月01日至2013年06月30日,,,              1464638,              1464638,,              1104235,                360403,                360403,,,                226469,,                105172,,                 33529,                365170,                 -4767,,,                 63423,,                -29815,,                 22896,,                    561,                   -561,                 10151,                  5384,,,                 -5512,                 10896,                 10896,,,,,,,               -106012,                -95116,,                 13735,                 -2839,,                -91153,                 -3963,,                              0.04,,                              0.04,                 -5512,                 -2203,               -103809,,                              0,,              1528060,                 51489,                 11933,
1810,2013年01月01日至2013年12月31日,,,,              6019017,,              4341347,              1677670,              1677670,,,                960639,,                428532,,                131468,              1520639,                157031,,,                123684,,                 27391,,                 86731,,,                 -2159,                 62185,                219216,,,                 42590,                176626,                176626,,,,,,,                 21757,                198383,,                179238,                 -2612,,                200787,                 -2404,,                              0.49,,                              0.49,,                 40968,                 -6367,                -45823,                -32979,,,,,
1810,2013年01月01日至2013年09月30日,,,              4292716,              4292716,,              3152284,              1140432,              1140432,,,                675636,,                312202,,                 94746,              1082584,                 57848,,,                107711,,                 26774,,                 66025,,                  2327,                 -2327,                 66133,                123981,,,                 22403,                101578,                101578,,,,,,,                -54840,                 46738,,                105964,                 -4386,,                 51714,                 -4976,,                              0.29,,                              0.29,                 22403,                 25610,                -80450,,                              0,,              4467923,                133553,                 41654,                              0
1810,2013年01月01日至2013年06月30日,,,              2699523,              2699523,,              2033562,                665961,                665961,,,                444400,,                197517,,                 61735,                703652,                -37691,,,                 93274,,                 18171,,                 44461,,                  1511,                 -1511,                 65473,                 27782,,,                 -1065,                 28847,                 28847,,,,,,,                 -2590,                 26257,,                 32796,                 -3949,,                 30166,                 -3909,,                              0.09,,                              0.09,                 -1065,                 50001,                -52591,,                              0,,,,,
1810,2013年01月01日至2013年03月31日,,,              1234885,              1234885,,                929327,                305558,                305558,,,                217911,,                 92365,,                 28206,                338482,                -32924,,,                 29851,,                 47986,,                 21565,,                    950,                   -950,                 55322,                 22398,,,                  4447,                 17951,                 17951,,,,,,,                103422,                121373,,                 19061,                 -1110,,                121319,                     54,,                              0.05,,                              0.05,                  4447,                 52204,                 51218,,                              0,,,,,
1810,2012年07月01日至2012年09月30日,,,              1513890,              1513890,,              1043036,                470854,                470854,,,                244202,,                101921,,                 31419,                377542,                 93312,,,                 36747,,                 -7291,,                 21349,,                    383,                   -383,                  7724,                101036,,,                 23884,                 77152,                 77152,,,,,,,                 89386,                166538,,                 79281,                 -2129,,                173265,                 -6727,,                              0.22,,                              0.22,                 23884,                -22715,                112101,,                              0,,              1570945,                 44289,                 12766,                              0
1810,2012年04月01日至2012年06月30日,,,              1352235,              1352235,,              1026111,                326124,                326124,,,                234828,,                 73485,,                 33731,                342044,                -15920,,,                 29803,,                  7757,,                 21669,,                    465,                   -465,                 15426,                   -494,,,                 12382,                -12876,                -12876,,,,,,,                -82495,                -95371,,                -11057,                 -1819,,                -94102,                 -1269,,                             -0.03,,                             -0.03,                 12382,                 18919,               -101414,,                              0,,              1419830,                 45752,                 21843,
1810,2012年01月01日至2012年12月31日,,,,              5697255,,              4159986,              1537269,              1537269,,,                971330,,                396682,,                123941,              1491953,                 45316,,,                113280,,                 25876,,                 86463,,,                 -1605,                 51088,                 96404,,,                 44527,                 51877,                 51877,,,,,,,                134379,                186256,,                 58838,                 -6961,,                194231,                 -7975,,                              0.15,,                              0.15,,                -40142,                227348,                -71800,                -18973,,,,,
1810,2012年01月01日至2012年09月30日,,,              4073206,              4073206,,              2986864,              1086342,              1086342,,,                664503,,                285927,,                 89722,              1040152,                 46190,,,                100986,,                 18289,,                 64821,,                  1344,                 -1344,                 53110,                 99300,,,                 36637,                 62663,                 62663,,,,,,,                150823,                213486,,                 67987,                 -5324,,                218515,                 -5029,,                              0.18,,                              0.18,                 36637,                -31860,                182683,,                              0,,              4265257,                130419,                 61632,                              0
1810,2012年01月01日至2012年06月30日,,,              2559316,              2559316,,              1943828,                615488,                615488,,,                420301,,                184006,,                 58303,                662610,                -47122,,,                 71084,,                 18735,,                 43472,,                    961,                   -961,                 45386,                 -1736,,,                 12753,                -14489,                -14489,,,,,,,                 61437,                 46948,,                -11294,                 -3195,,                 45250,                  1698,,                             -0.03,,                             -0.03,                 12753,                 -9145,                 70582,,                              0,,              2694312,                 86130,                 48866,
1810,2012年01月01日至2012年03月31日,,,              1207081,              1207081,,                917717,                289364,                289364,,,                185473,,                110521,,                 24572,                320566,                -31202,,,                 41281,,                 10978,,                 21803,,                    496,                   -496,                 29960,                 -1242,,,                    371,                 -1613,                 -1613,,,,,,,                143932,                142319,,                   -237,                 -1376,,                139352,                  2967,,                              0.00,,                              0.00,                    371,                -28064,                171996,,                              0,,              1274482,                 40378,                 27023,
