證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2482,2014年01月01日至2014年03月31日,,                138661,,                 78211,                 60450,                 60450,,,                 33437,,                  9820,,                 28057,                 71314,                -10864,,,                    519,,                  6819,,                    216,                  7122,                 -3742,,                   -598,                   -598,                 -3144,                 -3144,,,                  2756,                              0,                  2756,                  2756,                   -388,,                 -3119,                    -25,,                   -363,                    -25,,                             -0.05,,,,,
2482,2013年第3季,,                158478,,                 89545,                 68933,                 68933,,,                 31040,,                 13744,,                 25951,                 70735,                 -1802,,,                    571,,                 -3508,,                    216,                 -3153,                 -4955,,,                 -2721,                 -2234,                 -2234,,,,,,                 -1799,                 -4033,,                 -2221,                    -13,,                 -4020,                    -13,,                             -0.04,,,                 -1799,,                              0
2482,2013年第2季,,                214291,,                144172,                 70119,                 70119,,,                 31930,,                 14610,,                 26050,                 72590,                 -2471,,,                  3093,,                    226,,                    212,                  3107,                    636,,,                  1949,                 -1313,                 -1313,,,,,,                    679,                   -634,,                 -1038,                   -275,,                   -359,                   -275,,                             -0.02,,,                    679,,                              0
2482,2013年度,,                710327,,                442383,                267944,                267944,,,                123376,,                 49537,,                114725,                287638,                -19694,,,                  4624,,                  7861,,                    727,                 11758,                 -7936,,,                  3403,                -11339,                -11339,,,,,,                  4290,                 -7049,,                -11033,                   -306,,                 -6743,                   -306,,                             -0.18,,,                  3193,                  1322,                    225
2482,2013年07月01日至2013年09月30日,,                158478,,                 89545,                 68933,                 68933,,,                 31040,,                 13744,,                 25951,                 70735,                 -1802,,,                    571,,                 -3508,,                    216,                 -3153,                 -4955,,,                 -2721,                 -2234,                 -2234,,,,,,                 -1799,                 -4033,,                 -2221,                    -13,,                 -4020,                    -13,,                             -0.04,,,                 -1799,,                              0
2482,2013年04月01日至2013年06月30日,,                214291,,                144172,                 70119,                 70119,,,                 31930,,                 14610,,                 26050,                 72590,                 -2471,,,                  3093,,                    226,,                    212,                  3107,                    636,,,                  1949,                 -1313,                 -1313,,,,,,                    679,                   -634,,                 -1038,                   -275,,                   -359,                   -275,,                             -0.02,,,                    679,,                              0
2482,2013年01月01日至2013年12月31日,,                710327,,                442383,                267944,                267944,,,                123376,,                 49537,,                114725,                287638,                -19694,,,                  4624,,                  7861,,                    727,                 11758,                 -7936,,,                  3403,                -11339,                -11339,,,,,,                  4290,                 -7049,,                -11033,                   -306,,                 -6743,                   -306,,                             -0.18,,,                  3193,                  1322,                    225
2482,2013年01月01日至2013年09月30日,,                515690,,                320445,                195245,                195245,,,                 88600,,                 38196,,                 73863,                200659,                 -5414,,,                  3918,,                  4248,,                    641,                  7525,                  2111,,,                    685,                  1426,                  1426,,,,,,                  2180,                  3606,,                  1724,                   -298,,                  3904,                   -298,,                              0.03,,,                  2180,,                              0
2482,2013年01月01日至2013年06月30日,,                357212,,                230900,                126312,                126312,,,                 57560,,                 24452,,                 47912,                129924,                 -3612,,,                  3347,,                  7756,,                    425,                 10678,                  7066,,,                  3406,                  3660,                  3660,,,,,,                  3979,                  7639,,                  3945,                   -285,,                  7924,                   -285,,                              0.06,,,                  3979,,                              0
2482,2013年01月01日至2013年03月31日,,                142921,,                 86728,                 56193,                 56193,,,                 25630,,                  9842,,                 21862,                 57334,                 -1141,,,                    254,,                  7530,,                    213,                  7571,                  6430,,,                  1457,                  4973,                  4973,,,,,,                  3300,                  8273,,                  4983,                    -10,,                  8283,                    -10,,                              0.08,,,                  3300,,                              0
2482,2012年07月01日至2012年09月30日,,                163457,,                 96688,                 66769,                 66769,,,                 40243,,                  8684,,                 27528,                 76455,                 -9686,,,                    696,,                 -2575,,                    290,                 -2169,                -11855,,,                 -4786,                 -7069,                 -7069,,,,,,                 -2662,                 -9731,,                 -7068,                     -1,,                 -9730,                     -1,,                             -0.11,,,                 -2662,,                              0
2482,2012年04月01日至2012年06月30日,,                235833,,                148137,                 87696,                 87696,,,                 39543,,                 12740,,                 24030,                 76313,                 11383,,,                    718,,                  5429,,                    287,                  5860,                 17243,,,                 13328,                  3915,                  3915,,,,,,                  1278,                  5193,,                  3989,                    -74,,                  5267,                    -74,,                              0.06,,,                  1278,,                              0
2482,2012年01月01日至2012年12月31日,,                823109,,                516681,                306428,                306428,,,                153492,,                 41440,,                100243,                295175,                 11253,,,                 11362,,                 -2483,,                  1149,                  7730,                 18983,,,                 14814,                  4169,                  4169,,,,,,                 -8747,                 -4578,,                  4346,                   -177,,                 -4401,                   -177,,                              0.07,,,                 -7118,                 -1963,                   -334
2482,2012年01月01日至2012年09月30日,,                635310,,                397488,                237822,                237822,,,                118606,,                 31232,,                 79044,                228882,                  8940,,,                  2059,,                 -1618,,                    864,                   -423,                  8517,,,                  9833,                 -1316,                 -1316,,,,,,                 -5495,                 -6811,,                 -1240,                    -76,,                 -6735,                    -76,,                             -0.02,,,                 -5495,,                              0
2482,2012年01月01日至2012年06月30日,,                471853,,                300800,                171053,                171053,,,                 78363,,                 22548,,                 51516,                152427,                 18626,,,                  1363,,                    957,,                    574,                  1746,                 20372,,,                 14619,                  5753,                  5753,,,,,,                 -2833,                  2920,,                  5828,                    -75,,                  2995,                    -75,,                              0.09,,,                 -2833,,                              0
2482,2012年01月01日至2012年03月31日,,                236020,,                152663,                 83357,                 83357,,,                 38820,,                  9808,,                 27486,                 76114,                  7243,,,                    645,,                 -4472,,                    287,                 -4114,                  3129,,,                  1291,                  1838,                  1838,,,,,,                 -4111,                 -2273,,                  1839,                     -1,,                 -2272,                     -1,,                              0.03,,,                 -4111,,                              0
