證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　　　 銷貨收入,　　 勞務收入,　　　 勞務收入,　　　　 勞務收入,　　　　 勞務收入淨額,　　　 加工收入,　　　　 加工收入,　　　　 加工收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　　 銷貨成本,　　 勞務成本,　　　 加工成本,　　　 勞務成本合計,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費-推銷費用,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費-推銷費用,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 捐贈-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 各項攤提-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 漁業作業費用,　　　 漁貨銷售費用,　　　 其他費用-推銷費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 運費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 廣告費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 各項攤提-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 訓練費-管理費用,　　　 網路服務費,　　　 保全費,　　　 其他費用-管理費用,　　　 薪資支出-研發費用,　　　 租金支出-研發費用,　　　 文具用品-研發費用,　　　 旅費-研發費用,　　　 運費-研發費用,　　　 郵電費-研發費用,　　　 修繕費-研發費用,　　　 水電瓦斯費-研發費用,　　　 保險費-研發費用,　　　 交際費-研發費用,　　　 捐贈-研發費用,　　　 稅捐-研發費用,　　　 折舊及折耗,　　　 各項攤提-研發費用,　　　 伙食費-研發費用,　　　 職工福利-研發費用,　　　 委託研究費,　　　 訓練費-研發費用,　　　 其他費用-研發費用,　　 其他費損
4977,2014年01月01日至2014年03月31日,,,,                392610,                392610,                392610,,,                294203,                294203,                 98407,                 98407,,,                  1463,,                 21981,,                 19155,                 42599,,                    -37,                 55771,,,,                  6028,                  6028,,                    640,                  6668,,                              0,                              0,                              0,,                  1572,                  9401,                -10973,                 -4305,                 51466,,                    597,                  1735,                  2332,                 49134,                 49134,,,                 30894,                 30894,,                 -7296,                 -7296,                 23598,                 72732,,                 49134,,                 72732,,                              0.97,                              0.97,,                              0.97,                              0.97,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年第3季,,,,                459135,                459135,                459135,,,                349894,                349894,                109241,                109241,,,                  2218,,                 21016,,                 26133,                 49367,,                    -52,                 59822,,,,                  1016,                  1016,,                    357,                  1373,,                              0,,                      8,,                  1766,                              0,                    -75,                  1298,                 61120,,,                  2559,                  3508,                 57612,                 57612,,,,,,,,                 -8925,                 48687,,                 57612,,                 48687,,                              1.30,                              1.30,,                              1.30,                              1.30,                  1699,                    949,                 -8925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年第2季,,,,                425249,                425249,                425249,,,                315019,                315019,                110230,                110230,,,                  1613,,                 21147,,                 26188,                 48948,,                    -27,                 61255,,,,                  1347,                  1347,,                    137,                  1484,,,                              0,                     11,,                  1214,                    913,                 -2138,                   -654,                 60601,,,                  3429,                  4387,                 56214,                 56214,,,,,,,,                 15470,                 71684,,                 56214,,                 71684,,                              1.27,                              1.27,,                              1.26,                              1.26,                              0,                    958,                 15470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年度,,,,              1702888,              1702888,              1702888,,,              1290118,              1290118,                412770,                412770,,,                  6499,,                 96774,,                102267,                205540,,                   -219,                207011,,,,                  5246,                  5246,,                  1482,                  6728,,                              0,,                     19,,                 10459,                              0,                 -6731,                     -3,                207008,,,                  9260,                  9942,                197066,                197066,,,,,,,,                 48587,                245653,,                197066,,                245653,,                              4.37,                              4.37,,                              4.36,                              4.36,                  3747,                    682,                 48587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年07月01日至2013年09月30日,,,,,,                459135,,,,                349894,                109241,                109241,,,                  2218,,                 21016,,                 26133,                 49367,,                    -52,                 59822,,,,                  1016,                  1016,,                    357,                  1373,,                              0,                              0,                      8,,                  1766,                              0,                    -75,                  1298,                 61120,,,                  2559,                  3508,                 57612,                 57612,,,,,,,,                 -8925,                 48687,,                 57612,,                 48687,,                              1.34,                              1.34,,                              1.33,                              1.33,                  1699,                    949,                 -8925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年04月01日至2013年06月30日,,,,                418559,                418559,                425249,,,                312765,                315019,                110230,                110230,,,                  1613,,                 21147,,                 26188,                 48948,,                    -27,                 61255,,,,                  1347,                  1347,,                    137,                  1484,,,                              0,                     11,,                  1214,                    913,                 -2138,                   -654,                 60601,,,                  3429,                  4387,                 56214,                 56214,,,,,,,,                 15470,                 71684,,                 56214,,                 71684,,,                              1.31,,,                              1.30,                              0,                    958,                 15470,                418559,,,                              0,                              0,,                  4360,                  4360,                  4360,,                  2330,                  2330,                312765,,                  2254,                  2254,                    627,                     12,                      1,                    466,                    217,                     18,                              0,                              0,                     23,                     93,                    136,                              0,                              0,                      4,                              0,                      2,                              0,                              0,                              0,                              0,                              0,                              0,                     14,                  8345,                    821,                     18,                    641,                      6,                    408,                    522,                              0,                    353,                  1230,                    838,                              0,                    108,                              0,                  2102,                    446,                    246,                    339,                              0,                     60,                              0,                              0,                  4664,                  9716,                    269,                      4,                    176,                     11,                     28,                      3,                    642,                  1643,                     30,                              0,                              0,                  2265,                      6,                    243,                      9,                              0,                              0,                 11143,                     27
4977,2013年01月01日至2013年12月31日,,,,              1702888,              1702888,              1702888,,,              1290118,              1290118,                412770,                412770,,,                  6499,,                 96774,,                102267,                205540,,                   -219,                207011,,,,                  5246,                  5246,,                  1482,                  6728,,                              0,                              0,                     19,,                 10459,,                 -6731,                     -3,                207008,,,                  9260,                  9942,                197066,                197066,,,,,,,,                 48587,                245653,,                197066,,                245653,,                              4.50,                              4.50,,                              4.49,                              4.49,                  3747,                    682,                 48587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年01月01日至2013年09月30日,,,,              1235745,              1235745,              1235745,,,                928036,                928036,                307709,                307709,,,                  5133,,                 63337,,                 71511,                139981,,                   -109,                167619,,,,                  3875,                  3875,,                    773,                  4648,,                              0,,                     20,,                  4264,                              0,                 -3227,                  1421,                169040,,,                  7664,                 10880,                158160,                158160,,,,,,,,                 30240,                188400,,                158160,,                188400,,                              3.57,                              3.57,,                              3.54,                              3.54,                  1057,                  3216,                 30240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年01月01日至2013年06月30日,,,,                776610,                776610,                776610,,,                578142,                578142,                198468,                198468,,,                  2915,,                 42321,,                 45378,                 90614,,                    -57,                107797,,,,                  2859,                  2859,,                    416,                  3275,,,                              0,                     12,,                  2498,                    642,                 -3152,                    123,                107920,,,                  5105,                  7372,                100548,                100548,,,,,,,,                 39165,                139713,,                100548,,                139713,,                              2.27,                              2.27,,                              2.25,                              2.25,                              0,                  2267,                 39165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2013年01月01日至2013年03月31日,,,,                351361,                351361,                351361,,,                263123,                263123,                 88238,                 88238,,,                  1302,,                 21174,,                 19190,                 41666,,                    -30,                 46542,,,,                  1512,                  1512,,                    279,                  1791,,,,                      1,,                  1284,                              0,                 -1014,                    777,                 47319,,,                  1676,                  2985,                 44334,                 44334,,,,,,,,                 23695,                 68029,,                 44334,,                 68029,,                              1.03,                              1.03,,                              1.02,                              1.02,                    271,                  1309,                 23695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2012年07月01日至2012年09月30日,,,,,,                408987,,,,                331822,                 77165,                 77165,,,                  1241,,                 24416,,                 15716,                 41373,,                   -190,                 35602,,,,                  1363,                  1363,,                    219,                  1582,,                  1421,                  2308,                    236,,                              0,                  2454,                  1039,                  2621,                 38223,,,                    969,                  2976,                 35247,                 35247,,,,,,,,                -16402,                 18845,,                 35247,,                 18845,,                              0.82,                              0.82,,                              0.81,                              0.81,                              0,                  2007,                -16402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2012年04月01日至2012年06月30日,,,,                364436,                364436,                369490,,,                289163,                289163,                 80327,                 80327,,,                  1232,,                 23162,,                 17305,                 41699,,                     -6,                 38622,,,,                  1393,                  1393,,                    293,                  1686,,,                  1818,                     94,,                              0,                              0,                  1985,                  3671,                 42293,,,                  5636,                  7189,                 35104,                 35104,,,,,,,,                  4828,                 39932,,                 35104,,                 39932,,,                              0.82,,,                              0.81,                    261,                  1553,                  4828,                364436,,,                    726,                    726,,                  3688,                  3688,                  4414,,                    640,                    640,                289163,,                              0,                              0,                    248,                     10,                              0,                    187,                    251,                     20,                              0,                              0,                     26,                              0,                              0,                              0,                              0,                      3,                     13,                      3,                     81,                              0,                              0,                              0,                              0,                              0,                    390,                  8434,                  1059,                     18,                    947,                      1,                    427,                    471,                              0,                    588,                    549,                  1023,                              0,                    101,                              0,                  1057,                  1510,                    187,                  1175,                              0,                     51,                              0,                              0,                  5564,                  8720,                    167,                      4,                    362,                              0,                     52,                    330,                    601,                    203,                     10,                              0,                              0,                  1925,                    134,                    174,                  1187,                              0,                              0,                  3436,                      6
4977,2012年01月01日至2012年12月31日,,,,              1539529,              1539529,              1539529,,,              1236287,              1236287,                303242,                303242,,,                  7895,,                 87140,,                 74566,                169601,,                     74,                133715,,,,                  5444,                  5444,,                    938,                  6382,,                  1414,                    625,                    536,,                              0,,                  3821,                 10203,                143918,,,                  4299,                  4399,                139519,                139519,,,,,,,,                -30286,                109233,,                139519,,                109233,,                              3.24,                              3.24,,                              3.20,                              3.20,                  2318,                    100,                -30286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2012年01月01日至2012年09月30日,,,,,,              1177288,,,,                959341,                217947,                217947,,,                  3528,,                 70030,,                 51322,                124880,,                   -199,                 92868,,,,                  4593,                  4593,,                    653,                  5246,,                  1421,                  4859,                    364,,                              0,                              0,                  6238,                 11484,                104352,,,                  5786,                  9346,                 95006,                 95006,,,,,,,,                -29524,                 65482,,                 95006,,                 65482,,                              2.21,                              2.21,,                              2.18,                              2.18,                    322,                  3560,                -29524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4977,2012年01月01日至2012年06月30日,,,,                759838,                759838,                768301,,,                627519,                627519,                140782,                140782,,,                  2287,,                 45614,,                 35606,                 83507,,                     -9,                 57266,,,,                  3230,                  3230,,                    434,                  3664,,,                  2551,                    128,,                              0,                              0,                  5199,                  8863,                 66129,,,                  4817,                  6370,                 59759,                 59759,,,,,,,,                -13122,                 46637,,                 59759,,                 46637,,,                              1.39,,,                              1.38,                  2776,                  1553,                -13122,                759838,,,                    726,                    726,,                  3688,                  3688,                  4414,,                  4049,                  4049,                627519,,                              0,                              0,                    543,                     21,                              0,                    263,                    386,                     34,                              0,                              0,                     50,                              0,                              0,                              0,                              0,                      6,                     31,                      5,                    161,                              0,                              0,                              0,                              0,                              0,                    787,                 18206,                  2063,                     80,                  1521,                      1,                    777,                    833,                              0,                  1159,                  1091,                  1594,                              0,                    228,                              0,                  2271,                  2987,                    340,                  3698,                              0,                     51,                              0,                              0,                  8714,                 17560,                    344,                      8,                    837,                              0,                     82,                  1471,                  1161,                    394,                     28,                              0,                              0,                  3998,                    305,                    337,                  2351,                              0,                              0,                  6730,                      9
