證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 停業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）
2431,2014年01月01日至2014年03月31日,,                847346,,                752197,                 95149,                 95149,,,                 53000,,                 18143,,                 19358,                 90501,                  4648,,,                  6742,,                  8493,,                     15,                 15220,                 19868,,                  2181,                 17687,                 17687,,,                 -2601,                  1229,                   -382,                   -990,                   -990,                 16697,,                 17687,,                 16697,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,,,,
2431,2013年第3季,,                759309,,                651397,                107912,                107912,,,                 35599,,                 31298,,                 15320,                 82217,                 25695,,,                 20407,,                 -9527,,                    346,                 10534,                 36229,,                  5796,                 30433,                 30433,,,,,,,                  2619,                 33052,,                 30433,,                 33052,,                              0.27,                              0.27,,                              0.27,                              0.27,,                              0,                 -6501,                  5974,                  2460,                   -686,                              0.00,                              0.00
2431,2013年第2季,,                526815,,                460520,                 66295,                 66295,,,                 17873,,                 25070,,                 21694,                 64637,                  1658,,,                  2993,,                  5973,,                  1284,                  7682,                  9340,,                  2003,                  7337,                  7289,,,,,,,                 30321,                 37610,,                  7289,,                 37610,,                              0.07,                              0.07,,,,,                    -48,                 12123,                 20259,                              0,                  2061,                              0.00,
2431,2013年度,,              2572379,,              2245746,                326633,                326633,,,                113514,,                110676,,                 71725,                295915,                 30718,,,                 49286,,                 -7003,,                  3608,                 38675,                 69393,,                 11864,                 57529,                 56016,,,,,,,                 71894,                127910,,                 56016,,                127910,,                              0.52,                              0.50,,                              0.52,                              0.50,,                 -1513,                 19773,                 56682,                 -1445,                  3116,                             -0.02,                             -0.02
2431,2013年07月01日至2013年09月30日,,                759309,,                651397,                107912,                107912,,,                 35599,,                 31298,,                 15320,                 82217,                 25695,,,                 20407,,                 -9527,,                    346,                 10534,                 36229,,                  5796,                 30433,                 30433,,,,,,,                  2619,                 33052,,                 30433,,                 33052,,                              0.27,                              0.27,,,,,                              0,                 -6501,                  5974,                  2460,                   -686,                              0.00,
2431,2013年04月01日至2013年06月30日,,                526815,,                460520,                 66295,                 66295,,,                 17873,,                 25070,,                 21694,                 64637,                  1658,,,                  2993,,                  5973,,                  1284,                  7682,                  9340,,                  2003,                  7337,                  7289,,,,,,,                 30321,                 37610,,                  7289,,                 37610,,                              0.07,                              0.07,,,,,                    -48,                 12123,                 20259,,                  2061,                              0.00,
2431,2013年01月01日至2013年12月31日,,              2572379,,              2245746,                326633,                326633,,,                113514,,                110676,,                 71725,                295915,                 30718,,,                 49286,,                 -7003,,                  3608,                 38675,                 69393,,                 11864,                 57529,                 56016,,,,,,,                 71894,                127910,,                 56016,,                127910,,                              0.52,                              0.50,,,,,                 -1513,                 19773,                 56682,                 -1445,                  3116,                             -0.02,
2431,2013年01月01日至2013年09月30日,,              1846895,,              1632242,                214653,                214653,,,                 70655,,                 82101,,                 55667,                208423,                  6230,,,                 36303,,                  4568,,                  3545,                 37326,                 43556,,                  8386,                 35170,                 33657,,,,,,,                 45225,                 78882,,                 33657,,                 78882,,                              0.31,                              0.30,,                              0.31,                              0.30,,                 -1513,                  9623,                 35196,                  2460,                  2054,                             -0.01,                             -0.01
2431,2013年01月01日至2013年06月30日,,              1087586,,                980845,                106741,                106741,,,                 35056,,                 50803,,                 40347,                126206,                -19465,,,                 15896,,                 14095,,                  3199,                 26792,                  7327,,                  2590,                  4737,                  3224,,,,,,,                 42606,                 45830,,                  3224,,                 45830,,                              0.04,                              0.03,,,,,                 -1513,                 16124,                 29222,                              0,                  2740,                             -0.01,
2431,2013年01月01日至2013年03月31日,,                560771,,                520325,                 40446,                 40446,,,                 17183,,                 25733,,                 18653,                 61569,                -21123,,,                 12903,,                  8122,,                  1915,                 19110,                 -2013,,                    587,                 -2600,                 -4065,,,,,,,                 12285,                  8220,,                 -4065,,                  8220,,                             -0.03,                             -0.04,,,,,                 -1465,                  4001,                  8963,,                    679,                             -0.01,
2431,2012年07月01日至2012年09月30日,,                644014,,                610577,                 33437,                 33437,,,                 21913,,                 18279,,                 18387,                 58579,                -25142,,,                 27758,,                 -8856,,                  1395,                 17507,                 -7635,,                  4269,                -11904,                -13962,,,,,,,                 32670,                 18708,,                -13962,,                 18708,,                             -0.11,                             -0.13,,,,,                 -2058,                 56342,                -14096,                              0,                  9576,                             -0.02,
2431,2012年04月01日至2012年06月30日,,                530768,,                537096,                 -6328,                 -6328,,,                 23447,,                 16368,,                 17235,                 57050,                -63378,,,                  8778,,                  5745,,                    394,                 14129,                -49249,,                   -840,                -48409,                -48716,,,,,,,                 -4739,                -53455,,                -48716,,                -53455,,                             -0.44,                             -0.44,,,,,                   -307,                  4891,                 -8798,,                    832,                              0.00,
2431,2012年01月01日至2012年12月31日,,              2445206,,              2364956,                 80250,                 80250,,,                 83949,,                 80413,,                 71417,                235779,               -155529,,,                 53377,,                -17427,,                  6453,                 29497,               -126032,,                 -5296,               -120736,               -124202,,,,,,,                -14937,               -139139,,               -124202,,               -139139,,                             -1.09,                             -1.12,,,,,                 -3466,                -31228,                 11905,                 -1110,                 -5496,                             -0.03,
2431,2012年01月01日至2012年09月30日,,              1797112,,              1742457,                 54655,                 54655,,,                 65311,,                 61548,,                 50726,                177585,               -122930,,,                 42955,,                 -8118,,                  4633,                 30204,                -92726,,                  2436,                -95162,                -98103,,,,,,,                 24659,                -73444,,                -98103,,                -73444,,                             -0.85,                             -0.88,,,,,                 -2941,                 39401,                 -8044,                              0,                  6698,                             -0.03,
2431,2012年01月01日至2012年06月30日,,              1153098,,              1131880,                 21218,                 21218,,,                 43398,,                 43269,,                 32339,                119006,                -97788,,,                 15197,,                    738,,                  3238,                 12697,                -85091,,                 -1833,                -83258,                -84141,,,,,,,                 -8011,                -92152,,                -84141,,                -92152,,                             -0.75,                             -0.76,,,,,                   -883,                -16941,                  6052,,                 -2878,                             -0.01,
2431,2012年01月01日至2012年03月31日,,                622330,,                594784,                 27546,                 27546,,,,,,,,                 61956,                -34410,,,                  6419,,                 -5007,,                  2844,                 -1432,                -35842,,                   -993,                -34849,                -35425,,,,,,,                 -3272,                -38697,,                -35425,,                -38697,,                             -0.31,                             -0.32,,                             -0.31,                             -0.32,,                   -576,                -21832,                 14850,,                 -3710,                             -0.01,                             -0.01
