證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 不重分類至損益之其他項目,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計
2007,2014年01月01日至2014年06月30日,,              3372803,,              3472873,               -100070,               -100070,,,                 56432,,                 58521,                114953,               -215023,,,                 10469,,                   -919,,                 83113,,                 -6700,                -80263,               -295286,,                  2381,               -297667,               -297667,,,,,,,                    -20,,                    -84,                     24,                   -128,                   -128,               -297795,,               -297667,                              0,,               -297795,                              0,,                             -0.47,,,,,,,,,
2007,2014年01月01日至2014年03月31日,,              1367471,,              1430020,                -62549,                -62549,,,                 25115,,                 34645,                 59760,               -122309,,,                  3734,,                    557,,                 42886,,                 -5193,                -43788,               -166097,,                  1983,               -168080,               -168080,,,,,,,,,,,,                  1215,               -166865,,               -168080,                              0,,               -166865,                              0,,                             -0.27,,                     -7,,,                  1490,                    268,,,
2007,2013年第3季,,              1377557,,              1475651,                -98094,                -98094,,,                 23999,,                 32919,                 56918,               -155012,,,                  1467,,                 -1933,,                 51886,,                    816,                -51536,               -206548,,                 12576,               -219124,               -219124,,,,,,,,,,,,                   -863,               -219987,,               -219124,                              0,,               -219987,                              0,,                             -0.35,,                     -4,,,                 -1009,                   -150,,,
2007,2013年第2季,,              1469545,,              1623569,               -154024,               -154024,,,                 25686,,                 34492,                 60178,               -214202,,,                 10014,,                  1697,,                 51930,,                 -5979,                -46198,               -260400,,                    298,               -260698,               -260698,,,,,,,,,,,,                    -49,               -260747,,               -260698,                              0,,               -260747,                              0,,                             -0.41,,                    -34,,,                     41,                     56,,,
2007,2013年度,,              6036728,,              6436611,               -399883,               -399883,,,                 99017,,                136704,                235721,               -635604,,,                 15409,,                -11072,,                207166,,                -11147,               -213976,               -849580,,                 -9538,               -840042,               -840042,,,,,,,,,,,,                 11702,               -828340,,               -840042,                              0,,               -828340,                              0,,                             -1.33,,                    -38,                 12875,,                  1351,                  2486,                             -1.33,,
2007,2013年07月01日至2013年09月30日,,              1377557,,              1475651,                -98094,                -98094,,,                 23999,,                 32919,                 56918,               -155012,,,                  1467,,                 -1933,,                 51886,,                    816,                -51536,               -206548,,                 12576,               -219124,               -219124,,,,,,,,,,,,                   -863,               -219987,,               -219124,                              0,,               -219987,                              0,,                             -0.35,,                     -4,,,                 -1009,                   -150,,,
2007,2013年04月01日至2013年06月30日,,              1469545,,              1623569,               -154024,               -154024,,,                 25686,,                 34492,                 60178,               -214202,,,                 10014,,                  1697,,                 51930,,                 -5979,                -46198,               -260400,,                    298,               -260698,               -260698,,,,,,,,,,,,                    -49,               -260747,,               -260698,                              0,,               -260747,                              0,,                             -0.41,,                    -34,,,                     41,                     56,,,
2007,2013年01月01日至2013年12月31日,,              6036728,,              6436611,               -399883,               -399883,,,                 99017,,                136704,                235721,               -635604,,,                 15409,,                -11072,,                207166,,                -11147,               -213976,               -849580,,                 -9538,               -840042,               -840042,,,,,,,,,,,,                 11702,               -828340,,               -840042,                              0,,               -828340,                              0,,                             -1.33,,                    -38,                 12875,,                  1351,                  2486,                             -1.33,,
2007,2013年01月01日至2013年09月30日,,              4590262,,              4884913,               -294651,               -294651,,,                 74026,,                102054,                176080,               -470731,,,                 11778,,                 -3670,,                154253,,                 -8459,               -154604,               -625335,,                 21432,               -646767,               -646767,,,,,,,,,,,,                    400,               -646367,,               -646767,                              0,,               -646367,                              0,,                             -1.03,,                    -50,,,                    655,                    205,,,
2007,2013年01月01日至2013年06月30日,,              3212705,,              3409262,               -196557,               -196557,,,                 50027,,                 69135,                119162,               -315719,,,                 10311,,                 -1737,,                102367,,                 -9275,               -103068,               -418787,,                  8856,               -427643,               -427643,,,,,,,,,,,,                  1263,               -426380,,               -427643,                              0,,               -426380,                              0,,                             -0.68,,                    -46,,,                  1664,                    355,,,
2007,2013年01月01日至2013年03月31日,,              1743160,,              1785693,                -42533,                -42533,,,                 24341,,                 34643,                 58984,               -101517,,,                    297,,                 -3434,,                 50437,,                 -3296,                -56870,               -158387,,                  8558,               -166945,               -166945,,,,,,,,,,,,                  1312,               -165633,,               -166945,                              0,,               -165633,                              0,,                             -0.26,,                    -12,,,                  1623,                    299,,,                              0
2007,2012年07月01日至2012年09月30日,,              1956523,,              1958603,                 -2080,                 -2080,,,                 33437,,                 28105,                 61542,                -63622,,,                    732,,                -31926,,                 48984,,                  5219,                -74959,               -138581,,                 22718,               -161299,               -161299,,,,,,,,,,,,                 -1054,               -162353,,               -161299,                              0,,               -162353,                              0,,                             -0.26,,                     16,,,                 -1290,                   -220,,,
2007,2012年04月01日至2012年06月30日,,              2310373,,              2357287,                -46914,                -46914,,,                 29135,,                 36313,                 65448,               -112362,,,                  2948,,                 -1494,,                 47707,,                 -1747,                -48000,               -160362,,                  2691,               -163053,               -163053,,,,,,,,,,,,                    645,               -162408,,               -163053,                              0,,               -162408,                              0,,                             -0.26,,                    -17,,,                    799,                    137,,,
2007,2012年01月01日至2012年12月31日,,              7935639,,              8232582,               -296943,               -296943,,,                110714,,                125081,                235795,               -532738,,,                  6483,,                -34483,,                194980,,                    806,               -222174,               -754912,,                 17591,               -772503,               -772503,,,,,,,,,,,,                  3607,               -768896,,               -772503,                              0,,               -768896,                              0,,                             -1.22,,                     -3,                  7044,,                 -2687,                    747,                             -1.22,,
2007,2012年01月01日至2012年09月30日,,              6358771,,              6470271,               -111500,               -111500,,,                 86328,,                 95433,                181761,               -293261,,,                  5080,,                -32987,,                144794,,                  3464,               -169237,               -462498,,                 28545,               -491043,               -491043,,,,,,,,,,,,                 -1791,               -492834,,               -491043,                              0,,               -492834,                              0,,                             -0.78,,                     -3,,,                 -2155,                   -367,,,
2007,2012年01月01日至2012年06月30日,,              4402248,,              4511668,               -109420,               -109420,,,                 52891,,                 67328,                120219,               -229639,,,                  4348,,                 -1061,,                 95810,,                 -1755,                -94278,               -323917,,                  5827,               -329744,               -329744,,,,,,,,,,,,                   -737,               -330481,,               -329744,                              0,,               -330481,                              0,,                             -0.52,,                    -19,,,                   -865,                   -147,,,
2007,2012年01月01日至2012年03月31日,,              2091875,,              2154381,                -62506,                -62506,,,                 23756,,                 31015,                 54771,               -117277,,,                  1400,,                    433,,                 48103,,                     -8,                -46278,               -163555,,                  3136,               -166691,               -166691,,,,,,,,,,,,                 -1382,               -168073,,               -166691,                              0,,               -168073,                              0,,                             -0.26,,                     -2,,,                 -1664,                   -284,,,                              0
