證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1305,2014年01月01日至2014年03月31日,,,              3528563,              3528563,,,              3093948,              3093948,                434615,                434615,,,                182390,,                 64324,,                 11469,                258183,                176432,,,                  9020,,                 16474,,                  7094,                  7094,,                   -531,                 17869,                194301,,                 24559,                169742,,                 -7838,                161904,,,                 12710,                   -309,,                    352,                 -5865,                 -5513,                  2160,                  4728,                  4728,                166632,,                154040,                  7864,,                158807,                  7825,,                              0.35,                             -0.02,                              0.33,,                              0.35,                             -0.02,                              0.33,,                              0,                              0,,,,,,,,,
1305,2013年第3季,,,              3526525,              3526525,,,              3065969,              3065969,                460556,                460556,,,                192682,,                 63142,,                  9792,                265616,                194940,,,                  8461,,                -25816,,                  7146,                  7146,,                  5585,                -18916,                176024,,                 30079,                145945,,                 -5723,                140222,,,,,,,,,,,                   -166,                140056,,                129147,                 11075,,                128949,                 11107,,                              0.29,                             -0.01,                              0.28,,                              0.29,                             -0.01,                              0.28,,,,                 -8521,                    588,,,                   -305,                  6623,,                  6318,                 -1449
1305,2013年第2季,,,              3988361,              3988361,,,              3514060,              3514060,                474301,                474301,,,                216709,,                 64493,,                  9452,                290654,                179741,,,                 11256,,                 22177,,                  7541,                  7541,,                  9547,                 35439,                215180,,                 45897,                169283,,                 -2588,                166695,,,,,,,,,,,                  6338,                173033,,                156658,                 10037,,                163015,                 10018,,                              0.34,                             -0.01,                              0.33,,                              0.34,                             -0.01,                              0.33,,                 -3906,,                  8307,                   -667,,,                    299,                   -189,,                    110,                  1412
1305,2013年度,,,             14191319,             14191319,,,             12228005,             12228005,              1963314,              1963314,,,                757891,,                240488,,                 54492,              1052871,                910443,,,                 36766,,                 62206,,                 27947,                 27947,,                 21879,                 92904,              1003347,,                170996,                832351,,                -17515,                814836,,,,,,,,,,,                 -1413,                813423,,                753119,                 61717,,                751258,                 62165,,                              1.65,                             -0.04,                              1.61,,                              1.65,                             -0.04,                              1.61,,                              0,,                 26525,                    458,                -34983,,                    867,                  4210,                   -518,                  4559,                 -2028
1305,2013年07月01日至2013年09月30日,,,              3526525,              3526525,,,              3065969,              3065969,                460556,                460556,,,                192682,,                 60179,,                  9792,                262653,                194940,,,                  8461,,                -25816,,                  7146,                  7146,,                  5585,                -18916,                176024,,                 30079,                145945,,                 -5723,                140222,,,,,,,,,,,                   -166,                140056,,                129147,                 11075,,                128949,                 11107,,                              0.30,                             -0.01,                              0.29,,                              0.30,                             -0.01,                              0.29,,                 -2963,,                 -8521,                    588,,,                   -305,                  6623,,                  6318,                 -1449
1305,2013年04月01日至2013年06月30日,,,              3988361,              3988361,,,              3514060,              3514060,                474301,                474301,,,                216709,,                 64493,,                  9452,                290654,                179741,,,                 11256,,                 22177,,                  7541,                  7541,,                  9547,                 35439,                215180,,                 45897,                169283,,                 -2588,                166695,,,,,,,,,,,                  6338,                173033,,                156658,                 10037,,                163015,                 10018,,                              0.36,                             -0.01,                              0.35,,                              0.36,                             -0.01,                              0.35,,                 -3906,,                  8307,                   -667,,,                    299,                   -189,,                    110,                  1412
1305,2013年01月01日至2013年12月31日,,,             14191319,             14191319,,,             12228005,             12228005,              1963314,              1963314,,,                757891,,                227674,,                 54492,              1040057,                910443,,,                 36766,,                 62206,,                 27947,                 27947,,                 21879,                 92904,              1003347,,                170996,                832351,,                -17515,                814836,,,,,,,,,,,                 -1413,                813423,,                753119,                 61717,,                751258,                 62165,,                              1.71,                             -0.04,                              1.67,,                              1.71,                             -0.04,                              1.67,,                -12814,,                 26525,                    458,                -34983,,                    867,                  4210,                   -518,                  4559,                 -2028
1305,2013年01月01日至2013年09月30日,,,             10716809,             10716809,,,              9181795,              9181795,              1535014,              1535014,,,                580153,,                203993,,                 29822,                813968,                721046,,,                 27752,,                 59358,,                 21923,                 21923,,                 19653,                 84840,                805886,,                132281,                673605,,                -14020,                659585,,,,,,,,,,,                 19685,                679270,,                610359,                 49226,,                630056,                 49214,,                              1.33,                             -0.03,                              1.30,,                              1.33,                             -0.03,                              1.30,,,,                 19173,                    121,,,                    565,                  3085,,                  3650,                  3259
1305,2013年01月01日至2013年06月30日,,,              7190284,              7190284,,,              6115826,              6115826,              1074458,              1074458,,,                387471,,                133747,,                 20030,                541248,                526106,,,                 19291,,                 85174,,                 14777,                 14777,,                 14068,                103756,                629862,,                102202,                527660,,                 -8297,                519363,,,,,,,,,,,                 19851,                539214,,                481212,                 38151,,                501107,                 38107,,                              1.05,                             -0.02,                              1.03,,                              1.05,                             -0.02,                              1.03,,                 -7104,,                 27694,                   -467,,,                    870,                 -3538,,                 -2668,                  4708
1305,2013年01月01日至2013年03月31日,,,              3201923,              3201923,,,              2601766,              2601766,                600157,                600157,,,                170762,,                 69254,,                 10578,                250594,                346365,,,                  8035,,                 62997,,                  7236,                  7236,,                  4521,                 68317,                414682,,                 56305,                358377,,                 -5709,                352668,,,,,,,,,,,                 13513,                366181,,                324554,                 28114,,                338092,                 28089,,                              0.73,                             -0.01,                              0.72,,                              0.73,                             -0.01,                              0.72,,                 -3198,,                 19387,                    199,,,                    571,                 -3348,,                 -2777,                  3296
1305,2012年07月01日至2012年09月30日,,,              3557786,              3557786,,,              2985538,              2985538,                572248,                572248,,,                205212,,                 78310,,                 15523,                299045,                268512,,,                  8580,,                 -1349,,                  8369,                  8369,,                  4226,                  3088,                271600,,                 19176,                252424,,                 -7920,                244504,,,,,,,,,,,                 -7887,                236617,,                223793,                 20711,,                215875,                 20742,,                              0.52,                             -0.02,                              0.50,,                              0.52,                             -0.02,                              0.50,,                 -4691,,                -14800,                   -477,,,                   -332,                  5206,,                  4874,                 -2516
1305,2012年04月01日至2012年06月30日,,,              3539228,              3539228,,,              3110250,              3110250,                428978,                428978,,,                170536,,                 63061,,                 15175,                248772,                178493,,,                 11987,,                 18109,,                 10387,                 10387,,                  5897,                 25606,                204099,,                 21242,                182857,,                 -7815,                175042,,,,,,,,,,,                 -5381,                169661,,                149487,                 25555,,                144192,                 25469,,                              0.35,                             -0.02,                              0.33,,                              0.35,                             -0.02,                              0.33,,                 -1713,,                  7649,                 -1271,,,                     53,                -10512,,                -10459,                  1300
1305,2012年01月01日至2012年12月31日,,,             14166158,             14166158,,,             12104989,             12104989,              2061169,              2061169,,,                719644,,                276828,,                 60448,              1056920,                988470,,,                 74724,,                 -4805,,                 37102,                 37102,,                 18916,                 51733,              1040203,,                 63802,                976401,,                -28713,                947688,,,,,,,,,,,                -39775,                907913,,                833800,                113888,,                795212,                112701,,                              1.91,                             -0.06,                              1.85,,                              1.91,                             -0.06,                              1.85,,                -15779,,                -29160,                 13918,                -38252,,                   -725,                  4029,                 -1045,                  2259,                -11460
1305,2012年01月01日至2012年09月30日,,,             10700683,             10700683,,,              9071710,              9071710,              1628973,              1628973,,,                530971,,                215577,,                 44446,                790994,                828091,,,                 29824,,                 25808,,                 28475,                 28475,,                 13560,                 40717,                868808,,                 53054,                815754,,                -27656,                788098,,,,,,,,,,,                -15548,                772550,,                691598,                 96500,,                676021,                 96529,,                              1.60,                             -0.06,                              1.54,,                              1.59,                             -0.06,                              1.53,,                 -9888,,                -25318,                    -79,,,                   -701,                  6246,,                  5545,                 -4304
1305,2012年01月01日至2012年06月30日,,,              7142897,              7142897,,,              6086172,              6086172,              1056725,              1056725,,,                325759,,                137267,,                 28923,                491949,                559579,,,                 21244,,                 27157,,                 20106,                 20106,,                  9334,                 37629,                597208,,                 33878,                563330,,                -19736,                543594,,,,,,,,,,,                 -7661,                535933,,                467805,                 75789,,                460146,                 75787,,                              1.08,                             -0.04,                              1.04,,                              1.08,                             -0.04,                              1.04,,                 -5197,,                -10518,                    398,,,                   -369,                  1040,,                    671,                 -1788
1305,2012年01月01日至2012年03月31日,,,              3603669,              3603669,,,              2975922,              2975922,                627747,                627747,,,                155223,,                 74206,,                 13748,                243177,                381086,,,                  9257,,                  9048,,                  9719,                  9719,,                  3437,                 12023,                393109,,                 12636,                380473,,                -11921,                368552,,,,,,,,,,,                 -2280,                366272,,                318318,                 50234,,                315954,                 50318,,                              0.78,                             -0.03,                              0.75,,                              0.78,                             -0.03,                              0.75,,                 -3484,,                -18167,                  1669,,,                   -422,                 11552,,                 11130,                 -3088
