證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
4164,2014年01月01日至2014年03月31日,,                422474,,                312880,                109594,                109594,,,                 21010,,                 33075,                 54085,                 55509,,,                  5562,,                 -6011,,                  9388,                 -9837,                 45672,,                  9769,                 35903,                 35903,,,                   -356,                  1035,                    -61,                    740,                    740,                 36643,,                 36326,                   -423,,                 37066,                   -423,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,
4164,2013年第3季,,                650355,,                434149,                216206,                216206,,,                 26660,,                 36879,                 63539,                152667,,,                  1016,,                  5562,,                  6708,                   -130,                152537,,                 33597,                118940,                118940,,,,,,,                 -1429,                117511,,                120797,                 -1857,,                119368,                 -1857,,                              1.00,                              1.00,,                              0.93,                              0.93,                 -1722,                              0,                   -293,
4164,2013年第2季,,                399373,,                236089,                163284,                163284,,,                 23346,,                 32570,                 55916,                107368,,,                  2208,,                  1516,,                  1678,                  2046,                109414,,                 22814,                 86600,                 86600,,,,,,,                  1712,                 88312,,                 88055,                 -1455,,                 89767,                 -1455,,                              0.73,                              0.73,,                              0.72,                              0.72,                  2063,                              0,                    351,
4164,2013年度,,              2062991,,              1424042,                638949,                638949,,,                111162,,                131463,                242625,                396324,,,                  8042,,                 -7326,,                 19554,                -18838,                377486,,                 85815,                291671,                291671,,,,,,,                 17516,                309187,,                296862,                 -5191,,                314378,                 -5191,,                              2.42,                              2.42,,                              2.38,                              2.38,                  7143,                 11587,                  1214,
4164,2013年07月01日至2013年09月30日,,                650355,,                434149,                216206,                216206,,,                 26660,,                 36879,                 63539,                152667,,,                  1016,,                  5562,,                  6708,                   -130,                152537,,                 33597,                118940,                118940,,,,,,,                 -1429,                117511,,                120797,                 -1857,,                119368,                 -1857,,                              1.00,                              1.00,,                              0.93,                              0.93,                 -1722,,                   -293,
4164,2013年04月01日至2013年06月30日,,                399373,,                236089,                163284,                163284,,,                 23346,,                 32570,                 55916,                107368,,,                  2208,,                  1516,,                  1678,                  2046,                109414,,                 22814,                 86600,                 86600,,,,,,,                  1712,                 88312,,                 88055,                 -1455,,                 89767,                 -1455,,                              0.73,                              0.73,,                              0.72,                              0.72,                  2063,,                    351,
4164,2013年01月01日至2013年12月31日,,              2062991,,              1424042,                638949,                638949,,,                111162,,                131463,                242625,                396324,,,                  8042,,                 -7326,,                 19554,                -18838,                377486,,                 85815,                291671,                291671,,,,,,,                 17516,                309187,,                296862,                 -5191,,                314378,                 -5191,,                              2.42,                              2.42,,                              2.38,                              2.38,                  7143,                 11587,                  1214,                              0
4164,2013年01月01日至2013年09月30日,,              1418372,,                971570,                446802,                446802,,,                 79512,,                 98712,                178224,                268578,,,                  4209,,                  9640,,                 11980,                  1869,                270447,,                 60817,                209630,                209630,,,,,,,                  3462,                213092,,                213699,                 -4069,,                217161,                 -4069,,                              1.78,                              1.78,,                              1.72,                              1.72,                  4171,                              0,                    709,
4164,2013年01月01日至2013年06月30日,,                768017,,                537421,                230596,                230596,,,                 52852,,                 62036,                114888,                115708,,,                  3396,,                  4078,,                  5272,                  2202,                117910,,                 27220,                 90690,                 90690,,,,,,,                  4891,                 95581,,                 92902,                 -2212,,                 97793,                 -2212,,                              0.77,                              0.77,,                              0.76,                              0.76,                  5893,                              0,                  1002,
4164,2013年01月01日至2013年03月31日,,                368644,,                301332,                 67312,                 67312,,,                 29506,,                 29466,                 58972,                  8340,,,                  1188,,                  2562,,                  3594,                    156,                  8496,,                  4406,                  4090,                  4090,,,,,,,                  3179,                  7269,,                  4847,                   -757,,                  8026,                   -757,,                              0.04,                              0.04,,                              0.04,                              0.04,                  3830,                              0,                    651,
4164,2012年07月01日至2012年09月30日,,                426063,,                240450,                185613,                185613,,,                 18914,,                 37394,                 56308,                129305,,,                     77,,                 30368,,                  6453,                 23992,                153297,,                 27711,                125586,                125586,,,,,,,                 -1516,                124070,,                125849,                   -263,,                124333,                   -263,,                              1.16,                              1.16,,                              1.16,                              1.16,                 -1827,,                   -311,
4164,2012年04月01日至2012年06月30日,,                495040,,                244871,                250169,                250169,,,                 23881,,                 33071,                 56952,                193217,,,                  5461,,                -45725,,                  4373,                -44637,                148580,,                 40420,                108160,                108160,,,,,,,                    960,                109120,,                107997,                    163,,                108957,                    163,,                              1.00,                              1.00,,                              1.00,                              1.00,                  1157,,                    197,
4164,2012年01月01日至2012年12月31日,,              1989670,,              1165156,                824514,                824514,,,                 99763,,                160035,                259798,                564716,,,                 12263,,                -13541,,                 19277,                -20555,                544161,,                112809,                431352,                431352,,,,,,,                  6402,                437754,,                431643,                   -291,,                438045,                   -291,,                              3.91,                              3.91,,                              3.89,                              3.89,                 -4595,                              0,                  1311,                 12308
4164,2012年01月01日至2012年09月30日,,              1264304,,                730517,                533787,                533787,,,                 65397,,                102905,                168302,                365485,,,                 11162,,                -11673,,                 13853,                -14364,                351121,,                 78129,                272992,                272992,,,,,,,                 -3701,                269291,,                272792,                    200,,                269091,                    200,,                              2.52,                              2.52,,                              2.52,                              2.52,                 -4459,,                   -758,
4164,2012年01月01日至2012年06月30日,,                838241,,                490067,                348174,                348174,,,                 46483,,                 65511,                111994,                236180,,,                 11085,,                -42041,,                  7400,                -38356,                197824,,                 50418,                147406,                147406,,,,,,,                 -2185,                145221,,                146943,                    463,,                144758,                    463,,                              1.36,                              1.36,,                              1.36,                              1.36,                 -2632,,                   -447,
4164,2012年01月01日至2012年03月31日,,                343201,,                245196,                 98005,                 98005,,,                 22602,,                 32440,                 55042,                 42963,,,                  5624,,                  3684,,                  3027,                  6281,                 49244,,                  9998,                 39246,                 39246,,,,,,,                 -3145,                 36101,,                 38946,                    300,,                 35801,                    300,,                              0.36,                              0.36,,                              0.36,                              0.36,                 -3789,,                   -644,
