證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2377,2014年01月01日至2014年03月31日,,             20595223,,             17565037,              3030186,              3030186,,,              1082466,,                239594,,                691770,              2013830,              1016356,,,                155189,,                -13453,,                  5533,,                   -155,                136048,              1152404,,                182232,                970172,                970172,,,,,                 36255,              1006427,,                970172,,              1006427,,                              1.15,,                              1.14,                              0,                              0,,                 36255,                 36255,,,
2377,2013年第3季,,             18470949,,             16042165,              2428784,              2428784,,,                868586,,                154320,,                654890,              1677796,                750988,,,                 51769,,                  3533,,                  3812,,                   -640,                 50850,                801838,,                200193,                601645,                601645,,,,,                -47705,                553940,,                601095,,                553390,,                              0.71,,                              0.71,                    550,                    550,,,,                -47705,,
2377,2013年第2季,,             16504046,,             14295188,              2208858,              2208858,,,                898641,,                128718,,                629403,              1656762,                552096,,,                 98962,,                -53266,,                  2609,,                   -589,                 42498,                594594,,                172662,                421932,                421932,,,,,                128582,                550514,,                420186,,                548768,,                              0.50,,                              0.49,                  1746,                  1746,,,,                128582,,
2377,2013年度,,             71879047,,             62620507,              9258540,              9258540,,,              3728810,,                661381,,              2491761,              6881952,              2376588,,,                425724,,                -56007,,                 14344,,                 -1658,                353715,              2730303,,                753611,              1976692,              1976692,,,,,                370064,              2346756,,              1972857,,              2342921,,                              2.34,,                              2.31,                  3835,                  3835,,,,                372234,                 -2615,                   -445
2377,2013年07月01日至2013年09月30日,,             18470949,,             16042165,              2428784,              2428784,,,                804313,,                218593,,                654890,              1677796,                750988,,,                 51769,,                  3533,,                  3812,,                   -640,                 50850,                801838,,                200193,                601645,                601645,,,,,                -47705,                553940,,                601095,,                553390,,                              0.71,,                              0.71,                    550,                    550,,,,                -47705,,
2377,2013年04月01日至2013年06月30日,,             16504046,,             14295188,              2208858,              2208858,,,                833524,,                193835,,                629403,              1656762,                552096,,,                112348,,                -66652,,                  2609,,                   -589,                 42498,                594594,,                172662,                421932,                421932,,,,,                128582,                550514,,                420186,,                548768,,                              0.50,,                              0.49,                  1746,                  1746,,,,                128582,,
2377,2013年01月01日至2013年12月31日,,             71879047,,             62620507,              9258540,              9258540,,,              3469802,,                920389,,              2491761,              6881952,              2376588,,,                425724,,                -56007,,                 14344,,                 -1658,                353715,              2730303,,                753611,              1976692,              1976692,,,,,                370064,              2346756,,              1972857,,              2342921,,                              2.34,,                              2.31,                  3835,                  3835,,,,                372234,                 -2615,                   -445
2377,2013年01月01日至2013年09月30日,,             51154701,,             44512113,              6642588,              6642588,,,              2590016,,                474911,,              1836251,              4901178,              1741410,,,                309446,,                -64090,,                  9368,,                   -795,                235193,              1976603,,                524932,              1451671,              1451671,,,,,                233075,              1684746,,              1447836,,              1680911,,                              1.71,,                              1.69,                  3835,                  3835,,,,                233075,,
2377,2013年01月01日至2013年06月30日,,             32683752,,             28469948,              4213804,              4213804,,,              1721430,,                320591,,              1181361,              3223382,                990422,,,                257676,,                -67622,,                  5556,,                   -155,                184343,              1174765,,                324739,                850026,                850026,,,,,                280780,              1130806,,                846741,,              1127521,,                              1.00,,                              0.99,                  3285,                  3285,,,,                280780,,
2377,2013年01月01日至2013年03月31日,,             16179706,,             14174760,              2004946,              2004946,,,                767083,,                247579,,                551958,              1566620,                438326,,,                158714,,                -14356,,                  2947,,                    434,                141845,                580171,,                152077,                428094,                428094,,,,,                152198,                580292,,                426555,,                578753,,                              0.50,,                              0.50,                  1539,                  1539,,,,                152198,,
2377,2012年07月01日至2012年09月30日,,             17532576,,             15421649,              2110927,              2110927,,,                775572,,                273087,,                607242,              1655901,                455026,,,                121908,,                 10984,,                  7777,,                   -166,                124949,                579975,,                 93765,                486210,                486210,,,,,               -123571,                362639,,                485943,,                362372,,                              0.58,,                              0.57,                    267,                    267,,,,               -123571,,
2377,2012年04月01日至2012年06月30日,,             17338341,,             15300920,              2037421,              2037421,,,                867300,,                247833,,                699525,              1814658,                222763,,,                167944,,                -41912,,                 27192,,                    -19,                 98821,                321584,,                 41146,                280438,                280438,,,,,                 40461,                320899,,                279881,,                320342,,                              0.32,,                              0.32,                    557,                    557,,,,                 40461,,
2377,2012年01月01日至2012年12月31日,,             67057171,,             59547048,              7510123,              7510123,,,              3244297,,              1018351,,              2375231,              6637879,                872244,,,                553473,,               -175167,,                 51757,,                 -2405,                324144,              1196388,,                338393,                857995,                857995,,,,,               -201626,                656369,,                857973,,                656347,,                              0.99,,                              0.96,                     22,                     22,,,,               -182088,                -23540,                 -4002
2377,2012年01月01日至2012年09月30日,,             50676919,,             44817662,              5859257,              5859257,,,              2474640,,                757638,,              1818406,              5050684,                808573,,,                383953,,               -125846,,                 54695,,                    464,                203876,              1012449,,                169365,                843084,                843084,,,,,               -226754,                616330,,                842522,,                615768,,                              0.96,,                              0.95,                    562,                    562,,,,               -226754,,
2377,2012年01月01日至2012年06月30日,,             33144343,,             29396013,              3748330,              3748330,,,              1699068,,                484551,,              1211164,              3394783,                353547,,,                262045,,               -136830,,                 46918,,                    630,                 78927,                432474,,                 75600,                356874,                356874,,,,,               -103183,                253691,,                356579,,                253396,,                              0.40,,                              0.40,                    295,                    295,,,,               -103183,,
2377,2012年01月01日至2012年03月31日,,             15806002,,             14095093,              1710909,              1710909,,,                831768,,                236718,,                511639,              1580125,                130784,,,                 94101,,                -94918,,                 19726,,                    649,                -19894,                110890,,                 34454,                 76436,                 76436,,,,,               -143644,                -67208,,                 76698,,                -66946,,                              0.08,,                              0.08,                   -262,                   -262,,,,               -143644,,
