證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 銷貨成本,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　　　 銷貨收入,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（綜合損益）,　　　 銷貨退回,　　　 銷貨折讓
3044,2014年01月01日至2014年03月31日,,,,,              9829805,              9829805,,,              8363886,              8363886,              1465919,              1465919,,,                420494,,                393491,,                 32375,                846360,,,,                619559,,,,                131685,,                  5557,,                 31845,,                 -5583,                 99814,                719373,,                137159,                582214,                582214,,,                  6006,                  1021,                  4985,                  4985,                587199,,                573054,                  9160,,                578039,                  9160,,                              1.09,                              1.09,,                              1.08,                              1.08,,,,,,,,,,,,
3044,2013年第3季,,,,             10232663,             10232663,             10232663,,,              8796360,              8796360,              1436303,              1436303,,,                373026,,                336666,,                 30631,                740323,,                -69365,                -69365,                626615,,,                 58445,                 58445,,                 41906,,                 14539,,                 -6176,                 79636,                706251,,                 95497,                610754,                610754,,,,,,               -249299,                361455,,                622443,                -11689,,                373144,                -11689,,                              1.18,                              1.18,,                              1.18,                              1.18,,,               -300361,,,                 51062,,,,,,
3044,2013年第2季,,,,,             10227083,             10227083,,,              8739538,              8739538,              1487545,              1487545,,,                386271,,                360292,,                 27220,                773783,,,                -40042,                673720,,,                 64856,                 64856,,                 11048,,                 21728,,                 -6720,                 47456,                721176,,                181625,                539551,                539551,,,,,,                312078,                851629,,                538846,,,                850924,                    705,,                              1.03,                              1.03,,                              1.01,                              1.01,              8739538,                    705,                375998,,,                -63920,,,,,,
3044,2013年度,,,,             40771697,             40771697,             40771697,,,             34869022,             34869022,              5902675,              5902675,,,              1470724,,              1438140,,                116080,              3024944,,               -331332,               -331332,              2546399,,,,                340365,,                105224,,                 74037,,                -26234,                345318,              2891717,,                524869,              2366848,              2366848,,,,,,                947390,              3314238,,              2374586,                 -7738,,              3321696,                 -7458,,                              4.52,                              4.52,,                              4.46,                              4.46,,,              1146581,                              0,                 -5267,               -193924,,,,,,
3044,2013年07月01日至2013年09月30日,,,,             10232663,             10232663,             10232663,,,              8796360,              8796360,              1436303,              1436303,,,                373026,,                336666,,                 30631,                740323,,,                -69365,                626615,,,                 35208,                 35208,,                 65143,,                 14539,,                 -6176,                 79636,                706251,,                 95497,                610754,                610754,,,,,,               -249299,                361455,,                622443,                -11689,,                373144,                -11689,,                              1.18,                              1.18,,                              1.18,                              1.18,              8796360,,               -300361,                              0,,                 51062,             10232663,,,,,
3044,2013年04月01日至2013年06月30日,,,,,             10227083,             10227083,,,              8739538,              8739538,              1487545,              1487545,,,                386271,,                360292,,                 27220,                773783,,,                -40042,                673720,,,,                 46677,,                 29227,,                 21728,,                 -6720,                 47456,                721176,,                181625,                539551,                539551,,,,,,                312078,                851629,,                538846,                    705,,                850924,                    705,,,                              1.03,,,                              1.01,,                              0,                375998,                              0,,                -63920,,,                              0,                              0,,
3044,2013年01月01日至2013年12月31日,,,,             40771697,             40771697,             40771697,,,             34869022,             34869022,              5902675,              5902675,,,              1470724,,              1438140,,                116080,              3024944,,               -331332,               -331332,              2546399,,,,                340365,,                105224,,                 74037,,                -26234,                345318,              2891717,,                524869,              2366848,              2366848,,,,,,                947390,              3314238,,              2374586,                 -7738,,              3321696,                 -7458,,                              4.52,                              4.52,,                              4.46,                              4.46,,,              1146581,                              0,                 -5267,               -193924,,,,,,
3044,2013年01月01日至2013年09月30日,,,,             30461814,             30461814,             30461814,,,             26114313,             26114313,              4347501,              4347501,,,              1072616,,              1048649,,                 84750,              2206015,,               -189332,               -189332,              1952154,,,                183687,                183687,,                 71036,,                 54306,,                -14238,                186179,              2138333,,                379820,              1758513,              1758513,,,,,,                592686,              2351199,,              1767316,                 -8803,,              2360002,                 -8803,,                              3.36,                              3.36,,                              3.32,                              3.32,,,                714079,,,               -121393,,,,,,
3044,2013年01月01日至2013年06月30日,,,,,             20229151,             20229151,,,             17317953,             17317953,              2911198,              2911198,,,                699590,,                711983,,                 54119,              1465692,,,               -119967,              1325539,,,                125242,                125242,,                 29130,,                 39767,,                 -8062,                106543,              1432082,,                284323,              1147759,              1147759,,,,,,                841985,              1989744,,              1144873,,,              1986858,                  2886,,                              2.18,                              2.18,,                              2.15,                              2.15,             17317953,                  2886,              1014440,,,               -172455,,,,,,
3044,2013年01月01日至2013年03月31日,,,,,             10002068,             10002068,,,              8578415,              8578415,              1423653,              1423653,,,                313319,,                351691,,                 26899,                691909,,,                -79925,                651819,,,,                 60386,,                 18082,,                 18039,,                 -1342,                 59087,                710906,,                102698,                608208,                608208,,,,,,                529907,              1138115,,                606027,                  2181,,              1135934,                  2181,,                              1.15,                              1.15,,                              1.14,                              1.14,,,                638442,                              0,,               -108535,,,,,,
3044,2012年07月01日至2012年09月30日,,,,              9866605,              9866605,              9866605,,,              8274380,              8274380,              1592225,              1592225,,,                345063,,                370717,,                 31925,                747705,,,                -70875,                773645,,,                 38303,                 38303,,                 73906,,                 19754,,                 -7491,                 84964,                858609,,                206314,                652295,                652295,,,,,,               -368117,                284178,,                674776,                -22481,,                305819,                -21641,,                              1.28,                              1.28,,                              1.28,                              1.28,              8274380,,               -443515,                              0,,                 75398,              9866605,,,,,
3044,2012年04月01日至2012年06月30日,,,,,             10024678,             10024678,,,              8252481,              8252481,              1772197,              1772197,,,                420914,,                459636,,                 30562,                911112,,,                 58654,                919739,,,,                222425,,                 46710,,                 24377,,                 -6976,                237782,              1157521,,                317350,                840171,                840171,,,,,,                191765,              1031936,,                833117,                  7054,,              1026380,                  5556,,,                              1.59,,,                              1.56,,                              0,                231723,                              0,,                -39958,,,                              0,                              0,,
3044,2012年01月01日至2012年12月31日,,,,             39120539,             39120539,             39120539,,,             32498051,             32498051,              6622488,              6622488,,,              1408590,,              1652364,,                130812,              3191766,,                -85745,                -85745,              3344977,,,,                422953,,                 48182,,                 68117,,                -31341,                371677,              3716654,,                822036,              2894618,              2894618,,,,,,               -656235,              2238383,,              2916944,                -22326,,              2260907,                -22524,,                              5.55,                              5.55,,                              5.47,                              5.47,,,               -776768,                 -5671,                 -8087,                134291,,,,,,
3044,2012年01月01日至2012年09月30日,,,,             29241197,             29241197,             29241197,,,             24223109,             24223109,              5018088,              5018088,,,              1092739,,              1248440,,                 92279,              2433458,,,                -41740,              2542890,,,                342658,                342658,,                180157,,                 56802,,                -24371,                441642,              2984532,,                708297,              2276235,              2276235,,,,,,               -796027,              1480208,,              2312487,                -36252,,              1515832,                -35624,,                              4.40,                              4.40,,                              4.34,                              4.34,             24223109,,               -953398,                 -5671,,                163042,             29241197,,,,,
3044,2012年01月01日至2012年06月30日,,,,,             19374592,             19374592,,,             15948729,             15948729,              3425863,              3425863,,,                747676,,                877723,,                 60354,              1685753,,,                 29135,              1769245,,,,                304355,,                106251,,                 37048,,                -16880,                356678,              2125923,,                501983,              1623940,              1623940,,,,,,               -427910,              1196030,,              1637711,                -13771,,              1210013,                -13983,,,                              3.12,,,                              3.07,,                              0,               -509883,                 -5671,,                 87644,,,                              0,                              0,,
3044,2012年01月01日至2012年03月31日,,,,              9399454,              9349914,              9349914,,,              7696248,              7696248,              1653666,              1653666,,,                326762,,                418087,,                 29792,                774641,,,                -29519,                849506,,,,                 81930,,                 59541,,                 12671,,                 -9904,                118896,                968402,,                184633,                783769,                783769,,,,,,               -619675,                164094,,                804594,                -20825,,                183633,                -19539,,                              1.53,                              1.53,,                              1.51,                              1.51,,,               -741606,                 -5671,,                127602,,,,,                 28891,                 20649
