證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2228,2013年04月01日至2013年06月30日,,                718635,,                510186,                208449,                208449,,,                 43305,,                 54335,,                  8987,                106627,                101822,,,                   -757,,                 19356,,                     94,                 18505,                120327,,                 37410,                 82917,                 82917,,,,,,,                 20635,                103552,,                 82917,,                103552,,                              1.28,                              1.28,,                              1.28,                              1.28,                 24860,,,                  4225
2228,2013年01月01日至2013年12月31日,,              3020479,,              2186128,                834351,                834351,,,                163026,,                220564,,                 53909,                437499,                396852,,,                  2609,,                 62250,,                  4941,                 59918,                456770,,                123635,                333135,                333135,,,,,,,                 77504,                410639,,                333135,,                410639,,                              5.09,                              5.09,,                              5.09,                              5.09,                 71792,,                 20985,                 15273
2228,2013年01月01日至2013年09月30日,,              2291221,,              1662252,                628969,                628969,,,                125019,,                166434,,                 30762,                322215,                306754,,,                  1911,,                 41245,,                  3954,                 39202,                345956,,                 95400,                250556,                250556,,,,,,,                 38352,                288908,,                250556,,                288908,,                              3.85,                              3.85,,                              3.85,                              3.85,                 46207,,,                  7855
2228,2013年01月01日至2013年06月30日,,              1479319,,              1061741,                417578,                417578,,,                 86565,,                111286,,                 19944,                217795,                199783,,,                    569,,                 34355,,                  2501,                 32423,                232206,,                 68407,                163799,                163799,,,,,,,                 41020,                204819,,                163799,,                204819,,                              2.52,                              2.52,,                              2.52,                              2.52,                 49421,,,                  8401
2228,2013年01月01日至2013年03月31日,,                760684,,                551555,                209129,                209129,,,                 43260,,                 56951,,                 10957,                111168,                 97961,,,                  1326,,                 14999,,                  2407,                 13918,                111879,,                 30997,                 80882,                 80882,,,,,,,                 20385,                101267,,                 80882,,                101267,,                              1.24,                              1.24,,                              1.24,                              1.24,                 24561,,,                  4176
2228,2012年07月01日至2012年09月30日,,                760612,,                561138,                199474,                199474,,,                 49585,,                 50804,,                 12562,                112951,                 86523,,,                  1548,,                  7891,,                    229,                  9210,                 95733,,                 23438,                 72295,                 72295,,,,,,,                -13259,                 59036,,                 72295,,                 59036,,                              1.18,                              1.18,,                              1.17,                              1.17,                -15975,,,                 -2716
2228,2012年04月01日至2012年06月30日,,                668217,,                496293,                171924,                171924,,,                 41109,,                 50700,,                 11172,                102981,                 68943,,,                    611,,                 14132,,                  1003,                 13740,                 82683,,                 18163,                 64520,                 64520,,,,,,,                 -5715,                 58805,,                 64520,,                 58805,,                              1.07,                              1.07,,                              1.07,                              1.07,                 -6885,,,                 -1170
2228,2012年01月01日至2012年12月31日,,              2875987,,              2110877,                765110,                765110,,,                173981,,                206991,,                 45027,                425999,                339111,,,                  3116,,                 19728,,                  3976,                 18868,                357979,,                 83701,                274278,                274278,,,,,,,                -34189,                240089,,                274278,,                240089,,                              4.44,                              4.44,,                              4.43,                              4.43,                -37965,,                 -2678,                 -6454
2228,2012年01月01日至2012年09月30日,,              2118274,,              1557643,                560631,                560631,,,                130595,,                156316,,                 35649,                322560,                238071,,,                  2220,,                 18552,,                  1923,                 18849,                256920,,                 59942,                196978,                196978,,,,,,,                -34509,                162469,,                196978,,                162469,,                              3.25,                              3.25,,                              3.24,                              3.24,                -41577,,,                 -7068
2228,2012年01月01日至2012年06月30日,,              1357662,,                996505,                361157,                361157,,,                 81010,,                105512,,                 23087,                209609,                151548,,,                    672,,                 10661,,                  1694,                  9639,                161187,,                 36504,                124683,                124683,,,,,,,                -21250,                103433,,                124683,,                103433,,                              2.07,                              2.07,,                              2.07,                              2.07,                -25602,,,                 -4352
