證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 其他營業成本,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1710,2014年01月01日至2014年03月31日,,,              3604228,,                              0,              3604228,,,              3200202,              3209104,                395124,                395124,,,                 73855,,                 33983,,                 34607,                142445,                252679,,,,                 10400,                 10142,,                 23418,                 43960,,                 22792,                -14236,                 11846,                  5523,                 14879,,                 14152,                 14152,,                247165,               -247165,               -202478,                 50201,,                  1570,                 48631,                 48631,,,                -23091,                -36648,,                 12063,                -47676,                -47676,                    955,,                 48909,                   -278,,                 14195,                -13240,,                              0.06,                              0.06,,                              0.06,                              0.06,                  8902,,,,,,,,
1710,2013年第3季,,,              4319041,,                  8608,              4327649,,,              3612488,              3612488,                715161,                715161,,,                 84660,,                 43179,,                 32902,                160741,                554420,,,,                  6197,                  7877,                 66061,                 11375,                 91510,,                              0,                  2102,                  2003,                  5920,                 -1815,,                 12989,                 12989,,                 10190,                -10190,                 66516,                620936,,                 86050,                534886,                534886,,,,,,,,                 61878,                596764,,                534886,                              0,,                596764,                              0,,,                              0.62,,,                              0.61,,,,                 -4932,                105719,,,                -38909,
1710,2013年第2季,,,              3615518,,                  5933,              3621451,,,              3263515,              3263360,                358091,                358091,,,                 83536,,                 43465,,                 34331,                161332,                196759,,,,                  4697,                  7886,,                  5813,                 18396,,                              0,                 43557,                  1888,                  5174,                 40271,,                 10481,                 10481,,                 54049,                -54049,                 -5863,                190896,,                 42496,                148400,                148400,,,,,,,,                151921,                300321,,                148400,                              0,,                300321,                              0,,                              0.17,                              0.17,,                              0.17,                              0.17,                   -155,,,                  6076,                 99686,,,                 46159,
1710,2013年度,,,             15423446,,                 10491,             15433937,,,             13171387,             13171387,              2262550,              2262550,,,                322102,,                178108,,                133678,                633888,              1628662,,,,                 21766,                 31526,                 66472,                 69037,                188801,,                  7398,                100826,                 11416,                 48216,                 51424,,                 46845,                 46845,,                283275,               -283275,                -89895,              1538767,,                273471,              1265296,              1265296,,,,,,,,                541162,              1806458,,              1265296,                              0,,              1806458,                              0,,,                              1.45,,,                              1.45,,,                 20000,                 47466,                241293,                 -3075,,                254955,                   -523
1710,2013年07月01日至2013年09月30日,,,              4319041,,                  8608,              4327649,,,              3612488,              3612488,                715161,                715161,,,                 84660,,                 43179,,                 32902,                160741,                554420,,,,                  6197,                  7877,                 66061,                 11375,                 91510,,                              0,                  2102,                  2003,                  5920,                 -1815,,                 12989,                 12989,,                 10190,                -10190,                 66516,                620936,,                 86050,                534886,                534886,,,,,,,,                 61878,                596764,,                534886,,,                596764,,,                              0.62,                              0.62,,                              0.61,                              0.61,                              0,,,                -43841,                105719,,,,
1710,2013年04月01日至2013年06月30日,,,              3615518,,                  5933,              3621451,,,              3263452,              3263452,                357999,                357999,,,                 83536,,                 43465,,                 34331,                161332,                196667,,,,                  4697,                  7886,,                  5813,                 18396,,                              0,                 43557,                  1888,                  5082,                 40363,,                 10481,                 10481,,                 54049,                -54049,                 -5771,                190896,,                 42496,                148400,                148400,,,,,,,,                151921,                300321,,                148400,,,                300321,,,                              0.17,                              0.17,,                              0.17,                              0.17,                              0,,,                 52235,                 99686,,,,
1710,2013年01月01日至2013年12月31日,,,             15423446,,                 10491,             15433937,,,             13171387,             13171387,              2262550,              2262550,,,                322102,,                178108,,                133678,                633888,              1628662,,,,                 21766,                 31526,                 66472,                 69037,                188801,,                  7398,                100826,                 11416,                 48216,                 51424,,                 46845,                 46845,,                283275,               -283275,                -89895,              1538767,,                273471,              1265296,              1265296,,,,,,,,                541162,              1806458,,              1265296,,,              1806458,,,                              1.45,                              1.45,,                              1.45,                              1.45,                              0,,                 20000,                 47466,                241293,                 -3075,,                254955,                   -523
1710,2013年01月01日至2013年09月30日,,,             11479493,,                 14541,             11494034,,,              9893982,              9893982,              1600052,              1600052,,,                234752,,                120824,,                 99050,                454626,              1145426,,,,                 14725,                 23640,                 66472,                 26421,                131258,,                  4665,                 78721,                  7387,                 15735,                 75038,,                 33011,                 33011,,                234386,               -234386,                -61101,              1084325,,                171352,                912973,                912973,,,,,,,,                341843,              1254816,,                912973,                              0,,              1254816,                              0,,,                              1.05,,,                              1.05,,,,                 25961,                146772,,,                169110,
1710,2013年01月01日至2013年06月30日,,,              7160452,,                  5933,              7166385,,,              6281494,              6281494,                884891,                884891,,,                150092,,                 77645,,                 66148,                293885,                591006,,,,                  8528,                 15763,,                 15457,                 39748,,                  4665,                 76619,                  5384,                  9815,                 76853,,                 20022,                 20022,,                224196,               -224196,               -127617,                463389,,                 85302,                378087,                378087,,,,,,,,                279965,                658052,,                378087,                              0,,                658052,                              0,,                              0.43,                              0.43,,                              0.43,                              0.43,                              0,,,                 30893,                 41053,,,                208019,
1710,2013年01月01日至2013年03月31日,,,              3544934,,,              3544934,,,              3017979,              3018134,                526800,                526800,,,                 66556,,                 34180,,                 31817,                132553,                394247,,,,                  3831,                  7877,,                  9644,                 21352,,                  4665,                 33062,                  3496,                  4641,                 36582,,                  9541,                  9541,,                170147,               -170147,               -121754,                272493,,                 42806,                229687,                229687,,,,,,,,                128044,                357731,,                229687,                              0,,                357731,                              0,,                              0.26,                              0.26,,                              0.26,                              0.26,                    155,,,                 24817,                -58633,,,                161860,
1710,2012年07月01日至2012年09月30日,,,              3060286,,                              0,              3060286,,,              2665031,              2658596,                401690,                401690,,,                 70592,,                 45800,,                 34373,                150765,                250925,,,,                  8482,                  6630,                 67511,                  9475,                 92098,,                              0,                -14479,                  1594,                  5432,                -18317,,                 11278,                 11278,,                 -2245,                  2245,                 64748,                315673,,                 31542,                284131,                284131,,,,,,,,                 32317,                316448,,                284131,,,                316448,,,                              0.33,                              0.33,,                              0.33,                              0.33,                 -6435,,,               -104433,                136750,,,,
1710,2012年04月01日至2012年06月30日,,,              3203000,,                              0,              3203000,,,              2860395,              2904298,                298702,                298702,,,                 77218,,                 43085,,                 36439,                156742,                141960,,,,                 10777,                  6856,,                  5507,                 23140,,                              0,                 -5191,                 29526,                  6230,                 18105,,                 14138,                 14138,,                190960,               -190960,               -163853,                -21893,,                -32734,                 10841,                 10841,,,,,,,,                -97082,                -86241,,                 10841,,,                -86241,,,                              0.01,                              0.01,,                              0.01,                              0.01,                 43903,,,                 37502,               -134584,,,,
1710,2012年01月01日至2012年12月31日,,,             13410837,,                              0,             13410837,,,             11431844,             11492278,              1918559,              1918559,,,                288860,,                184065,,                144593,                617518,              1301041,,,,                 32604,                 28218,                 67776,                 84813,                213411,,                 77917,                  6911,                 74298,                 25605,                133521,,                 48731,                 48731,,                293575,               -293575,                  4626,              1305667,,                158273,              1147394,              1147394,,,,,,,,               -150235,                997159,,              1147394,,,                997159,,,                              1.32,                              1.32,,                              1.31,                              1.31,                 60434,,                              0,                -33973,                 73516,                -24660,,               -169310,                 -4192
1710,2012年01月01日至2012年09月30日,,,             10068087,,                              0,             10068087,,,              8675635,              8736069,              1332018,              1332018,,,                218279,,                129526,,                108252,                456057,                875961,,,,                 27368,                 20852,                 67776,                 20649,                136645,,                 77917,                -18624,                 80306,                 16397,                123202,,                 37259,                 37259,,                189216,               -189216,                 33372,                909333,,                102580,                806753,                806753,,,,,,,,                -86974,                719779,,                806753,,,                719779,,,                              0.93,                              0.93,,                              0.92,                              0.92,                 60434,,,               -201871,                114897,,,,
1710,2012年01月01日至2012年06月30日,,,              7007801,,                              0,              7007801,,,              6010604,              6077473,                930328,                930328,,,                147687,,                 83726,,                 73879,                305292,                625036,,,,                 18886,                 14222,,                 11439,                 44547,,                 77917,                 -4145,                 78712,                 10965,                141519,,                 25981,                 25981,,                191461,               -191461,                -31376,                593660,,                 71038,                522622,                522622,,,,,,,,               -119291,                403331,,                522622,,,                403331,,,                              0.60,                              0.60,,                              0.60,                              0.60,                 66869,,,                -97438,                -21853,,,,
1710,2012年01月01日至2012年03月31日,,,              3804801,,,              3804801,,,              3150209,              3173175,                631626,                631626,,,                 70469,,                 40641,,                 37440,                148550,                483076,,,,                  8109,                  7366,,                  5932,                 21407,,                 77917,                  1046,                 49186,                  4735,                123414,,                 11843,                 11843,,                    501,                   -501,                132477,                615553,,                103772,                511781,                511781,,,,,,,,                -22209,                489572,,                511781,,,                489572,,,                              0.59,                              0.59,,                              0.59,                              0.59,                 22966,,,               -134940,                112731,,,,
