證券代號,年季,　 營業收入,　　 租賃收入,　　　 租賃收入合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入退回及折讓,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 租賃成本,　　　 租賃成本合計,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 手續費收入,　　　　 手續費收入合計,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 利息費用
2536,2014年01月01日至2014年03月31日,,,                 10620,,,              1344060,                  6004,              1338056,              1338056,              1348676,,,                    470,,                846563,                846563,                847033,                501643,                501643,,,                 29835,,                 14640,                 44475,                457168,,,                    867,,                -21543,,                 24466,,                   -835,                -45977,                411191,,                 39664,                371527,                371527,,,                 -1127,                 -6499,,                 -7626,                 -7626,                363901,,                              1.16,,                              1.06,,                    107,                    760,,,,,,,,,
2536,2013年第3季,,,                 10413,,,                820926,                     96,                820830,                820830,                831243,,,                  1124,,                463763,                463763,                464887,                366356,                366356,,,                 61834,,                  9597,                 71431,                294925,,,                  4816,,                     40,,                 37642,,                   -883,                -33669,                261256,,                119288,                141968,                141968,,,,,,,                    443,                142411,,                              0.44,,                              0.44,,,,,                 -8286,                  8729,                              0,,,,,
2536,2013年第2季,,,                  5692,,,                407140,                  3716,                403424,                403424,                409116,,,                    469,,                295908,                295908,                296377,                112739,                112739,,,                122634,,                 11785,                134419,                -21680,,,                  1508,,                -10554,,                 19603,,                 -1647,                -30296,                -51976,,                 44974,                -96950,                -96950,,,,,,,                  2969,                -93981,,                             -0.30,,                             -0.30,,,,,                  4784,                 -1815,,,,,,
2536,2013年度,,,                 32998,,,              3981273,                  8313,              3972960,              3972960,              4005958,,,                  2394,,,              2315257,              2317651,              1688307,              1688307,,,                378331,,                 44965,                423296,              1265011,,,                 13820,,                -55945,,                 95908,,                 -4378,               -142411,              1122600,,                238735,                883865,                883865,,,,,,,                 27571,                911436,,                              2.77,,                              2.55,,,,                238735,                 24746,                  2825,,,,,,
2536,2013年07月01日至2013年09月30日,,,                 10413,,,                820926,                     96,                820830,                820830,                831243,,,                  1124,,                463763,                463763,                464887,                366356,                366356,,,                 61834,,                  9597,                 71431,                294925,,,                  4816,,                -11989,,                 25613,,                   -883,                -33669,                261256,,                119288,                141968,                141968,,,,,,,                    443,                142411,,                              0.44,,                              0.44,,,,,                 -8286,                  8729,                              0,,,,,
2536,2013年04月01日至2013年06月30日,,,                  5692,,,                407140,                  3716,                403424,                403424,                409116,,,                    469,,                295908,                295908,                296377,                112739,                112739,,,                122634,,                 11785,                134419,                -21680,,,                  1508,,                -10554,,                 19603,,                 -1647,                -30296,                -51976,,                 44974,                -96950,                -96950,,,,,,,                  2969,                -93981,,                             -0.30,,                             -0.30,,,,,                  4784,                 -1815,,,,,,
2536,2013年01月01日至2013年12月31日,,,                 32998,,,              3981273,                  8313,              3972960,              3972960,              4005958,,,                  2394,,,              2315257,              2317651,              1688307,              1688307,,,                378331,,                 44965,                423296,              1265011,,,                 13820,,                -55945,,                 95908,,                 -4378,               -142411,              1122600,,                238735,                883865,                883865,,,,,,,                 27571,                911436,,                              2.77,,                              2.55,,,,                238735,                 24746,                  2825,,,,,,
2536,2013年01月01日至2013年09月30日,,,                 22191,,,              1687269,                  4979,              1682290,              1682290,              1704481,,,                  2080,,              1000725,              1000725,              1002805,                701676,                701676,,,                246621,,                 36690,                283311,                418365,,,                 12175,,                -23408,,                 97092,,                 -3836,               -112161,                306204,,                174796,                131408,                131408,,,,,,,                 17822,                149230,,                              0.41,,                              0.41,,,,,                 11150,                  6672,                              0,,,,,
2536,2013年01月01日至2013年06月30日,,,                 11778,,,                866343,                  4883,                861460,                861460,                873238,,,                    956,,                536962,                536962,                537918,                335320,                335320,,,                184787,,                 27093,                211880,                123440,,,                  7359,,                -42211,,                 40687,,                 -2953,                -78492,                 44948,,                 55508,                -10560,                -10560,,,,,,,                 17379,                  6819,,                             -0.03,,                             -0.03,,,,,                 19436,                 -2057,,,,,,
2536,2013年01月01日至2013年03月31日,,,                  6086,,,                459203,                  1167,                458036,                458036,                464122,,,                    487,,                241054,                241054,                241541,                222581,                222581,,,                 62153,,                 15308,                 77461,                145120,,,                  5851,,                -31657,,                 21084,,                 -1306,                -48196,                 96924,,                 10534,                 86390,                 86390,,,,,,,                 14410,                100800,,                              0.27,,                              0.26,,                              0,                  5708,,                 14652,                   -242,,,                    143,                    668,                 32325,                 21084
2536,2012年07月01日至2012年09月30日,,,                  5192,,,              1066308,                  4739,              1061569,              1061569,              1066761,,,                    418,,                671936,                671936,                672354,                394407,                394407,,,                 29353,,                 13964,                 43317,                351090,,,                  2761,,                 -6953,,                 23030,,                 -1990,                -29212,                321878,,                 37712,                284166,                284166,,,,,,,                    115,                284281,,                              0.89,,                              0.87,,,,,                 -3153,                  3268,                              0,,,,,
2536,2012年04月01日至2012年06月30日,,,                  5041,,,                 89809,                    786,                 89023,                 89023,                 94064,,,                    349,,                 38535,                 38535,                 38884,                 55180,                 55180,,,                 77488,,                 13900,                 91388,                -36208,,,                 24866,,                -12309,,                 23728,,                    138,                -11033,                -47241,,                 24310,                -71551,                -71551,,,,,,,                    166,                -71385,,                             -0.22,,                             -0.22,,,,,                    -76,                    242,,,,,,
2536,2012年01月01日至2012年12月31日,,,                 20466,,,              3946160,                  7158,              3939002,              3939002,              3959468,,,                  9482,,,              2493086,              2502568,              1456900,              1456900,,,                173739,,                 65170,                238909,              1217991,,,                 61398,,               -123816,,                 91822,,                 -3897,               -158137,              1059854,,                121533,                938321,                938321,,,,,,,                    338,                938659,,                              2.94,,                              2.71,,,,                121533,                -15759,                 16097,,,,,,
2536,2012年01月01日至2012年09月30日,,,                 14352,,,              1479077,                  5525,              1473552,              1473552,              1487904,,,                  1155,,                861341,                861341,                862496,                625408,                625408,,,                109920,,                 41285,                151205,                474203,,,                 57749,,                -24005,,                 68852,,                 -2704,                -37812,                436391,,                 69693,                366698,                366698,,,,,,,                 -6586,                360112,,                              1.15,,                              1.08,,,,,                -14816,                  8230,                              0,,,,,
2536,2012年01月01日至2012年06月30日,,,                  9160,,,                412769,                    786,                411983,                411983,                421143,,,                    737,,                189405,                189405,                190142,                231001,                231001,,,                 80567,,                 27321,                107888,                123113,,,                 54988,,                -17052,,                 45822,,                   -714,                 -8600,                114513,,                 31981,                 82532,                 82532,,,,,,,                 -6701,                 75831,,                              0.26,,                              0.26,,,,,                -11663,                  4962,,,,,,
2536,2012年01月01日至2012年03月31日,,,                  4119,,,                322960,                              0,                322960,                322960,                327079,,,                    388,,                150870,                150870,                151258,                175821,                175821,,,                  3079,,                 13421,                 16500,                159321,,,                 30122,,                 -4743,,                 22094,,                   -852,                  2433,                161754,,                  7671,                154083,                154083,,,,,,,                 -6867,                147216,,                              0.48,,                              0.45,,                      2,                 30109,,                -11587,                  4720,,,                     11,                  1955,                  6698,                 22094
