證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
9927,2013年07月01日至2013年09月30日,,              2167475,,              1913951,                253524,                253524,,,                 18537,,                 29276,                 47813,                205711,,,                 24167,,                  2522,,                  4311,                 22378,                228089,,                 41990,                186099,                186099,,,,,,                -18050,                168049,,                185770,                    329,,                167720,                    329,,                              0.89,                              0.89,,                              0.89,                              0.89,                -10821,                 -7229,,
9927,2013年04月01日至2013年06月30日,,              2217808,,              2035166,                182642,                182642,,,                  2644,,                 31620,                 34264,                148378,,,                  8595,,                -34388,,                  5678,                -31471,                116907,,                 27604,                 89303,                 89303,,,,,,                -34096,                 55207,,                 89278,                     25,,                 55182,                     25,,                              0.44,                              0.44,,                              0.44,                              0.44,                 -4998,                -29098,,
9927,2013年01月01日至2013年12月31日,,              8890890,,              7819841,              1071049,              1071049,,,                 73797,,                128506,                202303,                868746,,,                 54824,,                -24794,,                 20718,                  9312,                878058,,                165216,                712842,                712842,,,,,,                 -8301,                704541,,                710900,                  1942,,                702596,                  1945,,                              3.40,                              3.40,,                              3.39,                              3.39,                 11683,                -20464,                    578,                     98
9927,2013年01月01日至2013年09月30日,,              6618389,,              5792198,                826191,                826191,,,                 54143,,                 94484,                148627,                677564,,,                 40582,,                -36211,,                 15532,                -11161,                666403,,                126875,                539528,                539528,,,,,,                  4763,                544291,,                538782,                    746,,                543545,                    746,,                              2.58,                              2.58,,                              2.57,                              2.57,                  3277,                  1486,,
9927,2013年01月01日至2013年06月30日,,              4450914,,              3878247,                572667,                572667,,,                 35606,,                 65208,                100814,                471853,,,                 16415,,                -38733,,                 11221,                -33539,                438314,,                 84885,                353429,                353429,,,,,,                 22813,                376242,,                353012,                    417,,                375825,                    417,,                              1.73,                              1.73,,                              1.73,                              1.73,                 14098,                  8715,,
9927,2013年01月01日至2013年03月31日,,              2233106,,              1843290,                389816,                389816,,,                 32962,,                 33588,                 66550,                323266,,,                  8523,,                 -4839,,                  5543,                 -1859,                321407,,                 57281,                264126,                264126,,,,,,                 56909,                321035,,                263734,                    392,,                320643,                    392,,                              1.29,                              1.29,,                              1.29,                              1.29,                 19096,                 37813,,
9927,2012年07月01日至2012年09月30日,,              2326334,,              2202999,                123335,                123335,,,                 19490,,                 26829,                 46319,                 77016,,,                 21988,,                 20133,,                  4059,                 38062,                115078,,                 19069,                 96009,                 96009,,,,,,                -50974,                 45035,,                 95498,                    511,,                 44524,                    511,,                              0.46,                              0.46,,                              0.46,                              0.46,                -16238,                -34736,,
9927,2012年04月01日至2012年06月30日,,              2280607,,              2205862,                 74745,                 74745,,,                 18339,,                 25738,                 44077,                 30668,,,                  4991,,                    187,,                  2748,                  2430,                 33098,,                  2496,                 30602,                 30602,,,,,,                 32207,                 62809,,                 30347,                    255,,                 62554,                    255,,                              0.15,                              0.15,,                              0.15,                              0.15,                  7659,                 24548,,
9927,2012年01月01日至2012年12月31日,,              9740060,,              8942953,                797107,                797107,,,                 77957,,                116689,                194646,                602461,,,                 41485,,                 38792,,                 14690,                 65587,                668048,,                105361,                562687,                562687,,,,,,                 -2651,                560036,,                560704,                  1983,,                558113,                  1923,,                              2.68,                              2.68,,                              2.68,                              2.68,                -26828,                 33735,                -11515,                 -1957
9927,2012年01月01日至2012年09月30日,,              6856431,,              6467240,                389191,                389191,,,                 54665,,                 79652,                134317,                254874,,,                 32392,,                 42961,,                  9706,                 65647,                320521,,                 47293,                273228,                273228,,,,,,                 34061,                307289,,                271906,                  1322,,                305967,                  1322,,                              1.30,                              1.30,,                              1.30,                              1.30,                -21607,                 55668,,
9927,2012年01月01日至2012年06月30日,,              4530097,,              4264241,                265856,                265856,,,                 35175,,                 52823,                 87998,                177858,,,                 10404,,                 22828,,                  5647,                 27585,                205443,,                 28224,                177219,                177219,,,,,,                 85035,                262254,,                176408,                    811,,                261443,                    811,,                              0.86,                              0.86,,                              0.86,                              0.86,                 -5369,                 90404,,
9927,2012年01月01日至2012年03月31日,,              2249490,,              2060750,                188740,                188740,,,                 16836,,                 27085,                 43921,                144819,,,                  7784,,                 22641,,                  2899,                 27526,                172345,,                 25728,                146617,                146617,,,,,,                 52828,                199445,,                146061,                    556,,                198889,                    556,,                              0.72,                              0.72,,                              0.72,                              0.72,                -13028,                 65856,,
