證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 當期所得稅費用（利益）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
9946,2014年01月01日至2014年03月31日,,                479306,,                375124,                104182,                104182,,,                 29731,,                 26326,                 56057,                 48125,,,                  1057,,                   -132,,                    165,                    760,                 48885,,                  1393,                  1393,                 47492,                 47492,                 47492,,                 47492,,                 47492,,                              0.23,,                              0.19,,,,                              0,                              0,                              0,,                              0,,                              0,                              0,                              0,                              0,,,,,
9946,2013年第3季,,              2040661,,              1249304,                791357,                791357,,,                125783,,                 36953,                162736,                628621,,,                    974,,                  1624,,                    170,                  2428,                631049,,,                105642,                525407,                525407,                525407,,                525407,,                525407,,                              2.58,,                              2.10,,,,,,,,,,,,,,,,,                              2.58,                              2.10
9946,2013年第2季,,              1403828,,                955766,                448062,                448062,,,                 82068,,                 26016,                108084,                339978,,,                  1874,,                 -3410,,                    172,                 -1708,                338270,,,                 43223,                295047,                295047,                295047,,                295047,,                295047,,                              1.46,,                              1.18,,,,,,,,,,,,,,,,,                              1.46,                              1.18
9946,2013年度,,              5490940,,              3485198,              2005742,              2005742,,,                370199,,                119847,                490046,              1515696,,,                 22502,,                 -1003,,                    747,                 20752,              1536448,,,                175955,              1360493,              1360493,              1361960,,              1360493,,              1361960,,                              6.71,,                              5.46,,,,,,,,,,,,,                  1467,                175955,                  1767,                    300,,
9946,2013年07月01日至2013年09月30日,,              2040661,,              1249304,                791357,                791357,,,                125783,,                 36953,                162736,                628621,,,                    974,,                  1624,,                    170,                  2428,                631049,,,                105642,                525407,                525407,                525407,,                525407,,                525407,,                              2.58,,                              2.10,,,,,,,,,,,,,,,,,                              2.58,                              2.10
9946,2013年04月01日至2013年06月30日,,              1403828,,                955766,                448062,                448062,,,                 82068,,                 26016,                108084,                339978,,,                  1874,,                 -3410,,                    172,                 -1708,                338270,,,                 43223,                295047,                295047,                295047,,                295047,,                295047,,                              1.46,,                              1.18,,,,,,,,,,,,,,,,,                              1.46,                              1.18
9946,2013年01月01日至2013年12月31日,,              5490940,,              3485198,              2005742,              2005742,,,                370199,,                119847,                490046,              1515696,,,                 22502,,                 -1003,,                    747,                 20752,              1536448,,,                175955,              1360493,              1360493,              1361960,,              1360493,,              1361960,,                              6.71,,                              5.46,,,,,,,,,,,,,                  1467,,                  1767,                    300,                              6.71,                              5.46
9946,2013年01月01日至2013年09月30日,,              4912419,,              3121983,              1790436,              1790436,,,                298556,,                 93597,                392153,              1398283,,,                  3733,,                 -1682,,                    516,                  1535,              1399818,,,                177997,              1221821,              1221821,              1221821,,              1221821,,              1221821,,                              6.03,,                              4.91,,,,,,,,,,,,,,,,,                              6.03,                              4.91
9946,2013年01月01日至2013年06月30日,,              2871758,,              1872679,                999079,                999079,,,                172773,,                 56644,                229417,                769662,,,                  2759,,                 -3306,,                    346,                   -893,                768769,,,                 72355,                696414,                696414,                696414,,                696414,,                696414,,                              3.45,,                              2.78,,,,,,,,,,,,,,,,,                              3.45,                              2.78
9946,2013年01月01日至2013年03月31日,,              1467930,,                916913,                551017,                551017,,,                 90705,,                 30628,                121333,                429684,,,                    885,,                    104,,                    174,                    815,                430499,,,                 29132,                401367,                401367,                401367,,                401367,,                401367,,                              1.99,,                              1.63,,,,,,,,,,,,,,,,,                              1.99,                              1.63
9946,2012年07月01日至2012年09月30日,,                316091,,                199488,                116603,                116603,,,                 25963,,                 16691,                 42654,                 73949,,,                    936,,                    718,,                      2,                  1652,                 75601,,,                 -1167,                 76768,                 76768,                 76768,,                 76768,,                 76768,,                              0.38,,                              0.36,,,,,,,,,,,,,,,,,                              0.38,                              0.36
9946,2012年04月01日至2012年06月30日,,                523128,,                353761,                169367,                169367,,,                 38372,,                 25989,                 64361,                105006,,,                    533,,                    127,,                      1,                    659,                105665,,,                 31904,                 73761,                 73761,                 73761,,                 73761,,                 73761,,                              0.46,,                              0.46,,,,,,,,,,,,,,,,,                              0.46,                              0.46
9946,2012年01月01日至2012年12月31日,,              1983023,,              1251935,                731088,                731088,,,                133435,,                 93869,                227304,                503784,,,                  3890,,                   -181,,                      7,                  3702,                507486,,,                113872,                393614,                393614,                393979,,                393614,,                393979,,                              2.18,,                              1.95,,,,,,,,,,,,,                    365,,                    377,                     12,                              2.18,                              1.95
9946,2012年01月01日至2012年09月30日,,                860674,,                560218,                300456,                300456,,,                 78674,,                 55579,                134253,                166203,,,                  1895,,                    433,,                      5,                  2323,                168526,,,                 31881,                136645,                136645,                136645,,                136645,,                136645,,                              0.79,,                              0.73,,,,,,,,,,,,,,,,,                              0.79,                              0.73
9946,2012年01月01日至2012年06月30日,,                544583,,                360730,                183853,                183853,,,                 52711,,                 38888,                 91599,                 92254,,,                    959,,                   -285,,                      3,                    671,                 92925,,,                 33048,                 59877,                 59877,                 59877,,                 59877,,                 59877,,                              0.37,,                              0.37,,,,,,,,,,,,,,,,,                              0.37,                              0.37
9946,2012年01月01日至2012年03月31日,,                 21455,,                  6969,                 14486,                 14486,,,                 14339,,                 12899,                 27238,                -12752,,,                    461,,                   -447,,                      2,                     12,                -12740,,,                  1144,                -13884,                -13884,                -13884,,                -13884,,                -13884,,                             -0.87,,                             -0.87,,,,,,,,,,,,,,,,,                             -0.87,                             -0.87
