證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 備供出售金融資產未實現評價損益
1453,2014年01月01日至2014年03月31日,,,,                 22508,                 22508,                 22508,,,                 37556,                 37556,                 60064,,,                 34877,,                 21146,                 56023,                  4041,                  4041,,,                  2822,,                  7744,                 10566,                 -6525,,,                  1058,,                     24,,                     36,                  1046,                 -5479,,                 -1372,                 -4107,                 -4107,,,                 -1559,                 -1559,                 -1559,                 -5666,,                 -4046,                    -61,,                 -5605,                    -61,,                             -0.05,                             -0.05,,,,
1453,2013年第3季,,,,                 52961,                 52961,                 52961,,,                              0,                              0,                 52961,,,                 59885,,                    241,                 60126,                 -7165,                 -7165,,,                  1202,,                  5570,                  6772,                -13937,,,                  5687,,                   -479,,                     22,                  5186,                 -8751,,                  3015,                -11766,                -11766,,,,,                  1702,                -10064,,                -11632,                   -134,,                 -9930,                   -134,,                             -0.13,                             -0.13,,,,                  1702
1453,2013年第2季,,,,                 57627,                 57627,                 57627,,,                 18729,                 18729,                 76356,,,                 56258,,                  7196,                 63454,                 12902,                 12902,,,                  1677,,                  6643,                  8320,                  4582,,,                  1921,,                    -92,,                     42,                  1787,                  6369,,                   -208,                  6577,                  6577,,,,,                   -352,                  6225,,                  6684,                   -107,,                  6332,                   -107,,                              0.08,                              0.08,,                              0.08,                              0.08,                   -352
1453,2013年度,,,,                189558,                189558,                189558,,,                106761,                106761,                296319,,,                197243,,                 52679,                249922,                 46397,                 46397,,,                  7321,,                 25858,                 33179,                 13218,,,                 10547,,                   -138,,                    142,                 10267,                 23485,,                  4179,                 19306,                 19306,,,,,                  7272,                 26578,,                 19586,                   -280,,                 26858,                   -280,,                              0.23,                              0.23,,                              0.23,                              0.23,                  7272
1453,2013年07月01日至2013年09月30日,,,,                 52961,                 52961,                 52961,,,                              0,                              0,                 52961,,,                 59885,,                    241,                 60126,                 -7165,                 -7165,,,                  1202,,                  5570,                  6772,                -13937,,,                  5687,,                   -479,,                     22,                  5186,                 -8751,,                  3015,                -11766,                -11766,,,,,                  1702,                -10064,,                -11632,                   -134,,                 -9930,                   -134,,                             -0.14,                             -0.14,,                              0.00,                              0.00,                  1702
1453,2013年04月01日至2013年06月30日,,,,                 57627,                 57627,                 57627,,,                 18729,                 18729,                 76356,,,                 56258,,                  7196,                 63454,                 12902,                 12902,,,                  1677,,                  6643,                  8320,                  4582,,,                  1921,,                    -92,,                     42,                  1787,                  6369,,                   -208,                  6577,                  6577,,,,,                   -352,                  6225,,                  6684,                   -107,,                  6332,                   -107,,                              0.09,                              0.09,,                              0.09,                              0.09,                   -352
1453,2013年01月01日至2013年12月31日,,,,                189558,                189558,                189558,,,                106761,                106761,                296319,,,                197243,,                 52679,                249922,                 46397,                 46397,,,                  7321,,                 25858,                 33179,                 13218,,,                 10547,,                   -138,,                    142,                 10267,                 23485,,                  4179,                 19306,                 19306,,,,,                  7272,                 26578,,                 19586,                   -280,,                 26858,                   -280,,                              0.24,                              0.24,,                              0.24,                              0.24,                  7272
1453,2013年01月01日至2013年09月30日,,,,                155231,                155231,                155231,,,                 18729,                 18729,                173960,,,                155138,,                  7437,                162575,                 11385,                 11385,,,                  4165,,                 18297,                 22462,                -11077,,,                  8586,,                   -632,,                     97,                  7857,                 -3220,,                  4036,                 -7256,                 -7256,,,,,                  3571,                 -3685,,                 -6870,                   -386,,                 -3299,                   -386,,                             -0.08,                             -0.08,,,,                  3571
1453,2013年01月01日至2013年06月30日,,,,                102270,                102270,                102270,,,                 18729,                 18729,                120999,,,                 95253,,                  7196,                102449,                 18550,                 18550,,,                  2963,,                 12727,                 15690,                  2860,,,                  2899,,                   -153,,                     75,                  2671,                  5531,,                  1021,                  4510,                  4510,,,,,                  1869,                  6379,,                  4762,                   -252,,                  6631,                   -252,,                              0.06,                              0.06,,                              0.06,                              0.06,                  1869
1453,2013年01月01日至2013年03月31日,,,,                 44643,                 44643,                 44643,,,                              0,                              0,                 44643,,,                 38995,,                              0,                 38995,                  5648,                  5648,,,                  1286,,                  6084,                  7370,                 -1722,,,                    978,,                    -61,,                     33,                    884,                   -838,,                  1229,                 -2067,                 -2067,,,,,                  2221,                    154,,                 -1922,                   -145,,                    299,                   -145,,                             -0.02,                             -0.02,,                             -0.02,                             -0.02,                  2221
1453,2012年07月01日至2012年09月30日,,,,                 64134,                 64134,                 64134,,,                146889,                146889,                211023,,,                 76587,,                 61351,                137938,                 73085,                 73085,,,                  9878,,                 18937,                 28815,                 44270,,,                  1683,,                   -114,,                    494,                  1075,                 45345,,                   -635,                 45980,                 45980,,,,,                  3797,                 49777,,                 45525,                    455,,                 49322,                    455,,                              0.55,                              0.55,,                              0.55,                              0.55,                  3797
1453,2012年04月01日至2012年06月30日,,,,                 54537,                 54537,                 54537,,,                 61449,                 61449,                115986,,,                 60173,,                 36941,                 97114,                 18872,                 18872,,,                  4885,,                  7143,                 12028,                  6844,,,                    501,,                 -1752,,                    703,                 -1954,                  4890,,                   -329,                  5219,                  5219,,,,,                 -1822,                  3397,,                  5765,                   -546,,                  3943,                   -546,,                              0.08,                              0.08,,                              0.08,                              0.08,                 -1822
1453,2012年01月01日至2012年12月31日,,,,                220611,                220611,                220611,,,                473644,                473644,                694255,,,                265072,,                217807,                482879,                211376,                211376,,,                 34265,,                 57534,                 91799,                119577,,,                  5001,,                 -8296,,                  2022,                 -5317,                114260,,                 -3342,                117602,                117602,,,,,                  3019,                120621,,                122023,                 -4421,,                125042,                 -4421,,                              1.48,                              1.48,,                              1.48,                              1.48,                  3019
1453,2012年01月01日至2012年09月30日,,,,                165553,                165553,                165553,,,                240867,                240867,                406420,,,                198972,,                120170,                319142,                 87278,                 87278,,,                 17269,,                 32599,                 49868,                 37410,,,                  3384,,                   -598,,                  1983,                    803,                 38213,,                 -1828,                 40041,                 40041,,,,,                  3129,                 43170,,                 40006,                     35,,                 43135,                     35,,                              0.49,                              0.49,,                              0.49,                              0.49,                  3129
1453,2012年01月01日至2012年06月30日,,,,                101419,                101419,                101419,,,                 93978,                 93978,                195397,,,                124452,,                 56752,                181204,                 14193,                 14193,,,                  7391,,                 13662,                 21053,                 -6860,,,                  1701,,                   -484,,                  1489,                   -272,                 -7132,,                 -1193,                 -5939,                 -5939,,,,,                   -668,                 -6607,,                 -5519,                   -420,,                 -6187,                   -420,,                             -0.07,                             -0.07,,                             -0.07,                             -0.07,                   -668
1453,2012年01月01日至2012年03月31日,,,,                 46882,                 46882,                 46882,,,                 32529,                 32529,                 79411,,,                 64279,,                 19811,                 84090,                 -4679,                 -4679,,,                  2506,,                  6519,                  9025,                -13704,,,                  1200,,                  1268,,                    786,                  1682,                -12022,,                   -864,                -11158,                -11158,,,,,                  1154,                -10004,,                -11284,                    126,,                -10130,                    126,,                             -0.15,                             -0.15,,,,                  1154
