證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2392,2014年01月01日至2014年03月31日,,             23783420,,             21498096,              2285324,              2285324,,,                645235,,                944501,,                411661,              2001397,                283927,,,                124894,,               -111340,,                 75141,,                 84828,                 23241,                307168,,                 65178,                241990,                241990,,,                 31941,                175317,,                -16397,                 41848,                149013,                149013,                391003,,                250600,                 -8610,,                351435,                 39568,,                              0.50,                              0.50,,                              0.49,                              0.49,,,,,,,,,,,
2392,2013年第3季,,             24553100,,             21827432,              2725668,              2725668,,,                549898,,              1167540,,                503152,              2220590,                505078,,,                102550,,                 18651,,                 74123,,                 91898,                138976,                644054,,                116254,                527800,                527800,,,,,,,,,                331532,                859332,,                591124,                -63324,,                966035,               -106703,,                              1.20,                              1.20,,                              1.17,                              1.17,,,,,,               -233900,                535879,                              0,,                -11673,                -41226
2392,2013年第2季,,             20193659,,             18159111,              2034548,              2034548,,,                708439,,                832907,,                320398,              1861744,                172804,,,                105195,,                 57969,,                 71027,,                 55018,                147155,                319959,,                141995,                177964,                177964,,,,,,,,,                465622,                643586,,                236895,                -58931,,                759924,               -116338,,                              0.48,                              0.48,,                              0.47,                              0.47,,,,,,                167782,                307028,,,                 26083,                 35271
2392,2013年度,,            106156276,,             94955038,             11201238,             11201238,,,              2653675,,              4645049,,              1768755,              9067479,              2133759,,,                564144,,                236402,,                290868,,                353691,                863369,              2997128,,                945669,              2051459,              2051459,,,,,,,,,              1676720,              3728179,,              2075008,                -23549,,              3753015,                -24836,,                              4.19,                              4.19,,                              4.12,                              4.12,,,,,,                858245,              1223340,                 -2507,,                 58042,                460400
2392,2013年07月01日至2013年09月30日,,             24553100,,             21827432,              2725668,              2725668,,,                549898,,              1167540,,                503152,              2220590,                505078,,,                 45575,,                 75626,,                 74123,,                 91898,                138976,                644054,,                116254,                527800,                527800,,,,,,,,,                331532,                859332,,                591124,                -63324,,                966035,               -106703,,                              1.20,                              1.20,,                              1.17,                              1.17,,,,,,               -233900,                535879,,,                -11673,                -41226
2392,2013年04月01日至2013年06月30日,,             20193659,,             18159111,              2034548,              2034548,,,                708439,,                832907,,                320398,              1861744,                172804,,,                 27522,,                135642,,                 71027,,                 55018,                147155,                319959,,                141995,                177964,                177964,,,,,,,,,                465622,                643586,,                236895,                -58931,,                759924,               -116338,,                              0.48,                              0.48,,                              0.47,                              0.47,,,,,,                167782,                307028,,,                 26083,                 35271
2392,2013年01月01日至2013年12月31日,,            106156276,,             94955038,             11201238,             11201238,,,              2653675,,              4645049,,              1768755,              9067479,              2133759,,,                564144,,                236402,,                290868,,                353691,                863369,              2997128,,                945669,              2051459,              2051459,,,,,,,,,              1676720,              3728179,,              2075008,                -23549,,              3753015,                -24836,,                              4.19,                              4.19,,                              4.12,                              4.12,,,,,,                858245,              1223340,                 -2507,,                 58042,                460400
2392,2013年01月01日至2013年09月30日,,             71742291,,             64216351,              7525940,              7525940,,,              1951310,,              3170349,,              1224591,              6346250,              1179690,,,                343601,,                204773,,                224267,,                229285,                553392,              1733082,,                414170,              1318912,              1318912,,,,,,,,,              1491280,              2810192,,              1386174,                -67262,,              2901134,                -90942,,                              2.80,                              2.80,,                              2.75,                              2.75,,,,,,                509756,              1032987,                              0,,                 42372,                 93835
2392,2013年01月01日至2013年06月30日,,             47189191,,             42388919,              4800272,              4800272,,,              1401412,,              2002809,,                721439,              4125660,                674612,,,                241051,,                186122,,                150144,,                137387,                414416,              1089028,,                297916,                791112,                791112,,,,,,,,,              1159748,              1950860,,                795050,                 -3938,,              1935099,                 15761,,                              1.61,                              1.61,,                              1.58,                              1.58,,,,,,                743656,                497108,,,                 54045,                135061
2392,2013年01月01日至2013年03月31日,,             26995532,,             24229808,              2765724,              2765724,,,                692973,,              1169902,,                401041,              2263916,                501808,,,                135856,,                128153,,                 79117,,                 82369,                267261,                769069,,                155921,                613148,                613148,,,,,,,,,                694126,              1307274,,                558155,                 54993,,              1175175,                132099,,                              1.13,                              1.13,,                              1.11,                              1.11,,,,,,                575874,                190080,,,                 27962,                 99790
2392,2012年07月01日至2012年09月30日,,             27141262,,             23993182,              3148080,              3148080,,,                542364,,              1455927,,                415403,              2413694,                734386,,,                 43672,,                 31826,,                 98255,,                 87142,                 64385,                798771,,                216518,                582253,                582253,,,,,,,,,               -122694,                459559,,                550182,                 32071,,                429206,                 30353,,                              1.13,                              1.13,,                              1.11,                              1.11,,,,,,               -367158,                131583,,,                 58126,                -54755
2392,2012年04月01日至2012年06月30日,,             20968000,,             19092961,              1875039,              1875039,,,                406309,,              1138825,,                355424,              1900558,                -25519,,,                 35978,,                483357,,                 96746,,                 85578,                508167,                482648,,                148211,                334437,                334437,,,,,,,,,                -92165,                242272,,                 61686,                272751,,                 64793,                177479,,                              0.13,                              0.13,,                              0.12,                              0.12,,,,,,                -13876,                -81270,,,                 -1924,                 -4905
2392,2012年01月01日至2012年12月31日,,            102876538,,             91370613,             11505925,             11505925,,,              2119503,,              5074772,,              1625784,              8820059,              2685866,,,                637058,,                 69674,,                361225,,                300459,                645966,              3331832,,              1065473,              2266359,              2266359,,,,,,,,,               -599991,              1666368,,              1931080,                335279,,              1413319,                253049,,                              3.92,                              3.92,,                              3.84,                              3.84,,,,,,               -451344,               -180965,                 -8295,,                -29731,                -70344
2392,2012年01月01日至2012年09月30日,,             68378975,,             61343196,              7035779,              7035779,,,              1453855,,              3590615,,              1159756,              6204226,                831553,,,                100785,,                445561,,                284124,,                205037,                467259,              1298812,,                427835,                870977,                870977,,,,,,,,,               -446842,                424135,,                680404,                190573,,                318445,                105690,,                              1.39,                              1.39,,                              1.37,                              1.37,,,,,,               -654007,                 64552,,,                 37850,               -104763
2392,2012年01月01日至2012年06月30日,,             41237713,,             37350014,              3887699,              3887699,,,                911491,,              2134688,,                744353,              3790532,                 97167,,,                 57113,,                413735,,                185869,,                117895,                402874,                500041,,                211317,                288724,                288724,,,,,,,,,               -324148,                -35424,,                130222,                158502,,               -110761,                 75337,,                              0.27,                              0.27,,                              0.26,                              0.26,,,,,,               -286849,                -67031,,,                -20276,                -50008
2392,2012年01月01日至2012年03月31日,,             20269713,,             18257053,              2012660,              2012660,,,                505182,,                995863,,                388929,              1889974,                122686,,,                 14414,,                -62901,,                 89123,,                 32317,               -105293,                 17393,,                 63106,                -45713,                -45713,,,,,,,,,               -231983,               -277696,,                 68536,               -114249,,               -175554,               -102142,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,               -272973,                 14239,,,                -18352,                -45103
