證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
6141,2013年04月01日至2013年06月30日,,                828232,,                783148,                 45084,                 45084,,,                 32296,,                 34081,,                 17135,                 83512,                -38428,,,                 27183,,                  9295,,                 12869,,,                 23609,                -14819,,                  5094,                -19913,                -19913,,,,,                 39023,                 19110,,                -16471,                 -3442,,                 20092,                   -982,,                             -0.12,                             -0.12,,                             -0.12,                             -0.12,                 39023,,
6141,2013年01月01日至2013年12月31日,,              3118956,,              2884719,                234237,                234237,,,                127659,,                143671,,                 78342,                349672,               -115435,,,                 89218,,                 14507,,                 46523,,,                 57202,                -58233,,                 17570,                -75803,                -75803,,,,,                119857,                 44054,,                -67019,                 -8784,,                 47474,                 -3420,,                             -0.50,                             -0.50,,                             -0.50,                             -0.50,                119006,                  1025,                    174
6141,2013年01月01日至2013年09月30日,,              2270016,,              2134136,                135880,                135880,,,                 97273,,                117355,,                 46917,                261545,               -125665,,,                 62610,,                 10707,,                 39967,,,                 33350,                -92315,,                    312,                -92627,                -92627,,,,,                 80550,                -12077,,                -83910,                 -8717,,                 -8655,                 -3422,,                             -0.62,                             -0.62,,                             -0.62,                             -0.62,                 80550,,
6141,2013年01月01日至2013年06月30日,,              1477484,,              1399766,                 77718,                 77718,,,                 64838,,                 72788,,                 31434,                169060,                -91342,,,                 47067,,                 11948,,                 26202,,,                 32813,                -58529,,                  2349,                -60878,                -60878,,,,,                108799,                 47921,,                -52247,                 -8631,,                 50535,                 -2614,,                             -0.39,                             -0.39,,                             -0.39,                             -0.39,                108799,                              0,                              0
6141,2013年01月01日至2013年03月31日,,                649252,,                616618,                 32634,                 32634,,,                 46152,,                 38707,,                 14299,                 99158,                -66524,,,                 33494,,                  2653,,                 13333,,,                 22814,                -43710,,                 -2745,                -40965,                -40965,,,,,                 69776,                 28811,,                -35776,                 -5189,,                 30443,                 -1632,,                             -0.27,                             -0.27,,                             -0.27,                             -0.27,                 69776,,
6141,2012年07月01日至2012年09月30日,,                962941,,                845372,                117569,                117569,,,                 40395,,                 36872,,                 14927,                 92194,                 25375,,,                 21094,,                 -4346,,                 19266,,,                 -2518,                 22857,,                  3524,                 19333,                 19333,,,,,                -56629,                -37296,,                 19288,                     45,,                -34548,                 -2748,,                              0.14,                              0.14,,                              0.14,                              0.14,                -56629,,
6141,2012年04月01日至2012年06月30日,,                829658,,                748445,                 81213,                 81213,,,                 38708,,                 33643,,                 14027,                 86378,                 -5165,,,                 24688,,                  1476,,                 14810,,,                 11354,                  6189,,                  2726,                  3463,                  3463,,,,,                 23444,                 26907,,                  5106,                 -1643,,                 27471,                   -564,,                              0.04,                              0.04,,                              0.04,                              0.04,                 23444,,
6141,2012年01月01日至2012年12月31日,,              3420420,,              3031570,                388850,                388850,,,                162239,,                139202,,                 58345,                359786,                 29064,,,                 92272,,                -25997,,                 66516,,,                   -241,                 28823,,                  5113,                 23710,                 23710,,,,,                -89791,                -66081,,                 27181,                 -3471,,                -58571,                 -7510,,                              0.20,                              0.20,,                              0.20,                              0.20,                -88257,                 -1848,                   -314
6141,2012年01月01日至2012年09月30日,,              2670852,,              2338120,                332732,                332732,,,                121559,,                111992,,                 41804,                275355,                 57377,,,                 67031,,                -17064,,                 52038,,,                 -2071,                 55306,,                 13963,                 41343,                 41343,,,,,               -102505,                -61162,,                 42666,                 -1323,,                -54688,                 -6474,,                              0.31,                              0.31,,                              0.31,                              0.31,               -102505,,
6141,2012年01月01日至2012年06月30日,,              1707911,,              1492748,                215163,                215163,,,                 81164,,                 75120,,                 26877,                183161,                 32002,,,                 45937,,                -12718,,                 32772,,,                    447,                 32449,,                 10439,                 22010,                 22010,,,,,                -45876,                -23866,,                 23378,                 -1368,,                -20140,                 -3726,,                              0.17,                              0.17,,                              0.17,                              0.17,                -45876,,
6141,2012年01月01日至2012年03月31日,,                878253,,                744303,                133950,                133950,,,                 42456,,                 41477,,                 12850,                 96783,                 37167,,,                 21249,,                -14194,,                 17962,,,                -10907,                 26260,,                  7713,                 18547,                 18547,,,,,                -69320,                -50773,,                 18272,                    275,,                -47611,                 -3162,,                              0.13,                              0.13,,                              0.13,                              0.13,                -69320,,
