證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 外幣兌換利益,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分不動產、廠房及設備損失
1712,2014年01月01日至2014年03月31日,,,,              4343229,,              3277280,              1065949,              1065949,,,                789658,,                 44804,,                 45069,                879531,                186418,,,                 15788,                 15788,,                 22822,                    706,                    720,,,                   -167,,,,                 69238,,                              0,,                              0,,,                 25417,,                 -1387,                 58222,                244640,,                 39859,                204781,                204781,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 23038,                    556,,                    293,                 23887,                 23887,                228668,,                203737,                  1044,,                227624,                  1044,,                              0.61,,                              0.59,,,,,,                 44823,                              0,                              0,,,,,,,
1712,2013年第3季,,,              4183411,              4183411,,              3152662,              1030749,              1030749,,,                788736,,                 42880,,                 43254,                874870,                155879,,,                 43682,                 43682,,                    362,                -11763,                    359,,                              0,                    -72,                              0,                   -739,                              0,                -10231,,                              0,,                              0,,                  6684,                  6684,,                 -1774,                 24993,                180872,,                 51225,                129647,                129647,,,,,,,,,,,,,,,,,,,                -11250,                118397,,                128893,                    754,,                117643,                    754,,                              0.39,,                              0.36,,,,,,,,,                -16294,                  5044,,,                              0,,
1712,2013年第2季,,,              3763534,              3763534,,              2791102,                972432,                972432,,,                768631,,                 56150,,                 33794,                858575,                113857,,,                 25744,                 25744,,                  1450,                      3,                              0,,,                     72,,                 43146,,                -41765,,,,,,                 22387,                 22387,,                 -1424,                -39832,                 74025,,                  6750,                 67275,                 67275,,,,,,,,,,,,,,,,,,,                -24894,                 42381,,                 66307,                    968,,                 41413,                    968,,                              0.20,,                              0.20,,              3763534,              3763534,                              0,                              0,,,,                -21797,                   -358,,,                 -2739,,
1712,2013年度,,,,             15720588,,             11723772,              3996816,              3996816,,,              2974386,,                163335,,                133822,              3271543,                725273,,,                 27281,                 27281,,                    976,                -10328,                  4798,,                              0,                 15493,                              0,                 54720,                              0,                -74767,,,,,,                 76606,                 76606,,                 -3469,               -127561,                597712,,                153692,                444020,                444020,,,,,,,,,,,,,,,,,,,                 21119,                465139,,                455830,                -11810,,                476751,                -11612,,                              1.37,,                              1.27,,,,,,                              0,,,                 -1291,                  4564,                 20609,,                    741,                  3504,
1712,2013年07月01日至2013年09月30日,,,              4183411,              4183411,,              3152662,              1030749,              1030749,,,                788736,,                 42880,,                 43254,                874870,                155879,,,                 43682,                 43682,,                    434,                     -1,,,                              0,,                 11763,                   -739,                   -360,                -10231,,                              0,,                              0,,                  6684,                  6684,,                 -1774,                 24993,                180872,,                 51225,                129647,                129647,,,,,,,,,,,,,,,,,,,                -11250,                118397,,                128893,                    754,,                117643,                    754,,                              0.39,,                              0.36,,,,,,,,,                -16294,                  5044,,,,,
1712,2013年04月01日至2013年06月30日,,,              3763534,              3763534,,              2791102,                972432,                972432,,,                768631,,                 56150,,                 33794,                858575,                113857,,,                 25744,                 25744,,                  1378,                      3,,,,,,                 43146,,                -41765,,,,,,                 22387,                 22387,,                 -1424,                -39832,                 74025,,                  6750,                 67275,                 67275,,,,,,,,,,,,,,,,,,,                -24894,                 42381,,                 66307,                    968,,                 41413,                    968,,                              0.20,,                              0.20,,              3805307,              3805307,                  5794,                 35979,,,,                -21797,                 -3097,,,,,
1712,2013年01月01日至2013年12月31日,,,,             15720588,,             11723772,              3996816,              3996816,,,              2974386,,                163335,,                133822,              3271543,                725273,,,                 27281,                 27281,,                    976,                -10328,                  4798,,                              0,                 15493,                              0,                 54720,                              0,                -74767,,,,,,                 76606,                 76606,,                 -3469,               -127561,                597712,,                153692,                444020,                444020,,,,,,,,,,,,,,,,,,,                 21119,                465139,,                455830,                -11810,,                476751,                -11612,,                              1.37,,                              1.27,,,,,,                              0,,,                 -1291,                  4564,                 20609,,                    741,                  3504,
1712,2013年01月01日至2013年09月30日,,,             11731995,             11731995,,              8811608,              2920387,              2920387,,,              2247518,,                133486,,                106237,              2487241,                433146,,,                 90845,                 90845,,                  1602,                -10359,                    359,,                              0,                              0,                              0,                  8210,                              0,                -16608,,                              0,,                              0,,                 50897,                 50897,,                 -5383,                 17957,                451103,,                113661,                337442,                337442,,,,,,,,,,,,,,,,,,,                  2375,                339817,,                337789,                   -347,,                340164,                   -347,,                              1.01,,                              0.92,,,,,,,,,                    198,                  2177,,,                              0,,
1712,2013年01月01日至2013年06月30日,,,              7548584,              7548584,,              5658946,              1889638,              1889638,,,              1458782,,                 90606,,                 62983,              1612371,                277267,,,                 47163,                 47163,,                  1240,                  1404,                              0,,,                     72,,                  8949,,                 -6377,,,,,,                 44213,                 44213,,                 -3609,                 -7036,                270231,,                 62436,                207795,                207795,,,,,,,,,,,,,,,,,,,                 13625,                221420,,                208896,                 -1101,,                222521,                 -1101,,                              0.63,,                              0.63,,              7650111,              7650111,                 10763,                 90764,,,,                 16492,                   -657,,,                 -2210,,
1712,2013年01月01日至2013年03月31日,,,,              3785050,,              2867844,                917206,                917206,,,                690151,,                 34456,,                 29189,                753796,                163410,,,                 21419,                 21419,,                   -210,                  1401,                              0,,,                              0,,,,                 35388,,,,,,,                 21826,,                 -2185,                 32796,                196206,,                 55686,                140520,                140520,,,,,,,,,,,,,,,,,,,                 38519,                179039,,                142589,                 -2069,,                181108,                 -2069,,                              0.43,,                              0.43,,,,,,                 34197,,,                 38289,                   -299,,,                    529,,
1712,2012年07月01日至2012年09月30日,,,              3685317,              3685317,,              2670907,              1014410,              1014410,,,                769384,,                 38883,,                 33526,                841793,                172617,,,                 11717,                 11717,,                   -363,                  1171,,,                  2039,,                              0,                  2579,                              0,                    268,,                              0,,                              0,,                 19161,                 19161,,                  1790,                 -5386,                167231,,                 57032,                110199,                110199,,,,,,,,,,,,,,,,,,,                -11209,                 98990,,                112822,                 -2623,,                101613,                 -2623,,                              0.34,,                              0.34,,,,,,,,,                -12556,                  1347,,,,,
1712,2012年04月01日至2012年06月30日,,,              3493204,              3493204,,              2537287,                955917,                955917,,,                776898,,                 45289,,                 32391,                854578,                101339,,,                 23357,                 23357,,                    237,                     54,,,,,,                 13242,,                -12951,,,,,,                 14519,                 14519,,                 -2697,                 -6810,                 94529,,                 17005,                 77524,                 77524,,,,,,,,,,,,,,,,,,,                -21896,                 55628,,                 77547,                    -23,,                 55651,                    -23,,                              0.23,,                              0.23,,              3539972,              3539972,                 13497,                 33271,,,,                -22858,                    962,,,,,
1712,2012年01月01日至2012年12月31日,,,,             14222051,,             10452892,              3769159,              3769159,,,              3008876,,                166816,,                134193,              3309885,                459274,,,                 58676,                 58676,,                116046,                -17495,                              0,,                              0,                 14915,                              0,                  4097,                              0,                 79539,,,,,,                 66670,                 66670,,                  1443,                 72988,                532262,,                115747,                416515,                416515,,,,,,,,,,,,,,,,,,,               -188759,                227756,,                418770,                 -2255,,                232553,                 -4797,,                              1.25,,                              1.25,,,,,,                              0,,,                -66752,                  2897,               -147411,,                 -2552,                -25059,
1712,2012年01月01日至2012年09月30日,,,             10562621,             10562621,,              7718193,              2844428,              2844428,,,              2212877,,                126411,,                 97310,              2436598,                407830,,,                 45312,                 45312,,                     15,                  1242,,,                  2039,,                              0,                  4101,                              0,                   -805,,                              0,,                              0,,                 48515,                 48515,,                 -3671,                 -7679,                400151,,                 94418,                305733,                305733,,,,,,,,,,,,,,,,,,,                -49011,                256722,,                302420,                  3313,,                253409,                  3313,,                              0.91,,                              0.91,,,,,,,,,                -51749,                  2738,,,,,
1712,2012年01月01日至2012年06月30日,,,              6877304,              6877304,,              5047286,              1830018,              1830018,,,              1443493,,                 87528,,                 63784,              1594805,                235213,,,                 33595,                 33595,,                    378,                     71,,,,,,                  1522,,                 -1073,,,,,,                 29354,                 29354,,                 -5461,                 -2293,                232920,,                 37386,                195534,                195534,,,,,,,,,,,,,,,,,,,                -37802,                157732,,                189598,                  5936,,                151796,                  5936,,                              0.57,,                              0.57,,              6962621,              6962621,                 28846,                 56471,,,,                -39193,                  1391,,,,,
1712,2012年01月01日至2012年03月31日,,,,              3384100,,              2509999,                874101,                874101,,,                666595,,                 42239,,                 31393,                740227,                133874,,,                 10238,                 10238,,                    328,                     16,,,,,,,,                 11878,,,,,,                 14835,                 14835,,                 -2764,                  4517,                138391,,                 20381,                118010,                118010,,,,,,,,,,,,,,,,,,,                -15906,                102104,,                112051,                  5959,,                 96145,                  5959,,                              0.34,,                              0.34,,,,,,                 11720,,,                -16335,                    429,,,,,                    186
