證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 財務成本,　　　 財務成本淨額,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2455,2013年07月01日至2013年09月30日,,                486163,,                332579,                153584,                153584,,,                  3314,,                 17994,,                 25891,                 47199,                106385,,,                  1369,,                 -3237,                 -1868,                104517,,                 24542,                 79975,                 79975,,,,,,,                 79975,,                              0.33,                              0.33,,                              0.33,                              0.33,,                              0,,,,,
2455,2013年04月01日至2013年06月30日,,                717653,,                460438,                257215,                257215,,,                  3287,,                 22069,,                 19294,                 44650,                212565,,,                  1826,,                  5285,                  7111,                219676,,                 33240,                186436,                186436,,,,,,,                186436,,,                              0.75,,,                              0.75,,                              0,,,,,
2455,2013年01月01日至2013年12月31日,,              2150393,,              1446343,                704050,                704050,,,                 12050,,                 75879,,                 95288,                183217,                520833,,,                  6673,,                 25260,                 31933,                552766,,                 92054,                460712,                460712,,,,,,                 -1032,                459680,,                              1.87,                              1.87,,                              1.86,                              1.86,,                              0,,,,                 -1243,                   -211
2455,2013年01月01日至2013年09月30日,,              1742467,,              1156695,                585772,                585772,,,                  9447,,                 59089,,                 63580,                132116,                453656,,,                  4672,,                 22037,                 26709,                480365,,                 81697,                398668,                398668,,,,,,,                398668,,                              1.62,                              1.62,,                              1.61,                              1.61,,                              0,,,,,
2455,2013年01月01日至2013年06月30日,,              1256304,,                824116,                432188,                432188,,,                  6133,,                 41095,,                 37689,                 84917,                347271,,,                  3303,,                 25274,                 28577,                375848,,                 57155,                318693,                318693,,,,,,,                318693,,,                              1.29,,,                              1.28,,                              0,,,,,
2455,2013年01月01日至2013年03月31日,,                538651,,                363678,                174973,                174973,,,                  2846,,                 19026,,                 18395,                 40267,                134706,,,                  1477,,                 19989,                 21466,                156172,,                 23915,                132257,                132257,,,,,,,                132257,,                              0.54,                              0.54,,                              0.53,                              0.53,,                              0,,,,,
2455,2012年07月01日至2012年09月30日,,                475559,,                333917,                141642,                141642,,,                  2576,,                 17741,,                 25609,                 45926,                 95716,,,                  1492,,                -14660,                -13168,                 82548,,                 18345,                 64203,                 64203,,,,,,,                 64203,,                              0.26,                              0.26,,                              0.26,                              0.26,,                              0,,,,,
2455,2012年04月01日至2012年06月30日,,                646196,,                405612,                240584,                240584,,,                  2965,,                 21965,,                 23167,                 48097,                192487,,,                  1874,,                  5305,                  7160,                199647,,                 34228,                165419,                165419,,,,,,,                165419,,,                              0.67,,,                              0.67,,                     19,,,,,
2455,2012年01月01日至2012年12月31日,,              2248522,,              1490308,                758214,                758214,,,                 10423,,                 77211,,                102075,                189709,                568505,,,                 16433,,                -25204,                 -8892,                559613,,                 98084,                461529,                461529,,,,,,                   -868,                460661,,                              1.88,                              1.88,,                              1.88,                              1.88,,                    121,,,,                   -868,                              0
2455,2012年01月01日至2012年09月30日,,              1814334,,              1183259,                631075,                631075,,,                  8287,,                 61861,,                 71206,                141354,                489721,,,                  5752,,                -23403,                -17773,                471948,,                 78821,                393127,                393127,,,,,,,                393127,,                              1.61,                              1.61,,                              1.60,                              1.60,,                    122,,,,,
2455,2012年01月01日至2012年06月30日,,              1338775,,                849342,                489433,                489433,,,                  5711,,                 44120,,                 45597,                 95428,                394005,,,                  4260,,                 -8743,                 -4605,                389400,,                 60476,                328924,                328924,,,,,,,                328924,,,                              1.35,,,                              1.34,,                    122,,,,,
2455,2012年01月01日至2012年03月31日,,                692579,,                443730,                248849,                248849,,,                  2746,,                 22155,,                 22430,                 47331,                201518,,,                  2386,,                -14048,                -11765,                189753,,                 26248,                163505,                163505,,,,,,,                163505,,                              0.68,                              0.68,,                              0.67,                              0.67,,                    103,,,,,
