證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－其他
1219,2014年01月01日至2014年03月31日,,,              2459447,              2459447,,              2269671,                189776,                189776,,,                100878,,                 44239,,                  6396,                151513,                 38263,,,                 11641,,                    469,,                  2816,,                  3602,                 12896,                 51159,,                  7748,                  7748,                 43411,                 43411,,,                     71,                      9,                     62,                     62,                 43473,,                 43755,                   -344,,                 43800,                   -327,,                              0.14,,,,,,,,,,
1219,2013年第3季,,,              2722035,              2722035,,              2577707,                144328,                144328,,,                 97426,,                 38248,,                 13185,                148859,                 -4531,,,                 10446,,                 -1627,,                  4201,,                  5796,                 10414,                  5883,,,                    368,                  5515,                  5515,,,,,,                    207,                  5722,,                  6745,                 -1230,,                  6896,                 -1174,,                              0.02,,,                    368,                    239,,,,,                     32,
1219,2013年第2季,,,              2663652,              2663652,,              2548339,                115313,                115313,,,                 93576,,                 43887,,                  4607,                142070,                -26757,,,                  6709,,                  2006,,                  4180,,                  4864,                  9399,                -17358,,,                 -3096,                -14262,                -14262,,,,,,                   -134,                -14396,,                -11633,                 -2629,,                -11734,                 -2662,,                             -0.04,,,                 -3096,                   -142,,,,,                     -8,
1219,2013年度,,,             10510873,             10510873,,              9976824,                534049,                534049,,,                389288,,                140800,,                 21894,                551982,                -17933,,,                 35996,,                  1304,,                 16933,,                 17856,                 38223,                 20290,,,                 -3597,                 23887,                 23887,,,,,,                 -1251,                 22636,,                 28143,                 -4256,,                 26892,                 -4256,,                              0.09,,,                 -3597,                      2,                 -2460,,                    789,                    789,                   -418,
1219,2013年07月01日至2013年09月30日,,,              2722035,              2722035,,              2577707,                144328,                144328,,,                 97426,,                 38248,,                 13185,                148859,                 -4531,,,                 10446,,                 -1627,,                  4201,,                  5796,                 10414,                  5883,,,                    368,                  5515,                  5515,,,,,,                    207,                  5722,,                  6745,                 -1230,,                  6896,                 -1174,,                              0.02,,,                    368,                    239,,,,,                     32,
1219,2013年04月01日至2013年06月30日,,,              2663652,              2663652,,              2548339,                115313,                115313,,,                 93576,,                 43887,,                  4607,                142070,                -26757,,,                  6709,,                  2006,,                  4180,,                  4864,                  9399,                -17358,,,                 -3096,                -14262,                -14262,,,,,,                   -134,                -14396,,                -11633,                 -2629,,                -11734,                 -2662,,                             -0.04,,,,                   -142,,,,,                     -8,
1219,2013年01月01日至2013年12月31日,,,             10510873,             10510873,,              9976824,                534049,                534049,,,                389288,,                140800,,                 21894,                551982,                -17933,,,                 35996,,                  1304,,                 16933,,                 17856,                 38223,                 20290,,,                 -3597,                 23887,                 23887,,,,,,                 -1251,                 22636,,                 28143,                 -4256,,                 26892,                 -4256,,                              0.09,,,                 -3597,                      2,                 -2460,,,                    789,                   -418,                    789
1219,2013年01月01日至2013年09月30日,,,              7727851,              7727851,,              7369599,                358252,                358252,,,                286030,,                119735,,                 24114,                429879,                -71627,,,                 25285,,                   -223,,                 11171,,                 11502,                 25393,                -46234,,,                 -2832,                -43402,                -43402,,,,,,                    160,                -43242,,                -38035,                 -5367,,                -37918,                 -5324,,                             -0.12,,,                 -2832,                    184,,,,,                     24,
1219,2013年01月01日至2013年06月30日,,,              5005816,              5005816,,              4791892,                213924,                213924,,,                188604,,                 81487,,                 10929,                281020,                -67096,,,                 14839,,                  1404,,                  6970,,                  5706,                 14979,                -52117,,,                 -3200,                -48917,                -48917,,,,,,                    -47,                -48964,,                -44780,                 -4137,,                -44814,                 -4150,,                             -0.14,,,                 -3200,                    -55,,,,,                     -8,
1219,2013年01月01日至2013年03月31日,,,              2342164,              2342164,,              2242756,                 99408,                 99408,,,                 95028,,                 37600,,                  6322,                138950,                -39542,,,                  7333,,                   -602,,                  2790,,                    842,                  4783,                -34759,,,                   -104,                -34655,                -34655,,,,,,                     87,                -34568,,                -33147,                 -1508,,                -33080,                 -1488,,                             -0.11,,,                   -104,                     87,,,,,                              0,
1219,2012年07月01日至2012年09月30日,,,              2876146,              2876146,,              2675261,                200885,                200885,,,                100764,,                 37303,,                  3723,                141790,                 59095,,,                  7451,,                  3660,,                  4691,,                 10382,                 16802,                 75897,,,                 14046,                 61851,                 61851,,,,,,                    -88,                 61763,,                 62022,                   -171,,                 61956,                   -193,,                              0.20,,,                 14046,                    -88,,,,,                              0,
1219,2012年04月01日至2012年06月30日,,,              2475820,              2475820,,              2323145,                152675,                152675,,,                 91939,,                 22804,,                  5064,                119807,                 32868,,,                  9760,,                  2505,,                  5624,,                  3731,                 10372,                 43240,,,                 29814,                 13426,                 13426,,,,,,                     78,                 13504,,                 13814,                   -388,,                 13874,                   -370,,                              0.04,,,,                     78,,,,,                              0,
1219,2012年01月01日至2012年12月31日,,,             10438927,             10438927,,              9995859,                443068,                443068,,,                383782,,                122443,,                 18080,                524305,                -81237,,,                 34461,,                 21868,,                 22754,,                 24551,                 58126,                -23111,,,                 35923,                -59034,                -59034,,,,,,                 -6489,                -65523,,                -53030,                 -6004,,                -59324,                 -6199,,                             -0.17,,,                 35923,                   -834,                 -6504,,,                   -366,                 -1215,                   -366
1219,2012年01月01日至2012年09月30日,,,              7725411,              7725411,,              7284020,                441391,                441391,,,                284662,,                 93706,,                 12391,                390759,                 50632,,,                 25583,,                 13596,,                 16136,,                 18196,                 41239,                 91871,,,                 43841,                 48030,                 48030,,,,,,                   -818,                 47212,,                 49902,                 -1872,,                 49276,                 -2064,,                              0.16,,,                 43841,                   -818,,,,,                              0,
1219,2012年01月01日至2012年06月30日,,,              4849265,              4849265,,              4608759,                240506,                240506,,,                183898,,                 56403,,                  8668,                248969,                 -8463,,,                 18132,,                  9936,,                 11445,,                  7814,                 24437,                 15974,,,                 29795,                -13821,                -13821,,,,,,                   -730,                -14551,,                -12120,                 -1701,,                -12680,                 -1871,,                             -0.04,,,,                   -730,,,,,                              0,
1219,2012年01月01日至2012年03月31日,,,              2373445,              2373445,,              2285614,                 87831,                 87831,,,                 91959,,                 33599,,                  3604,                129162,                -41331,,,                  8372,,                  7431,,                  5821,,                  4083,                 14065,                -27266,,,                    -19,                -27247,                -27247,,,,,,                   -808,                -28055,,                -25934,                 -1313,,                -26554,                 -1501,,                             -0.09,,,                    -19,                   -808,,,,,,
