證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 確定福利計畫精算利益（損失）,　　 其他綜合損益（淨額）
2543,2014年01月01日至2014年03月31日,,                908483,,                865928,                 42555,                 42555,,,                  1361,,                 27136,                 28497,,,                 14058,,,                 19350,,                  6352,,                 15068,                 10634,                 24692,,                  4077,                 20615,,,                 20615,                 20615,,                 20070,                    545,,                 20070,                    545,,                              0.11,,                              0.11,,,
2543,2013年第3季,,                785996,,                713266,                 72730,                 72730,,,                  1091,,                 30714,                 31805,,                              0,                 40925,,,                  7691,,                  9901,,                 16905,                    687,                 41612,,                              0,                 41612,,                              0,                 41612,                 41612,,                 48855,                 -7243,,                 48855,                 -7243,,                              0.27,,                              0.27,,,
2543,2013年第2季,,                756256,,                724578,                 31678,                 31678,,,                  1052,,                 35772,                 36824,,                              0,                 -5146,,,                 11891,,                 12060,,                 17566,                  6385,                  1239,,                              0,                  1239,,                              0,                  1239,                  1239,,                  2808,                 -1569,,                  2808,                 -1569,,                              0.01,,                              0.01,,,
2543,2013年度,,              3598060,,              3415256,                182804,                182804,,,                  4662,,                126246,                130908,,,                 51896,,,                240262,,                 27765,,                 65407,                202620,                254516,,                  6504,                248012,,,                248012,                245539,,                263740,                -15728,,                261230,                -15691,,                              1.47,,                              1.47,,                 -2473,                 -2473
2543,2013年07月01日至2013年09月30日,,                785996,,                713266,                 72730,                 72730,,,                  1091,,                 30714,                 31805,,                              0,                 40925,,,                  7691,,                  9901,,                 16905,                    687,                 41612,,                              0,                 41612,,,                 41612,                 41612,,                 48855,                 -7243,,                 48855,                 -7243,,                              0.27,,                              0.27,,,
2543,2013年04月01日至2013年06月30日,,                756256,,                724578,                 31678,                 31678,,,                  1052,,                 35772,                 36824,,                              0,                 -5146,,,                 11891,,                 12060,,                 17566,                  6385,                  1239,,                              0,                  1239,,,                  1239,                  1239,,                  2808,                 -1569,,                  2808,                 -1569,,                              0.01,,                              0.01,,,
2543,2013年01月01日至2013年12月31日,,              3598060,,              3415256,                182804,                182804,,,                  4662,,                126246,                130908,,                              0,                 51896,,,                240262,,                 27765,,                 65407,                202620,                254516,,                  6504,                248012,,                              0,                248012,                245539,,                263740,                -15728,,                261230,                -15691,,                              1.47,,                              1.47,,                 -2473,                 -2473
2543,2013年01月01日至2013年09月30日,,              2340041,,              2202233,                137808,                137808,,,                  3224,,                 95769,                 98993,,                              0,                 38815,,,                 27289,,                 26527,,                 49317,                  4499,                 43314,,                              0,                 43314,,                              0,                 43314,                 43314,,                 52947,                 -9633,,                 52947,                 -9633,,                              0.30,,                              0.30,,,
2543,2013年01月01日至2013年06月30日,,              1554045,,              1488967,                 65078,                 65078,,,                  2133,,                 65055,                 67188,,                              0,                 -2110,,,                 19598,,                 16626,,                 32412,                  3812,                  1702,,                              0,                  1702,,                              0,                  1702,                  1702,,                  4092,                 -2390,,                  4092,                 -2390,,                              0.02,,                              0.02,,,
2543,2013年01月01日至2013年03月31日,,                797789,,                764389,                 33400,                 33400,,,                  1081,,                 29385,                 30466,,,                  2934,,,                  7707,,                  4668,,                 14846,                 -2471,                    463,,                              0,                    463,,,                    463,                    463,,                  1284,                   -821,,                  1284,                   -821,,                              0.01,,                              0.01,,,
2543,2012年07月01日至2012年09月30日,,                808469,,                772649,                 35820,                 35820,,,                  1093,,                 30802,                 31895,,                              0,                  3925,,,                  9787,,                   -683,,                 14267,                 -5163,                 -1238,,                              0,                 -1238,,,                 -1238,                 -1238,,                  4830,                 -6068,,                  4830,                 -6068,,                              0.03,,                              0.03,,,
2543,2012年04月01日至2012年06月30日,,              1023290,,                998957,                 24333,                 24333,,,                  1121,,                228801,                229922,,                              0,               -205589,,,                218694,,                -20914,,                 14695,                183085,                -22504,,                              0,                -22504,,,                -22504,                -22504,,                -19789,                 -2715,,                -19789,                 -2715,,                             -0.11,,                             -0.11,,,
2543,2012年01月01日至2012年12月31日,,              3722988,,              3593743,                129245,                129245,,,                  4855,,                288294,                293149,,                              0,               -163904,,,                247057,,                -14899,,                 54144,                178014,                 14110,,                     91,                 14019,,                              0,                 14019,                 15265,,                 27229,                -13210,,                 28247,                -12982,,                              0.15,,                              0.15,,                  1246,                  1246
2543,2012年01月01日至2012年09月30日,,              2708164,,              2590602,                117562,                117562,,,                  3677,,                284120,                287797,,                              0,               -170235,,,                232355,,                -16191,,                 40302,                175862,                  5627,,                              0,                  5627,,,                  5627,                  5627,,                 17523,                -11896,,                 17523,                -11896,,                              0.10,,                              0.10,,,
2543,2012年01月01日至2012年06月30日,,              1899695,,              1817953,                 81742,                 81742,,,                  2584,,                253318,                255902,,                              0,               -174160,,,                222568,,                -15508,,                 26035,                181025,                  6865,,                              0,                  6865,,,                  6865,                  6865,,                 12693,                 -5828,,                 12693,                 -5828,,                              0.07,,                              0.07,,,
2543,2012年01月01日至2012年03月31日,,                876405,,                818996,                 57409,                 57409,,,                  1463,,                 24517,                 25980,,,                 31429,,,                  3874,,                  5406,,                 11340,                 -2060,                 29369,,                              0,                 29369,,,                 29369,                 29369,,                 32482,                 -3113,,                 32482,                 -3113,,                              0.18,,                              0.18,,,
